"Name","Team","PA","Pitches","HR","AVG","OBP","SLG","OPS","SB","wOBA","wRC+","ISO","K%","GB%","LD%","FB%","HR/FB","Barrel%","EV","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","playerid"
"Tyler Stephenson","Reds","3","13","1","1.000","1.000","2.500","3.500","0","1.186","675","1.500","0.0%","0.0%","50.0%","50.0%","100.0%","50.0%","99.7","30.8%","36.29","","","15.4%","-2.98","","","","","23.1%","-0.74","","","7.7%","-4.12","23.1%","-1.88","","","","","","","","","17988"
"Kevan Smith","Rays","2","11","0","1.000","1.000","1.000","2.000","0",".790","424",".000","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","96.6","45.5%","7.45","","","45.5%","1.26","","","","","","","","","","","","","","","9.1%","0.00","","","","","12284"
"Jacob Nottingham","Brewers","4","24","1",".333",".500","1.333","1.833","0",".677","336","1.000","50.0%","0.0%","0.0%","100.0%","100.0%","100.0%","107.3","41.7%","-0.82","","","16.7%","-2.74","","","","","20.8%","26.01","","","8.3%","3.25","8.3%","22.11","","","4.2%","1.90","","","","","16448"
"Billy McKinney","Blue Jays","3","10","0",".667",".667",".667","1.333","0",".588","283",".000","0.0%","0.0%","66.7%","33.3%","0.0%","0.0%","89.1","60.0%","4.75","","","20.0%","24.01","","","","","","","10.0%","-4.12","","","","","","","10.0%","-4.12","","","","","15654"
"Jake Marisnick","Mets","7","23","1",".429",".429",".857","1.286","0",".535","248",".429","14.3%","50.0%","0.0%","50.0%","33.3%","0.0%","86.2","21.7%","-1.44","","","4.4%","1.90","","","","","","","39.1%","-3.14","21.7%","37.24","","","","","13.0%","15.05","","","","","11339"
"Juan Soto","Nationals","89","392","9",".368",".461",".803","1.263","1",".513","226",".434","11.2%","50.0%","21.2%","28.8%","47.4%","16.7%","95.1","31.6%","1.40","","","4.6%","10.87","0.3%","-33.40","","","15.3%","0.34","21.7%","1.71","6.6%","11.98","0.8%","-1.25","","","19.1%","3.26","","","","","20123"
"Mitch Moreland","Red Sox","75","284","8",".349",".453",".794","1.247","0",".504","221",".444","22.7%","40.0%","13.3%","46.7%","38.1%","23.9%","90.8","32.8%","2.54","","","5.3%","-2.58","6.0%","1.29","","","12.3%","7.37","14.8%","-3.92","8.8%","5.55","3.2%","0.40","","","16.9%","5.38","","","","","3086"
"Jesse Winker","Reds","106","433","9",".341",".453",".716","1.169","1",".483","205",".375","22.6%","45.3%","23.4%","31.3%","45.0%","15.6%","93.0","32.3%","2.01","","","4.6%","-2.04","0.5%","-5.04","","","15.9%","4.57","16.6%","-0.66","13.4%","3.07","3.9%","11.14","","","12.7%","2.93","","","","","13590"
"Andrew Knapp","Phillies","22","72","0",".450",".500",".600","1.100","0",".474","202",".150","18.2%","31.3%","37.5%","31.3%","0.0%","0.0%","89.5","37.5%","-1.02","","","9.7%","11.70","2.8%","2.20","","","15.3%","-0.47","8.3%","9.78","15.3%","0.18","","","","","11.1%","19.76","","","","","14942"
"Dominic Smith","Mets","93","368","7",".333",".419",".744","1.163","0",".470","205",".410","18.3%","36.5%","19.0%","44.4%","25.0%","17.5%","87.7","34.5%","3.46","","","10.1%","-7.42","3.8%","-6.74","","","18.5%","2.50","16.3%","2.52","6.0%","7.38","0.8%","-5.54","","","10.1%","6.01","","","","","15653"
