"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"Athletics","11","4","16","155","0","178.2","9.87","3.07","0.81",".252","86.7%","42.0%","8.9%","88.6","2.12","3.22","4.02","3.4"
"Twins","12","11","16","162","0","189.2","10.68","2.94","1.19",".308","76.5%","36.2%","12.3%","87.8","3.56","3.61","3.98","3.2"
"Braves","17","8","12","183","0","213.1","9.28","3.50","0.68",".282","76.1%","43.0%","7.6%","87.8","3.04","3.46","4.41","3.1"
"Rays","21","12","18","199","0","239.0","9.00","3.16","0.90",".291","74.0%","44.6%","11.0%","87.4","3.43","3.72","4.19","3.1"
"White Sox","15","5","13","178","0","188.1","9.51","3.20","0.81",".288","76.9%","46.3%","10.9%","87.8","3.20","3.45","3.89","2.9"
"Dodgers","23","10","14","216","0","224.1","8.55","2.65","0.84",".253","74.8%","51.6%","11.4%","86.9","2.77","3.61","4.00","2.8"
"Indians","9","7","18","147","0","154.1","9.86","2.97","0.76",".277","76.1%","36.9%","7.7%","86.7","2.86","3.46","4.48","2.7"
"Brewers","12","5","10","144","0","176.1","11.89","4.03","1.12",".294","73.0%","41.8%","14.0%","86.8","3.83","3.76","3.87","2.6"
"Angels","9","10","9","186","0","206.1","8.94","3.32","1.05",".284","62.9%","38.8%","10.5%","88.5","4.84","3.96","4.59","2.2"
"Padres","15","9","25","214","0","219.1","10.09","3.65","1.15",".306","69.0%","44.2%","13.3%","88.5","4.72","4.01","4.22","2.1"
"Orioles","11","12","8","158","0","190.0","8.19","4.12","0.81",".276","68.3%","45.8%","9.6%","88.4","4.12","4.19","4.84","1.9"
"Blue Jays","16","16","13","177","0","205.0","9.31","4.61","1.27",".296","68.1%","42.0%","13.5%","88.4","4.57","4.63","4.84","1.8"
"Reds","11","5","15","135","0","155.1","10.95","4.06","1.45",".264","70.1%","40.8%","16.2%","87.9","4.46","4.36","4.20","1.6"
"Pirates","8","12","5","178","0","201.2","10.22","4.33","1.16",".292","67.3%","42.2%","13.8%","89.4","4.37","4.25","4.40","1.4"
"Rangers","9","7","10","164","0","188.1","9.13","4.54","1.19",".274","70.8%","41.4%","12.0%","88.2","4.64","4.60","5.03","1.1"
"Mets","13","10","10","179","0","220.0","9.98","4.50","1.31",".288","75.3%","45.3%","15.5%","87.4","4.21","4.60","4.54","1.0"
"Yankees","15","9","13","135","0","158.2","9.64","4.08","1.30",".264","70.0%","45.6%","15.3%","87.6","4.37","4.51","4.46","0.9"
"Astros","8","14","14","164","0","180.1","9.53","5.14","1.05",".320","71.1%","41.7%","11.6%","87.7","4.64","4.50","4.94","0.9"
"Cubs","11","6","15","171","0","173.0","10.98","4.47","1.46",".290","73.8%","43.5%","19.6%","89.0","4.47","4.49","3.99","0.8"
"Royals","10","7","8","181","0","186.2","9.84","4.19","1.21",".312","76.7%","42.2%","13.4%","89.5","3.86","4.39","4.60","0.7"
"Nationals","10","7","10","179","0","182.2","9.66","4.58","1.38",".295","73.7%","35.8%","13.9%","89.2","4.63","4.70","4.85","0.5"
"Rockies","11","11","14","172","0","188.2","8.25","3.72","1.53",".341","61.8%","43.4%","15.6%","89.9","6.44","5.08","4.99","0.5"
"Tigers","13","10","9","185","0","217.0","8.00","3.15","1.53",".299","71.1%","41.7%","15.4%","89.8","5.27","4.92","4.85","0.4"
"Marlins","14","8","15","172","0","177.1","7.51","4.06","1.37",".287","74.0%","46.3%","15.3%","88.9","4.52","5.01","4.97","0.2"
"Phillies","12","12","15","174","0","169.1","10.26","4.31","1.70",".377","70.4%","42.5%","19.8%","89.0","6.01","4.97","4.37","0.1"
"Cardinals","11","11","9","139","0","155.2","8.90","4.57","1.50",".240","71.7%","41.6%","15.8%","89.0","4.39","5.08","4.97","-0.1"
"Diamondbacks","11","7","6","156","0","184.2","8.68","4.82","1.36",".283","76.0%","41.9%","14.4%","89.2","4.29","4.99","5.07","-0.3"
"Red Sox","8","14","9","177","0","222.0","9.73","4.66","1.54",".349","64.0%","43.8%","18.6%","89.3","6.41","4.95","4.51","-0.5"
"Giants","17","11","13","195","0","201.2","7.99","4.02","1.29",".257","72.2%","40.4%","12.9%","88.1","4.15","4.87","5.16","-0.6"
"Mariners","3","6","6","135","0","157.0","8.31","4.53","1.66",".270","75.5%","39.5%","15.8%","88.5","5.04","5.55","5.41","-0.7"
