"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Corey Kluber","Rangers","0.00","0.0%","0.00","4.19","6.14","1.00","11","5.6%","0.00","","","16.7%","-0.63","","","","","44.4%","3.93","","","27.8%","2.05","","","","","5.6%","19.86","","","","","1","1.0","2429"
"Charlie Culberson","Braves","0.00","0.0%","0.00","3.19","9.06","0.00","1","50.0%","23.73","","","","","","","","","","","50.0%","4.31","","","","","","","","","","","","","0","","3298"
"Jordan Zimmermann","Tigers","0.00","0.0%","0.00","2.86","3.51","1.67","24","38.1%","4.80","9.5%","-10.67","","","","","","","","","40.5%","2.18","7.1%","15.40","","","","","4.8%","-12.84","","","","","1","3.0","4505"
"Jake Diekman","Athletics","0.00","0.0%","0.00","2.63","3.97","1.06","170","52.3%","5.11","","","","","","","","","4.6%","-0.10","43.1%","2.58","","","","","","","","","","","","","0","","5003"
"Pat Venditte","Marlins","0.00","0.0%","0.00","2.27","4.07","0.23","32","14.8%","2.79","","","24.1%","1.86","","","","","7.4%","-7.87","29.6%","1.50","18.5%","10.00","","","","","3.7%","0.48","","","","","0","","7108"
"Neil Walker","Phillies","0.00","0.0%","0.00","7.69","13.56","1.50","7","","","","","","","","","","","","","","","92.9%","3.13","","","","","7.1%","0.00","","","","","0","","7539"
"Cory Gearrin","Twins","0.00","0.0%","0.00","5.19","8.12","1.00","16","","","","","","","","","","","40.0%","2.71","33.3%","9.72","","","","","","","26.7%","0.51","","","","","0","","7947"
"Cesar Valdez","Orioles","0.00","0.0%","0.00","1.55","2.62","0.82","64","","","","","","","","","","","16.0%","-1.00","2.0%","16.18","","","","","","","82.0%","3.73","","","","","0","","9013"
"Joe Kelly","Dodgers","0.00","0.0%","0.00","3.98","4.91","1.58","61","21.9%","3.53","","","","","","","","","22.9%","1.09","","","","","55.2%","1.05","","","","","","","","","0","","9761"
"John Ryan Murphy","Pirates","0.00","0.0%","0.00","3.19","5.14","0.00","5","100.0%","9.30","","","","","","","","","","","","","","","","","","","","","","","","","0","","10346"
"Jedd Gyorko","Brewers","0.00","0.0%","0.00","3.19","7.10","1.00","6","","","","","","","","","","","","","","","100.0%","8.85","","","","","","","","","","","0","","10816"
"Bryan Holaday","Orioles","0.00","0.0%","0.00","3.19","9.06","6.00","9","61.5%","-6.35","","","","","","","","","","","15.4%","-4.91","23.1%","14.98","","","","","","","","","","","0","","11287"
"Seth Frankoff","Mariners","0.00","0.0%","0.00","3.19","7.10","1.00","9","","","","","","","","","","","17.7%","3.82","82.4%","4.09","","","","","","","","","","","","","0","","11346"
