last_name, first_name,year,xwoba,xiso,
Freeman, Freddie,2020,.428,.262,
Judge, Aaron,2020,.418,.394,
Gonzalez, Marwin,2020,.307,.128,
Gordon, Alex,2020,.306,.149,
Romine, Austin,2020,.265,.106,
Haseley, Adam,2020,.294,.100,
Mercer, Jordy,2020,.261,.033,
Davis, J.D.,2020,.384,.196,
Muncy, Max,2020,.378,.279,
Carpenter, Matt,2020,.323,.167,
Holt, Brock,2020,.250,.030,
Garneau, Dustin,2020,.328,.223,
Polanco, Jorge,2020,.327,.142,
Bader, Harrison,2020,.314,.224,
Morrison, Logan,2020,.273,.181,
Adrianza, Ehire,2020,.263,.117,
Hedges, Austin,2020,.315,.166,
Sandoval, Pablo,2020,.310,.131,
Gallagher, Cam,2020,.288,.074,
Peralta, David,2020,.315,.123,
Fraley, Jake,2020,.240,.075,
Taylor, Chris,2020,.357,.184,
Cooper, Garrett,2020,.448,.359,
Alonso, Pete,2020,.324,.201,
Barnhart, Tucker,2020,.265,.099,
Eaton, Adam,2020,.312,.146,
Nido, Tomas,2020,.361,.252,
Fletcher, David,2020,.324,.073,
Tucker, Cole,2020,.244,.085,
Ramos, Wilson,2020,.320,.169,
Santana, Domingo,2020,.318,.161,
Encarnacion, Edwin,2020,.285,.237,
Fisher, Derek,2020,.296,.139,
Duvall, Adam,2020,.329,.300,
Cron, C.J.,2020,.376,.320,
Zimmer, Bradley,2020,.274,.078,
Moran, Colin,2020,.418,.325,
Alvarez, Eddy,2020,.222,.043,
Souza Jr., Steven,2020,.226,.126,
Anderson, Brian,2020,.337,.193,
Robert, Luis,2020,.398,.347,
Santana, Carlos,2020,.386,.196,
Diaz, Lewin,2020,.212,.111,
Carlson, Dylan,2020,.283,.165,
Farmer, Kyle,2020,.325,.198,
Ramirez, Jose,2020,.352,.208,
Brantley, Michael,2020,.341,.177,
Pham, Tommy,2020,.364,.215,
Santander, Anthony,2020,.365,.253,
Collins, Zack,2020,.265,.207,
Shaw, Travis,2020,.335,.180,
Castro, Jason,2020,.370,.289,
Almora Jr., Albert,2020,.226,.030,
Nimmo, Brandon,2020,.380,.178,
Merrifield, Whit,2020,.339,.170,
Evans, Phillip,2020,.344,.117,
Smoak, Justin,2020,.275,.149,
Dozier, Brian,2020,.270,.116,
Flowers, Tyler,2020,.289,.122,
Yastrzemski, Mike,2020,.383,.280,
Acuna Jr., Ronald,2020,.390,.281,
Schwarber, Kyle,2020,.368,.295,
Lopez, Nicky,2020,.301,.092,
Reyes, Franmil,2020,.401,.262,
LeMahieu, DJ,2020,.367,.133,
Escobar, Eduardo,2020,.335,.164,
Moustakas, Mike,2020,.319,.122,
Olivares, Edward,2020,.253,.124,
Belt, Brandon,2020,.424,.358,
Pollock, AJ,2020,.325,.209,
Toro, Abraham,2020,.309,.144,
Murphy, John Ryan,2020,.352,.153,
Wolters, Tony,2020,.299,.096,
Bishop, Braden,2020,.189,.022,
Rosario, Amed,2020,.273,.122,
Baez, Javier,2020,.296,.188,
Piscotty, Stephen,2020,.333,.208,
Hiura, Keston,2020,.319,.228,
McNeil, Jeff,2020,.333,.112,
Lux, Gavin,2020,.152,.032,
Garcia, Greg,2020,.267,.032,
Difo, Wilmer,2020,.278,.082,
Casali, Curt,2020,.371,.246,
Chang, Yu,2020,.269,.036,
Alford, Anthony,2020,.211,.184,
Semien, Marcus,2020,.275,.161,
Gurriel Jr., Lourdes,2020,.335,.170,
Murphy, Sean,2020,.325,.179,
Gomes, Yan,2020,.358,.203,
Harper, Bryce,2020,.442,.320,
Thaiss, Matt,2020,.182,.058,
Calhoun, Willie,2020,.266,.106,
La Stella, Tommy,2020,.361,.204,
Moore, Dylan,2020,.394,.254,
Iglesias, Jose,2020,.390,.116,
Odom, Joseph,2020,.183,.056,
Donaldson, Josh,2020,.270,.082,
Hernandez, Enrique,2020,.277,.128,
Ruf, Darin,2020,.318,.137,
Dyson, Jarrod,2020,.230,.037,
Bonifacio, Jorge,2020,.281,.144,
Senzel, Nick,2020,.372,.227,
Jeffers, Ryan,2020,.254,.093,
Crawford, J.P.,2020,.355,.141,
Heredia, Guillermo,2020,.322,.056,
Story, Trevor,2020,.374,.268,
Hernandez, Cesar,2020,.328,.117,
Berti, Jon,2020,.335,.123,
Walker, Neil,2020,.261,.098,
Dickerson, Corey,2020,.308,.148,
Smith, Mallex,2020,.190,.030,
Fowler, Dexter,2020,.299,.159,
Benintendi, Andrew,2020,.296,.095,
Myers, Wil,2020,.416,.310,
Murphy, Daniel,2020,.300,.139,
Marisnick, Jake,2020,.204,.059,
Mateo, Jorge,2020,.305,.145,
Realmuto, J.T.,2020,.373,.297,
Soler, Jorge,2020,.377,.269,
Gardner, Brett,2020,.300,.150,
Ohtani, Shohei,2020,.336,.205,
Villar, Jonathan,2020,.271,.089,
Lin, Tzu-Wei,2020,.201,.033,
Aguilar, Jesus,2020,.338,.195,
Frazier, Adam,2020,.306,.116,
Hamilton, Billy,2020,.204,.052,
Nunez, Renato,2020,.326,.237,
Cave, Jake,2020,.279,.127,
Peraza, Jose,2020,.300,.140,
Mathis, Jeff,2020,.330,.141,
Cervelli, Francisco,2020,.354,.202,
Schrock, Max,2020,.208,.130,
Colon, Christian,2020,.200,.046,
France, Ty,2020,.377,.207,
Upton, Justin,2020,.281,.157,
Castro, Starlin,2020,.300,.159,
Trevino, Jose,2020,.358,.212,
Castro, Willi,2020,.310,.212,
Wieters, Matt,2020,.191,.074,
Ahmed, Nick,2020,.294,.146,
Harrison, Monte,2020,.234,.199,
Mountcastle, Ryan,2020,.347,.181,
Phegley, Josh,2020,.255,.204,
Arauz, Jonathan,2020,.352,.097,
Kingery, Scott,2020,.283,.137,
Sano, Miguel,2020,.367,.313,
Schoop, Jonathan,2020,.338,.180,
d'Arnaud, Travis,2020,.364,.222,
Butera, Drew,2020,.186,.054,
Cabrera, Asdrubal,2020,.344,.185,
Davis, Chris,2020,.193,.071,
Castellanos, Nick,2020,.414,.307,
Kemp, Matt,2020,.347,.243,
O'Neill, Tyler,2020,.292,.174,
Grandal, Yasmani,2020,.326,.179,
Higashioka, Kyle,2020,.229,.033,
Straw, Myles,2020,.280,.112,
Kiner-Falefa, Isiah,2020,.315,.095,
Torrens, Luis,2020,.336,.087,
Kelly, Carson,2020,.238,.090,
Engel, Adam,2020,.286,.111,
Plawecki, Kevin,2020,.301,.112,
Segura, Jean,2020,.361,.182,
Dahl, David,2020,.253,.108,
Hampson, Garrett,2020,.364,.238,
Moncada, Yoan,2020,.318,.185,
Devers, Rafael,2020,.337,.192,
Mayfield, Jack,2020,.231,.080,
Hoerner, Nico,2020,.322,.095,
Votto, Joey,2020,.359,.191,
Gurriel, Yuli,2020,.337,.159,
Marte, Ketel,2020,.332,.138,
Molina, Yadier,2020,.353,.174,
Ervin, Phillip,2020,.214,.033,
Adames, Willy,2020,.344,.188,
Yelich, Christian,2020,.390,.260,
Stallings, Jacob,2020,.299,.106,
Sisco, Chance,2020,.343,.229,
Taylor, Michael A.,2020,.360,.286,
Verdugo, Alex,2020,.336,.174,
Smith, Kevan,2020,.518,.284,
Davis, Khris,2020,.322,.176,
Hechavarria, Adeiny,2020,.235,.042,
Heineman, Tyler,2020,.256,.072,
Arcia, Orlando,2020,.354,.133,
VanMeter, Josh,2020,.247,.135,
Taylor, Beau,2020,.171,.030,
Lewis, Kyle,2020,.370,.221,
Mathias, Mark,2020,.304,.134,
Pence, Hunter,2020,.329,.211,
Slater, Austin,2020,.443,.258,
Goins, Ryan,2020,.314,.285,
Davidson, Matt,2020,.383,.318,
Moreland, Mitch,2020,.402,.332,
Gallo, Joey,2020,.344,.239,
Kratz, Erik,2020,.260,.076,
Vogt, Stephen,2020,.238,.145,
Haggerty, Sam,2020,.329,.152,
Vazquez, Christian,2020,.258,.132,
Cain, Lorenzo,2020,.449,.159,
Soto, Juan,2020,.489,.424,
McMahon, Ryan,2020,.299,.175,
Anderson, Tim,2020,.357,.215,
Contreras, William,2020,.358,.196,
DeShields, Delino,2020,.270,.053,
Calhoun, Kole,2020,.387,.270,
Demeritte, Travis,2020,.380,.238,
