team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
TB,9/20/2020,1,622534,Manuel Margot,1,Y,CF
TB,9/20/2020,1,668227,Randy Arozarena,2,Y,LF
TB,9/20/2020,1,660294,Yoshitomo Tsutsugo,3,Y,3B
TB,9/20/2020,1,607345,Kevan Smith,4,Y,DH
TB,9/20/2020,1,642715,Willy Adames,5,Y,SS
TB,9/20/2020,1,663993,Nathaniel Lowe,6,Y,1B
TB,9/20/2020,1,592669,Hunter Renfroe,7,Y,RF
TB,9/20/2020,1,572287,Mike Zunino,8,Y,C
TB,9/20/2020,1,621563,Joseph Wendle,9,Y,2B
TB,9/20/2020,1,642232,Ryan Yarbrough,SP,Y,
BAL,9/20/2020,1,593643,Hanser Alberto,1,Y,2B
BAL,9/20/2020,1,669720,Austin Hays,2,Y,CF
BAL,9/20/2020,1,663624,Ryan Mountcastle,3,Y,LF
BAL,9/20/2020,1,600524,Renato Nunez,4,Y,DH
BAL,9/20/2020,1,600474,Pedro Severino,5,Y,C
BAL,9/20/2020,1,621466,DJ Stewart,6,Y,RF
BAL,9/20/2020,1,642162,Patrick Valaika,7,Y,SS
BAL,9/20/2020,1,547004,Rio Ruiz,8,Y,3B
BAL,9/20/2020,1,592407,Bryan Holaday,9,Y,1B
BAL,9/20/2020,1,607644,John Means,SP,Y,
NYY,9/20/2020,1,518934,DJ LeMahieu,1,Y,3B
NYY,9/20/2020,1,572228,Luke Voit,2,Y,1B
NYY,9/20/2020,1,543305,Aaron Hicks,3,Y,CF
NYY,9/20/2020,1,519317,Giancarlo Stanton,4,Y,DH
NYY,9/20/2020,1,650402,Gleyber Torres,5,Y,SS
NYY,9/20/2020,1,458731,Brett Gardner,6,Y,LF
NYY,9/20/2020,1,640449,Clint Frazier,7,Y,RF
NYY,9/20/2020,1,596142,Gary Sanchez,8,Y,C
NYY,9/20/2020,1,642180,Tyler Wade,9,Y,2B
NYY,9/20/2020,1,665620,Deivi Garcia,SP,Y,
BOS,9/20/2020,1,543877,Christian Vazquez,1,Y,C
BOS,9/20/2020,1,646240,Rafael Devers,2,Y,3B
BOS,9/20/2020,1,502110,J.D. Martinez,3,Y,DH
BOS,9/20/2020,1,666915,Bobby Dalbec,4,Y,1B
BOS,9/20/2020,1,598265,Jackie Bradley,5,Y,CF
BOS,9/20/2020,1,656308,Michael Chavis,6,Y,LF
BOS,9/20/2020,1,527049,Cesar Puello,7,Y,RF
BOS,9/20/2020,1,624407,Tzu-Wei Lin,8,Y,2B
BOS,9/20/2020,1,660620,Jonathan Arauz,9,Y,SS
BOS,9/20/2020,1,656557,Tanner Houck,SP,Y,
CLE,9/20/2020,1,596019,Francisco Lindor,1,Y,SS
CLE,9/20/2020,1,514917,Cesar Hernandez,2,Y,2B
CLE,9/20/2020,1,608070,Jose Ramirez,3,Y,3B
CLE,9/20/2020,1,467793,Carlos Santana,4,Y,1B
CLE,9/20/2020,1,614177,Franmil Reyes,5,Y,DH
CLE,9/20/2020,1,656669,Jordan Luplow,6,Y,RF
CLE,9/20/2020,1,640458,Oscar Mercado,7,Y,LF
CLE,9/20/2020,1,506702,Sandy Leon,8,Y,C
CLE,9/20/2020,1,592261,Delino DeShields,9,Y,CF
CLE,9/20/2020,1,471911,Carlos Carrasco,SP,Y,
DET,9/20/2020,1,622682,Victor Reyes,1,Y,CF
DET,9/20/2020,1,650489,Willi Castro,2,Y,SS
DET,9/20/2020,1,408234,Miguel Cabrera,3,Y,DH
DET,9/20/2020,1,600869,Jeimer Candelario,4,Y,1B
DET,9/20/2020,1,593528,Jorge Bonifacio,5,Y,LF
DET,9/20/2020,1,592348,Niko Goodrum,6,Y,2B
DET,9/20/2020,1,519222,Austin Romine,7,Y,C
DET,9/20/2020,1,663662,Daz Cameron,8,Y,RF
DET,9/20/2020,1,670623,Isaac Paredes,9,Y,3B
DET,9/20/2020,1,571510,Matt Boyd,SP,Y,
WAS,9/20/2020,1,571788,Brock Holt,1,N,
WAS,9/20/2020,1,607208,Trea Turner,2,N,
WAS,9/20/2020,1,665742,Juan Soto,3,N,
WAS,9/20/2020,1,452678,Asdrubal Cabrera,4,N,
WAS,9/20/2020,1,519346,Eric Thames,5,N,
WAS,9/20/2020,1,543228,Yan Gomes,6,N,
WAS,9/20/2020,1,671277,Luis Garcia,7,N,
WAS,9/20/2020,1,572191,Michael Taylor,8,N,
WAS,9/20/2020,1,628450,Yadiel Hernandez,9,N,
WAS,9/20/2020,1,453286,Max Scherzer,SP,N,
MIA,9/20/2020,1,572816,Corey Dickerson,1,N,
MIA,9/20/2020,1,516782,Starling Marte,2,N,
MIA,9/20/2020,1,542583,Jesus Aguilar,3,N,
MIA,9/20/2020,1,459964,Matt Joyce,4,N,
MIA,9/20/2020,1,605119,Brian Anderson,5,N,
MIA,9/20/2020,1,643265,Garrett Cooper,6,N,
MIA,9/20/2020,1,500743,Miguel Rojas,7,N,
MIA,9/20/2020,1,665862,Jazz Chisholm,8,N,
MIA,9/20/2020,1,595751,Jorge Alfaro,9,N,
MIA,9/20/2020,1,645261,Sandy Alcantara,SP,N,
CHW,9/20/2020,1,641313,Tim Anderson,1,Y,SS
CHW,9/20/2020,1,663611,Nick Madrigal,2,Y,2B
CHW,9/20/2020,1,547989,Jose Abreu,3,Y,1B
CHW,9/20/2020,1,650391,Eloy Jimenez,4,Y,LF
CHW,9/20/2020,1,429665,Edwin Encarnacion,5,Y,DH
CHW,9/20/2020,1,543510,James McCann,6,Y,C
CHW,9/20/2020,1,608577,Nomar Mazara,7,Y,RF
CHW,9/20/2020,1,673357,Luis Robert,8,Y,CF
CHW,9/20/2020,1,570560,Yolmer Sanchez,9,Y,3B
CHW,9/20/2020,1,656302,Dylan Cease,SP,Y,
CIN,9/20/2020,1,673451,Shogo Akiyama,1,Y,LF
CIN,9/20/2020,1,592206,Nick Castellanos,2,Y,RF
CIN,9/20/2020,1,458015,Joey Votto,3,Y,1B
CIN,9/20/2020,1,553993,Eugenio Suarez,4,Y,3B
CIN,9/20/2020,1,519058,Mike Moustakas,5,Y,2B
CIN,9/20/2020,1,608385,Jesse Winker,6,Y,DH
CIN,9/20/2020,1,571718,Brian Goodwin,7,Y,CF
