Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","2 Tms",55,1.133333333,0.219512195,0.414634146,0.365853658,0.333333333,0.066666666,0.058823529,0,0.4878,0.3415,0.1707,0.2683,0.3171,0.4146,785
2020,"Albert Pujols","LAA",45,1.4,0.294117647,0.411764705,0.294117647,0.5,0.1,0,0,0.5588,0.2647,0.1765,0.2353,0.2059,0.5588,1177
2020,"Wilson Ramos","NYM",64,1.055555555,0.229166666,0.395833333,0.375,0.222222222,0.111111111,0.052631578,0,0.3333,0.4167,0.25,0.2083,0.3958,0.3958,1433
2020,"Miguel Cabrera","DET",66,1.636363636,0.292682926,0.43902439,0.268292682,0.181818181,0.181818181,0,0,0.3415,0.3659,0.2927,0.122,0.439,0.439,1744
2020,"David Peralta","ARI",71,1.411764705,0.226415094,0.452830188,0.320754716,0.058823529,0,0.083333333,0,0.4151,0.283,0.3019,0.1887,0.4717,0.3396,2136
2020,"Edwin Encarnacion","CHW",53,0.714285714,0.172413793,0.344827586,0.48275862,0.214285714,0.071428571,0.3,0,0.4483,0.4483,0.1034,0.2069,0.4828,0.3103,2151
2020,"Carlos Santana","CLE",95,1,0.192982456,0.403508771,0.403508771,0.130434782,0.130434782,0.04347826,0,0.4561,0.3158,0.2281,0.1404,0.3509,0.5088,2396
2020,"Nelson Cruz","MIN",78,1.375,0.173913043,0.478260869,0.347826086,0.0625,0.5,0.09090909,0,0.4565,0.2826,0.2609,0.1522,0.3261,0.5217,2434
2020,"Manny Pina","MIL",32,0.444444444,0.35,0.2,0.45,0,0,0,0,0.35,0.45,0.2,0.15,0.35,0.5,2829
2020,"Roberto Perez","CLE",26,2.5,0.176470588,0.588235294,0.235294117,0,0.25,0.1,0,0.4118,0.3529,0.2353,0.2941,0.4118,0.2941,2900
2020,"Tommy Pham","SDP",53,3,0.151515151,0.636363636,0.212121212,0,0.285714285,0.095238095,0,0.4242,0.3636,0.2121,0.1212,0.303,0.5758,2967
2020,"Mitch Moreland","2 Tms",44,1.083333333,0.137931034,0.448275862,0.413793103,0.166666666,0.25,0.076923076,0,0.4138,0.3103,0.2759,0.2069,0.4138,0.3793,3086
2020,"Shin-Soo Choo","TEX",44,1.875,0.178571428,0.535714285,0.285714285,0.125,0.375,0,0,0.4138,0.2759,0.3103,0.1379,0.5517,0.3103,3174
2020,"Robinson Cano","NYM",70,1.6,0.29090909,0.436363636,0.272727272,0.133333333,0.4,0.083333333,0,0.4727,0.2909,0.2364,0.1273,0.3818,0.4909,3269
2020,"Matt Joyce","MIA",43,2,0.25,0.5,0.25,0,0.2,0.5,0,0.4,0.45,0.15,0.3,0.45,0.25,3353
2020,"Ryan Braun","MIL",45,1.222222222,0.354838709,0.354838709,0.29032258,0.111111111,0.111111111,0,1,0.4063,0.375,0.2188,0.1563,0.3438,0.5,3410
2020,"Anthony Rizzo","CHC",77,1.368421052,0.181818181,0.472727272,0.345454545,0.263157894,0.263157894,0,0,0.5455,0.2727,0.1818,0.2,0.3818,0.4182,3473
2020,"Eric Hosmer","SDP",63,1.105263157,0.166666666,0.4375,0.395833333,0.052631578,0.263157894,0.047619047,0,0.375,0.3958,0.2292,0.125,0.4792,0.3958,3516
2020,"Eric Thames","WSN",48,1.7,0.205882352,0.5,0.294117647,0.2,0.2,0,0,0.4118,0.3235,0.2647,0.2941,0.2353,0.4706,3711
2020,"Josh Reddick","HOU",54,0.785714285,0.285714285,0.314285714,0.4,0.071428571,0.071428571,0.09090909,0,0.4571,0.3429,0.2,0.0857,0.5143,0.4,3892
2020,"Dexter Fowler","STL",30,0.75,0.3,0.3,0.4,0,0.125,0.166666666,0,0.25,0.45,0.3,0.2,0.4,0.4,4062
2020,"Michael Brantley","HOU",32,1.125,0.260869565,0.391304347,0.347826086,0,0,0.111111111,0,0.3913,0.2609,0.3478,0.087,0.4348,0.4783,4106
2020,"Howie Kendrick","WSN",45,1.666666666,0.314285714,0.428571428,0.257142857,0.111111111,0.111111111,0.066666666,0,0.4,0.3143,0.2857,0.2286,0.3429,0.4286,4229
2020,"Joey Votto","CIN",52,0.882352941,0.135135135,0.405405405,0.459459459,0,0,0.133333333,0,0.4324,0.3243,0.2432,0.027,0.6757,0.2973,4314
2020,"Daniel Murphy","COL",50,0.933333333,0.171428571,0.4,0.428571428,0.133333333,0.066666666,0.071428571,0,0.3429,0.4286,0.2286,0.0571,0.5714,0.3714,4316
2020,"Starlin Castro","WSN",28,2.5,0.3,0.5,0.2,0,0.25,0,0,0.4,0.5,0.1,0.2,0.5,0.3,4579
2020,"Jarrod Dyson","2 Tms",26,1.428571428,0.19047619,0.476190476,0.333333333,0.142857142,0,0,0,0.4286,0.4762,0.0952,0.3333,0.2857,0.381,4866
2020,"Mike Moustakas","CIN",40,0.6,0.272727272,0.272727272,0.454545454,0.2,0,0,0,0.2727,0.5909,0.1364,0.1818,0.3636,0.4545,4892
2020,"Ender Inciarte","ATL",57,1.166666666,0.170212765,0.44680851,0.382978723,0.111111111,0.055555555,0.19047619,0,0.4894,0.234,0.2766,0.3191,0.4468,0.234,4922
2020,"Jason Heyward","CHC",57,0.857142857,0.297297297,0.324324324,0.378378378,0.142857142,0.285714285,0.083333333,0,0.5135,0.2432,0.2432,0.1081,0.4054,0.4865,4940
2020,"Giancarlo Stanton","NYY",38,1.142857142,0.318181818,0.363636363,0.318181818,0.428571428,0.428571428,0,0,0.5455,0.2727,0.1818,0.2273,0.3182,0.4545,4949
2020,"Asdrubal Cabrera","WSN",83,1.238095238,0.175438596,0.45614035,0.368421052,0.095238095,0.19047619,0.038461538,0,0.5439,0.2982,0.1579,0.1228,0.4211,0.4561,4962
2020,"Stephen Vogt","ARI",31,0.692307692,0.04347826,0.391304347,0.565217391,0.23076923,0.076923076,0,0,0.6087,0.2609,0.1304,0.1304,0.5652,0.3043,5000
2020,"Alex Gordon","KCR",67,0.789473684,0.260869565,0.326086956,0.413043478,0.052631578,0.105263157,0.066666666,1,0.383,0.4468,0.1702,0.1915,0.4894,0.3191,5209
2020,"Justin Upton","LAA",38,0.615384615,0.045454545,0.363636363,0.59090909,0.076923076,0.153846153,0,0,0.5,0.3636,0.1364,0.1364,0.5909,0.2727,5222
2020,"Justin Turner","LAD",76,0.64,0.211538461,0.307692307,0.48076923,0.04,0,0.0625,0,0.3077,0.3846,0.3077,0.1346,0.2692,0.5962,5235
