Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","TEX",50,1.333333333,0.243243243,0.432432432,0.324324324,0.333333333,0.083333333,0.0625,0,0.5135,0.2973,0.1892,0.2432,0.3243,0.4324,785
2020,"Albert Pujols","LAA",45,1.4,0.294117647,0.411764705,0.294117647,0.5,0.1,0,0,0.5588,0.2647,0.1765,0.2353,0.2059,0.5588,1177
2020,"Wilson Ramos","NYM",59,1.0625,0.232558139,0.395348837,0.372093023,0.1875,0.125,0.058823529,0,0.3256,0.4186,0.2558,0.2093,0.4419,0.3488,1433
2020,"Miguel Cabrera","DET",62,1.7,0.289473684,0.447368421,0.263157894,0.2,0.2,0,0,0.3947,0.3158,0.2895,0.1053,0.4474,0.4474,1744
2020,"David Peralta","ARI",66,1.466666666,0.229166666,0.458333333,0.3125,0,0,0.09090909,0,0.4167,0.3125,0.2708,0.1875,0.4583,0.3542,2136
2020,"Edwin Encarnacion","CHW",49,0.833333333,0.153846153,0.384615384,0.461538461,0.25,0.083333333,0.3,0,0.5,0.3846,0.1154,0.2308,0.4231,0.3462,2151
2020,"Carlos Santana","CLE",91,1,0.207547169,0.396226415,0.396226415,0.142857142,0.142857142,0.047619047,0,0.4717,0.3208,0.2075,0.1321,0.3774,0.4906,2396
2020,"Nelson Cruz","MIN",78,1.375,0.173913043,0.478260869,0.347826086,0.0625,0.5,0.09090909,0,0.4565,0.2826,0.2609,0.1522,0.3478,0.5,2434
2020,"Manny Pina","MIL",32,0.444444444,0.35,0.2,0.45,0,0,0,0,0.35,0.45,0.2,0.15,0.35,0.5,2829
2020,"Roberto Perez","CLE",25,2.5,0.176470588,0.588235294,0.235294117,0,0.25,0.1,0,0.4118,0.3529,0.2353,0.2941,0.4118,0.2941,2900
2020,"Tommy Pham","SDP",53,3,0.151515151,0.636363636,0.212121212,0,0.285714285,0.095238095,0,0.4242,0.3636,0.2121,0.1212,0.303,0.5758,2967
2020,"Mitch Moreland","2 Tms",39,1,0.083333333,0.458333333,0.458333333,0.181818181,0.272727272,0.09090909,0,0.4167,0.3333,0.25,0.2083,0.4167,0.375,3086
2020,"Shin-Soo Choo","TEX",40,2,0.192307692,0.538461538,0.269230769,0,0.428571428,0,0,0.4444,0.2593,0.2963,0.0741,0.5926,0.3333,3174
2020,"Robinson Cano","NYM",66,1.4,0.294117647,0.411764705,0.294117647,0.133333333,0.4,0.095238095,0,0.451,0.3137,0.2353,0.1373,0.3725,0.4902,3269
2020,"Matt Joyce","MIA",43,2,0.25,0.5,0.25,0,0.2,0.5,0,0.4,0.45,0.15,0.3,0.45,0.25,3353
2020,"Ryan Braun","MIL",45,1.222222222,0.354838709,0.354838709,0.29032258,0.111111111,0.111111111,0,1,0.4063,0.375,0.2188,0.1563,0.3438,0.5,3410
2020,"Anthony Rizzo","CHC",72,1.157894736,0.18,0.44,0.38,0.263157894,0.263157894,0,0,0.56,0.24,0.2,0.2,0.38,0.42,3473
2020,"Eric Hosmer","SDP",58,1.235294117,0.155555555,0.466666666,0.377777777,0,0.235294117,0.047619047,0,0.4,0.3778,0.2222,0.1111,0.5111,0.3778,3516
2020,"Eric Thames","WSN",48,1.7,0.205882352,0.5,0.294117647,0.2,0.2,0,0,0.4118,0.3235,0.2647,0.2941,0.2353,0.4706,3711
2020,"Josh Reddick","HOU",54,0.785714285,0.285714285,0.314285714,0.4,0.071428571,0.071428571,0.09090909,0,0.4571,0.3429,0.2,0.0857,0.5143,0.4,3892
2020,"Dexter Fowler","STL",30,0.75,0.3,0.3,0.4,0,0.125,0.166666666,0,0.25,0.45,0.3,0.2,0.45,0.35,4062
2020,"Michael Brantley","HOU",32,1.125,0.260869565,0.391304347,0.347826086,0,0,0.111111111,0,0.3913,0.2609,0.3478,0.087,0.4348,0.4783,4106
2020,"Howie Kendrick","WSN",41,1.625,0.34375,0.40625,0.25,0,0.125,0.076923076,0,0.4063,0.3125,0.2813,0.1875,0.3438,0.4688,4229
2020,"Joey Votto","CIN",52,0.882352941,0.135135135,0.405405405,0.459459459,0,0,0.133333333,0,0.4324,0.3243,0.2432,0.027,0.6757,0.2973,4314
2020,"Daniel Murphy","COL",50,0.933333333,0.171428571,0.4,0.428571428,0.133333333,0.066666666,0.071428571,0,0.3429,0.4286,0.2286,0.0571,0.5714,0.3714,4316
