Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Todd Frazier","2 Tms",21,80,71,18,10,5,1,2,11,4,6,0,20,3,0,0,1,0,1,0.253521126,785
2020,"Albert Pujols","LAA",15,59,55,13,7,4,0,2,7,12,3,1,10,1,0,0,2,0,0,0.236363636,1177
2020,"Wilson Ramos","NYM",15,48,41,5,4,1,0,0,0,2,6,0,10,1,0,0,1,0,0,0.121951219,1433
2020,"Miguel Cabrera","DET",20,81,72,20,16,1,0,3,6,13,9,0,9,0,0,0,1,0,0,0.277777777,1744
2020,"David Peralta","ARI",18,74,68,20,16,1,1,2,7,12,6,0,10,0,0,0,1,1,0,0.294117647,2136
2020,"Edwin Encarnacion","CHW",14,53,46,8,0,3,0,5,6,8,6,0,14,1,0,0,3,0,0,0.173913043,2151
2020,"Carlos Santana","CLE",18,75,58,12,10,1,0,1,8,6,15,0,11,1,1,0,1,0,0,0.206896551,2396
2020,"Nelson Cruz","MIN",20,79,70,24,16,3,0,5,12,12,8,3,20,1,0,0,3,0,0,0.342857142,2434
2020,"Roberto Perez","CLE",8,30,25,3,3,0,0,0,1,1,4,0,12,1,0,0,1,0,0,0.12,2900
2020,"Tommy Pham","SDP",10,42,36,4,4,0,0,0,3,2,6,0,8,0,0,0,1,4,0,0.111111111,2967
2020,"Mitch Moreland","BOS",12,44,38,13,6,2,0,5,7,11,5,1,10,1,0,0,0,0,0,0.342105263,3086
2020,"Robinson Chirinos","2 Tms",11,38,33,5,4,1,0,0,2,3,3,0,6,1,1,0,4,0,0,0.151515151,3142
2020,"Shin-Soo Choo","TEX",16,65,55,10,9,1,0,0,5,7,8,1,19,0,2,0,1,3,2,0.181818181,3174
2020,"Robinson Cano","NYM",12,41,41,11,8,2,0,1,2,2,0,0,2,0,0,0,3,0,0,0.268292682,3269
2020,"Matt Joyce","MIA",12,33,28,7,5,2,0,0,3,2,5,0,4,0,0,0,2,0,0,0.25,3353
2020,"Ryan Braun","MIL",8,26,25,2,0,1,0,1,1,3,0,0,5,1,0,0,0,0,0,0.08,3410
2020,"Anthony Rizzo","CHC",20,84,67,12,8,1,0,3,6,7,13,0,16,4,0,0,1,0,1,0.179104477,3473
2020,"Eric Hosmer","SDP",11,46,41,12,5,4,0,3,6,15,4,0,5,1,0,0,0,1,0,0.292682926,3516
2020,"Eric Thames","WSN",13,46,38,8,6,2,0,0,3,2,6,0,15,2,0,0,2,0,0,0.210526315,3711
2020,"Josh Reddick","HOU",22,83,73,18,10,5,1,2,8,13,8,0,12,0,1,0,2,0,0,0.246575342,3892
2020,"Dexter Fowler","STL",14,45,40,10,5,2,0,3,6,9,5,0,12,0,0,0,2,1,1,0.25,4062
2020,"Michael Brantley","HOU",16,66,60,22,10,9,0,3,14,18,6,0,9,0,0,0,1,1,0,0.366666666,4106
2020,"Howie Kendrick","WSN",13,47,42,12,8,3,0,1,5,6,4,2,9,0,1,0,2,0,0,0.285714285,4229
2020,"Joey Votto","CIN",19,79,65,23,14,3,0,6,15,12,14,1,9,0,0,0,2,0,0,0.353846153,4314
2020,"Daniel Murphy","COL",16,60,57,18,14,2,0,2,6,8,2,0,7,0,0,0,0,0,0,0.315789473,4316
2020,"Starlin Castro","WSN",10,35,34,10,6,2,1,1,4,3,1,0,7,0,0,0,0,0,0,0.294117647,4579
2020,"Jarrod Dyson","2 Tms",11,30,27,6,6,0,0,0,6,4,3,0,6,0,0,0,0,3,0,0.222222222,4866
2020,"Mike Moustakas","CIN",13,47,41,11,8,0,0,3,4,7,6,0,12,0,0,0,1,0,0,0.268292682,4892
2020,"Ender Inciarte","ATL",11,42,33,8,7,1,0,0,6,2,8,0,7,0,1,0,0,4,0,0.242424242,4922
2020,"Jason Heyward","CHC",17,57,48,13,10,1,1,1,6,6,8,0,6,1,0,0,1,0,0,0.270833333,4940
2020,"Asdrubal Cabrera","WSN",14,53,47,12,9,2,0,1,5,3,6,0,7,0,0,0,3,0,0,0.255319148,4962
2020,"Stephen Vogt","ARI",10,34,29,5,3,2,0,0,3,1,5,0,8,0,0,0,0,0,0,0.172413793,5000
2020,"Josh Donaldson","MIN",7,25,21,6,3,1,0,2,3,5,2,0,10,1,1,0,0,0,0,0.285714285,5038
2020,"Alex Gordon","KCR",16,61,53,11,6,3,0,2,7,5,6,0,15,2,0,0,0,0,0,0.207547169,5209
2020,"Justin Upton","LAA",16,64,56,14,8,3,0,3,7,11,6,0,17,1,1,0,1,0,2,0.25,5222
2020,"Cameron Maybin","2 Tms",10,36,34,12,7,4,0,1,4,2,2,0,8,0,0,0,3,0,0,0.352941176,5223
