Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Albert Pujols","LAA",20,0.714285714,0.2,0.333333333,0.466666666,0.571428571,0,0,0,0.4667,0.2667,0.2667,0.3333,0.3333,0.3333,1177
2020,"Wilson Ramos","NYM",21,1.166666666,0.1875,0.4375,0.375,0.166666666,0.166666666,0,0,0.375,0.4375,0.1875,0.25,0.375,0.375,1433
2020,"Miguel Cabrera","DET",20,1.166666666,0.277777777,0.388888888,0.333333333,0.166666666,0.166666666,0,0,0.3333,0.5,0.1667,0.1667,0.3889,0.4444,1744
2020,"Edwin Encarnacion","CHW",21,0.333333333,0.076923076,0.23076923,0.692307692,0.111111111,0.111111111,0,0,0.3846,0.4615,0.1538,0.2308,0.4615,0.3077,2151
2020,"Carlos Santana","CLE",28,0.636363636,0.1,0.35,0.55,0.272727272,0.09090909,0,0,0.3,0.25,0.45,0.25,0.2,0.55,2396
2020,"Nelson Cruz","MIN",23,1.333333333,0.416666666,0.333333333,0.25,0,0.666666666,0,0,0.1667,0.5833,0.25,0.1667,0.1667,0.6667,2434
2020,"Shin-Soo Choo","TEX",24,3,0.142857142,0.642857142,0.214285714,0.333333333,0,0,0,0.2857,0.3571,0.3571,0.2143,0.2857,0.5,3174
2020,"Robinson Cano","NYM",29,1.5,0.23076923,0.461538461,0.307692307,0.125,0.375,0,0,0.5385,0.1538,0.3077,0.0769,0.5,0.4231,3269
2020,"Anthony Rizzo","CHC",27,1,0.181818181,0.409090909,0.409090909,0.222222222,0.333333333,0,0,0.4545,0.3182,0.2273,0.1364,0.5,0.3636,3473
2020,"Eric Hosmer","SDP",31,1.75,0.083333333,0.583333333,0.333333333,0.125,0.25,0.071428571,0,0.25,0.4167,0.3333,0.25,0.2083,0.5417,3516
2020,"Dexter Fowler","STL",20,0.8,0.25,0.333333333,0.416666666,0,0.4,0,0,0.5833,0.25,0.1667,0.0833,0.4167,0.5,4062
2020,"Howie Kendrick","WSN",22,2,0.25,0.5,0.25,0.25,0.25,0,0,0.5,0.25,0.25,0.3125,0.3125,0.375,4229
2020,"Joey Votto","CIN",22,1.166666666,0.235294117,0.411764705,0.352941176,0,0.5,0,0,0.3529,0.4118,0.2353,0.1176,0.2353,0.6471,4314
2020,"Mike Moustakas","CIN",35,3.333333333,0.38095238,0.476190476,0.142857142,0.333333333,0,0.2,0,0.2381,0.5238,0.2381,0.1905,0.381,0.4286,4892
2020,"Jason Heyward","CHC",21,3,0.428571428,0.428571428,0.142857142,0,1.5,0.166666666,0,0.5714,0.2143,0.2143,0.0714,0.3571,0.5714,4940
2020,"Asdrubal Cabrera","WSN",28,1.333333333,0.263157894,0.421052631,0.315789473,0,0,0,0,0.4737,0.4211,0.1053,0.1053,0.3158,0.5789,4962
2020,"Alex Gordon","KCR",20,0.5,0.4,0.2,0.4,0,0.25,0,1,0.6364,0.2727,0.0909,0.2727,0.2727,0.4545,5209
2020,"Aaron Hicks","NYY",25,1.666666666,0.428571428,0.357142857,0.214285714,0,0.333333333,0.2,0,0.5714,0,0.4286,0.0714,0.6429,0.2857,5297
2020,"Brandon Crawford","SFG",23,0.571428571,0.3125,0.25,0.4375,0.142857142,0.285714285,0.25,0,0.625,0.3125,0.0625,0.125,0.4375,0.4375,5343
2020,"Freddie Freeman","ATL",30,1.166666666,0.35,0.35,0.3,0,0,0.142857142,0,0.3,0.4,0.3,0,0.55,0.45,5361
2020,"Ji-Man Choi","TBR",22,2,0.4,0.4,0.2,0.333333333,0.333333333,0,0,0.5333,0.4,0.0667,0.2,0.3333,0.4667,5452
2020,"Marwin Gonzalez","MIN",21,0.833333333,0.083333333,0.416666666,0.5,0,0,0,0,0.5833,0.3333,0.0833,0.1667,0.5,0.3333,5497
2020,"Avisail Garcia","MIL",20,1.25,0.1,0.5,0.4,0.25,0,0.2,0,0.4,0.3,0.3,0.1,0.6,0.3,5760
2020,"Wilmer Flores","SFG",26,0.75,0.222222222,0.333333333,0.444444444,0,0.125,0,0,0.4444,0.3889,0.1667,0.1111,0.2778,0.6111,5827
2020,"Nick Markakis","ATL",30,2.5,0.333333333,0.476190476,0.19047619,0,0,0,0,0.381,0.3333,0.2857,0.1429,0.4762,0.381,5930
2020,"Jean Segura","PHI",27,1.666666666,0.2,0.5,0.3,0.166666666,0.166666666,0.1,0,0.2857,0.3333,0.381,0.2381,0.1905,0.5714,5933
2020,"Didi Gregorius","PHI",27,1,0.1,0.45,0.45,0.111111111,0.111111111,0.111111111,0,0.4,0.4,0.2,0.3,0.45,0.25,6012
2020,"Eduardo Escobar","ARI",20,1.333333333,0.176470588,0.470588235,0.352941176,0.166666666,0.166666666,0,0,0.7059,0.2353,0.0588,0.2353,0.4706,0.2941,6153
2020,"Yadier Molina","STL",32,0.833333333,0.24137931,0.344827586,0.413793103,0,0.166666666,0,0,0.5,0.3667,0.1333,0.2,0.4,0.4,7007
2020,"Travis d'Arnaud","ATL",21,2.333333333,0.23076923,0.538461538,0.23076923,0,0,0,0,0.3077,0.3846,0.3077,0,0.3846,0.6154,7739
2020,"Charlie Blackmon","COL",24,2,0.142857142,0.571428571,0.285714285,0.25,0,0.125,0,0.7143,0.2143,0.0714,0.1429,0.3571,0.5,7859
2020,"Matt Carpenter","STL",29,0.555555555,0.222222222,0.277777777,0.5,0,0,0,0,0.3889,0.3889,0.2222,0,0.3889,0.6111,8090
