Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Wilson Ramos","NYM",22,1.333333333,0.176470588,0.470588235,0.352941176,0.166666666,0.166666666,0,0,0.3529,0.4706,0.1765,0.2353,0.4118,0.3529,1433
2020,"Miguel Cabrera","DET",27,1.142857142,0.318181818,0.363636363,0.318181818,0.142857142,0.142857142,0,0,0.2727,0.5,0.2273,0.1818,0.3636,0.4545,1744
2020,"Edwin Encarnacion","CHW",27,0.166666666,0.176470588,0.117647058,0.705882352,0.083333333,0.166666666,0,0,0.3529,0.4706,0.1765,0.2353,0.4118,0.3529,2151
2020,"Carlos Santana","CLE",26,0.636363636,0.1,0.35,0.55,0.272727272,0,0,0,0.25,0.3,0.45,0.3,0.25,0.45,2396
2020,"Nelson Cruz","MIN",30,2.666666666,0.388888888,0.444444444,0.166666666,0,0.666666666,0,0,0.2222,0.4444,0.3333,0.1111,0.3889,0.5,2434
2020,"Shin-Soo Choo","TEX",26,3.333333333,0.071428571,0.714285714,0.214285714,0.333333333,0.333333333,0,0,0.5,0.2857,0.2143,0.0714,0.5,0.4286,3174
2020,"Robinson Cano","NYM",27,2.8,0.208333333,0.583333333,0.208333333,0,0.6,0,0,0.5833,0.2083,0.2083,0.0417,0.5417,0.4167,3269
2020,"Anthony Rizzo","CHC",31,0.8,0.25,0.333333333,0.416666666,0.4,0.2,0,0,0.375,0.375,0.25,0.2083,0.5417,0.25,3473
2020,"Eric Hosmer","SDP",27,1.5,0.117647058,0.529411764,0.352941176,0.166666666,0.333333333,0,0,0.2941,0.5294,0.1765,0.1765,0.4706,0.3529,3516
2020,"Eric Thames","WSN",24,0.555555555,0.125,0.3125,0.5625,0.222222222,0.111111111,0,0,0.4375,0.375,0.1875,0.375,0.3125,0.3125,3711
2020,"Josh Reddick","HOU",23,1,0.2,0.4,0.4,0,0.166666666,0,0,0.6667,0.1333,0.2,0.1333,0.4,0.4667,3892
2020,"Michael Brantley","HOU",25,1.2,0.352941176,0.352941176,0.294117647,0,0.4,0,0,0.4706,0.2941,0.2353,0.1176,0.4118,0.4706,4106
2020,"Howie Kendrick","WSN",21,2.25,0.235294117,0.529411764,0.235294117,0.25,0,0,0,0.4118,0.3529,0.2353,0.4118,0.2941,0.2941,4229
2020,"Joey Votto","CIN",29,1,0.263157894,0.368421052,0.368421052,0,0.428571428,0,0,0.3684,0.3684,0.2632,0.1053,0.3158,0.5789,4314
2020,"Mike Moustakas","CIN",27,2.666666666,0.352941176,0.470588235,0.176470588,0.333333333,0.333333333,0.125,0,0.2941,0.2941,0.4118,0.1765,0.2941,0.5294,4892
2020,"Jason Heyward","CHC",25,1.5,0.375,0.375,0.25,0,0.5,0,0,0.4375,0.375,0.1875,0.0625,0.3125,0.625,4940
2020,"Asdrubal Cabrera","WSN",35,1.125,0.19047619,0.428571428,0.38095238,0,0,0,0,0.381,0.4762,0.1429,0.1905,0.3333,0.4762,4962
2020,"Alex Gordon","KCR",23,0.2,0.454545454,0.09090909,0.454545454,0,0.2,0,0,0.6364,0.3636,0,0.1818,0.3636,0.4545,5209
2020,"Aaron Hicks","NYY",30,1.333333333,0.222222222,0.444444444,0.333333333,0.166666666,0.166666666,0.125,0,0.5,0.1111,0.3889,0.1111,0.6111,0.2778,5297
2020,"Brandon Crawford","SFG",21,0.571428571,0.266666666,0.266666666,0.466666666,0,0.142857142,0.25,0,0.4667,0.4,0.1333,0.1333,0.5333,0.3333,5343
2020,"Freddie Freeman","ATL",33,1.333333333,0.363636363,0.363636363,0.272727272,0,0.166666666,0.125,0,0.2727,0.4091,0.3182,0,0.5,0.5,5361
2020,"Ji-Man Choi","TBR",22,2,0.357142857,0.428571428,0.214285714,0.333333333,0.333333333,0,0,0.6429,0.2857,0.0714,0.1429,0.4286,0.4286,5452
2020,"Marwin Gonzalez","MIN",27,0.875,0.117647058,0.411764705,0.470588235,0,0,0,0,0.4118,0.2941,0.2941,0.1765,0.5294,0.2941,5497
2020,"Wilmer Flores","SFG",21,0.8,0.25,0.333333333,0.416666666,0,0.2,0,0,0.5,0.25,0.25,0.1667,0.3333,0.5,5827
2020,"Nick Markakis","ATL",32,3,0.454545454,0.409090909,0.136363636,0,0,0.111111111,0,0.3636,0.2727,0.3636,0.0909,0.5,0.4091,5930
2020,"Jean Segura","PHI",31,1.714285714,0.208333333,0.5,0.291666666,0.142857142,0,0.083333333,0,0.3333,0.375,0.2917,0.2083,0.2917,0.5,5933
2020,"Didi Gregorius","PHI",32,1.4,0.111111111,0.518518518,0.37037037,0.1,0.1,0.142857142,0,0.3929,0.4286,0.1786,0.25,0.4286,0.3214,6012
2020,"Eduardo Escobar","ARI",21,1,0.222222222,0.388888888,0.388888888,0.142857142,0.142857142,0,0,0.5556,0.2222,0.2222,0.2778,0.3889,0.3333,6153
2020,"J.D. Martinez","BOS",22,0.333333333,0.2,0.2,0.6,0,0,0,0,0.2667,0.4667,0.2667,0.0667,0.4667,0.4667,6184
2020,"Yadier Molina","STL",27,1,0.333333333,0.333333333,0.333333333,0,0.125,0,0,0.52,0.32,0.16,0.16,0.52,0.32,7007
2020,"Travis d'Arnaud","ATL",20,2,0.25,0.5,0.25,0,0.333333333,0,0,0.3333,0.4167,0.25,0,0.5,0.5,7739
2020,"Charlie Blackmon","COL",23,3.5,0.25,0.583333333,0.166666666,0,0,0.142857142,0,0.6667,0.1667,0.1667,0.1667,0.4167,0.4167,7859
2020,"Matt Carpenter","STL",25,0.666666666,0.23076923,0.307692307,0.461538461,0,0.166666666,0,0,0.4615,0.3846,0.1538,0,0.3846,0.6154,8090
2020,"Donovan Solano","SFG",20,0.666666666,0.23076923,0.307692307,0.461538461,0,0,0,0,0.2308,0.4615,0.3077,0.0769,0.4615,0.4615,8623
2020,"Paul Goldschmidt","STL",25,0.777777777,0.157894736,0.368421052,0.47368421,0,0,0.285714285,0,0.3684,0.3158,0.3158,0.1579,0.5263,0.3158,9218
2020,"Starling Marte","2 Tms",20,6,0.125,0.75,0.125,0,0.5,0.083333333,0,0.5625,0.3125,0.125,0,0.6875,0.3125,9241
2020,"AJ Pollock","LAD",23,0.5,0.294117647,0.235294117,0.470588235,0,0.25,0,0,0.4706,0.2353,0.2941,0.0588,0.4706,0.4706,9256
2020,"Evan Longoria","SFG",24,2.75,0.166666666,0.611111111,0.222222222,0,0,0,0,0.3889,0.5,0.1111,0.1111,0.5,0.3889,9368
2020,"Christian Vazquez","BOS",20,2,0.25,0.5,0.25,0,0,0.166666666,0,0.5,0.3333,0.1667,0.25,0.5833,0.1667,9774
2020,"Jason Kipnis","CHC",22,0.8,0.181818181,0.363636363,0.454545454,0,0,0.25,0,0.2727,0.2727,0.4545,0.2727,0.5455,0.1818,9776
2020,"Nolan Arenado","COL",23,1,0.111111111,0.444444444,0.444444444,0.25,0,0,0,0.2778,0.2778,0.4444,0.2222,0.3889,0.3889,9777
2020,"Andrew McCutchen","PHI",28,0.7,0.227272727,0.318181818,0.454545454,0,0.2,0.142857142,0,0.4091,0.3182,0.2727,0.1364,0.3636,0.5,9847
2020,"DJ LeMahieu","NYY",37,1.6,0.161290322,0.516129032,0.322580645,0,0.2,0,0,0.2903,0.2903,0.4194,0.1935,0.5161,0.2903,9874
2020,"Brett Gardner","NYY",30,1.125,0.19047619,0.428571428,0.38095238,0,0,0.111111111,0,0.4286,0.4286,0.1429,0.2381,0.4286,0.3333,9927
2020,"Wil Myers","SDP",20,2.25,0.133333333,0.6,0.266666666,0,0.25,0.111111111,1,0.375,0.5,0.125,0.125,0.3125,0.5625,10047
2020,"Jonathan Villar","2 Tms",26,4.333333333,0.157894736,0.684210526,0.157894736,0.333333333,0,0.076923076,0,0.3158,0.3158,0.3684,0.3158,0.5789,0.1053,10071
2020,"Mike Trout","LAA",29,0.2,0.25,0.125,0.625,0,0.3,0.5,0,0.4375,0.4375,0.125,0.125,0.375,0.5,10155
2020,"Jose Iglesias","BAL",29,2.666666666,0.153846153,0.615384615,0.23076923,0.166666666,0,0.1875,0,0.3462,0.3462,0.3077,0.3846,0.3462,0.2692,10231
2020,"Randal Grichuk","TOR",35,0.75,0.125,0.375,0.5,0.25,0,0,0,0.5417,0.125,0.3333,0.2083,0.5,0.2917,10243
2020,"Marcell Ozuna","ATL",33,0.7,0.227272727,0.318181818,0.454545454,0.2,0.4,0.142857142,0,0.4091,0.3636,0.2273,0.1364,0.2273,0.6364,10324
2020,"Cesar Hernandez","CLE",27,4,0.166666666,0.666666666,0.166666666,0,0,0.083333333,0,0.4444,0.3889,0.1667,0,0.7222,0.2778,10556
2020,"Gio Urshela","NYY",24,0.285714285,0.470588235,0.117647058,0.411764705,0,0.142857142,0,0,0.2941,0.2353,0.4706,0.0588,0.5882,0.3529,10681
2020,"Corey Dickerson","MIA",21,0.666666666,0.0625,0.375,0.5625,0.111111111,0.222222222,0,0,0.3125,0.3125,0.375,0.0625,0.625,0.3125,10762
2020,"Jurickson Profar","SDP",22,1.142857142,0.210526315,0.421052631,0.368421052,0,0.285714285,0.25,0,0.5263,0.1053,0.3684,0.1579,0.4211,0.4211,10815
2020,"Andrelton Simmons","LAA",27,2,0.285714285,0.476190476,0.238095238,0.2,0,0,0,0.2857,0.5714,0.1429,0.0952,0.381,0.5238,10847
2020,"Adam Duvall","ATL",27,0.083333333,0.1875,0.0625,0.75,0,0.333333333,0,0,0.3125,0.375,0.3125,0.0625,0.3125,0.625,10950
2020,"Kevin Kiermaier","TBR",20,2.5,0.3,0.5,0.2,0,1.5,0,0,0.8,0.2,0,0.2,0.3,0.5,11038
2020,"Kole Calhoun","ARI",26,1.166666666,0.133333333,0.466666666,0.4,0.166666666,0,0,0,0.5333,0.3333,0.1333,0.2,0.5333,0.2667,11200
2020,"Adam Eaton","WSN",25,4.5,0.352941176,0.529411764,0.117647058,0,0,0,0,0.3889,0.3333,0.2778,0.1667,0.4444,0.3889,11205
2020,"Jonathan Schoop","DET",27,1.6,0.277777777,0.444444444,0.277777777,0.2,0.2,0.125,0,0.5,0.2222,0.2778,0.2778,0.5,0.2222,11265
2020,"Whit Merrifield","KCR",32,0.909090909,0.16,0.4,0.44,0.181818181,0.09090909,0,0,0.24,0.48,0.28,0.12,0.4,0.48,11281
2020,"Yasmani Grandal","CHW",23,1.333333333,0.363636363,0.363636363,0.272727272,0,0,0,0,0.2727,0.5455,0.1818,0.0909,0.7273,0.1818,11368
2020,"Gary Sanchez","NYY",20,0.375,0.083333333,0.25,0.666666666,0.25,0.25,0,0,0.6667,0.1667,0.1667,0.25,0.3333,0.4167,11442
2020,"Christian Yelich","MIL",27,0.833333333,0.153846153,0.384615384,0.461538461,0,0.333333333,0.2,0,0.4615,0.3077,0.2308,0.0769,0.3846,0.5385,11477
2020,"Manny Machado","SDP",27,1.375,0.208333333,0.458333333,0.333333333,0.25,0.125,0.181818181,0,0.5417,0.2083,0.25,0.1667,0.4167,0.4167,11493
2020,"Bryce Harper","PHI",27,0.166666666,0.3,0.1,0.6,0,0,0,0,0.1818,0.6364,0.1818,0,0.5455,0.4545,11579
2020,"Willson Contreras","CHC",30,4.666666666,0.260869565,0.608695652,0.130434782,0,0.333333333,0.071428571,0,0.4348,0.3043,0.2609,0.1304,0.5652,0.3043,11609
2020,"Nick Castellanos","CIN",29,1.6,0.1875,0.5,0.3125,0,0.2,0.125,0,0.1875,0.4375,0.375,0.125,0.5625,0.3125,11737
2020,"J.T. Realmuto","PHI",31,0.5,0.117647058,0.294117647,0.588235294,0.2,0,0,0,0.1765,0.4706,0.3529,0.3529,0.3529,0.2941,11739
2020,"Joe Panik","TOR",20,1.75,0.214285714,0.5,0.285714285,0.25,0,0,0,0.4286,0.3571,0.2143,0.1429,0.4286,0.4286,11936
2020,"Travis Shaw","TOR",25,0.875,0.0625,0.4375,0.5,0,0.125,0.142857142,0,0.4375,0.25,0.3125,0.125,0.5625,0.3125,11982
2020,"Jon Berti","MIA",24,1.6,0.133333333,0.533333333,0.333333333,0,0.2,0,0,0.2,0.4667,0.3333,0.1333,0.5333,0.3333,12037
2020,"Nick Ahmed","ARI",22,1,0.125,0.4375,0.4375,0.285714285,0.142857142,0,0,0.625,0.25,0.125,0.375,0.5,0.125,12147
2020,"Eddie Rosario","MIN",24,0.7,0.19047619,0.333333333,0.476190476,0.1,0.1,0,0,0.4762,0.2857,0.2381,0.1429,0.5238,0.3333,12155
