Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Miguel Cabrera","DET",6,24,24,8,7,1,0,0,3,2,0,0,7,0,0,0,1,0,0,0.333333333,1744
2020,"Edwin Encarnacion","CHW",5,23,18,2,1,0,0,1,4,2,3,0,6,1,1,0,0,0,0,0.111111111,2151
2020,"Carlos Santana","CLE",6,25,25,2,2,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0.08,2396
2020,"Nelson Cruz","MIN",7,28,23,8,7,1,0,0,3,0,4,1,8,1,0,0,3,0,0,0.347826086,2434
2020,"Shin-Soo Choo","TEX",6,25,22,6,4,0,0,2,3,2,2,0,7,1,0,0,0,2,1,0.272727272,3174
2020,"Robinson Cano","NYM",7,28,27,8,3,2,0,3,5,4,1,1,2,0,0,0,1,0,0,0.296296296,3269
2020,"Anthony Rizzo","CHC",6,28,24,4,3,1,0,0,3,2,3,1,2,1,0,0,0,1,0,0.166666666,3473
2020,"Eric Hosmer","SDP",6,27,24,7,4,1,0,2,4,9,2,0,7,1,0,0,1,1,0,0.291666666,3516
2020,"Josh Reddick","HOU",5,20,19,3,2,0,0,1,1,4,1,0,6,0,0,0,1,0,0,0.157894736,3892
2020,"Michael Brantley","HOU",6,25,22,9,5,2,0,2,6,10,3,0,4,0,0,0,1,0,0,0.409090909,4106
2020,"Howie Kendrick","WSN",5,21,20,3,2,1,0,0,0,2,1,0,2,0,0,0,2,0,0,0.15,4229
2020,"Joey Votto","CIN",7,28,24,8,5,1,0,2,7,3,4,0,7,0,0,0,0,0,0,0.333333333,4314
2020,"Mike Moustakas","CIN",7,24,21,4,2,1,0,1,1,1,3,0,7,0,0,0,1,0,0,0.19047619,4892
2020,"Jason Heyward","CHC",6,24,17,8,5,1,0,2,2,3,6,0,4,0,1,0,0,0,0,0.470588235,4940
2020,"Asdrubal Cabrera","WSN",8,35,32,4,3,0,1,0,2,2,1,0,11,0,2,0,0,0,0,0.125,4962
2020,"Alex Gordon","KCR",6,22,16,4,2,2,0,0,3,1,5,0,6,1,0,0,0,0,0,0.25,5209
2020,"Aaron Hicks","NYY",9,31,24,5,4,0,0,1,2,3,7,0,5,0,0,0,1,1,0,0.208333333,5297
2020,"Freddie Freeman","ATL",7,33,25,9,7,1,0,1,6,7,7,2,3,1,0,0,0,0,0,0.36,5361
2020,"Ji-Man Choi","TBR",5,21,18,6,3,2,0,1,3,3,3,0,5,0,0,0,0,0,0,0.333333333,5452
2020,"Marwin Gonzalez","MIN",7,24,20,2,2,0,0,0,1,2,4,0,4,0,0,0,0,0,0,0.1,5497
2020,"Wilmer Flores","SFG",5,20,16,7,4,3,0,0,4,0,4,0,3,0,0,0,0,0,0,0.4375,5827
2020,"Nick Markakis","ATL",7,32,28,6,4,2,0,0,3,4,4,0,7,0,0,0,0,0,0,0.214285714,5930
2020,"Jean Segura","PHI",7,31,26,7,5,2,0,0,4,4,5,1,2,0,0,0,3,1,0,0.269230769,5933
2020,"Didi Gregorius","PHI",7,29,27,7,4,1,1,1,6,5,1,0,3,0,0,1,0,0,0,0.259259259,6012
2020,"Eduardo Escobar","ARI",5,21,21,6,4,1,0,1,2,2,0,0,2,0,0,0,1,0,0,0.285714285,6153
2020,"J.D. Martinez","BOS",5,23,20,8,4,3,0,1,1,3,2,0,4,1,0,0,0,0,0,0.4,6184
2020,"Yadier Molina","STL",6,26,23,7,6,0,0,1,2,4,1,0,3,0,1,1,1,0,0,0.304347826,7007
2020,"Travis d'Arnaud","ATL",5,23,20,8,6,0,0,2,5,5,3,0,6,0,0,0,0,0,0,0.4,7739
2020,"Charlie Blackmon","COL",6,23,20,5,2,2,0,1,4,2,3,0,8,0,0,0,1,1,0,0.25,7859
2020,"Matt Carpenter","STL",6,23,17,2,1,0,0,1,5,2,6,1,8,0,0,0,0,0,0,0.117647058,8090
2020,"Donovan Solano","SFG",4,20,18,5,3,2,0,0,2,7,2,0,5,0,0,0,0,0,0,0.277777777,8623
2020,"Paul Goldschmidt","STL",7,27,20,6,3,3,0,0,6,1,6,0,3,1,0,0,1,1,0,0.3,9218
2020,"Starling Marte","2 Tms",5,21,21,4,3,0,0,1,2,1,0,0,4,0,0,0,0,0,0,0.19047619,9241
2020,"AJ Pollock","LAD",6,23,23,6,3,1,0,2,3,3,0,0,8,0,0,0,0,0,0,0.260869565,9256
2020,"Evan Longoria","SFG",5,23,23,6,5,0,0,1,3,4,0,0,4,0,0,0,1,0,0,0.260869565,9368
2020,"Christian Vazquez","BOS",5,22,17,6,6,0,0,0,4,0,5,0,4,0,0,0,1,1,0,0.352941176,9774
2020,"Nolan Arenado","COL",6,23,21,5,4,1,0,0,4,1,2,0,5,0,0,0,1,0,0,0.238095238,9777
2020,"Andrew McCutchen","PHI",7,29,27,6,2,2,0,2,4,6,2,0,6,0,0,0,0,0,0,0.222222222,9847
2020,"DJ LeMahieu","NYY",9,34,32,10,7,1,0,2,6,4,1,0,6,0,1,0,1,0,0,0.3125,9874
2020,"Jay Bruce","PHI",6,21,19,4,2,0,0,2,4,3,2,1,5,0,0,0,0,0,0,0.210526315,9892
2020,"Brett Gardner","NYY",7,26,22,4,3,1,0,0,4,3,4,0,3,0,0,0,0,0,0,0.181818181,9927
2020,"Wil Myers","SDP",5,20,20,4,2,1,0,1,3,1,0,0,5,0,0,0,0,0,0,0.2,10047
2020,"Jonathan Villar","2 Tms",8,28,27,6,6,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0.222222222,10071
2020,"Mike Trout","LAA",7,31,22,8,2,3,0,3,9,6,9,2,6,0,0,0,0,0,0,0.363636363,10155
2020,"Jose Iglesias","BAL",6,29,27,10,7,3,0,0,3,4,1,0,2,1,0,0,0,0,0,0.37037037,10231
2020,"Randal Grichuk","TOR",8,36,32,6,3,3,0,0,6,3,3,1,6,0,1,0,2,0,0,0.1875,10243
2020,"Marcell Ozuna","ATL",7,33,28,13,6,3,0,4,8,11,5,0,7,0,0,0,0,0,0,0.464285714,10324
2020,"Cesar Hernandez","CLE",6,27,26,8,5,3,0,0,2,2,1,0,9,0,0,0,1,0,0,0.307692307,10556
2020,"Gio Urshela","NYY",6,24,20,8,5,2,0,1,3,5,4,0,3,0,0,0,0,0,0,0.4,10681
2020,"Corey Dickerson","MIA",6,25,22,3,0,0,0,3,4,4,3,0,3,0,0,0,0,0,1,0.136363636,10762
2020,"Jurickson Profar","SDP",6,25,24,8,6,0,0,2,4,5,0,0,5,0,1,0,0,0,0,0.333333333,10815
2020,"Andrelton Simmons","LAA",6,26,25,11,9,2,0,0,2,5,0,0,2,1,0,0,0,0,0,0.44,10847
2020,"Adam Duvall","ATL",7,31,30,9,2,2,0,5,8,7,1,0,11,0,0,0,0,0,0,0.3,10950
2020,"Kole Calhoun","ARI",6,26,19,0,0,0,0,0,2,1,5,0,7,1,1,0,0,0,0,0,11200
2020,"Adam Eaton","WSN",5,20,18,3,0,2,1,0,0,1,0,0,5,1,0,1,0,0,0,0.166666666,11205
2020,"Jonathan Schoop","DET",6,24,21,7,5,0,1,1,4,3,2,0,6,1,0,0,1,0,0,0.333333333,11265
2020,"Whit Merrifield","KCR",7,31,30,3,2,0,0,1,1,2,1,0,3,0,0,0,0,1,0,0.1,11281
2020,"Yasmani Grandal","CHW",5,22,17,6,4,1,0,1,3,2,5,0,5,0,0,0,1,0,0,0.352941176,11368
