Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2020,"Todd Frazier","2 Tms",21,0.0952,0.0952,1,0.2778,0.381,0.3333,0.7143,0.0555,0.3125,2.775224755937804,0.11452477746700152,0.32841005779448007,109.46161476064555,785
2020,"David Peralta","ARI",23,0.1304,0.1739,0.75,0.2105,0.3043,0.2105,0.5148,0,0.25,1.4047828555125141,-1.5093171209078884,0.2448679856632067,47.092754437489155,2136
2020,"Carlos Santana","CLE",20,0.1,0.25,0.4,0.2778,0.35,0.4444,0.7944,0.1666,0.3333,2.9245493225614294,0.39054934306542716,0.34495238661766053,118.12335496008157,2396
2020,"Nelson Cruz","MIN",26,0.0769,0.1154,0.6667,0.4783,0.5385,1.0435,1.582,0.5652,0.4375,10.179475934953283,6.88527596160848,0.633264787197113,316.27064984414767,2434
2020,"Shin-Soo Choo","TEX",20,0,0.15,0,0.3158,0.35,0.5263,0.8763,0.2105,0.3333,3.404549395584586,0.8705494160885834,0.3731617510318756,137.51069049556847,3174
2020,"Robinson Cano","NYM",24,0.0417,0.1667,0.25,0.3043,0.3333,0.5652,0.8985,0.2609,0.3333,4.141481514715231,1.1006815393200287,0.37590541690588,133.05071604526816,3269
2020,"Ryan Braun","MIL",20,0.15,0.2,0.75,0.3529,0.45,0.5294,0.9794,0.1765,0.4167,4.271426507551195,1.7374265280551926,0.4241076856851578,164.6704504207364,3410
2020,"Anthony Rizzo","CHC",21,0.1429,0.0952,1.5,0.1875,0.381,0.1875,0.5685,0,0.2143,2.190224736667804,-0.47047524180299843,0.2956670494306655,80.41593493350864,3473
2020,"Eric Hosmer","SDP",29,0,0.2759,0,0.1786,0.2069,0.3214,0.5283,0.1428,0.2105,1.3283461985927356,-2.3459537716764673,0.22691687222184806,35.31717928025356,3516
2020,"Josh Reddick","HOU",23,0.1304,0.3043,0.4286,0.2,0.3043,0.35,0.6543,0.15,0.3077,2.304782916365144,-0.6093170600552584,0.2908615107121675,80.94853793160091,3892
2020,"Joey Votto","CIN",21,0.2381,0.1905,1.25,0.0625,0.2857,0.0625,0.3482,0,0.0833,0.6383474634417237,-2.0223525150290786,0.20880700009209768,23.437461565336054,4314
2020,"Asdrubal Cabrera","WSN",32,0.0313,0.0938,0.3333,0.3333,0.3438,0.8667,1.2105,0.5334,0.25,8.25531907518329,4.200919107989686,0.4763036947697401,198.90999939863713,4962
2020,"Justin Turner","LAD",29,0.1724,0.2414,0.7143,0.1818,0.3448,0.1818,0.5266,0,0.25,2.3340889120480433,-1.3402110582211602,0.2676803181911337,62.05719310988626,5235
2020,"Aaron Hicks","NYY",22,0.2727,0.1364,2,0.25,0.4545,0.4375,0.892,0.1875,0.25,4.262861813414092,1.4754618359684892,0.4008292284878818,156.5256055778031,5297
2020,"Freddie Freeman","ATL",23,0.2174,0.087,2.5,0.5,0.6087,0.6111,1.2198,0.1111,0.5625,6.951353069407481,4.037253092987078,0.5283194287963535,233.03129150623155,5361
2020,"Marwin Gonzalez","MIN",33,0.0303,0.2424,0.125,0.2581,0.2727,0.3226,0.5953,0.0645,0.3333,2.344143915155238,-1.8369560510131655,0.2565715186523669,57.38219408170053,5497
2020,"Matt Kemp","COL",21,0.0952,0.4286,0.2222,0.2632,0.3333,0.5263,0.8596,0.2631,0.4444,3.377297741365829,0.7165977628950272,0.362108656338283,124.00031415678082,5631
2020,"Avisail Garcia","MIL",27,0.2593,0.1481,1.75,0.35,0.5185,0.65,1.1685,0.3,0.4,7.08923546711757,3.668335494797966,0.4816935108258174,202.44561206463393,5760
2020,"Eduardo Escobar","ARI",30,0.0333,0.1,0.3333,0.1724,0.2,0.2759,0.4759,0.1035,0.16,0.8560945210471378,-2.9449054481968653,0.2066195825735728,22.002558963122095,6153
2020,"J.D. Martinez","BOS",26,0.0769,0.1923,0.4,0.3333,0.3846,0.5417,0.9263,0.2084,0.3889,4.62297521273398,1.3287752393891772,0.38207034826278685,143.6332660038331,6184
2020,"Matt Davidson","CIN",22,0.0909,0.2273,0.4,0.25,0.3182,0.6,0.9182,0.35,0.2308,3.8530576838328767,1.0656577063872743,0.37893469767137006,135.0378642766537,7226
2020,"Charlie Blackmon","COL",31,0.0645,0.1613,0.4,0.4483,0.4839,0.5517,1.0356,0.1034,0.5417,7.289278768419942,3.361578800201139,0.449456968615132,181.29907834953121,7859
