Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","2 Tms",21,2,0.25,0.5,0.25,0,0,0,0,0.5625,0.25,0.1875,0.125,0.5625,0.3125,785
2020,"David Peralta","ARI",23,2.25,0.1875,0.5625,0.25,0,0,0.1111,0,0.375,0.3125,0.3125,0.25,0.375,0.375,2136
2020,"Carlos Santana","CLE",20,1.2,0.1538,0.4615,0.3846,0,0.2,0,0,0.4615,0.3846,0.1538,0,0.4615,0.5385,2396
2020,"Nelson Cruz","MIN",26,1.6667,0.2,0.5,0.3,0,0.6667,0.1,0,0.4,0.35,0.25,0.1,0.4,0.5,2434
2020,"Shin-Soo Choo","TEX",20,5,0.2,0.6667,0.1333,0,0.5,0,1,0.3125,0.1875,0.5,0,0.375,0.625,3174
2020,"Robinson Cano","NYM",24,2,0.2105,0.5263,0.2632,0.4,0.2,0,0,0.4211,0.3158,0.2632,0.1053,0.4737,0.4211,3269
2020,"Ryan Braun","MIL",20,1.2,0.1538,0.4615,0.3846,0,0.2,0,0,0.3077,0.5385,0.1538,0.4615,0.3077,0.2308,3410
2020,"Anthony Rizzo","CHC",21,3.3333,0.0714,0.7143,0.2143,0.3333,0,0,0,0.6429,0.2857,0.0714,0.2143,0.5714,0.2143,3473
2020,"Eric Hosmer","SDP",29,2,0.1,0.6,0.3,0,0.1667,0.0833,0,0.3,0.5,0.2,0.2,0.4,0.4,3516
2020,"Josh Reddick","HOU",20,1.25,0.25,0.4167,0.3333,0.25,0,0.2,0,0.5833,0.25,0.1667,0.25,0.4167,0.3333,3892
2020,"Joey Votto","CIN",20,1.25,0.1818,0.4545,0.3636,0,0,0.2,0,0.3636,0.3636,0.2727,0.0909,0.5455,0.3636,4314
2020,"Asdrubal Cabrera","WSN",32,0.8462,0.1429,0.3929,0.4643,0,0.3077,0,0,0.3571,0.3571,0.2857,0.0714,0.3929,0.5357,4962
2020,"Justin Turner","LAD",29,0.5,0.25,0.25,0.5,0.125,0,0,0,0.375,0.4375,0.1875,0.125,0.25,0.625,5235
2020,"Aaron Hicks","NYY",22,1,0.2308,0.3846,0.3846,0.2,0.2,0,0,0.2308,0.3846,0.3846,0.2308,0.3846,0.3846,5297
2020,"Freddie Freeman","ATL",23,7,0.5,0.4375,0.0625,0,0,0,0,0.3125,0.3125,0.375,0.0625,0.3125,0.625,5361
2020,"Marwin Gonzalez","MIN",33,0.4,0.4167,0.1667,0.4167,0,0,0,0,0.2917,0.4583,0.25,0.25,0.4167,0.3333,5497
2020,"Matt Kemp","COL",21,1,0.4,0.3,0.3,0,0.3333,0,0,0.5,0.3,0.2,0,0.4,0.6,5631
2020,"Avisail Garcia","MIL",27,1.4,0.25,0.4375,0.3125,0,0.2,0,0,0.625,0.1875,0.1875,0.125,0.4375,0.4375,5760
2020,"Eduardo Escobar","ARI",30,0.6154,0.1923,0.3077,0.5,0.0769,0.0769,0,0,0.4231,0.3846,0.1923,0.1154,0.5,0.3846,6153
2020,"J.D. Martinez","BOS",24,1.4,0.3333,0.3889,0.2778,0,0.2,0.1429,0,0.5,0.3889,0.1111,0.1667,0.4444,0.3889,6184
2020,"Matt Davidson","CIN",22,0.5714,0.2667,0.2667,0.4667,0,0.2857,0,0,0.2,0.4667,0.3333,0.1333,0.3333,0.5333,7226
2020,"Charlie Blackmon","COL",31,2.5,0.4167,0.4167,0.1667,0.25,0,0.1,0,0.4583,0.3333,0.2083,0.25,0.5,0.25,7859
2020,"Jose Martinez","2 Tms",25,2.25,0.0714,0.6429,0.2857,0,0,0.1111,0,0.5,0.2857,0.2143,0.0714,0.6429,0.2857,7996
2020,"Starling Marte","2 Tms",30,3.2,0.087,0.6957,0.2174,0,0,0.1875,0.5,0.56,0.24,0.2,0.04,0.72,0.24,9241
2020,"AJ Pollock","LAD",27,1.8571,0.1667,0.5417,0.2917,0,0.2857,0.0769,0,0.625,0.2083,0.1667,0,0.375,0.625,9256
2020,"Christian Vazquez","BOS",23,1.125,0.0556,0.5,0.4444,0.25,0.25,0,0,0.5556,0.1667,0.2778,0.3333,0.2778,0.3889,9774
2020,"Nolan Arenado","COL",23,0.4167,0.1905,0.2381,0.5714,0,0,0,0,0.381,0.5714,0.0476,0.2381,0.2857,0.4762,9777
2020,"Kyle Seager","SEA",24,1.3333,0.2222,0.4444,0.3333,0.1667,0,0.125,0,0.4444,0.4444,0.1111,0.1667,0.3889,0.4444,9785
