Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Todd Frazier","2 Tms",11,24,21,6,5,1,0,0,1,2,2,0,3,1,0,0,0,1,0,0.28571429,785
2020,"Wilson Ramos","NYM",13,23,21,8,6,1,0,1,4,3,2,0,5,0,0,0,1,0,0,0.38095238,1433
2020,"David Peralta","ARI",13,26,22,6,5,0,0,1,2,3,3,0,4,0,1,0,0,0,0,0.27272727,2136
2020,"Carlos Santana","CLE",17,26,24,6,4,1,0,1,5,3,2,0,5,0,0,0,1,0,0,0.25,2396
2020,"Nelson Cruz","MIN",13,26,23,11,6,1,0,4,7,8,2,1,3,1,0,0,1,0,0,0.47826087,2434
2020,"Shin-Soo Choo","TEX",9,20,19,6,4,1,0,1,4,1,0,0,3,1,0,0,0,2,0,0.31578947,3174
2020,"Robinson Cano","NYM",18,30,27,9,4,3,0,2,4,6,3,0,5,0,0,0,1,0,0,0.33333333,3269
2020,"Ryan Braun","MIL",11,20,17,6,5,0,0,1,2,3,3,0,4,0,0,0,0,0,0,0.35294118,3410
2020,"Anthony Rizzo","CHC",13,22,17,4,4,0,0,0,5,3,3,0,2,2,0,0,2,0,0,0.23529412,3473
2020,"Eric Hosmer","SDP",14,29,28,5,3,1,0,1,4,4,0,0,8,1,0,0,0,1,0,0.17857143,3516
2020,"Josh Reddick","HOU",16,27,24,4,1,3,0,0,2,0,3,0,9,0,0,0,1,0,0,0.16666667,3892
2020,"Michael Brantley","HOU",11,23,22,3,1,2,0,0,2,0,1,0,4,0,0,0,1,0,0,0.13636364,4106
2020,"Joey Votto","CIN",14,24,19,1,1,0,0,0,2,0,5,0,7,0,0,0,1,0,0,0.05263158,4314
2020,"Asdrubal Cabrera","WSN",17,37,35,10,3,2,1,4,7,8,1,0,4,0,1,0,0,0,0,0.28571429,4962
2020,"Justin Upton","LAA",10,22,22,3,1,0,0,2,2,2,0,0,9,0,0,0,0,0,0,0.13636364,5222
2020,"Justin Turner","LAD",16,33,26,5,5,0,0,0,5,4,5,0,7,1,1,0,2,1,0,0.19230769,5235
2020,"Aaron Hicks","NYY",13,22,16,4,3,0,0,1,3,3,6,0,3,0,0,0,1,0,0,0.25,5297
2020,"Freddie Freeman","ATL",16,31,25,10,8,2,0,0,6,3,6,0,3,0,0,0,1,0,0,0.4,5361
2020,"Marwin Gonzalez","MIN",15,34,32,9,7,2,0,0,1,4,1,0,8,0,1,0,0,0,0,0.28125,5497
2020,"Matt Kemp","COL",11,21,19,5,2,2,0,1,3,4,2,0,9,0,0,0,1,0,0,0.26315789,5631
2020,"Avisail Garcia","MIL",13,27,20,7,3,3,0,1,5,6,7,1,4,0,0,0,0,0,0,0.35,5760
2020,"Wilmer Flores","SFG",12,22,21,5,4,0,0,1,2,1,1,0,8,0,0,0,0,0,0,0.23809524,5827
2020,"Jean Segura","PHI",11,21,20,8,6,2,0,0,2,6,1,1,3,0,0,0,1,0,0,0.4,5933
2020,"Didi Gregorius","PHI",13,21,19,4,3,0,1,0,1,1,0,0,3,1,1,0,0,0,1,0.21052632,6012
2020,"Eduardo Escobar","ARI",15,33,32,5,4,0,0,1,1,2,1,0,4,0,0,0,1,0,0,0.15625,6153
2020,"J.D. Martinez","BOS",12,28,25,8,5,2,0,1,4,5,2,1,6,0,1,0,1,0,0,0.32,6184
2020,"Matt Davidson","CIN",13,22,20,5,2,1,0,2,2,8,2,0,5,0,0,0,1,0,0,0.25,7226
2020,"Charlie Blackmon","COL",15,31,29,13,10,3,0,0,3,3,2,0,5,0,0,0,0,0,0,0.44827586,7859
2020,"Jose Martinez","2 Tms",13,25,21,1,1,0,0,0,2,0,4,0,7,0,0,0,0,0,0,0.04761905,7996
2020,"Josh Harrison","WSN",10,20,20,5,2,2,0,1,1,2,0,0,3,0,0,0,0,0,0,0.25,8202
2020,"Ehire Adrianza","MIN",13,20,17,3,1,2,0,0,2,1,3,0,3,0,0,0,1,0,0,0.17647059,8418
2020,"Donovan Solano","SFG",10,21,20,8,5,3,0,0,2,1,1,0,2,0,0,0,2,0,0,0.4,8623
2020,"Starling Marte","2 Tms",12,30,28,7,4,3,0,0,4,2,2,0,3,0,0,0,2,1,1,0.25,9241
2020,"AJ Pollock","LAD",15,32,31,13,6,3,0,4,8,9,1,1,2,0,0,0,1,1,0,0.41935484,9256
2020,"Christian Vazquez","BOS",15,31,29,8,5,1,0,2,4,8,2,0,7,0,0,0,2,0,1,0.27586207,9774
2020,"Nolan Arenado","COL",13,23,21,5,3,2,0,0,4,3,2,0,0,0,0,0,2,0,0,0.23809524,9777
2020,"Kyle Seager","SEA",15,28,26,4,3,1,0,0,0,2,1,0,7,0,1,0,0,1,0,0.15384615,9785
2020,"Andrew McCutchen","PHI",13,27,23,9,5,2,0,2,7,4,3,0,2,1,0,0,0,0,0,0.39130435,9847
2020,"DJ LeMahieu","NYY",10,20,19,5,4,1,0,0,3,2,1,0,1,0,0,0,1,0,0,0.26315789,9874
2020,"Darin Ruf","SFG",11,21,19,5,4,0,0,1,2,3,2,0,5,0,0,0,0,0,0,0.26315789,9929
2020,"Wil Myers","SDP",16,32,31,12,6,5,0,1,6,5,1,0,4,0,0,0,0,0,0,0.38709677,10047
2020,"Jonathan Villar","2 Tms",12,25,24,4,3,1,0,0,0,0,1,0,6,0,0,0,1,0,1,0.16666667,10071
2020,"Mike Trout","LAA",11,22,19,1,0,0,0,1,5,1,3,0,8,0,0,0,1,0,0,0.05263158,10155
2020,"Randal Grichuk","TOR",16,36,34,11,4,3,0,4,4,9,2,0,7,0,0,0,1,0,0,0.32352941,10243
