Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","2 Tms",64,1.125,0.24444444,0.4,0.35555556,0,0.125,0,0,0.53333333,0.31111111,0.15555556,0.11111111,0.6,0.28888889,785
2020,"Albert Pujols","LAA",66,1.29411765,0.27777778,0.40740741,0.31481481,0.35294118,0.11764706,0.04545455,0,0.55555556,0.27777778,0.16666667,0.2037037,0.46296296,0.33333333,1177
2020,"Wilson Ramos","NYM",46,1.6,0.21212121,0.48484848,0.3030303,0,0.1,0,0,0.3030303,0.42424242,0.27272727,0.21212121,0.51515152,0.27272727,1433
2020,"Miguel Cabrera","DET",41,1.125,0.4137931,0.31034483,0.27586207,0,0.25,0,0,0.55172414,0.20689655,0.24137931,0.06896552,0.55172414,0.37931034,1744
2020,"David Peralta","ARI",50,2.55555556,0.11111111,0.63888889,0.25,0,0.11111111,0.04347826,0,0.36111111,0.38888889,0.25,0.27777778,0.47222222,0.25,2136
2020,"Edwin Encarnacion","CHW",39,0.46153846,0.0952381,0.28571429,0.61904762,0.15384615,0.23076923,0,0,0.47619048,0.28571429,0.23809524,0.19047619,0.47619048,0.33333333,2151
2020,"Carlos Santana","CLE",65,0.9047619,0.18367347,0.3877551,0.42857143,0.04761905,0.14285714,0,0,0.42857143,0.32653061,0.24489796,0.18367347,0.46938776,0.34693878,2396
2020,"Nelson Cruz","MIN",51,1.8,0.28205128,0.46153846,0.25641026,0,0.6,0.05555556,0,0.30769231,0.46153846,0.23076923,0.1025641,0.51282051,0.38461538,2434
2020,"Manny Pina","MIL",22,0.28571429,0.4,0.13333333,0.46666667,0.14285714,0,0,0,0.4,0.26666667,0.33333333,0.13333333,0.46666667,0.4,2829
2020,"Roberto Perez","CLE",28,3,0.2,0.6,0.2,0,0,0.11111111,0,0.33333333,0.26666667,0.4,0.13333333,0.6,0.26666667,2900
2020,"Tommy Pham","SDP",33,1.5,0.09090909,0.54545455,0.36363636,0,0.25,0,0,0.36363636,0.45454545,0.18181818,0.09090909,0.40909091,0.5,2967
2020,"Mitch Moreland","2 Tms",25,1.4,0.2,0.46666667,0.33333333,0,0.2,0.14285714,0,0.3125,0.25,0.4375,0.1875,0.6875,0.125,3086
2020,"Robinson Chirinos","2 Tms",32,2,0.18181818,0.54545455,0.27272727,0.16666667,0.16666667,0.08333333,0,0.27272727,0.59090909,0.13636364,0.18181818,0.59090909,0.22727273,3142
2020,"Shin-Soo Choo","TEX",38,3.8,0.14285714,0.67857143,0.17857143,0,0.2,0,1,0.31034483,0.34482759,0.34482759,0.03448276,0.55172414,0.4137931,3174
2020,"Robinson Cano","NYM",57,2,0.11363636,0.59090909,0.29545455,0.23076923,0.30769231,0,1,0.46666667,0.28888889,0.24444444,0.2,0.44444444,0.35555556,3269
2020,"Ryan Braun","MIL",46,0.92857143,0.18181818,0.39393939,0.42424242,0,0.14285714,0,0,0.45454545,0.39393939,0.15151515,0.27272727,0.57575758,0.15151515,3410
2020,"Drew Butera","COL",23,1.14285714,0.0625,0.5,0.4375,0.42857143,0,0,0,0.6875,0.1875,0.125,0.25,0.375,0.375,3411
2020,"Anthony Rizzo","CHC",60,1.5,0.23076923,0.46153846,0.30769231,0.25,0.08333333,0,0,0.525,0.325,0.15,0.125,0.6,0.275,3473
2020,"Eric Hosmer","SDP",53,1.42857143,0.17073171,0.48780488,0.34146341,0,0.14285714,0.05,0,0.29268293,0.51219512,0.19512195,0.19512195,0.3902439,0.41463415,3516
2020,"Eric Thames","WSN",25,0.55555556,0.125,0.3125,0.5625,0.22222222,0.11111111,0,0,0.375,0.5,0.125,0.3125,0.3125,0.375,3711
2020,"Josh Reddick","HOU",70,1.33333333,0.28571429,0.40816327,0.30612245,0.26666667,0.06666667,0.05,0,0.51020408,0.28571429,0.20408163,0.2244898,0.42857143,0.34693878,3892
2020,"Michael Brantley","HOU",55,2,0.21428571,0.52380952,0.26190476,0,0.09090909,0,0,0.47619048,0.26190476,0.26190476,0.11904762,0.52380952,0.35714286,4106
2020,"Howie Kendrick","WSN",26,2.4,0.22727273,0.54545455,0.22727273,0,0.4,0.08333333,0,0.27272727,0.45454545,0.27272727,0.13636364,0.54545455,0.31818182,4229
2020,"Joey Votto","CIN",55,0.84615385,0.22580645,0.35483871,0.41935484,0,0.15384615,0.09090909,0,0.32258065,0.29032258,0.38709677,0.16129032,0.41935484,0.41935484,4314
2020,"Daniel Murphy","COL",35,2.28571429,0.14814815,0.59259259,0.25925926,0.14285714,0,0.0625,0,0.33333333,0.44444444,0.22222222,0.22222222,0.55555556,0.22222222,4316
2020,"Mike Moustakas","CIN",44,0.85714286,0.10344828,0.4137931,0.48275862,0,0.07142857,0,0,0.31034483,0.4137931,0.27586207,0.10344828,0.51724138,0.37931034,4892
2020,"Ender Inciarte","ATL",23,2.33333333,0.33333333,0.46666667,0.2,0,0.33333333,0.14285714,0,0.4,0.26666667,0.33333333,0.33333333,0.46666667,0.2,4922
2020,"Jason Heyward","CHC",42,0.84615385,0.11111111,0.40740741,0.48148148,0,0.07692308,0.09090909,0,0.59259259,0.2962963,0.11111111,0.11111111,0.44444444,0.44444444,4940
2020,"Giancarlo Stanton","NYY",21,1.66666667,0.11111111,0.55555556,0.33333333,0,0.33333333,0,0,0.77777778,0.11111111,0.11111111,0,0.44444444,0.55555556,4949
2020,"Asdrubal Cabrera","WSN",54,1.22222222,0.14893617,0.46808511,0.38297872,0.05555556,0.22222222,0,0,0.38297872,0.34042553,0.27659574,0.12765957,0.4893617,0.38297872,4962
2020,"Josh Donaldson","MIN",22,9,0,0.9,0.1,0,1,0.11111111,0,0.8,0.2,0,0.1,0.3,0.6,5038
2020,"Alex Gordon","KCR",30,2.2,0.30434783,0.47826087,0.2173913,0,0,0,0,0.34782609,0.43478261,0.2173913,0.26086957,0.65217391,0.08695652,5209
2020,"Justin Upton","LAA",68,0.85,0.11904762,0.4047619,0.47619048,0,0.3,0.05882353,0,0.54761905,0.30952381,0.14285714,0.02380952,0.47619048,0.5,5222
2020,"Cameron Maybin","2 Tms",21,2.5,0.125,0.625,0.25,0,0,0,0,0.3125,0.4375,0.25,0.0625,0.625,0.3125,5223
2020,"Justin Turner","LAD",56,0.82352941,0.13888889,0.38888889,0.47222222,0.05882353,0.11764706,0.21428571,0,0.47222222,0.38888889,0.13888889,0.13888889,0.30555556,0.55555556,5235
2020,"Robbie Grossman","OAK",24,3,0.14285714,0.64285714,0.21428571,0,0,0,0,0.57142857,0.21428571,0.21428571,0.14285714,0.57142857,0.28571429,5254
2020,"Aaron Hicks","NYY",51,1.06666667,0.13888889,0.44444444,0.41666667,0.06666667,0.13333333,0.0625,0,0.33333333,0.33333333,0.33333333,0.19444444,0.47222222,0.33333333,5297
2020,"Brandon Crawford","SFG",35,1.42857143,0.22727273,0.45454545,0.31818182,0.28571429,0,0.1,0,0.54545455,0.27272727,0.18181818,0.18181818,0.40909091,0.40909091,5343
2020,"Freddie Freeman","ATL",62,3,0.4,0.45,0.15,0,0.16666667,0,0,0.35,0.35,0.3,0.1,0.45,0.45,5361
2020,"Jose Altuve","HOU",53,2,0.3,0.46666667,0.23333333,0,0.14285714,0,0.25,0.41176471,0.5,0.08823529,0.11764706,0.52941176,0.35294118,5417
2020,"Austin Romine","DET",23,1.5,0.25,0.45,0.3,0.33333333,0.16666667,0.11111111,0,0.35,0.3,0.35,0.35,0.4,0.25,5491
2020,"Marwin Gonzalez","MIN",67,1,0.26530612,0.36734694,0.36734694,0,0,0,0,0.40816327,0.36734694,0.2244898,0.16326531,0.59183673,0.24489796,5497
2020,"Matt Kemp","COL",56,1.09090909,0.32352941,0.35294118,0.32352941,0.09090909,0.18181818,0.08333333,0,0.44117647,0.35294118,0.20588235,0.17647059,0.52941176,0.29411765,5631
2020,"Avisail Garcia","MIL",64,1.8,0.26315789,0.47368421,0.26315789,0,0.1,0,0,0.5,0.28947368,0.21052632,0.13157895,0.52631579,0.34210526,5760
2020,"Wilmer Flores","SFG",65,0.89473684,0.2,0.37777778,0.42222222,0.15789474,0.31578947,0.05882353,0,0.6,0.22222222,0.17777778,0.2,0.42222222,0.37777778,5827
2020,"Jean Segura","PHI",58,1.13333333,0.15789474,0.44736842,0.39473684,0.13333333,0.2,0,1,0.28205128,0.43589744,0.28205128,0.23076923,0.41025641,0.35897436,5933
2020,"Didi Gregorius","PHI",68,0.8,0.11764706,0.39215686,0.49019608,0.2,0.16,0.05,0,0.48076923,0.26923077,0.25,0.32692308,0.36538462,0.30769231,6012
2020,"Eduardo Escobar","ARI",64,0.64285714,0.13207547,0.33962264,0.52830189,0.07142857,0.03571429,0,0,0.39622642,0.37735849,0.22641509,0.09433962,0.60377358,0.30188679,6153
2020,"J.D. Martinez","BOS",63,1.125,0.19047619,0.42857143,0.38095238,0,0.125,0.11111111,0,0.4047619,0.42857143,0.16666667,0.11904762,0.52380952,0.35714286,6184
2020,"Freddy Galvis","CIN",36,0.72727273,0.26923077,0.30769231,0.42307692,0.09090909,0.18181818,0,0,0.42307692,0.30769231,0.26923077,0.19230769,0.46153846,0.34615385,6609
2020,"Martin Maldonado","HOU",53,0.8,0.37931034,0.27586207,0.34482759,0.1,0.2,0.125,0,0.46666667,0.33333333,0.2,0.2,0.63333333,0.16666667,6887
2020,"Yadier Molina","STL",29,1,0.2,0.4,0.4,0,0.25,0,0,0.35,0.5,0.15,0.15,0.55,0.3,7007
2020,"Matt Davidson","CIN",31,0.66666667,0.21052632,0.31578947,0.47368421,0.11111111,0.33333333,0,0,0.21052632,0.47368421,0.31578947,0.15789474,0.26315789,0.57894737,7226
2020,"Salvador Perez","KCR",35,1.2,0.18518519,0.44444444,0.37037037,0.1,0.3,0,0,0.55555556,0.33333333,0.11111111,0.18518519,0.48148148,0.33333333,7304
2020,"Travis d'Arnaud","ATL",37,2.6,0.25,0.54166667,0.20833333,0.2,0,0.07692308,0,0.41666667,0.29166667,0.29166667,0.125,0.45833333,0.41666667,7739
