Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2020,"Todd Frazier","2 Tms",30,0.0667,0.2333,0.2857,0.3571,0.4,0.7143,1.1143,0.3572,0.4211,7.321126932725445,3.5351267703623925,0.46063182353973386,183.50501010593604,785
2020,"Albert Pujols","LAA",33,0,0.2121,0,0.1818,0.1818,0.3636,0.5454,0.1818,0.2,1.4706954239797256,-2.693904754619632,0.22562246611624054,40.61296798569992,1177
2020,"Carlos Santana","CLE",24,0.0833,0.125,0.6667,0.2727,0.3333,0.5,0.8333,0.2273,0.2778,3.6817107010790084,0.6529105711885664,0.35385144998629886,114.61076619064761,2396
2020,"Nelson Cruz","MIN",24,0.1667,0.0417,4,0.45,0.5417,0.75,1.2917,0.3,0.4118,7.142545453126953,4.113745323236512,0.5237442336299203,236.89621413024057,2434
2020,"Anthony Rizzo","CHC",25,0.16,0.16,1,0.0952,0.24,0.0952,0.3352,0,0.1176,0.20231593939974077,-2.952684195902803,0.18265028476715087,7.111380115819697,3473
2020,"Josh Reddick","HOU",36,0.1111,0.1111,1,0.3438,0.4167,0.5625,0.9792,0.2187,0.3704,7.453499607593503,2.910299412757841,0.41704461971918744,172.93024070538252,3892
2020,"Justin Upton","LAA",30,0.1,0.3,0.3333,0.2593,0.3333,0.4074,0.7407,0.1481,0.3529,3.8436692992957653,0.05766913693271306,0.3240647812684377,107.6544477067098,5222
2020,"Jose Altuve","HOU",31,0.1613,0.2903,0.5556,0.1538,0.2903,0.1538,0.4441,0,0.2353,1.4135651177617272,-2.498635050013427,0.22683873868757679,43.39566305670827,5417
2020,"Marwin Gonzalez","MIN",25,0.12,0.16,0.75,0.1429,0.24,0.1429,0.3829,0,0.1667,0.3573159262460345,-2.7976842090565093,0.18995489358901976,9.57800003862641,5497
2020,"Matt Kemp","COL",21,0.1429,0.0476,3,0.3889,0.4762,0.4444,0.9206,0.0555,0.4118,3.984616932954388,1.3344168193002512,0.3966647684574127,119.15984236488882,5631
