Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","2 Tms",30,0.6667,0.2857,0.2857,0.4286,0,0.2222,0,0,0.4762,0.3333,0.1905,0.0476,0.619,0.3333,785
2020,"Albert Pujols","LAA",33,1.2222,0.2308,0.4231,0.3462,0.4444,0.1111,0,0,0.6538,0.1923,0.1538,0.2308,0.3077,0.4615,1177
2020,"Carlos Santana","CLE",27,0.5455,0.15,0.3,0.55,0.0909,0.0909,0,0,0.35,0.3,0.35,0.1,0.45,0.45,2396
2020,"Nelson Cruz","MIN",24,2,0.3684,0.4211,0.2105,0,0.5,0,0,0.2105,0.5789,0.2105,0.1053,0.5789,0.3158,2434
2020,"Anthony Rizzo","CHC",25,0.8333,0.3125,0.3125,0.375,0.3333,0,0,0,0.4706,0.2941,0.2353,0.1176,0.5294,0.3529,3473
2020,"Josh Reddick","HOU",36,1.25,0.3571,0.3571,0.2857,0.125,0.125,0,0,0.4643,0.3571,0.1786,0.1071,0.4643,0.4286,3892
2020,"Justin Upton","LAA",30,2,0.1667,0.5556,0.2778,0,0.2,0.1,0,0.5556,0.2778,0.1667,0,0.3889,0.6111,5222
2020,"Brandon Crawford","SFG",20,1.25,0.1818,0.4545,0.3636,0.5,0,0.2,0,0.3636,0.2727,0.3636,0.1818,0.2727,0.5455,5343
2020,"Jose Altuve","HOU",31,9,0.2857,0.6429,0.0714,0,0,0,0.3333,0.3529,0.5294,0.1176,0.1765,0.4118,0.4118,5417
2020,"Marwin Gonzalez","MIN",25,1.2857,0.1111,0.5,0.3889,0,0,0,0,0.3889,0.3333,0.2778,0.1111,0.5556,0.3333,5497
2020,"Matt Kemp","COL",21,1,0.2941,0.3529,0.3529,0,0,0.1667,0,0.2941,0.4706,0.2353,0.2353,0.4706,0.2941,5631
2020,"Wilmer Flores","SFG",33,0.4667,0.1852,0.2593,0.5556,0.0667,0.2667,0.1429,0,0.5556,0.2963,0.1481,0.1852,0.3333,0.4815,5827
2020,"Jean Segura","PHI",32,0.8889,0.1053,0.4211,0.4737,0.2222,0.3333,0,0,0.2105,0.5263,0.2632,0.2632,0.2632,0.4737,5933
2020,"Didi Gregorius","PHI",34,0.6,0.04,0.36,0.6,0.2667,0.2667,0.1111,0,0.5769,0.2308,0.1923,0.2692,0.3462,0.3846,6012
2020,"Eduardo Escobar","ARI",24,0.5,0,0.3333,0.6667,0.0833,0,0,0,0.3333,0.3889,0.2778,0.0556,0.5556,0.3889,6153
