Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","2 Tms",35,0.8182,0.2308,0.3462,0.4231,0.4545,0.0909,0.1111,0,0.4231,0.4231,0.1538,0.3462,0.4231,0.2308,785
2020,"Albert Pujols","LAA",44,0.9231,0.1935,0.3871,0.4194,0.3077,0.1538,0,0,0.5484,0.2258,0.2258,0.2258,0.4194,0.3548,1177
2020,"Wilson Ramos","NYM",52,1.2,0.1951,0.439,0.3659,0.2667,0.1333,0.0556,0,0.3659,0.4146,0.2195,0.1951,0.4634,0.3415,1433
2020,"Miguel Cabrera","DET",82,1.375,0.24,0.44,0.32,0.125,0.0625,0,0,0.3,0.4,0.3,0.16,0.48,0.36,1744
2020,"David Peralta","ARI",64,1.4286,0.2609,0.4348,0.3043,0.0714,0.0714,0.05,0,0.3913,0.3261,0.2826,0.1739,0.4565,0.3696,2136
2020,"Edwin Encarnacion","CHW",55,0.5333,0.2333,0.2667,0.5,0.2,0.0667,0.375,0,0.4667,0.4667,0.0667,0.1667,0.5333,0.3,2151
2020,"Carlos Santana","CLE",85,0.95,0.22,0.38,0.4,0.15,0.1,0.0526,0,0.46,0.3,0.24,0.2,0.32,0.48,2396
2020,"Nelson Cruz","MIN",69,1.5,0.1429,0.5143,0.3429,0.0833,0.5,0.0556,0,0.4571,0.2286,0.3143,0.1429,0.3429,0.5143,2434
2020,"Roberto Perez","CLE",24,1.75,0.1538,0.5385,0.3077,0,0.25,0,0,0.3846,0.3846,0.2308,0.3077,0.3846,0.3077,2900
2020,"Tommy Pham","SDP",40,4,0.1304,0.6957,0.1739,0,0.25,0.125,0,0.4348,0.4348,0.1304,0.1304,0.3043,0.5652,2967
2020,"Mitch Moreland","2 Tms",46,1,0.1333,0.4333,0.4333,0.1538,0.2308,0,0,0.4333,0.3,0.2667,0.1333,0.4667,0.4,3086
2020,"Shin-Soo Choo","TEX",41,0.8889,0.2609,0.3478,0.3913,0.1111,0.4444,0,0,0.5,0.2917,0.2083,0.125,0.5417,0.3333,3174
2020,"Robinson Cano","NYM",52,1.7,0.325,0.425,0.25,0,0.5,0.1176,0,0.45,0.3,0.25,0.15,0.425,0.425,3269
2020,"Matt Joyce","MIA",56,1.8571,0.2593,0.4815,0.2593,0.2857,0.2857,0.4615,0,0.4444,0.4074,0.1481,0.2963,0.5185,0.1852,3353
2020,"Ryan Braun","MIL",39,0.8889,0.3929,0.2857,0.3214,0.1111,0.1111,0,1,0.4483,0.3448,0.2069,0.069,0.4483,0.4828,3410
2020,"Anthony Rizzo","CHC",70,1.1667,0.22,0.42,0.36,0.2222,0.2778,0,0,0.48,0.26,0.26,0.18,0.46,0.36,3473
2020,"Eric Hosmer","SDP",52,1.2143,0.2051,0.4359,0.359,0.0714,0.2857,0,0,0.4359,0.359,0.2051,0.1026,0.5897,0.3077,3516
2020,"Eric Thames","WSN",47,1.0833,0.2424,0.3939,0.3636,0.1667,0.1667,0,0,0.4242,0.303,0.2727,0.2121,0.3636,0.4242,3711
