Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","2 Tms",86,0.666666666,0.196428571,0.321428571,0.482142857,0.296296296,0.037037037,0.055555555,0,0.375,0.4643,0.1607,0.2321,0.4464,0.3214,785
2020,"Albert Pujols","LAA",64,1.176470588,0.195652173,0.434782608,0.369565217,0.235294117,0.117647058,0,0,0.5435,0.2174,0.2391,0.1522,0.4348,0.413,1177
2020,"Wilson Ramos","NYM",82,1.705882352,0.163636363,0.527272727,0.309090909,0.235294117,0.117647058,0.034482758,0,0.3455,0.4545,0.2,0.1818,0.4,0.4182,1433
2020,"Miguel Cabrera","DET",128,1.913043478,0.247191011,0.494382022,0.258426966,0.173913043,0.173913043,0.045454545,0,0.3708,0.3708,0.2584,0.1461,0.4719,0.382,1744
2020,"David Peralta","ARI",124,1.413793103,0.247311827,0.440860215,0.311827956,0.068965517,0.103448275,0.048780487,0,0.4301,0.2796,0.2903,0.1505,0.4624,0.3871,2136
2020,"Edwin Encarnacion","CHW",86,0.826086956,0.176470588,0.372549019,0.450980392,0.217391304,0.217391304,0.157894736,0,0.549,0.3529,0.098,0.1961,0.451,0.3529,2151
2020,"Carlos Santana","CLE",134,1.137931034,0.215189873,0.417721518,0.367088607,0.137931034,0.068965517,0.03030303,0,0.481,0.2911,0.2278,0.1646,0.481,0.3544,2396
2020,"Nelson Cruz","MIN",111,1.578947368,0.183333333,0.5,0.316666666,0.105263157,0.368421052,0.066666666,0,0.3833,0.3167,0.3,0.1167,0.3667,0.5167,2434
2020,"Manny Pina","MIL",23,0.5,0.307692307,0.23076923,0.461538461,0,0.333333333,0,0,0.3077,0.6923,0,0.1538,0.2308,0.6154,2829
2020,"Roberto Perez","CLE",47,2.333333333,0.2,0.56,0.24,0.166666666,0.166666666,0.142857142,0,0.44,0.4,0.16,0.2,0.44,0.36,2900
2020,"Tommy Pham","SDP",73,3.666666666,0.106382978,0.702127659,0.191489361,0,0.111111111,0.121212121,0,0.5106,0.2979,0.1915,0.1702,0.3404,0.4894,2967
2020,"Mitch Moreland","2 Tms",84,0.958333333,0.129629629,0.425925925,0.444444444,0.125,0.333333333,0,0,0.463,0.3333,0.2037,0.0926,0.4074,0.5,3086
2020,"Robinson Chirinos","2 Tms",35,1.285714285,0.272727272,0.409090909,0.318181818,0.285714285,0,0,0,0.4545,0.2727,0.2727,0.2273,0.4545,0.3182,3142
2020,"Shin-Soo Choo","TEX",88,0.944444444,0.270833333,0.354166666,0.375,0.111111111,0.222222222,0,0,0.4082,0.3265,0.2653,0.1429,0.4898,0.3673,3174
2020,"Robinson Cano","NYM",83,1.47368421,0.328571428,0.4,0.271428571,0.052631578,0.263157894,0.107142857,0,0.4571,0.3286,0.2143,0.1714,0.3857,0.4429,3269
2020,"Matt Joyce","MIA",78,1.5,0.302325581,0.418604651,0.279069767,0.166666666,0.083333333,0.277777777,0,0.3953,0.4884,0.1163,0.2093,0.4651,0.3256,3353
2020,"Ryan Braun","MIL",50,1.181818181,0.333333333,0.361111111,0.305555555,0.181818181,0,0,1,0.4054,0.3784,0.2162,0.0811,0.4054,0.5135,3410
2020,"Jeff Mathis","TEX",27,0.833333333,0.266666666,0.333333333,0.4,0.333333333,0.166666666,0,0,0.5625,0.25,0.1875,0.2353,0.4118,0.3529,3448
2020,"Anthony Rizzo","CHC",128,0.911764705,0.252873563,0.356321839,0.390804597,0.176470588,0.264705882,0.064516129,0,0.4713,0.3333,0.1954,0.1724,0.3908,0.4368,3473
2020,"Eric Hosmer","SDP",85,1.318181818,0.203125,0.453125,0.34375,0.09090909,0.272727272,0,0,0.4219,0.3594,0.2188,0.125,0.4844,0.3906,3516
2020,"Eric Thames","WSN",91,1.411764705,0.254545454,0.436363636,0.309090909,0.117647058,0.117647058,0.083333333,0,0.3636,0.4,0.2364,0.1455,0.3636,0.4909,3711
2020,"Josh Reddick","HOU",98,0.857142857,0.212121212,0.363636363,0.424242424,0.178571428,0.071428571,0,0,0.4545,0.3485,0.197,0.1818,0.4848,0.3333,3892
2020,"Dexter Fowler","STL",64,0.875,0.23076923,0.358974358,0.41025641,0.0625,0.25,0.071428571,0,0.4615,0.359,0.1795,0.2051,0.4359,0.359,4062
2020,"Michael Brantley","HOU",89,1.041666666,0.222222222,0.396825396,0.38095238,0,0.083333333,0.04,0,0.4219,0.3281,0.25,0.0938,0.5156,0.3906,4106
2020,"Howie Kendrick","WSN",74,1.833333333,0.37037037,0.407407407,0.222222222,0.083333333,0,0.045454545,0,0.3519,0.4259,0.2222,0.1667,0.3148,0.5185,4229
2020,"Joey Votto","CIN",106,1.148148148,0.226666666,0.413333333,0.36,0,0.148148148,0.032258064,0,0.5467,0.2933,0.16,0.08,0.56,0.36,4314
2020,"Daniel Murphy","COL",84,0.785714285,0.242424242,0.333333333,0.424242424,0.142857142,0.107142857,0,0,0.3333,0.3485,0.3182,0.0909,0.6061,0.303,4316
2020,"Starlin Castro","WSN",46,0.705882352,0.147058823,0.352941176,0.5,0.058823529,0.117647058,0,0,0.2353,0.4412,0.3235,0.2353,0.5588,0.2059,4579
2020,"Jarrod Dyson","2 Tms",50,1.636363636,0.216216216,0.486486486,0.297297297,0.09090909,0,0.055555555,1,0.4474,0.3421,0.2105,0.2895,0.4474,0.2632,4866
2020,"Mike Moustakas","CIN",71,1,0.318181818,0.34090909,0.34090909,0.2,0.2,0.133333333,0,0.3409,0.4773,0.1818,0.2045,0.3864,0.4091,4892
2020,"Ender Inciarte","ATL",83,1.523809523,0.171875,0.5,0.328125,0.095238095,0,0.1875,0,0.4462,0.3231,0.2308,0.2615,0.5692,0.1692,4922
2020,"Jason Heyward","CHC",92,1.923076923,0.37704918,0.409836065,0.213114754,0.153846153,0.384615384,0.04,0,0.4754,0.3934,0.1311,0.1311,0.3934,0.4754,4940
2020,"Giancarlo Stanton","NYY",45,1.5,0.23076923,0.461538461,0.307692307,0.375,0.25,0,0,0.5769,0.2692,0.1538,0.3077,0.2308,0.4615,4949
2020,"Asdrubal Cabrera","WSN",117,1.681818181,0.202702702,0.5,0.297297297,0.181818181,0.045454545,0.027027027,0,0.5135,0.3378,0.1486,0.2027,0.3919,0.4054,4962
2020,"Stephen Vogt","ARI",63,0.652173913,0.095238095,0.357142857,0.547619047,0.130434782,0.04347826,0,0,0.619,0.2143,0.1667,0.1667,0.5,0.3333,5000
2020,"Josh Donaldson","MIN",30,1.8,0.176470588,0.529411764,0.294117647,0,0.2,0.111111111,0,0.4118,0.2941,0.2941,0.1176,0.6471,0.2353,5038
2020,"Alex Gordon","KCR",111,0.896551724,0.236111111,0.361111111,0.402777777,0.068965517,0.137931034,0.038461538,0.5,0.3919,0.4865,0.1216,0.2027,0.4459,0.3514,5209
