Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Todd Frazier","2 Tms",19,52,45,8,6,1,1,0,5,0,4,0,14,3,0,0,1,0,0,0.177777777,785
2020,"Albert Pujols","LAA",13,31,27,7,5,1,0,1,3,7,3,1,4,1,0,0,1,0,0,0.259259259,1177
2020,"Wilson Ramos","NYM",13,32,29,3,3,0,0,0,0,2,2,0,9,1,0,0,1,0,0,0.103448275,1433
2020,"Miguel Cabrera","DET",20,62,57,16,13,0,0,3,6,11,5,0,8,0,0,0,1,0,0,0.280701754,1744
2020,"David Peralta","ARI",17,60,54,16,12,1,1,2,7,9,6,0,7,0,0,0,1,1,0,0.296296296,2136
2020,"Edwin Encarnacion","CHW",12,35,33,6,0,2,0,4,5,7,2,0,10,0,0,0,3,0,0,0.181818181,2151
2020,"Carlos Santana","CLE",18,54,39,8,8,0,0,0,6,3,13,0,8,1,1,0,1,0,0,0.205128205,2396
2020,"Nelson Cruz","MIN",18,55,50,15,9,3,0,3,9,9,4,1,19,1,0,0,1,0,0,0.3,2434
2020,"Roberto Perez","CLE",8,21,16,2,2,0,0,0,1,1,4,0,7,1,0,0,0,0,0,0.125,2900
2020,"Tommy Pham","SDP",10,33,29,4,4,0,0,0,1,2,4,0,5,0,0,0,1,2,0,0.137931034,2967
2020,"Mitch Moreland","BOS",12,37,32,11,4,2,0,5,7,10,5,1,8,0,0,0,0,0,0,0.34375,3086
2020,"Robinson Chirinos","2 Tms",10,23,21,2,2,0,0,0,1,2,1,0,6,0,1,0,0,0,0,0.095238095,3142
2020,"Shin-Soo Choo","TEX",16,47,38,8,7,1,0,0,4,4,7,1,15,0,2,0,1,3,2,0.210526315,3174
2020,"Robinson Cano","NYM",12,29,29,9,8,1,0,0,1,1,0,0,2,0,0,0,3,0,0,0.310344827,3269
2020,"Matt Joyce","MIA",11,26,21,6,4,2,0,0,3,1,5,0,3,0,0,0,2,0,0,0.285714285,3353
2020,"Anthony Rizzo","CHC",19,62,49,10,6,1,0,3,6,7,9,0,13,4,0,0,0,0,1,0.204081632,3473
2020,"Eric Hosmer","SDP",11,33,30,9,4,3,0,2,5,10,2,0,5,1,0,0,0,1,0,0.3,3516
2020,"Eric Thames","WSN",13,40,32,6,4,2,0,0,3,2,6,0,12,2,0,0,2,0,0,0.1875,3711
2020,"Josh Reddick","HOU",20,48,42,7,4,1,1,1,4,3,4,0,9,0,1,0,2,0,0,0.166666666,3892
2020,"Dexter Fowler","STL",13,39,34,9,4,2,0,3,6,9,5,0,11,0,0,0,1,1,1,0.264705882,4062
2020,"Michael Brantley","HOU",15,48,43,17,8,7,0,2,10,14,5,0,7,0,0,0,0,1,0,0.395348837,4106
2020,"Howie Kendrick","WSN",12,40,36,9,6,3,0,0,3,5,3,2,9,0,1,0,1,0,0,0.25,4229
2020,"Joey Votto","CIN",19,60,48,17,10,3,0,4,11,10,12,1,6,0,0,0,1,0,0,0.354166666,4314
2020,"Daniel Murphy","COL",16,42,39,14,11,1,0,2,4,7,2,0,3,0,0,0,0,0,0,0.358974358,4316
2020,"Starlin Castro","WSN",9,28,27,6,4,1,0,1,3,2,1,0,6,0,0,0,0,0,0,0.222222222,4579
2020,"Jarrod Dyson","2 Tms",11,28,25,5,5,0,0,0,6,2,3,0,6,0,0,0,0,3,0,0.2,4866
2020,"Mike Moustakas","CIN",13,34,30,8,5,0,0,3,3,5,4,0,8,0,0,0,1,0,0,0.266666666,4892
2020,"Ender Inciarte","ATL",10,36,29,7,6,1,0,0,5,2,6,0,6,0,1,0,0,4,0,0.24137931,4922
2020,"Jason Heyward","CHC",15,42,35,11,8,1,1,1,6,4,6,0,5,1,0,0,1,0,0,0.314285714,4940
2020,"Asdrubal Cabrera","WSN",14,45,39,7,5,1,0,1,3,2,6,0,6,0,0,0,2,0,0,0.179487179,4962
2020,"Stephen Vogt","ARI",10,31,26,4,2,2,0,0,3,1,5,0,7,0,0,0,0,0,0,0.153846153,5000
2020,"Alex Gordon","KCR",16,51,43,10,5,3,0,2,6,5,6,0,14,2,0,0,0,0,0,0.232558139,5209
2020,"Justin Upton","LAA",14,38,32,7,3,2,0,2,5,7,4,0,8,1,1,0,1,0,1,0.21875,5222
2020,"Cameron Maybin","2 Tms",9,28,26,8,5,2,0,1,3,1,2,0,8,0,0,0,2,0,0,0.307692307,5223
2020,"Justin Turner","LAD",15,46,40,16,10,4,0,2,8,11,4,0,6,2,0,0,0,0,0,0.4,5235
2020,"Robbie Grossman","OAK",14,54,45,13,5,6,0,2,4,7,5,1,10,4,0,0,0,2,1,0.288888888,5254
2020,"Aaron Hicks","NYY",18,56,43,8,3,2,1,2,9,5,13,1,11,0,0,0,0,0,0,0.186046511,5297
2020,"Brandon Crawford","SFG",15,40,34,8,5,1,0,2,8,4,4,0,10,2,0,0,0,0,1,0.235294117,5343
2020,"Freddie Freeman","ATL",17,64,52,21,9,7,0,5,15,18,12,3,8,0,0,0,0,0,0,0.403846153,5361
2020,"Pablo Sandoval","SFG",10,25,24,3,3,0,0,0,0,1,1,0,6,0,0,0,1,0,0,0.125,5409
2020,"Jose Altuve","HOU",20,56,52,11,9,1,0,1,9,4,4,0,13,0,0,0,0,1,0,0.211538461,5417
2020,"Ji-Man Choi","TBR",18,51,40,9,3,6,0,0,5,5,8,2,13,0,3,0,0,0,0,0.225,5452
2020,"Austin Romine","DET",13,35,34,8,6,2,0,0,4,6,1,0,11,0,0,0,1,0,0,0.235294117,5491
2020,"Marwin Gonzalez","MIN",16,37,32,4,3,0,0,1,1,2,5,0,9,0,0,0,0,0,0,0.125,5497
2020,"Matt Kemp","COL",14,36,33,7,4,0,0,3,6,8,3,0,9,0,0,0,2,0,0,0.212121212,5631
2020,"Avisail Garcia","MIL",14,39,36,7,6,0,0,1,1,3,2,0,11,1,0,0,2,0,1,0.194444444,5760
2020,"Wilmer Flores","SFG",17,47,43,13,12,1,0,0,5,3,4,0,6,0,0,0,2,0,0,0.302325581,5827
2020,"Leury Garcia","CHW",8,27,24,4,1,1,0,2,3,4,3,0,8,0,0,0,0,0,0,0.166666666,5913
2020,"Nick Markakis","ATL",8,25,22,5,1,3,0,1,3,3,2,0,4,1,0,0,0,0,0,0.227272727,5930
2020,"Jean Segura","PHI",20,59,51,11,8,1,1,1,8,5,7,0,7,0,0,1,2,0,0,0.215686274,5933
2020,"Didi Gregorius","PHI",21,60,55,17,13,3,0,1,9,6,4,1,7,1,0,0,0,2,0,0.309090909,6012
2020,"Eduardo Escobar","ARI",16,58,47,12,6,2,1,3,10,9,8,3,7,2,1,0,1,1,0,0.255319148,6153
2020,"J.D. Martinez","BOS",20,66,58,17,9,6,0,2,7,10,7,0,13,1,0,0,2,0,0,0.293103448,6184
2020,"Freddy Galvis","CIN",15,42,38,11,7,1,0,3,7,7,3,0,8,1,0,0,2,0,0,0.289473684,6609
2020,"Martin Maldonado","HOU",17,35,27,6,4,1,0,1,9,3,7,0,13,0,0,1,1,0,0,0.222222222,6887
2020,"Yadier Molina","STL",15,50,48,17,15,1,0,1,4,8,1,0,4,1,0,0,4,0,0,0.354166666,7007
2020,"Salvador Perez","KCR",8,27,25,12,8,3,0,1,2,4,1,0,4,0,1,0,0,0,0,0.48,7304
2020,"Travis d'Arnaud","ATL",13,43,38,15,8,3,0,4,5,14,5,0,9,0,0,0,2,1,0,0.394736842,7739
2020,"Charlie Blackmon","COL",19,59,55,16,10,4,1,1,11,12,3,1,15,0,1,0,0,0,0,0.29090909,7859
2020,"Eric Sogard","MIL",14,44,39,7,5,1,0,1,3,4,4,0,5,0,1,0,0,0,0,0.179487179,7927
2020,"Jose Martinez","TBR",10,27,21,6,5,0,0,1,4,5,6,1,6,0,0,0,2,0,0,0.285714285,7996
2020,"Matt Carpenter","STL",14,46,33,4,3,1,0,0,6,2,10,0,11,3,0,0,0,0,0,0.121212121,8090
2020,"Kurt Suzuki","WSN",9,25,24,7,6,1,0,0,3,2,0,0,3,0,1,0,2,0,0,0.291666666,8259
2020,"Donovan Solano","SFG",16,45,41,14,9,3,0,2,5,14,3,0,9,0,1,0,0,0,0,0.341463414,8623
