Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Dylan Bundy (15351378),Dylan Bundy,15351378,P,9800,LAA@COL 09/13/2020 03:10PM ET,LAA,24.53
SP,Mike Clevinger (15351379),Mike Clevinger,15351379,P,9700,SF@SD 09/13/2020 04:10PM ET,SD,15.12
SP,Zac Gallen (15351380),Zac Gallen,15351380,P,9400,SEA@ARI 09/13/2020 04:10PM ET,ARI,18.82
RP,Cam Bedrosian (15351381),Cam Bedrosian,15351381,P,9000,LAA@COL 09/13/2020 03:10PM ET,LAA,3.55
SP,Dinelson Lamet (15351382),Dinelson Lamet,15351382,P,8800,SF@SD 09/13/2020 04:10PM ET,SD,22.73
SP,Merrill Kelly (15351384),Merrill Kelly,15351384,P,8700,SEA@ARI 09/13/2020 04:10PM ET,ARI,20.66
SP,Zach Davies (15351383),Zach Davies,15351383,P,8600,SF@SD 09/13/2020 04:10PM ET,SD,21.01
SP,Johnny Cueto (15351191),Johnny Cueto,15351191,P,8400,SF@SD 09/13/2020 04:10PM ET,SF,13.48
SP,Chris Paddack (15351385),Chris Paddack,15351385,P,8300,SF@SD 09/13/2020 04:10PM ET,SD,13.78
SP,Andrew Heaney (15351192),Andrew Heaney,15351192,P,8000,LAA@COL 09/13/2020 03:10PM ET,LAA,16.16
SP,Garrett Richards (15351193),Garrett Richards,15351193,P,7800,SF@SD 09/13/2020 04:10PM ET,SD,11.37
SP,Justus Sheffield (15351387),Justus Sheffield,15351387,P,7700,SEA@ARI 09/13/2020 04:10PM ET,SEA,15.04
SP,Logan Webb (15351386),Logan Webb,15351386,P,7600,SF@SD 09/13/2020 04:10PM ET,SF,10.09
SP,Drew Smyly (15351388),Drew Smyly,15351388,P,7500,SF@SD 09/13/2020 04:10PM ET,SF,12.34
RP,Justin Dunn (15351194),Justin Dunn,15351194,P,7500,SEA@ARI 09/13/2020 04:10PM ET,SEA,11.49
SP,Taylor Widener (15351389),Taylor Widener,15351389,P,7500,SEA@ARI 09/13/2020 04:10PM ET,ARI,4.82
SP,German Marquez (15351391),German Marquez,15351391,P,7400,LAA@COL 09/13/2020 03:10PM ET,COL,15.29
SP,Julio Teheran (15351392),Julio Teheran,15351392,P,7400,LAA@COL 09/13/2020 03:10PM ET,LAA,2.73
SP,Andrew Suarez (15351390),Andrew Suarez,15351390,P,7400,SF@SD 09/13/2020 04:10PM ET,SF,1.47
SP,Griffin Canning (15351394),Griffin Canning,15351394,P,7300,LAA@COL 09/13/2020 03:10PM ET,LAA,10.69
RP,Sam Coonrod (15351393),Sam Coonrod,15351393,P,7300,SF@SD 09/13/2020 04:10PM ET,SF,0.96
SP,Antonio Senzatela (15351397),Antonio Senzatela,15351397,P,7200,LAA@COL 09/13/2020 03:10PM ET,COL,12.66
RP,Conner Menez (15351395),Conner Menez,15351395,P,7200,SF@SD 09/13/2020 04:10PM ET,SF,4.61
SP,Madison Bumgarner (15351396),Madison Bumgarner,15351396,P,7200,SEA@ARI 09/13/2020 04:10PM ET,ARI,3.71
SP,Luke Weaver (15351195),Luke Weaver,15351195,P,7100,SEA@ARI 09/13/2020 04:10PM ET,ARI,8.14
SP,Alex Young (15351398),Alex Young,15351398,P,7100,SEA@ARI 09/13/2020 04:10PM ET,ARI,7
SP,Erik Swanson (15351399),Erik Swanson,15351399,P,7100,SEA@ARI 09/13/2020 04:10PM ET,SEA,0.33
RP,Rico Garcia (15351400),Rico Garcia,15351400,P,6900,SF@SD 09/13/2020 04:10PM ET,SF,0.7
SP,Nick Margevicius (15351401),Nick Margevicius,15351401,P,6900,SEA@ARI 09/13/2020 04:10PM ET,SEA,8.93
SP,Ryan Castellani (15351196),Ryan Castellani,15351196,P,6700,LAA@COL 09/13/2020 03:10PM ET,COL,6.76
SP,Kyle Freeland (15351403),Kyle Freeland,15351403,P,6700,LAA@COL 09/13/2020 03:10PM ET,COL,12.04
SP,Tyler Anderson (15351402),Tyler Anderson,15351402,P,6700,SF@SD 09/13/2020 04:10PM ET,SF,8.96
SP,Trevor Cahill (15351404),Trevor Cahill,15351404,P,6600,SF@SD 09/13/2020 04:10PM ET,SF,9.57
RP,Trey Wingenter (15351405),Trey Wingenter,15351405,P,6600,SF@SD 09/13/2020 04:10PM ET,SD,0
SP,Marco Gonzales (15351406),Marco Gonzales,15351406,P,6600,SEA@ARI 09/13/2020 04:10PM ET,SEA,20.86
SP,Jeff Hoffman (15351410),Jeff Hoffman,15351410,P,6500,LAA@COL 09/13/2020 03:10PM ET,COL,2.09
SP,Peter Lambert (15351411),Peter Lambert,15351411,P,6500,LAA@COL 09/13/2020 03:10PM ET,COL,0
RP,Matt Strahm (15351407),Matt Strahm,15351407,P,6500,SF@SD 09/13/2020 04:10PM ET,SD,2.75
SP,Joey Lucchesi (15351408),Joey Lucchesi,15351408,P,6500,SF@SD 09/13/2020 04:10PM ET,SD,1.8
SP,Drew Pomeranz (15351409),Drew Pomeranz,15351409,P,6500,SF@SD 09/13/2020 04:10PM ET,SD,4.46
SP,Patrick Sandoval (15351413),Patrick Sandoval,15351413,P,6400,LAA@COL 09/13/2020 03:10PM ET,LAA,5.2
SP,Jeff Samardzija (15351412),Jeff Samardzija,15351412,P,6400,SF@SD 09/13/2020 04:10PM ET,SF,-1.22
SP,Jon Gray (15351415),Jon Gray,15351415,P,6300,LAA@COL 09/13/2020 03:10PM ET,COL,5.87
SP,Jaime Barria (15351416),Jaime Barria,15351416,P,6300,LAA@COL 09/13/2020 03:10PM ET,LAA,11.44
SP,Tyler Beede (15351414),Tyler Beede,15351414,P,6300,SF@SD 09/13/2020 04:10PM ET,SF,0
RP,Felix Pena (15351419),Felix Pena,15351419,P,6200,LAA@COL 09/13/2020 03:10PM ET,LAA,3.80
SP,Adrian Morejon (15351417),Adrian Morejon,15351417,P,6200,SF@SD 09/13/2020 04:10PM ET,SD,9.36
SP,Yusei Kikuchi (15351418),Yusei Kikuchi,15351418,P,6200,SEA@ARI 09/13/2020 04:10PM ET,SEA,14.12
SP,Kevin Gausman (15351420),Kevin Gausman,15351420,P,6100,SF@SD 09/13/2020 04:10PM ET,SF,18.58
SP,J.B. Bukauskas (15351421),J.B. Bukauskas,15351421,P,6100,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
SP,Ljay Newsome (15351422),Ljay Newsome,15351422,P,6100,SEA@ARI 09/13/2020 04:10PM ET,SEA,7.32
SP,Corbin Martin (15351423),Corbin Martin,15351423,P,6000,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
SP,Caleb Smith (15351424),Caleb Smith,15351424,P,5900,SEA@ARI 09/13/2020 04:10PM ET,ARI,8.05
SP,Chi Chi Gonzalez (15351425),Chi Chi Gonzalez,15351425,P,5800,LAA@COL 09/13/2020 03:10PM ET,COL,2.75
RP,Matt Andriese (15351426),Matt Andriese,15351426,P,5800,LAA@COL 09/13/2020 03:10PM ET,LAA,6.19
OF,Mike Trout (15351197),Mike Trout,15351197,OF,5700,LAA@COL 09/13/2020 03:10PM ET,LAA,11.76
SS,Trevor Story (15351198),Trevor Story,15351198,SS,5700,LAA@COL 09/13/2020 03:10PM ET,COL,11.27
RP,Bo Takahashi (15351427),Bo Takahashi,15351427,P,5700,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
3B,Nolan Arenado (15351199),Nolan Arenado,15351199,3B,5600,LAA@COL 09/13/2020 03:10PM ET,COL,7.56
SS,Fernando Tatis Jr. (15351200),Fernando Tatis Jr.,15351200,SS,5600,SF@SD 09/13/2020 04:10PM ET,SD,12.39
OF,Charlie Blackmon (15351201),Charlie Blackmon,15351201,OF,5500,LAA@COL 09/13/2020 03:10PM ET,COL,9.02
3B,Manny Machado (15351202),Manny Machado,15351202,3B,5500,SF@SD 09/13/2020 04:10PM ET,SD,10.70
SP,Jose Suarez (15351429),Jose Suarez,15351429,P,5400,LAA@COL 09/13/2020 03:10PM ET,LAA,-10.18
SP,Luis Perdomo (15351428),Luis Perdomo,15351428,P,5400,SF@SD 09/13/2020 04:10PM ET,SD,3.71
OF,Mike Yastrzemski (15351203),Mike Yastrzemski,15351203,OF,5300,SF@SD 09/13/2020 04:10PM ET,SF,10.04
SP,Kendall Graveman (15351430),Kendall Graveman,15351430,P,5300,SEA@ARI 09/13/2020 04:10PM ET,SEA,4.13
RP,Taylor Clarke (15351431),Taylor Clarke,15351431,P,5300,SEA@ARI 09/13/2020 04:10PM ET,ARI,9.3
3B,Anthony Rendon (15351204),Anthony Rendon,15351204,3B,5100,LAA@COL 09/13/2020 03:10PM ET,LAA,9.07
RP,Jon Duplantier (15351432),Jon Duplantier,15351432,P,5100,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
2B/SS,David Fletcher (15351288),David Fletcher,15351288,2B/SS,5000,LAA@COL 09/13/2020 03:10PM ET,LAA,8.06
OF,Kyle Lewis (15351205),Kyle Lewis,15351205,OF,5000,SEA@ARI 09/13/2020 04:10PM ET,SEA,8.70
SP,Dillon Peters (15351433),Dillon Peters,15351433,P,4900,LAA@COL 09/13/2020 03:10PM ET,LAA,-0.05
1B,Eric Hosmer (15351290),Eric Hosmer,15351290,1B,4900,SF@SD 09/13/2020 04:10PM ET,SD,9.97
OF,Trent Grisham (15351206),Trent Grisham,15351206,OF,4800,SF@SD 09/13/2020 04:10PM ET,SD,8.78
SP,Shaun Anderson (15351434),Shaun Anderson,15351434,P,4800,SF@SD 09/13/2020 04:10PM ET,SF,1.68
3B,Kyle Seager (15351207),Kyle Seager,15351207,3B,4700,SEA@ARI 09/13/2020 04:10PM ET,SEA,8.49
1B/OF,Shohei Ohtani (15351208),Shohei Ohtani,15351208,1B/OF,4600,LAA@COL 09/13/2020 03:10PM ET,LAA,5.31
RP,Ty Buttrey (15351436),Ty Buttrey,15351436,P,4600,LAA@COL 09/13/2020 03:10PM ET,LAA,1.83
RP,Silvino Bracho (15351435),Silvino Bracho,15351435,P,4600,SEA@ARI 09/13/2020 04:10PM ET,ARI,0
SS,Andrelton Simmons (15351211),Andrelton Simmons,15351211,SS,4500,LAA@COL 09/13/2020 03:10PM ET,LAA,6.73
RP,Justin Anderson (15351438),Justin Anderson,15351438,P,4500,LAA@COL 09/13/2020 03:10PM ET,LAA,0
C,Austin Nola (15351210),Austin Nola,15351210,C,4500,SF@SD 09/13/2020 04:10PM ET,SD,8.22
RP,Yoan Lopez (15351437),Yoan Lopez,15351437,P,4500,SEA@ARI 09/13/2020 04:10PM ET,ARI,2.06
RP,Taylor Cole (15351440),Taylor Cole,15351440,P,4400,LAA@COL 09/13/2020 03:10PM ET,LAA,0
OF,Alex Dickerson (15351212),Alex Dickerson,15351212,OF,4400,SF@SD 09/13/2020 04:10PM ET,SF,7
2B,Donovan Solano (15351213),Donovan Solano,15351213,2B,4400,SF@SD 09/13/2020 04:10PM ET,SF,8.12
RP,Gerson Bautista (15351439),Gerson Bautista,15351439,P,4400,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
