Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Clayton Kershaw (15414854),Clayton Kershaw,15414854,P,10400,LAD@SD 09/16/2020 04:10PM ET,LAD,23.21
SP,Walker Buehler (15414855),Walker Buehler,15414855,P,10200,LAD@SD 09/16/2020 04:10PM ET,LAD,14.44
SP,Mike Clevinger (15414856),Mike Clevinger,15414856,P,9700,LAD@SD 09/16/2020 04:10PM ET,SD,18.24
SP,Zach Davies (15414857),Zach Davies,15414857,P,9600,LAD@SD 09/16/2020 04:10PM ET,SD,20.12
SP,Jack Flaherty (15414858),Jack Flaherty,15414858,P,9400,STL@MIL 09/16/2020 05:10PM ET,STL,12
SP,Dustin May (15414662),Dustin May,15414662,P,9200,LAD@SD 09/16/2020 04:10PM ET,LAD,10.99
SP,Julio Urias (15414859),Julio Urias,15414859,P,9200,LAD@SD 09/16/2020 04:10PM ET,LAD,13.1
SP,Alex Reyes (15414860),Alex Reyes,15414860,P,9200,STL@MIL 09/16/2020 05:10PM ET,STL,4.82
SP,Dinelson Lamet (15414861),Dinelson Lamet,15414861,P,9100,LAD@SD 09/16/2020 04:10PM ET,SD,24.13
SP,Tony Gonsolin (15414862),Tony Gonsolin,15414862,P,8700,LAD@SD 09/16/2020 04:10PM ET,LAD,16.41
SP,Brandon Woodruff (15414663),Brandon Woodruff,15414663,P,8700,STL@MIL 09/16/2020 05:10PM ET,MIL,18.46
SP,Adam Wainwright (15414664),Adam Wainwright,15414664,P,8400,STL@MIL 09/16/2020 05:10PM ET,STL,19.05
SP,Jesus Luzardo (15414868),Jesus Luzardo,15414868,P,8300,OAK@COL 09/16/2020 03:10PM ET,OAK,13.63
SP,Chris Paddack (15414863),Chris Paddack,15414863,P,8300,LAD@SD 09/16/2020 04:10PM ET,SD,13.78
RP,Dakota Hudson (15414864),Dakota Hudson,15414864,P,8300,STL@MIL 09/16/2020 05:10PM ET,STL,15.86
RP,Adrian Houser (15414865),Adrian Houser,15414865,P,8300,STL@MIL 09/16/2020 05:10PM ET,MIL,9.18
SP,Brent Suter (15414866),Brent Suter,15414866,P,8300,STL@MIL 09/16/2020 05:10PM ET,MIL,6.63
RP,Austin Gomber (15414867),Austin Gomber,15414867,P,8300,STL@MIL 09/16/2020 05:10PM ET,STL,5.62
SP,Chris Bassitt (15414870),Chris Bassitt,15414870,P,8200,OAK@COL 09/16/2020 03:10PM ET,OAK,15.62
SP,Mike Minor (15414871),Mike Minor,15414871,P,8200,OAK@COL 09/16/2020 03:10PM ET,OAK,11.6
SP,Freddy Peralta (15414869),Freddy Peralta,15414869,P,8200,STL@MIL 09/16/2020 05:10PM ET,MIL,8.50
SP,Sean Manaea (15414872),Sean Manaea,15414872,P,8100,OAK@COL 09/16/2020 03:10PM ET,OAK,12.26
SP,Frankie Montas (15414874),Frankie Montas,15414874,P,8000,OAK@COL 09/16/2020 03:10PM ET,OAK,11.17
RP,Corbin Burnes (15414873),Corbin Burnes,15414873,P,8000,STL@MIL 09/16/2020 05:10PM ET,MIL,21.99
RP,Ryan Helsley (15414875),Ryan Helsley,15414875,P,7900,STL@MIL 09/16/2020 05:10PM ET,STL,1.04
SP,Carlos Martinez (15414876),Carlos Martinez,15414876,P,7900,STL@MIL 09/16/2020 05:10PM ET,STL,3.7
SP,Garrett Richards (15414877),Garrett Richards,15414877,P,7800,LAD@SD 09/16/2020 04:10PM ET,SD,11.30
SP,Jimmy Nelson (15414878),Jimmy Nelson,15414878,P,7700,LAD@SD 09/16/2020 04:10PM ET,LAD,0
SP,Trey Supak (15414879),Trey Supak,15414879,P,7700,STL@MIL 09/16/2020 05:10PM ET,MIL,0
SP,Alex Wood (15414880),Alex Wood,15414880,P,7600,LAD@SD 09/16/2020 04:10PM ET,LAD,3.86
SP,Daniel Mengden (15414883),Daniel Mengden,15414883,P,7400,OAK@COL 09/16/2020 03:10PM ET,OAK,6.14
RP,Josh Lindblom (15414881),Josh Lindblom,15414881,P,7400,STL@MIL 09/16/2020 05:10PM ET,MIL,10.90
SP,Miles Mikolas (15414882),Miles Mikolas,15414882,P,7400,STL@MIL 09/16/2020 05:10PM ET,STL,0
