Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Clayton Kershaw (15405476),Clayton Kershaw,15405476,P,10400,LAD@SD 09/15/2020 09:10PM ET,LAD,23.21
SP,Walker Buehler (15405620),Walker Buehler,15405620,P,10200,LAD@SD 09/15/2020 09:10PM ET,LAD,14.44
SP,Dylan Bundy (15405581),Dylan Bundy,15405581,P,9800,ARI@LAA 09/15/2020 09:40PM ET,LAA,24.53
SP,Mike Clevinger (15405585),Mike Clevinger,15405585,P,9700,LAD@SD 09/15/2020 09:10PM ET,SD,18.24
SP,Zach Davies (15405593),Zach Davies,15405593,P,9600,LAD@SD 09/15/2020 09:10PM ET,SD,21.01
SP,Zac Gallen (15405703),Zac Gallen,15405703,P,9400,ARI@LAA 09/15/2020 09:40PM ET,ARI,18.82
SP,Julio Urias (15405634),Julio Urias,15405634,P,9200,LAD@SD 09/15/2020 09:10PM ET,LAD,13.1
SP,Dinelson Lamet (15405701),Dinelson Lamet,15405701,P,9100,LAD@SD 09/15/2020 09:10PM ET,SD,24.13
RP,Cam Bedrosian (15405551),Cam Bedrosian,15405551,P,9000,ARI@LAA 09/15/2020 09:40PM ET,LAA,3.55
SP,Dustin May (15405753),Dustin May,15405753,P,8800,LAD@SD 09/15/2020 09:10PM ET,LAD,10.99
SP,Merrill Kelly (15405567),Merrill Kelly,15405567,P,8700,ARI@LAA 09/15/2020 09:40PM ET,ARI,20.66
SP,Tony Gonsolin (15405756),Tony Gonsolin,15405756,P,8700,LAD@SD 09/15/2020 09:10PM ET,LAD,15.92
SP,Johnny Cueto (15405473),Johnny Cueto,15405473,P,8400,SF@SEA 09/15/2020 09:40PM ET,SF,12.33
SP,Chris Paddack (15405726),Chris Paddack,15405726,P,8300,LAD@SD 09/15/2020 09:10PM ET,SD,13.78
SP,Andrew Heaney (15405525),Andrew Heaney,15405525,P,8000,ARI@LAA 09/15/2020 09:40PM ET,LAA,17.04
SP,Garrett Richards (15405511),Garrett Richards,15405511,P,7800,LAD@SD 09/15/2020 09:10PM ET,SD,11.30
SP,Jimmy Nelson (15405552),Jimmy Nelson,15405552,P,7700,LAD@SD 09/15/2020 09:10PM ET,LAD,0
SP,Justus Sheffield (15405684),Justus Sheffield,15405684,P,7700,SF@SEA 09/15/2020 09:40PM ET,SEA,15.04
SP,Alex Wood (15405599),Alex Wood,15405599,P,7600,LAD@SD 09/15/2020 09:10PM ET,LAD,3.86
SP,Logan Webb (15405685),Logan Webb,15405685,P,7600,SF@SEA 09/15/2020 09:40PM ET,SF,10.48
SP,Taylor Widener (15405757),Taylor Widener,15405757,P,7500,ARI@LAA 09/15/2020 09:40PM ET,ARI,4.82
SP,Drew Smyly (15405553),Drew Smyly,15405553,P,7500,SF@SEA 09/15/2020 09:40PM ET,SF,12.34
RP,Justin Dunn (15405665),Justin Dunn,15405665,P,7500,SF@SEA 09/15/2020 09:40PM ET,SEA,11.17
SP,Andrew Suarez (15405587),Andrew Suarez,15405587,P,7400,SF@SEA 09/15/2020 09:40PM ET,SF,1.47
SP,Griffin Canning (15405697),Griffin Canning,15405697,P,7300,ARI@LAA 09/15/2020 09:40PM ET,LAA,10.69
SP,Tyler Anderson (15405571),Tyler Anderson,15405571,P,7300,SF@SEA 09/15/2020 09:40PM ET,SF,8.96
RP,Sam Coonrod (15405681),Sam Coonrod,15405681,P,7300,SF@SEA 09/15/2020 09:40PM ET,SF,0.96
SP,Madison Bumgarner (15405487),Madison Bumgarner,15405487,P,7200,ARI@LAA 09/15/2020 09:40PM ET,ARI,3.71
RP,Conner Menez (15405758),Conner Menez,15405758,P,7200,SF@SEA 09/15/2020 09:40PM ET,SF,4.61
SP,Julio Teheran (15405497),Julio Teheran,15405497,P,7100,ARI@LAA 09/15/2020 09:40PM ET,LAA,2.73
SP,Luke Weaver (15405594),Luke Weaver,15405594,P,7100,ARI@LAA 09/15/2020 09:40PM ET,ARI,8.24
SP,Alex Young (15405625),Alex Young,15405625,P,7100,ARI@LAA 09/15/2020 09:40PM ET,ARI,7
SP,Erik Swanson (15405687),Erik Swanson,15405687,P,7100,SF@SEA 09/15/2020 09:40PM ET,SEA,0.33
SP,Marco Gonzales (15405563),Marco Gonzales,15405563,P,7000,SF@SEA 09/15/2020 09:40PM ET,SEA,20.33
RP,Rico Garcia (15405760),Rico Garcia,15405760,P,6900,SF@SEA 09/15/2020 09:40PM ET,SF,0.7
SP,Nick Margevicius (15405790),Nick Margevicius,15405790,P,6900,SF@SEA 09/15/2020 09:40PM ET,SEA,8.93
RP,Trey Wingenter (15405626),Trey Wingenter,15405626,P,6600,LAD@SD 09/15/2020 09:10PM ET,SD,0
SP,Trevor Cahill (15405477),Trevor Cahill,15405477,P,6600,SF@SEA 09/15/2020 09:40PM ET,SF,9.57
SP,Drew Pomeranz (15405491),Drew Pomeranz,15405491,P,6500,LAD@SD 09/15/2020 09:10PM ET,SD,4.48
RP,Matt Strahm (15405622),Matt Strahm,15405622,P,6500,LAD@SD 09/15/2020 09:10PM ET,SD,2.75
SP,Joey Lucchesi (15405751),Joey Lucchesi,15405751,P,6500,LAD@SD 09/15/2020 09:10PM ET,SD,1.8
SP,Patrick Sandoval (15405728),Patrick Sandoval,15405728,P,6400,ARI@LAA 09/15/2020 09:40PM ET,LAA,5.2
SP,Jeff Samardzija (15405479),Jeff Samardzija,15405479,P,6400,SF@SEA 09/15/2020 09:40PM ET,SF,-1.22
SP,Jaime Barria (15405641),Jaime Barria,15405641,P,6300,ARI@LAA 09/15/2020 09:40PM ET,LAA,11.44
SP,Tyler Beede (15405582),Tyler Beede,15405582,P,6300,SF@SEA 09/15/2020 09:40PM ET,SF,0
SP,Ljay Newsome (15405732),Ljay Newsome,15405732,P,6300,SF@SEA 09/15/2020 09:40PM ET,SEA,7.32
RP,Felix Pena (15405536),Felix Pena,15405536,P,6200,ARI@LAA 09/15/2020 09:40PM ET,LAA,3.80
SP,Adrian Morejon (15405771),Adrian Morejon,15405771,P,6200,LAD@SD 09/15/2020 09:10PM ET,SD,9.36
SP,Yusei Kikuchi (15405541),Yusei Kikuchi,15405541,P,6200,SF@SEA 09/15/2020 09:40PM ET,SEA,14.12
SP,J.B. Bukauskas (15405691),J.B. Bukauskas,15405691,P,6100,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
SP,Kevin Gausman (15405555),Kevin Gausman,15405555,P,6100,SF@SEA 09/15/2020 09:40PM ET,SF,18.58
SP,Corbin Martin (15405740),Corbin Martin,15405740,P,6000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
OF,Mike Trout (15405510),Mike Trout,15405510,OF,5900,ARI@LAA 09/15/2020 09:40PM ET,LAA,11.58
SP,Caleb Smith (15405666),Caleb Smith,15405666,P,5900,ARI@LAA 09/15/2020 09:40PM ET,ARI,8.05
RP,Matt Andriese (15405568),Matt Andriese,15405568,P,5800,ARI@LAA 09/15/2020 09:40PM ET,LAA,6.76
SS,Fernando Tatis Jr. (15405767),Fernando Tatis Jr.,15405767,SS,5800,LAD@SD 09/15/2020 09:10PM ET,SD,11.69
RP,Bo Takahashi (15405700),Bo Takahashi,15405700,P,5700,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
RP,Kenley Jansen (15405472),Kenley Jansen,15405472,P,5700,LAD@SD 09/15/2020 09:10PM ET,LAD,3.45
3B,Manny Machado (15405550),Manny Machado,15405550,3B,5700,LAD@SD 09/15/2020 09:10PM ET,SD,10.51
OF,Mookie Betts (15405584),Mookie Betts,15405584,OF,5700,LAD@SD 09/15/2020 09:10PM ET,LAD,11.07
1B/OF,Cody Bellinger (15405645),Cody Bellinger,15405645,1B/OF,5500,LAD@SD 09/15/2020 09:10PM ET,LAD,8.09
3B,Anthony Rendon (15405504),Anthony Rendon,15405504,3B,5400,ARI@LAA 09/15/2020 09:40PM ET,LAA,9.10
SP,Jose Suarez (15405714),Jose Suarez,15405714,P,5400,ARI@LAA 09/15/2020 09:40PM ET,LAA,-10.18
SP,Luis Perdomo (15405578),Luis Perdomo,15405578,P,5400,LAD@SD 09/15/2020 09:10PM ET,SD,3.71
2B/SS,David Fletcher (15405709),David Fletcher,15405709,2B/SS,5300,ARI@LAA 09/15/2020 09:40PM ET,LAA,7.97
RP,Taylor Clarke (15405723),Taylor Clarke,15405723,P,5300,ARI@LAA 09/15/2020 09:40PM ET,ARI,9.3
SP,Kendall Graveman (15405600),Kendall Graveman,15405600,P,5300,SF@SEA 09/15/2020 09:40PM ET,SEA,4.15
RP,Dennis Santana (15405640),Dennis Santana,15405640,P,5200,LAD@SD 09/15/2020 09:10PM ET,LAD,3.65
OF,Mike Yastrzemski (15405528),Mike Yastrzemski,15405528,OF,5200,SF@SEA 09/15/2020 09:40PM ET,SF,9.81
RP,Jon Duplantier (15405720),Jon Duplantier,15405720,P,5100,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
1B,Eric Hosmer (15405498),Eric Hosmer,15405498,1B,5000,LAD@SD 09/15/2020 09:10PM ET,SD,9.97
SS,Corey Seager (15405610),Corey Seager,15405610,SS,5000,LAD@SD 09/15/2020 09:10PM ET,LAD,10.42
SP,Dillon Peters (15405590),Dillon Peters,15405590,P,4900,ARI@LAA 09/15/2020 09:40PM ET,LAA,-0.05
1B/3B,Max Muncy (15405529),Max Muncy,15405529,1B/3B,4900,LAD@SD 09/15/2020 09:10PM ET,LAD,7.34
C,Austin Nola (15405570),Austin Nola,15405570,C,4900,LAD@SD 09/15/2020 09:10PM ET,SD,7.88
OF,Trent Grisham (15405721),Trent Grisham,15405721,OF,4900,LAD@SD 09/15/2020 09:10PM ET,SD,8.78
3B,Kyle Seager (15405512),Kyle Seager,15405512,3B,4800,SF@SEA 09/15/2020 09:40PM ET,SEA,8.10
