PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Jordan Lyles,P,RP,TEX,@SEA,Yes,6700,14.6,2.2,-0.6,0.0,2.3,0.3,In Dome
Garrett Richards,P,SP,SD,@OAK,Yes,7500,13.1,1.7,3.8,0.5,8.4,1.1,W 6 L-R
Framber Valdez,P,RP,HOU,@LAA,Yes,8600,12.5,1.5,24.2,2.8,21.7,2.5,W 7 Out
Alex Young,P,SP,ARI,@SF,Yes,7100,11.9,1.7,8.5,1.2,6.0,0.8,W 6 Out
Mike Trout,OF,OF,LAA,HOU,2,6000,11.7,2.0,18.6,3.1,12.1,2.0,W 7 Out
Justin Dunn,P,RP,SEA,TEX,Yes,7400,11.6,1.6,10.5,1.4,9.1,1.2,In Dome
Anthony Rendon,3B,3B,LAA,HOU,3,4800,11.0,2.3,8.8,1.8,9.1,1.9,W 7 Out
Johnny Cueto,P,SP,SF,ARI,Yes,8000,10.9,1.4,13.9,1.7,11.6,1.5,W 6 Out
Darin Ruf,OF,OF,SF,ARI,6,2500,10.5,4.2,5.0,2.0,4.5,1.8,W 6 Out
Jaime Barria,P,SP,LAA,HOU,Yes,6900,10.0,1.5,11.9,1.7,11.9,1.7,W 7 Out
Mike Yastrzemski,OF,OF,SF,ARI,3,5800,9.9,1.7,9.8,1.7,10.2,1.8,W 6 Out
Shohei Ohtani,1B,1B/OF,LAA,HOU,,4500,9.9,2.2,-5.4,0.0,-5.4,0.0,W 7 Out
Joey Gallo,OF,OF,TEX,@SEA,5,3900,9.8,2.5,2.0,0.5,6.7,1.7,In Dome
George Springer,OF,OF,HOU,@LAA,1,4600,9.5,2.1,14.0,3.0,8.3,1.8,W 7 Out
Alex Bregman,3B,3B,HOU,@LAA,3,5300,9.3,1.8,5.6,1.1,8.5,1.6,W 7 Out
Fernando Tatis,SS,SS,SD,@OAK,2,5600,9.1,1.6,8.6,1.5,12.3,2.2,W 6 L-R
Shin-Soo Choo,OF,OF,TEX,@SEA,3,2600,9.0,3.5,8.8,3.4,7.2,2.8,In Dome
Michael Brantley,OF,OF,HOU,@LAA,2,3500,8.9,2.5,11.2,3.2,9.2,2.6,W 7 Out
Matt Olson,1B,1B,OAK,SD,4,4400,8.9,2.0,4.8,1.1,7.8,1.8,W 6 L-R
Ramon Laureano,OF,OF,OAK,SD,2,4200,8.9,2.1,9.0,2.1,7.3,1.8,W 6 L-R
Trent Grisham,OF,OF,SD,@OAK,1,4700,8.9,1.9,6.0,1.3,8.5,1.8,W 6 L-R
Evan Longoria,3B,3B,SF,ARI,4,4500,8.7,1.9,6.4,1.4,7.6,1.7,W 6 Out
Wilmer Flores,1B,1B/2B,SF,ARI,5,4200,8.7,2.1,7.6,1.8,8.1,1.9,W 6 Out
Kyle Tucker,OF,OF,HOU,@LAA,5,4400,8.6,2.0,10.6,2.4,10.1,2.3,W 7 Out
Justin Upton,OF,OF,LAA,HOU,5,2200,8.6,3.9,13.2,6.0,6.1,2.8,W 7 Out
David Peralta,OF,OF,ARI,@SF,3,3200,8.4,2.6,3.0,0.9,6.3,2.0,W 6 Out
Kyle Seager,3B,3B,SEA,TEX,4,5000,8.4,1.7,4.8,1.0,8.1,1.6,In Dome
Nick Solak,2B,2B/OF,TEX,@SEA,4,3300,8.2,2.5,6.8,2.1,6.8,2.1,In Dome
Kole Calhoun,OF,OF,ARI,@SF,2,3600,8.2,2.3,2.4,0.7,7.2,2.0,W 6 Out
Eduardo Escobar,3B,3B,ARI,@SF,4,4000,8.2,2.1,3.6,0.9,6.0,1.5,W 6 Out
Donovan Solano,2B,2B,SF,ARI,2,4500,8.1,1.8,7.8,1.7,7.3,1.6,W 6 Out
Carlos Correa,SS,SS,HOU,@LAA,7,4600,8.1,1.8,6.6,1.4,6.8,1.5,W 7 Out
J.P. Crawford,SS,SS,SEA,TEX,1,4400,8.0,1.8,6.0,1.4,7.2,1.6,In Dome
Kyle Lewis,OF,OF,SEA,TEX,3,5000,8.0,1.6,4.6,0.9,8.9,1.8,In Dome
Jake Cronenworth,2B,2B,SD,@OAK,7,4100,8.0,2.0,3.4,0.8,7.9,1.9,W 6 L-R
Mark Canha,OF,OF,OAK,SD,3,4800,8.0,1.7,3.4,0.7,8.2,1.7,W 6 L-R
Ronald Guzman,1B,1B,TEX,@SEA,7,2400,7.9,3.3,1.0,0.4,5.4,2.3,In Dome
Matt Chapman,3B,3B,OAK,SD,5,5200,7.9,1.5,4.8,0.9,8.4,1.6,W 6 L-R
Manny Machado,3B,3B,SD,@OAK,4,5400,7.8,1.5,7.8,1.4,10.4,1.9,W 6 L-R
Jo Adell,OF,OF,LAA,HOU,6,2000,7.7,3.9,5.6,2.8,4.5,2.3,W 7 Out
Aledmys Diaz,2B,2B/OF,HOU,@LAA,6,2200,7.7,3.5,4.6,2.1,4.7,2.1,W 7 Out
Andrelton Simmons,SS,SS,LAA,HOU,7,3800,7.7,2.0,9.6,2.5,7.4,2.0,W 7 Out
Ty France,1B,1B,SEA,TEX,2,4000,7.7,1.9,5.6,1.4,6.3,1.6,In Dome
Yuli Gurriel,1B,1B,HOU,@LAA,4,4600,7.6,1.7,5.4,1.2,7.6,1.7,W 7 Out
Leody Taveras,OF,OF,TEX,@SEA,1,2200,7.5,3.4,3.4,1.6,5.0,2.3,In Dome
Shed Long,2B,2B,SEA,TEX,8,2500,7.5,3.0,5.6,2.2,4.9,2.0,In Dome
Tommy La Stella,1B,1B/2B,OAK,SD,1,4300,7.4,1.7,6.8,1.6,7.2,1.7,W 6 L-R
Mitch Moreland,1B,1B,SD,@OAK,5,4100,7.4,1.8,1.6,0.4,8.6,2.1,W 6 L-R
Eric Hosmer,1B,1B,SD,@OAK,3,4800,7.2,1.5,8.2,1.7,9.1,1.9,W 6 L-R
Evan White,1B,1B,SEA,TEX,5,3400,7.2,2.1,5.2,1.5,5.7,1.7,In Dome
Nick Ahmed,SS,SS,ARI,@SF,7,4000,7.2,1.8,4.2,1.1,6.2,1.5,W 6 Out
Albert Pujols,1B,1B,LAA,HOU,4,2800,7.2,2.6,6.6,2.4,6.6,2.4,W 7 Out
Mauricio Dubon,OF,OF,SF,ARI,8,3100,7.1,2.3,8.2,2.7,5.0,1.6,W 6 Out
Wil Myers,OF,OF,SD,@OAK,6,4000,7.1,1.8,5.8,1.5,8.8,2.2,W 6 L-R
Isiah Kiner-Falefa,3B,3B/SS,TEX,@SEA,2,3400,7.1,2.1,5.2,1.5,6.2,1.8,In Dome
Sean Murphy,C,C,OAK,SD,9,3800,6.9,1.8,0.6,0.2,4.0,1.0,W 6 L-R
Josh Reddick,OF,OF,HOU,@LAA,8,2900,6.8,2.4,5.6,1.9,6.3,2.2,W 7 Out
Jurickson Profar,OF,OF,SD,@OAK,9,3400,6.8,2.0,5.2,1.5,6.3,1.8,W 6 L-R
Stephen Vogt,C,C,ARI,@SF,6,3600,6.8,1.9,1.8,0.5,3.2,0.9,W 6 Out
Stephen Piscotty,OF,OF,OAK,SD,7,3000,6.8,2.3,4.4,1.5,7.8,2.6,W 6 L-R
Franklin Barreto,2B,2B/OF,LAA,HOU,9,2600,6.8,2.6,1.0,0.4,0.8,0.3,W 7 Out
