PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Zack Greinke,P,SP,HOU,TEX,Yes,9200,18.2,2.0,17.0,1.9,15.2,1.7,In Dome
Lance Lynn,P,SP,TEX,@HOU,Yes,8300,13.3,1.6,18.8,2.3,21.7,2.6,In Dome
Alec Mills,P,RP,CHC,@PIT,Yes,7100,12.7,1.8,6.1,0.9,10.2,1.4,W 2 L-R
Ian Happ,OF,OF,CHC,@PIT,1,4200,11.2,2.7,17.0,4.1,9.1,2.2,W 2 L-R
JT Brubaker,P,RP,PIT,CHC,Yes,5700,10.7,1.9,6.0,1.1,7.4,1.3,W 2 L-R
Kyle Schwarber,OF,OF,CHC,@PIT,5,4300,10.4,2.4,11.2,2.6,7.9,1.8,W 2 L-R
Anthony Rizzo,1B,1B,CHC,@PIT,3,5300,9.8,1.8,7.4,1.4,7.7,1.5,W 2 L-R
Jason Heyward,OF,OF,CHC,@PIT,7,2200,9.5,4.3,10.4,4.7,7.4,3.4,W 2 L-R
Kyle Tucker,OF,OF,HOU,TEX,5,4400,8.9,2.0,7.6,1.7,9.5,2.2,In Dome
George Springer,OF,OF,HOU,TEX,1,4600,8.6,1.9,6.4,1.4,6.9,1.5,In Dome
Kris Bryant,3B,3B/OF,CHC,@PIT,2,4700,8.6,1.8,2.2,0.5,5.2,1.1,W 2 L-R
Michael Brantley,OF,OF,HOU,TEX,3,3500,8.2,2.3,11.6,3.3,8.6,2.5,In Dome
Javier Baez,SS,SS,CHC,@PIT,4,4500,7.7,1.7,6.6,1.5,6.4,1.4,W 2 L-R
Willson Contreras,C,C,CHC,@PIT,6,5000,7.6,1.5,6.4,1.3,6.5,1.3,W 2 L-R
Colin Moran,1B,1B,PIT,CHC,3,3900,7.5,1.9,6.8,1.7,8.1,2.1,W 2 L-R
Jose Altuve,2B,2B,HOU,TEX,2,5100,7.5,1.5,3.8,0.8,6.5,1.3,In Dome
Aledmys Diaz,1B,1B/OF,HOU,TEX,6,3000,7.0,2.4,1.3,0.4,1.3,0.4,In Dome
Yuli Gurriel,1B,1B,HOU,TEX,4,4900,6.9,1.4,2.6,0.5,7.5,1.5,In Dome
Erik Gonzalez,3B,3B/SS,PIT,CHC,2,4100,6.8,1.7,9.8,2.4,6.4,1.6,W 2 L-R
Josh Reddick,OF,OF,HOU,TEX,7,3400,6.6,2.0,4.4,1.3,5.9,1.8,In Dome
Shin-Soo Choo,OF,OF,TEX,@HOU,3,2700,6.5,2.4,3.6,1.3,6.5,2.4,In Dome
Adam Frazier,2B,2B/OF,PIT,CHC,6,3800,6.4,1.7,6.4,1.7,5.7,1.5,W 2 L-R
Victor Caratini,C,C,CHC,@PIT,8,3000,6.4,2.1,0.6,0.2,4.0,1.3,W 2 L-R
Cole Tucker,OF,OF,PIT,CHC,1,2800,6.3,2.3,2.8,1.0,4.2,1.5,W 2 L-R
Bryan Reynolds,OF,OF,PIT,CHC,5,3400,6.3,1.9,1.4,0.4,5.3,1.6,W 2 L-R
Anthony Alford,OF,OF,PIT,CHC,7,3600,6.3,1.7,4.8,1.3,3.9,1.1,W 2 L-R
Gregory Polanco,OF,OF,PIT,CHC,4,3300,6.2,1.9,4.4,1.3,5.2,1.6,W 2 L-R
Isiah Kiner-Falefa,3B,3B/SS,TEX,@HOU,2,3500,6.1,1.7,7.4,2.1,6.4,1.8,In Dome
Jason Kipnis,2B,2B,CHC,@PIT,9,2800,6.0,2.2,3.8,1.4,5.4,1.9,W 2 L-R
Ronald Guzman,1B,1B,TEX,@HOU,7,2100,5.9,2.8,9.4,4.5,7.4,3.5,In Dome
Elvis Andrus,SS,SS,TEX,@HOU,8,2700,5.7,2.1,4.6,1.7,4.8,1.8,In Dome
Leody Taveras,OF,OF,TEX,@HOU,1,2000,5.7,2.9,5.6,2.8,4.8,2.4,In Dome
Joey Gallo,OF,OF,TEX,@HOU,5,4500,5.7,1.3,2.4,0.5,7.0,1.6,In Dome
Jack Mayfield,3B,3B/SS,HOU,TEX,9,3300,5.6,1.7,2.6,0.8,1.8,0.6,In Dome
Nick Solak,2B,2B/OF,TEX,@HOU,4,3100,5.6,1.8,2.6,0.8,6.5,2.1,In Dome
Martin Maldonado,C,C,HOU,TEX,8,4400,5.5,1.3,3.6,0.8,6.3,1.4,In Dome
John Ryan Murphy,C,C,PIT,CHC,9,2400,5.4,2.3,2.6,1.1,2.4,1.0,W 2 L-R
JT Riddle,3B,3B/OF,PIT,CHC,8,2900,5.1,1.8,4.6,1.6,2.9,1.0,W 2 L-R
Eli White,OF,OF,TEX,@HOU,9,2300,4.9,2.1,0.0,0.0,0.0,0.0,In Dome
Jose Trevino,C,C,TEX,@HOU,6,2800,4.4,1.6,1.6,0.6,5.2,1.9,In Dome
Oneil Cruz,SS,SS,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Miguel Amaya,C,C,CHC,@PIT,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Rodolfo Castro,2B,2B/SS,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Sherten Apostel,3B,3B,TEX,@HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Ke'Bryan Hayes,3B,3B,PIT,CHC,,2700,0.0,0.0,12.5,4.6,12.5,4.6,W 2 L-R
Michael Papierski,C,C,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Kevin Newman,2B,2B/SS,PIT,CHC,,4400,0.0,0.0,5.6,1.3,5.3,1.2,W 2 L-R
Jose Osuna,3B,3B/OF,PIT,CHC,,2600,0.0,0.0,3.4,1.3,2.9,1.1,W 2 L-R
Abraham Toro,3B,3B,HOU,TEX,,2400,0.0,0.0,4.4,1.8,4.6,1.9,In Dome
Jason Martin,OF,OF,PIT,CHC,,2400,0.0,0.0,2.0,0.8,2.0,0.8,W 2 L-R
Alex Bregman,3B,3B,HOU,TEX,,5200,0.0,0.0,5.6,1.1,8.5,1.6,In Dome
Yadiel Rivera,2B,2B/OF,TEX,@HOU,,2000,0.0,0.0,1.3,0.6,1.3,0.6,In Dome
Ronnie Dawson,OF,OF,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Cameron Maybin,OF,OF,CHC,@PIT,,4000,0.0,0.0,7.6,1.9,4.8,1.2,W 2 L-R
Rougned Odor,2B,2B,TEX,@HOU,,3400,0.0,0.0,0.6,0.2,4.4,1.3,In Dome
Tim Federowicz,C,C,TEX,@HOU,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Ji-Hwan Bae,2B,2B/SS,PIT,CHC,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Josh Jung,3B,3B,TEX,@HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Jose Martinez,1B,1B,CHC,@PIT,,4300,0.0,0.0,1.8,0.4,4.9,1.1,W 2 L-R
Steven Souza,OF,OF,CHC,@PIT,,2100,0.0,0.0,5.4,2.6,4.7,2.3,W 2 L-R
Brennen Davis,OF,OF,CHC,@PIT,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Nick Ciuffo,C,C,TEX,@HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Garrett Stubbs,C,C,HOU,TEX,,2600,0.0,0.0,0.0,0.0,0.6,0.2,In Dome
Dustin Garneau,C,C,HOU,TEX,,2200,0.0,0.0,4.6,2.1,4.4,2.0,In Dome
Scott Heineman,OF,OF,TEX,@HOU,,2000,0.0,0.0,1.4,0.7,3.6,1.8,In Dome
David Bote,3B,3B,CHC,@PIT,,2300,0.0,0.0,9.2,4.0,6.4,2.8,W 2 L-R
Alex De Goti,2B,2B/SS,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Jamie Ritchie,C,C,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Nick Tanielu,2B,2B/3B,HOU,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Myles Straw,OF,OF,HOU,TEX,,3200,0.0,0.0,4.2,1.3,4.4,1.4,In Dome
Adolis Garcia,OF,OF,TEX,@HOU,,2000,0.0,0.0,0.7,0.3,0.7,0.3,In Dome
Anderson Tejeda,2B,2B,TEX,@HOU,,2400,0.0,0.0,6.5,2.7,6.5,2.7,In Dome
Andy Ibanez,2B,2B,TEX,@HOU,,2200,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Jacob Stallings,C,C,PIT,CHC,,3800,0.0,0.0,6.4,1.7,5.9,1.6,W 2 L-R
Taylor Jones,1B,1B,HOU,TEX,,2300,0.0,0.0,5.0,2.2,5.0,2.2,In Dome
Christopher Morel,3B,3B,CHC,@PIT,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 2 L-R
Derek Dietrich,1B,1B/2B,TEX,@HOU,,3300,0.0,0.0,3.2,1.0,4.9,1.5,In Dome
Carlos Correa,SS,SS,HOU,TEX,,4800,0.0,0.0,2.6,0.5,6.7,1.4,In Dome
Josh Bell,1B,1B,PIT,CHC,,3700,0.0,0.0,9.2,2.5,5.6,1.5,W 2 L-R
Sam Huff,C,C,TEX,@HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Nico Hoerner,2B,2B/3B,CHC,@PIT,,2200,0.0,0.0,3.0,1.4,4.5,2.0,W 2 L-R
