PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Chris Paddack,P,SP,SD,@OAK,Yes,8000,17.3,2.2,12.4,1.6,14.9,1.9,W 5 Out
Adam Wainwright,P,SP,STL,@CHC,Yes,8600,12.2,1.4,20.5,2.4,20.5,2.4,W 13 In
Sean Manaea,P,SP,OAK,SD,Yes,7200,12.2,1.7,9.6,1.3,7.7,1.1,W 5 Out
Fernando Tatis,SS,SS,SD,@OAK,2,5300,11.6,2.2,16.4,3.1,12.7,2.4,W 5 Out
Colin Rea,P,SP,CHC,@STL,Yes,6500,11.3,1.7,3.6,0.6,3.6,0.6,W 4 R-L
Adbert Alzolay,P,SP,CHC,STL,Yes,7200,11.2,1.6,13.3,1.8,13.3,1.8,W 13 In
Brad Miller,3B,3B,STL,@CHC,4,4300,10.9,2.5,14.2,3.3,10.0,2.3,W 13 In
Ian Happ,OF,OF,CHC,@STL,1,4400,10.0,2.3,18.0,4.1,9.2,2.1,W 4 R-L
Kyle Schwarber,OF,OF,CHC,@STL,5,4200,9.3,2.2,12.0,2.9,8.0,1.9,W 4 R-L
Jake Cronenworth,2B,2B,SD,@OAK,6,4200,9.1,2.2,9.2,2.2,8.2,2.0,W 5 Out
Manny Machado,3B,3B,SD,@OAK,3,5200,9.1,1.8,8.2,1.6,10.7,2.1,W 5 Out
Javier Baez,SS,SS,CHC,@STL,4,4500,8.9,2.0,7.6,1.7,6.4,1.4,W 4 R-L
Anthony Rizzo,1B,1B,CHC,@STL,3,5100,8.8,1.7,7.4,1.5,7.7,1.5,W 4 R-L
Paul Goldschmidt,1B,1B,STL,CHC,3,4900,8.8,1.8,9.6,2.0,8.3,1.7,W 4 R-L
Kris Bryant,3B,3B/OF,CHC,@STL,2,4500,8.7,1.9,3.6,0.8,5.2,1.2,W 4 R-L
Tommy Edman,OF,OF/SS,STL,CHC,2,3900,8.5,2.2,6.8,1.7,6.5,1.7,W 4 R-L
Kolten Wong,2B,2B,STL,CHC,1,3700,8.4,2.3,9.8,2.7,6.2,1.7,W 4 R-L
Austin Nola,1B,1B/C,SD,@OAK,5,4600,8.3,1.8,3.6,0.8,7.4,1.6,W 5 Out
Trent Grisham,OF,OF,SD,@OAK,1,4600,8.2,1.8,10.0,2.2,8.6,1.9,W 5 Out
Willson Contreras,C,C,CHC,@STL,6,4400,8.1,1.9,12.4,2.8,7.2,1.6,W 4 R-L
Paul DeJong,SS,SS,STL,CHC,5,4200,8.1,1.9,11.0,2.6,8.0,1.9,W 4 R-L
Ramon Laureano,OF,OF,OAK,SD,2,4300,7.9,1.8,7.0,1.6,7.3,1.7,W 5 Out
Matt Olson,1B,1B,OAK,SD,3,4700,7.9,1.7,6.0,1.3,7.7,1.7,W 5 Out
Jason Heyward,OF,OF,CHC,@STL,7,2900,7.9,2.7,12.4,4.3,7.6,2.6,W 4 R-L
Matt Carpenter,3B,3B,STL,CHC,7,3600,7.9,2.2,7.0,1.9,6.0,1.7,W 4 R-L
Jurickson Profar,OF,OF,SD,@OAK,7,3500,7.7,2.2,10.2,2.9,6.5,1.9,W 5 Out
Tyler O'Neill,OF,OF,STL,CHC,8,2600,7.4,2.8,3.2,1.2,4.9,1.9,W 4 R-L
Jose Martinez,1B,1B,CHC,STL,8,3800,7.1,1.9,0.8,0.2,4.6,1.2,W 13 In
Eric Hosmer,1B,1B,SD,@OAK,4,4800,7.1,1.5,13.4,2.8,9.5,2.0,W 5 Out
Mark Canha,OF,OF,OAK,SD,6,4700,7.0,1.5,4.0,0.9,8.4,1.8,W 5 Out
Marcus Semien,SS,SS,OAK,SD,1,4700,7.0,1.5,8.8,1.9,7.2,1.5,W 5 Out
Matt Chapman,3B,3B,OAK,SD,4,5000,7.0,1.4,5.6,1.1,8.8,1.8,W 5 Out
Yadier Molina,C,C,STL,CHC,6,4000,6.9,1.7,8.0,2.0,6.2,1.6,W 4 R-L
Jason Kipnis,2B,2B,CHC,@STL,9,3000,6.8,2.3,4.8,1.6,5.5,1.8,W 4 R-L
Dylan Carlson,OF,OF,STL,CHC,9,2700,6.6,2.4,1.4,0.5,3.9,1.5,W 4 R-L
Tommy La Stella,1B,1B/2B,OAK,SD,5,4400,6.5,1.5,8.0,1.8,7.2,1.6,W 5 Out
Sean Murphy,C,C,OAK,SD,9,3700,6.0,1.6,1.6,0.4,4.1,1.1,W 5 Out
Stephen Piscotty,OF,OF,OAK,SD,8,3100,5.9,1.9,4.8,1.6,7.7,2.5,W 5 Out
Jason Castro,C,C,SD,@OAK,8,4200,5.8,1.4,4.0,1.0,5.3,1.3,W 5 Out
Robbie Grossman,OF,OF,OAK,SD,7,4000,5.6,1.4,6.2,1.6,8.8,2.2,W 5 Out
Wil Myers,OF,OF,SD,@OAK,,4100,2.6,0.6,6.0,1.5,9.1,2.2,W 5 Out
