Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Yu Darvish (15454517),Yu Darvish,15454517,P,11300,CHC@PIT 09/21/2020 07:05PM ET,CHC,25.70
SP,Trevor Bauer (15454518),Trevor Bauer,15454518,P,10800,MIL@CIN 09/21/2020 06:40PM ET,CIN,28.86
SP,Jacob deGrom (15453999),Jacob deGrom,15453999,P,10500,TB@NYM 09/21/2020 07:10PM ET,NYM,24.48
SP,Mike Foltynewicz (15454520),Mike Foltynewicz,15454520,P,10300,MIA@ATL 09/21/2020 07:10PM ET,ATL,-3.3
SP,Marcus Stroman (15454519),Marcus Stroman,15454519,P,10300,TB@NYM 09/21/2020 07:10PM ET,NYM,0
SP,Zack Greinke (15454521),Zack Greinke,15454521,P,10100,HOU@SEA 09/21/2020 09:10PM ET,HOU,16.50
SP,Gerrit Cole (15454522),Gerrit Cole,15454522,P,9900,NYY@TOR 09/21/2020 06:37PM ET,NYY,24.53
SP,Luis Castillo (15454523),Luis Castillo,15454523,P,9800,MIL@CIN 09/21/2020 06:40PM ET,CIN,21.56
SP,Max Fried (15454524),Max Fried,15454524,P,9800,MIA@ATL 09/21/2020 07:10PM ET,ATL,19.06
SP,Tyler Glasnow (15454525),Tyler Glasnow,15454525,P,9700,TB@NYM 09/21/2020 07:10PM ET,TB,21.29
SP,Sonny Gray (15454526),Sonny Gray,15454526,P,9600,MIL@CIN 09/21/2020 06:40PM ET,CIN,18.46
SP,Mike Soroka (15454527),Mike Soroka,15454527,P,9600,MIA@ATL 09/21/2020 07:10PM ET,ATL,7.78
SP,Adam Wainwright (15454000),Adam Wainwright,15454000,P,9500,STL@KC 09/21/2020 08:05PM ET,STL,20.82
SP,Alex Reyes (15454530),Alex Reyes,15454530,P,9200,STL@KC 09/21/2020 08:05PM ET,STL,5.31
RP,Framber Valdez (15454529),Framber Valdez,15454529,P,9200,HOU@SEA 09/21/2020 09:10PM ET,HOU,19.44
SP,Blake Snell (15454528),Blake Snell,15454528,P,9200,TB@NYM 09/21/2020 07:10PM ET,TB,16.32
SP,Michael Wacha (15454531),Michael Wacha,15454531,P,9200,TB@NYM 09/21/2020 07:10PM ET,NYM,8.8
SP,Noah Syndergaard (15454532),Noah Syndergaard,15454532,P,9100,TB@NYM 09/21/2020 07:10PM ET,NYM,0
SP,Kyle Hendricks (15454534),Kyle Hendricks,15454534,P,9000,CHC@PIT 09/21/2020 07:05PM ET,CHC,20.40
SP,Jack Flaherty (15454533),Jack Flaherty,15454533,P,9000,STL@KC 09/21/2020 08:05PM ET,STL,14.89
SP,Ian Anderson (15454535),Ian Anderson,15454535,P,8900,MIA@ATL 09/21/2020 07:10PM ET,ATL,22
SP,Hyun Jin Ryu (15454536),Hyun Jin Ryu,15454536,P,8900,NYY@TOR 09/21/2020 06:37PM ET,TOR,18.58
SP,J.A. Happ (15454537),J.A. Happ,15454537,P,8800,NYY@TOR 09/21/2020 06:37PM ET,NYY,15.69
SP,Brandon Woodruff (15454539),Brandon Woodruff,15454539,P,8700,MIL@CIN 09/21/2020 06:40PM ET,MIL,18.43
SP,Tyler Mahle (15454541),Tyler Mahle,15454541,P,8700,MIL@CIN 09/21/2020 06:40PM ET,CIN,17.07
