PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Mike Clevinger,P,SP,SD,@LAA,Yes,8700,17.7,2.0,15.6,1.8,15.6,1.8,W 9 Out
Dylan Cease,P,SP,CWS,@KC,Yes,9500,15.9,1.7,16.8,1.8,12.1,1.3,W 8 L-R
Andrew Heaney,P,SP,LAA,SD,Yes,8400,15.8,1.9,14.4,1.7,15.3,1.8,W 9 Out
Danny Duffy,P,SP,KC,CWS,Yes,7100,13.6,1.9,17.6,2.5,15.9,2.2,W 8 L-R
Taijuan Walker,P,SP,TOR,@BOS,Yes,4800,12.9,2.7,20.6,4.3,16.1,3.4,W 4 R-L
Martin Perez,P,SP,BOS,TOR,Yes,6400,11.3,1.8,10.1,1.6,10.2,1.6,W 4 R-L
Rafael Devers,3B,3B,BOS,TOR,2,5200,11.0,2.1,13.4,2.6,7.9,1.5,W 4 R-L
Fernando Tatis,SS,SS,SD,@LAA,2,5200,11.0,2.1,14.2,2.7,12.6,2.4,W 9 Out
Lourdes Gurriel,OF,OF,TOR,@BOS,6,3900,10.4,2.7,10.0,2.6,7.2,1.9,W 4 R-L
Manny Machado,3B,3B,SD,@LAA,3,4600,10.3,2.2,8.8,1.9,10.8,2.4,W 9 Out
Xander Bogaerts,SS,SS,BOS,TOR,3,5100,10.1,2.0,13.6,2.7,8.7,1.7,W 4 R-L
Mike Trout,OF,OF,LAA,SD,2,6100,9.9,1.6,16.8,2.8,11.3,1.9,W 9 Out
Teoscar Hernandez,OF,OF,TOR,@BOS,4,4400,9.7,2.2,7.2,1.6,10.0,2.3,W 4 R-L
Vladimir Guerrero,1B,1B,TOR,@BOS,5,4300,9.0,2.1,5.0,1.2,7.3,1.7,W 4 R-L
Tim Anderson,SS,SS,CWS,@KC,1,5500,9.0,1.6,7.0,1.3,10.1,1.8,W 8 L-R
Jose Abreu,1B,1B,CWS,@KC,3,5300,9.0,1.7,6.8,1.3,10.1,1.9,W 8 L-R
Alex Verdugo,OF,OF,BOS,TOR,1,4600,8.9,1.9,12.6,2.7,8.6,1.9,W 4 R-L
Luis Robert,OF,OF,CWS,@KC,7,4700,8.9,1.9,11.0,2.3,9.1,1.9,W 8 L-R
Randal Grichuk,OF,OF,TOR,@BOS,2,3800,8.9,2.3,4.0,1.1,9.2,2.4,W 4 R-L
Austin Nola,1B,1B/C,SD,@LAA,5,3600,8.8,2.4,5.8,1.6,7.7,2.1,W 9 Out
Edwin Encarnacion,1B,1B,CWS,@KC,5,4000,8.7,2.2,5.8,1.5,6.0,1.5,W 8 L-R
Jake Cronenworth,2B,2B,SD,@LAA,7,3900,8.6,2.2,12.4,3.2,8.7,2.2,W 9 Out
J.D. Martinez,OF,OF,BOS,TOR,4,5100,8.6,1.7,5.6,1.1,6.7,1.3,W 4 R-L
Eloy Jimenez,OF,OF,CWS,@KC,6,4800,8.6,1.8,3.0,0.6,8.9,1.9,W 8 L-R
Hunter Dozier,OF,OF,KC,CWS,2,4300,8.5,2.0,9.6,2.2,8.7,2.0,W 8 L-R
Cavan Biggio,2B,2B/OF,TOR,@BOS,1,4900,8.4,1.7,4.8,1.0,9.1,1.9,W 4 R-L
Jurickson Profar,OF,OF,SD,@LAA,8,3300,8.3,2.5,12.8,3.9,6.8,2.1,W 9 Out
Derek Fisher,OF,OF,TOR,@BOS,9,2200,8.3,3.8,1.2,0.6,3.1,1.4,W 4 R-L
Eric Hosmer,1B,1B,SD,@LAA,4,4200,8.3,2.0,17.4,4.1,10.0,2.4,W 9 Out
Yoan Moncada,3B,3B,CWS,@KC,2,5400,8.3,1.5,6.8,1.3,7.4,1.4,W 8 L-R
Whit Merrifield,OF,OF,KC,CWS,1,5300,8.1,1.5,6.0,1.1,9.0,1.7,W 8 L-R
Jonathan Villar,2B,2B/SS,TOR,@BOS,3,4100,8.0,2.0,3.4,0.8,7.0,1.7,W 4 R-L
Bobby Dalbec,1B,1B/3B,BOS,TOR,8,2700,8.0,3.0,6.3,2.3,6.3,2.3,W 4 R-L
Jackie Bradley,OF,OF,BOS,TOR,7,2800,7.8,2.8,8.0,2.9,5.7,2.1,W 4 R-L
Yasmani Grandal,C,C,CWS,@KC,4,4800,7.6,1.6,6.6,1.4,6.7,1.4,W 8 L-R
Jorge Soler,OF,OF,KC,CWS,3,4200,7.6,1.8,4.6,1.1,7.6,1.8,W 8 L-R
Michael Chavis,1B,1B/2B,BOS,TOR,6,3800,7.5,2.0,1.4,0.4,4.9,1.3,W 4 R-L
Ryan O'Hearn,1B,1B,KC,CWS,4,3400,7.5,2.2,4.6,1.4,5.2,1.5,W 8 L-R
Danny Jansen,C,C,TOR,@BOS,8,3100,7.5,2.4,4.2,1.4,4.3,1.4,W 4 R-L
Shohei Ohtani,1B,1B/OF,LAA,SD,,4600,7.4,1.6,-5.4,0.0,-5.4,0.0,W 9 Out
Anthony Rendon,3B,3B,LAA,SD,3,5100,7.1,1.4,4.8,0.9,8.7,1.7,W 9 Out
Adalberto Mondesi,SS,SS,KC,CWS,7,3000,6.9,2.3,0.4,0.1,4.5,1.5,W 8 L-R
Trent Grisham,OF,OF,SD,@LAA,1,4000,6.7,1.7,8.0,2.0,8.7,2.2,W 9 Out
Alex Gordon,OF,OF,KC,CWS,6,2300,6.7,2.9,8.6,3.7,4.9,2.1,W 8 L-R
Nick Madrigal,2B,2B,CWS,@KC,9,3000,6.6,2.2,8.0,2.7,6.3,2.1,W 8 L-R
Christian Vazquez,C,C,BOS,TOR,5,4500,6.5,1.5,4.0,0.9,6.0,1.3,W 4 R-L
Justin Upton,OF,OF,LAA,SD,5,2100,6.5,3.1,8.4,4.0,4.9,2.3,W 9 Out
Maikel Franco,3B,3B,KC,CWS,5,3700,6.4,1.7,7.2,2.0,6.9,1.9,W 8 L-R
Travis Shaw,1B,1B/3B,TOR,@BOS,7,3800,6.2,1.6,4.2,1.1,5.0,1.3,W 4 R-L
David Fletcher,2B,2B/SS,LAA,SD,1,4700,6.0,1.3,6.2,1.3,8.3,1.8,W 9 Out
Nomar Mazara,OF,OF,CWS,@KC,8,2500,6.0,2.4,3.4,1.4,4.3,1.7,W 8 L-R
Cam Gallagher,C,C,KC,CWS,9,2300,5.9,2.6,2.8,1.2,4.1,1.8,W 8 L-R
Jo Adell,OF,OF,LAA,SD,7,2000,5.8,2.9,6.0,3.0,4.1,2.0,W 9 Out
Albert Pujols,1B,1B,LAA,SD,6,2600,5.8,2.2,7.4,2.9,6.5,2.5,W 9 Out
