PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Clayton Kershaw,P,SP,LAD,@ARI,Yes,10500,18.8,1.8,25.6,2.4,25.8,2.5,In Dome
Tyler Anderson,P,SP,SF,SEA,Yes,6700,14.3,2.1,8.3,1.2,7.4,1.1,W 9 Out
Jesus Luzardo,P,SP,OAK,HOU,Yes,8300,13.6,1.6,13.1,1.6,12.7,1.5,W 9 Out
Mookie Betts,OF,OF,LAD,@ARI,1,6000,12.2,2.0,12.6,2.1,11.3,1.9,In Dome
Cody Bellinger,1B,1B/OF,LAD,@ARI,4,6200,11.3,1.8,6.8,1.1,8.7,1.4,In Dome
Nick Margevicius,P,SP,SEA,@SF,Yes,6900,10.8,1.6,12.6,1.8,9.8,1.4,W 9 Out
Corey Seager,SS,SS,LAD,@ARI,2,5700,10.6,1.9,12.8,2.3,10.6,1.9,In Dome
Darin Ruf,OF,OF,SF,SEA,7,2300,10.6,4.6,10.4,4.5,5.3,2.3,W 9 Out
Luis Garcia,P,RP,HOU,@OAK,Yes,6200,10.5,1.7,9.4,1.5,9.4,1.5,W 9 Out
Taylor Clarke,P,RP,ARI,LAD,Yes,5300,9.7,1.8,10.6,2.0,9.1,1.7,In Dome
Ramon Laureano,OF,OF,OAK,HOU,2,4100,9.7,2.4,8.4,2.1,7.4,1.8,W 9 Out
Max Muncy,1B,1B/3B,LAD,@ARI,5,5800,9.6,1.7,7.2,1.2,7.7,1.3,In Dome
A.J. Pollock,OF,OF,LAD,@ARI,3,4400,9.5,2.2,10.8,2.5,7.4,1.7,In Dome
Matt Olson,1B,1B,OAK,HOU,3,4800,9.5,2.0,10.0,2.1,8.0,1.7,W 9 Out
Chris Taylor,OF,OF/SS,LAD,@ARI,6,4700,9.4,2.0,10.0,2.1,6.9,1.5,In Dome
Mike Yastrzemski,OF,OF,SF,SEA,3,5500,9.2,1.7,4.6,0.8,10.0,1.8,W 9 Out
Gavin Lux,2B,2B,LAD,@ARI,7,4000,9.0,2.3,13.2,3.3,8.4,2.1,In Dome
Marcus Semien,SS,SS,OAK,HOU,1,4200,8.9,2.1,6.6,1.6,6.9,1.7,W 9 Out
Alex Bregman,3B,3B,HOU,@OAK,3,4800,8.7,1.8,4.4,0.9,8.2,1.7,W 9 Out
Will Smith,C,C,LAD,@ARI,9,4400,8.7,2.0,13.8,3.1,7.9,1.8,In Dome
Mark Canha,1B,1B/OF,OAK,HOU,5,4900,8.6,1.8,3.2,0.7,7.7,1.6,W 9 Out
George Springer,OF,OF,HOU,@OAK,1,4200,8.6,2.0,10.0,2.4,8.0,1.9,W 9 Out
Wilmer Flores,1B,1B/2B,SF,SEA,4,4100,8.5,2.1,4.8,1.2,7.9,1.9,W 9 Out
Kyle Tucker,OF,OF,HOU,@OAK,4,4300,8.5,2.0,7.4,1.7,9.8,2.3,W 9 Out
Austin Slater,OF,OF,SF,SEA,1,3700,8.3,2.3,6.8,1.8,8.0,2.2,W 9 Out
Donovan Solano,2B,2B,SF,SEA,2,4300,8.3,1.9,11.2,2.6,8.2,1.9,W 9 Out
Evan Longoria,3B,3B,SF,SEA,5,4400,8.3,1.9,2.8,0.6,7.2,1.6,W 9 Out
