PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Clayton Kershaw,P,SP,LAD,ARI,Yes,10300,18.7,1.8,24.7,2.4,24.7,2.4,W 5 Out
Mike Clevinger,P,SP,SD,@LAA,Yes,8700,17.4,2.0,15.6,1.8,15.6,1.8,W 9 Out
Andrew Heaney,P,SP,LAA,SD,Yes,8400,15.9,1.9,14.4,1.7,15.3,1.8,W 9 Out
Dylan Cease,P,SP,CWS,@KC,Yes,9500,15.9,1.7,16.8,1.8,12.1,1.3,W 8 L-R
J.A. Happ,P,SP,NYY,@NYM,Yes,8900,14.1,1.6,9.8,1.1,9.8,1.1,W 8 Out
Danny Duffy,P,SP,KC,CWS,Yes,7100,13.6,1.9,17.6,2.5,15.9,2.2,W 8 L-R
Taijuan Walker,P,SP,TOR,@BOS,Yes,4800,12.9,2.7,20.6,4.3,16.1,3.4,W 4 R-L
Zach Eflin,P,SP,PHI,WAS,Yes,7800,12.4,1.6,19.4,2.5,19.4,2.5,W 8 Out
Anibal Sanchez,P,SP,WAS,@PHI,Yes,7400,11.8,1.6,5.5,0.7,6.7,0.9,W 8 Out
Robert Gsellman,P,RP,NYM,NYY,Yes,5500,11.7,2.1,4.1,0.8,4.1,0.8,W 8 Out
Luke Weaver,P,SP,ARI,@LAD,Yes,8200,11.6,1.4,10.3,1.3,7.7,0.9,W 5 Out
Mookie Betts,OF,OF,LAD,ARI,1,5800,11.4,2.0,11.8,2.0,11.3,1.9,W 5 Out
Martin Perez,P,SP,BOS,TOR,Yes,6400,11.3,1.8,10.1,1.6,10.2,1.6,W 4 R-L
Rafael Devers,3B,3B,BOS,TOR,2,5200,11.0,2.1,13.4,2.6,7.9,1.5,W 4 R-L
Fernando Tatis,SS,SS,SD,@LAA,2,5200,11.0,2.1,14.2,2.7,12.6,2.4,W 9 Out
Cody Bellinger,1B,1B/OF,LAD,ARI,3,5200,10.8,2.1,11.0,2.1,9.0,1.7,W 5 Out
Juan Soto,OF,OF,WAS,@PHI,4,5600,10.4,1.9,10.2,1.8,12.2,2.2,W 8 Out
Lourdes Gurriel,OF,OF,TOR,@BOS,6,3900,10.4,2.7,10.0,2.6,7.2,1.9,W 4 R-L
Xander Bogaerts,SS,SS,BOS,TOR,3,5100,10.1,2.0,13.6,2.7,8.7,1.7,W 4 R-L
Rhys Hoskins,1B,1B,PHI,WAS,2,4700,10.1,2.1,17.2,3.7,9.9,2.1,W 8 Out
Andrew McCutchen,OF,OF,PHI,WAS,1,4100,9.9,2.4,11.6,2.8,8.4,2.1,W 8 Out
Trea Turner,SS,SS,WAS,@PHI,1,5300,9.9,1.9,12.2,2.3,10.6,2.0,W 8 Out
Corey Seager,SS,SS,LAD,ARI,5,4900,9.7,2.0,12.2,2.5,10.3,2.1,W 5 Out
Tim Anderson,SS,SS,CWS,@KC,1,5500,9.7,1.8,7.0,1.3,10.1,1.8,W 8 L-R
Teoscar Hernandez,OF,OF,TOR,@BOS,4,4400,9.7,2.2,7.2,1.6,10.0,2.3,W 4 R-L
Luke Voit,1B,1B,NYY,@NYM,2,3900,9.4,2.4,7.6,2.0,10.1,2.6,W 8 Out
Max Muncy,1B,1B/3B,LAD,ARI,2,5000,9.4,1.9,10.2,2.0,7.7,1.6,W 5 Out
Mike Trout,OF,OF,LAA,SD,2,6100,9.4,1.5,16.8,2.8,11.3,1.9,W 9 Out
DJ LeMahieu,2B,2B/3B,NYY,@NYM,1,4300,9.4,2.2,10.2,2.4,9.3,2.2,W 8 Out
Clint Frazier,OF,OF,NYY,@NYM,7,3600,9.3,2.6,8.4,2.3,9.3,2.6,W 8 Out
Vladimir Guerrero,1B,1B,TOR,@BOS,5,4300,9.0,2.1,5.0,1.2,7.3,1.7,W 4 R-L
Jose Abreu,1B,1B,CWS,@KC,3,5300,9.0,1.7,6.8,1.3,10.1,1.9,W 8 L-R
Alex Verdugo,OF,OF,BOS,TOR,1,4600,8.9,1.9,12.6,2.7,8.6,1.9,W 4 R-L
Bryce Harper,OF,OF,PHI,WAS,3,6000,8.9,1.5,6.2,1.0,10.4,1.7,W 8 Out
Luis Robert,OF,OF,CWS,@KC,7,4700,8.9,1.9,11.0,2.3,9.1,1.9,W 8 L-R
Randal Grichuk,OF,OF,TOR,@BOS,2,3800,8.9,2.3,4.0,1.1,9.2,2.4,W 4 R-L
Austin Nola,1B,1B/C,SD,@LAA,5,3600,8.8,2.4,5.8,1.6,7.7,2.1,W 9 Out
Manny Machado,3B,3B,SD,@LAA,3,4600,8.8,1.9,8.8,1.9,10.8,2.4,W 9 Out
