PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Clayton Kershaw,P,LAD,ARI,Yes,10900,33.0,3.0,41.4,3.8,41.4,3.8,W 5 Out
Dylan Cease,P,CWS,@KC,Yes,8900,29.8,3.3,32.2,3.6,24.1,2.7,W 8 L-R
Danny Duffy,P,KC,CWS,Yes,8000,26.2,3.3,30.6,3.8,27.6,3.5,W 8 L-R
Luke Weaver,P,ARI,@LAD,Yes,7100,24.0,3.4,19.2,2.7,16.4,2.3,W 5 Out
Cody Bellinger,OF,LAD,ARI,3,4300,14.4,3.4,15.0,3.5,12.0,2.8,W 5 Out
Mookie Betts,OF,LAD,ARI,1,4500,13.2,2.9,15.4,3.4,15.0,3.3,W 5 Out
Max Muncy,2B,LAD,ARI,2,3600,12.9,3.6,13.8,3.8,10.5,2.9,W 5 Out
Corey Seager,SS,LAD,ARI,5,3900,12.8,3.3,16.1,4.1,13.6,3.5,W 5 Out
Edwin Encarnacion,C1,CWS,@KC,5,2900,12.0,4.1,8.1,2.8,8.0,2.8,W 8 L-R
Jose Abreu,C1,CWS,@KC,3,3800,12.0,3.2,8.8,2.3,13.4,3.5,W 8 L-R
Luis Robert,OF,CWS,@KC,7,3600,11.8,3.3,15.1,4.2,12.0,3.3,W 8 L-R
Eloy Jimenez,OF,CWS,@KC,6,3800,11.6,3.1,4.4,1.2,11.7,3.1,W 8 L-R
Tim Anderson,SS,CWS,@KC,1,3700,11.6,3.1,8.6,2.3,13.0,3.5,W 8 L-R
Hunter Dozier,OF,KC,CWS,2,3100,11.6,3.7,13.0,4.2,11.8,3.8,W 8 L-R
Christian Walker,C1,ARI,@LAD,4,3000,11.1,3.7,12.1,4.0,10.6,3.5,W 5 Out
Yoan Moncada,3B,CWS,@KC,2,3400,11.1,3.3,9.3,2.7,9.8,2.9,W 8 L-R
Will Smith,C1,LAD,ARI,9,2800,10.9,3.9,13.1,4.7,9.7,3.5,W 5 Out
Whit Merrifield,OF,KC,CWS,1,3500,10.6,3.0,8.0,2.3,11.8,3.4,W 8 L-R
Jorge Soler,OF,KC,CWS,3,3000,10.4,3.5,6.2,2.1,10.1,3.4,W 8 L-R
Ryan O'Hearn,C1,KC,CWS,4,2400,10.3,4.3,6.3,2.6,7.1,2.9,W 8 L-R
Yasmani Grandal,C1,CWS,@KC,4,2900,10.3,3.5,8.6,3.0,9.0,3.1,W 8 L-R
Chris Taylor,SS,LAD,ARI,6,2700,10.1,3.8,9.5,3.5,8.4,3.1,W 5 Out
Gavin Lux,2B,LAD,ARI,8,2600,9.8,3.8,2.4,0.9,2.4,0.9,W 5 Out
A.J. Pollock,OF,LAD,ARI,4,2800,9.6,3.4,4.2,1.5,9.1,3.2,W 5 Out
Enrique Hernandez,2B,LAD,ARI,7,2500,9.2,3.7,1.9,0.8,6.3,2.5,W 5 Out
Adalberto Mondesi,SS,KC,CWS,7,2500,8.9,3.5,0.6,0.2,5.4,2.2,W 8 L-R
Alex Gordon,OF,KC,CWS,6,2400,8.7,3.6,10.3,4.3,6.3,2.6,W 8 L-R
Maikel Franco,3B,KC,CWS,5,2700,8.5,3.2,9.4,3.5,9.0,3.3,W 8 L-R
Nick Madrigal,2B,CWS,@KC,9,2600,8.4,3.3,9.3,3.6,7.4,2.9,W 8 L-R
Ketel Marte,2B,ARI,@LAD,2,2800,8.4,3.0,6.1,2.2,8.0,2.9,W 5 Out
Nick Ahmed,SS,ARI,@LAD,6,2600,8.3,3.2,6.3,2.4,8.3,3.2,W 5 Out
Eduardo Escobar,3B,ARI,@LAD,5,2800,8.2,2.9,7.9,2.8,8.1,2.9,W 5 Out
Nomar Mazara,OF,CWS,@KC,8,2100,8.0,3.8,4.4,2.1,5.6,2.7,W 8 L-R
Kole Calhoun,OF,ARI,@LAD,1,2900,7.9,2.7,5.5,1.9,10.5,3.6,W 5 Out
Cam Gallagher,C1,KC,CWS,9,2100,7.8,3.7,3.7,1.8,5.4,2.6,W 8 L-R
David Peralta,OF,ARI,@LAD,3,2700,7.1,2.6,5.6,2.1,8.6,3.2,W 5 Out
Daulton Varsho,C1,ARI,@LAD,8,2000,7.0,3.5,2.4,1.2,2.7,1.3,W 5 Out
Stephen Vogt,C1,ARI,@LAD,7,2000,6.7,3.4,2.4,1.2,4.6,2.3,W 5 Out
Jon Jay,OF,ARI,@LAD,9,2000,6.6,3.3,6.9,3.4,4.7,2.4,W 5 Out
Nicky Lopez,2B,KC,CWS,8,2100,6.1,2.9,3.0,1.4,4.9,2.3,W 8 L-R
Joc Pederson,OF,LAD,ARI,,2700,3.6,1.3,6.2,2.3,7.9,2.9,W 5 Out
Carson Kelly,C1,ARI,@LAD,,2200,3.5,1.6,6.2,2.8,5.3,2.4,W 5 Out
Matt Beaty,C1,LAD,ARI,,2200,3.5,1.6,1.8,0.8,5.3,2.4,W 5 Out
James McCann,C1,CWS,@KC,,2700,3.4,1.3,13.1,4.9,10.0,3.7,W 8 L-R
Josh Rojas,OF,ARI,@LAD,,2000,3.1,1.5,3.0,1.5,3.0,1.5,W 5 Out
Ryan McBroom,C1,KC,CWS,,2300,2.9,1.3,4.3,1.9,6.2,2.7,W 8 L-R
Jarrod Dyson,OF,CWS,@KC,,2000,2.9,1.4,1.3,0.6,4.2,2.1,W 8 L-R
Adam Engel,OF,CWS,@KC,,2200,2.8,1.3,3.9,1.8,6.2,2.8,W 8 L-R
Edwin Rios,3B,LAD,ARI,,2200,2.7,1.2,3.7,1.7,6.7,3.0,W 5 Out
Danny Mendick,2B,CWS,@KC,,2300,2.7,1.2,6.2,2.7,6.2,2.7,W 8 L-R
Austin Barnes,C1,LAD,ARI,,2100,2.7,1.3,9.4,4.5,7.8,3.7,W 5 Out
Salvador Perez,C1,KC,CWS,,2800,2.7,1.0,8.8,3.1,9.5,3.4,W 8 L-R
Yolmer Sanchez,2B,CWS,@KC,,2000,2.7,1.3,1.1,0.5,1.1,0.5,W 8 L-R
Bubba Starling,OF,KC,CWS,,2000,2.6,1.3,2.5,1.3,2.3,1.1,W 8 L-R
Tim Locastro,OF,ARI,@LAD,,2200,2.6,1.2,4.9,2.2,4.3,2.0,W 5 Out
Meibrys Viloria,C1,KC,CWS,,2000,2.6,1.3,0.6,0.3,2.0,1.0,W 8 L-R
Jake Lamb,3B,ARI,@LAD,,2000,2.5,1.3,3.1,1.6,2.5,1.3,W 5 Out
Andy Young,3B,ARI,@LAD,,2400,2.4,1.0,3.6,1.5,6.5,2.7,W 5 Out
Josh VanMeter,2B,ARI,@LAD,,2000,0.0,0.0,1.8,0.9,3.5,1.8,W 5 Out
Drew Jackson,OF,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Nicky Delmonico,OF,CWS,@KC,,2000,0.0,0.0,4.5,2.3,3.6,1.8,W 8 L-R
Rocky Gale,C1,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Erick Mejia,SS,KC,CWS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Terrance Gore,OF,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Humberto Arteaga,SS,KC,CWS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Sebastian Rivero,C1,KC,CWS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Nick Dini,C1,KC,CWS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Kevin Cron,C1,ARI,@LAD,,2000,0.0,0.0,0.6,0.3,1.1,0.6,W 5 Out
Zack Collins,C1,CWS,@KC,,2000,0.0,0.0,2.4,1.2,1.7,0.9,W 8 L-R
Zach McKinstry,2B,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Kody Hoese,3B,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Devin Mann,2B,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Miguel Vargas,3B,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Yermin Mercedes,C1,CWS,@KC,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Jake Vogel,OF,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Keibert Ruiz,C1,LAD,ARI,,2000,0.0,0.0,10.9,5.4,10.9,5.4,W 5 Out
Nick Heath,OF,KC,CWS,,2000,0.0,0.0,6.8,3.4,6.8,3.4,W 8 L-R
Jeison Guzman,SS,KC,CWS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Cheslor Cuthbert,C1,CWS,@KC,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Connor Joe,C1,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Luis Gonzalez,OF,CWS,@KC,,2000,0.0,0.0,2.1,1.0,2.1,1.0,W 8 L-R
Justin Turner,3B,LAD,ARI,,3000,0.0,0.0,12.4,4.1,10.5,3.5,W 5 Out
Ryan Goins,3B,CWS,@KC,,2000,0.0,0.0,1.2,0.6,1.1,0.6,W 8 L-R
Edward Olivares,OF,KC,CWS,,2000,0.0,0.0,1.2,0.6,4.6,2.3,W 8 L-R
Oscar Hernandez,C1,KC,CWS,,2000,0.0,0.0,2.3,1.2,2.3,1.2,W 8 L-R
Bobby Witt,SS,KC,CWS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Michael Busch,2B,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Carson Taylor,C1,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Anthony Garcia,OF,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
