PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
J.A. Happ,P,NYY,@NYM,Yes,7900,26.8,3.4,19.0,2.4,19.0,2.4,W 8 Out
Zach Eflin,P,PHI,WAS,Yes,9000,24.8,2.8,34.0,3.8,34.0,3.8,W 8 Out
Anibal Sanchez,P,WAS,@PHI,Yes,6300,24.3,3.9,15.2,2.4,16.7,2.7,W 8 Out
Robert Gsellman,P,NYM,NYY,Yes,5800,22.6,3.9,8.8,1.5,8.8,1.5,W 8 Out
Juan Soto,OF,WAS,@PHI,4,4700,14.2,3.0,13.8,2.9,16.3,3.5,W 8 Out
Rhys Hoskins,C1,PHI,WAS,2,3700,13.6,3.7,23.2,6.3,13.6,3.7,W 8 Out
Trea Turner,SS,WAS,@PHI,1,4000,13.6,3.4,14.7,3.7,13.7,3.4,W 8 Out
Andrew McCutchen,OF,PHI,WAS,1,3200,13.1,4.1,15.7,4.9,11.1,3.5,W 8 Out
Luke Voit,C1,NYY,@NYM,2,4000,12.8,3.2,10.1,2.5,13.5,3.4,W 8 Out
Clint Frazier,OF,NYY,@NYM,7,2900,12.6,4.3,11.1,3.8,12.5,4.3,W 8 Out
DJ LeMahieu,2B,NYY,@NYM,1,3400,12.2,3.6,13.1,3.8,11.7,3.4,W 8 Out
Bryce Harper,OF,PHI,WAS,3,4200,12.1,2.9,8.5,2.0,14.0,3.3,W 8 Out
J.T. Realmuto,C1,PHI,WAS,4,3600,11.5,3.2,12.2,3.4,13.2,3.7,W 8 Out
Gio Urshela,3B,NYY,@NYM,3,3200,11.3,3.5,11.9,3.7,11.0,3.4,W 8 Out
Jay Bruce,OF,PHI,WAS,5,2700,11.0,4.1,15.8,5.9,10.9,4.0,W 8 Out
Michael Conforto,OF,NYM,NYY,3,3000,10.9,3.6,14.6,4.9,12.1,4.0,W 8 Out
