PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
J.A. Happ,P,NYY,@NYM,Yes,7900,26.8,3.4,19.0,2.4,19.0,2.4,W 7 R-L
Zach Eflin,P,PHI,WAS,Yes,9000,24.7,2.8,34.0,3.8,34.0,3.8,W 7 Out
Anibal Sanchez,P,WAS,@PHI,Yes,6300,24.3,3.9,15.2,2.4,16.7,2.7,W 7 Out
Robert Gsellman,P,NYM,NYY,Yes,5800,22.4,3.9,8.8,1.5,8.8,1.5,W 7 R-L
Juan Soto,OF,WAS,@PHI,4,4700,13.9,3.0,13.8,2.9,16.3,3.5,W 7 Out
Bryce Harper,OF,PHI,WAS,3,4200,13.6,3.2,8.5,2.0,14.0,3.3,W 7 Out
Luke Voit,C1,NYY,@NYM,2,4000,12.8,3.2,10.1,2.5,13.5,3.4,W 7 R-L
Trea Turner,SS,WAS,@PHI,1,4000,12.6,3.1,14.7,3.7,13.7,3.4,W 7 Out
Pete Alonso,C1,NYM,NYY,6,3500,11.9,3.4,8.3,2.4,9.7,2.8,W 7 R-L
DJ LeMahieu,2B,NYY,@NYM,1,3400,11.8,3.5,13.1,3.8,11.7,3.4,W 7 R-L
J.D. Davis,OF,NYM,NYY,2,2700,11.7,4.3,4.9,1.8,8.7,3.2,W 7 R-L
Aaron Hicks,OF,NYY,@NYM,5,2800,11.6,4.2,8.0,2.9,8.2,2.9,W 7 R-L
Clint Frazier,OF,NYY,@NYM,7,2900,11.6,4.0,11.1,3.8,12.5,4.3,W 7 R-L
Gary Sanchez,C1,NYY,@NYM,4,2900,11.5,4.0,7.0,2.4,7.1,2.4,W 7 R-L
J.T. Realmuto,C1,PHI,WAS,4,3600,11.4,3.2,12.2,3.4,13.2,3.7,W 7 Out
Brett Gardner,OF,NYY,@NYM,6,2500,11.4,4.6,2.5,1.0,6.4,2.6,W 7 R-L
Gio Urshela,3B,NYY,@NYM,3,3200,11.4,3.6,11.9,3.7,11.0,3.4,W 7 R-L
Rhys Hoskins,C1,PHI,WAS,2,3700,11.3,3.1,23.2,6.3,13.6,3.7,W 7 Out
