PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Clayton Kershaw,P,LAD,ARI,Yes,10900,33.0,3.0,41.4,3.8,41.4,3.8,W 5 Out
Mike Clevinger,P,SD,@LAA,Yes,9400,32.6,3.5,30.3,3.2,30.3,3.2,W 9 Out
Zack Greinke,P,HOU,TEX,Yes,9900,32.6,3.3,32.2,3.3,28.5,2.9,In Dome
Andrew Heaney,P,LAA,SD,Yes,8500,30.0,3.5,27.4,3.2,27.6,3.2,W 9 Out
Dylan Cease,P,CWS,@KC,Yes,8900,29.7,3.3,32.2,3.6,24.1,2.7,W 8 L-R
J.A. Happ,P,NYY,@NYM,Yes,7900,26.8,3.4,15.2,1.9,15.2,1.9,W 8 Out
Danny Duffy,P,KC,CWS,Yes,8000,26.2,3.3,30.6,3.8,27.6,3.5,W 8 L-R
Lance Lynn,P,TEX,@HOU,Yes,9200,26.2,2.9,32.0,3.5,37.2,4.1,In Dome
Taijuan Walker,P,TOR,@BOS,Yes,9200,25.4,2.8,37.2,4.0,30.7,3.3,W 4 R-L
Zach Eflin,P,PHI,WAS,Yes,9000,24.9,2.8,28.6,3.2,28.3,3.2,W 8 Out
Anibal Sanchez,P,WAS,@PHI,Yes,6300,24.2,3.8,12.6,2.0,14.3,2.3,W 8 Out
Alec Mills,P,CHC,@PIT,Yes,8300,24.2,2.9,13.8,1.7,20.4,2.5,W 2 L-R
Luke Weaver,P,ARI,@LAD,Yes,7100,24.0,3.4,19.2,2.7,16.4,2.3,W 5 Out
Robert Gsellman,P,NYM,NYY,Yes,5800,22.6,3.9,7.0,1.2,7.0,1.2,W 8 Out
Martin Perez,P,BOS,TOR,Yes,6700,22.5,3.4,19.8,3.0,20.0,3.0,W 4 R-L
JT Brubaker,P,PIT,CHC,Yes,6200,22.0,3.6,15.6,2.5,16.3,2.6,W 2 L-R
Fernando Tatis,SS,SD,@LAA,2,4700,14.7,3.1,19.3,4.1,16.9,3.6,W 9 Out
