PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Max Scherzer,P,WAS,@PHI,Yes,11200,38.0,3.4,33.2,3.0,37.0,3.3,W 8 Out
Cristian Javier,P,HOU,TEX,Yes,7600,34.6,4.6,25.8,3.4,24.7,3.3,In Dome
Walker Buehler,P,LAD,ARI,Yes,10300,34.4,3.3,26.6,2.6,26.6,2.6,W 6 Out
Charlie Morton,P,TB,@NYY,Yes,7800,33.3,4.3,19.3,2.5,19.3,2.5,W 9 R-L
Dinelson Lamet,P,SD,@LAA,Yes,9300,33.2,3.6,36.6,3.9,36.9,4.0,W 7 Out
Jose Berrios,P,MIN,CWS,Yes,8800,31.2,3.5,32.2,3.7,26.9,3.1,W 8 R-L
Adrian Houser,P,MIL,DET,Yes,6000,30.9,5.2,21.8,3.6,22.2,3.7,In Dome
Sixto Sanchez,P,MIA,TOR,Yes,8700,30.0,3.5,39.5,4.5,39.5,4.5,In Dome
Hyun-Jin Ryu,P,TOR,@MIA,Yes,9400,28.9,3.1,37.8,4.0,31.3,3.3,In Dome
Tyler Mahle,P,CIN,STL,Yes,7900,28.3,3.6,29.8,3.8,29.8,3.8,W 7 Out
Jordan Montgomery,P,NYY,TB,Yes,7100,28.2,4.0,22.6,3.2,22.6,3.2,W 9 R-L
Zac Gallen,P,ARI,@LAD,Yes,10000,27.8,2.8,40.0,4.0,38.6,3.9,W 6 Out
Zack Wheeler,P,PHI,WAS,Yes,9100,27.4,3.0,29.0,3.2,30.8,3.4,W 8 Out
Spencer Turnbull,P,DET,@MIL,Yes,8100,27.1,3.3,25.8,3.2,27.5,3.4,In Dome
Kyle Hendricks,P,CHC,@PIT,Yes,8300,26.4,3.2,28.0,3.4,29.7,3.6,W 8 Out
Julio Teheran,P,LAA,SD,Yes,5600,25.4,4.5,6.4,1.1,6.4,1.1,W 7 Out
Joe Musgrove,P,PIT,CHC,Yes,6700,25.4,3.8,20.7,3.1,20.7,3.1,W 8 Out
Michael Wacha,P,NYM,@BAL,Yes,7400,24.3,3.3,22.5,3.0,22.5,3.0,W 9 Out
Jakob Junis,P,KC,CLE,Yes,6400,24.3,3.8,12.5,2.0,12.5,2.0,W 4 R-L
Triston McKenzie,P,CLE,@KC,Yes,8000,23.7,3.0,35.0,4.4,35.0,4.4,W 4 R-L
John Means,P,BAL,NYM,Yes,5700,23.0,4.0,7.4,1.3,5.8,1.0,W 9 Out
Kyle Freeland,P,COL,SF,Yes,7600,22.6,3.0,18.8,2.5,24.0,3.2,W 3 R-L
Mike Kickham,P,BOS,ATL,Yes,5500,22.1,4.0,0.0,0.0,0.0,0.0,W 10 R-L
Reynaldo Lopez,P,CWS,@MIN,Yes,6500,21.7,3.3,8.0,1.2,8.0,1.2,W 8 R-L
Logan Webb,P,SF,@COL,Yes,6500,21.7,3.3,17.8,2.7,19.3,3.0,W 3 R-L
Robbie Erlin,P,ATL,@BOS,Yes,5800,21.4,3.7,15.4,2.7,13.0,2.2,W 10 R-L
Kolby Allard,P,TEX,@HOU,Yes,6300,18.4,2.9,14.4,2.3,14.4,2.3,In Dome
Johan Oviedo,P,STL,@CIN,Yes,6100,18.4,3.0,16.5,2.7,16.5,2.7,W 7 Out
Kyle Tucker,OF,HOU,TEX,4,3600,16.4,4.6,15.8,4.4,13.5,3.8,In Dome
Ronald Acuna,OF,ATL,@BOS,1,3900,15.7,4.0,11.7,3.0,11.3,2.9,W 10 R-L
Alex Dickerson,OF,SF,@COL,6,3200,15.1,4.7,24.5,7.7,9.5,3.0,W 3 R-L
Mike Trout,OF,LAA,SD,2,4500,15.0,3.3,20.8,4.6,15.0,3.3,W 7 Out
Marcell Ozuna,OF,ATL,@BOS,4,3400,14.9,4.4,22.1,6.5,13.2,3.9,W 10 R-L
Pete Alonso,C1,NYM,@BAL,6,3500,14.5,4.1,3.9,1.1,9.3,2.7,W 9 Out
Austin Riley,3B,ATL,@BOS,8,2500,14.5,5.8,19.5,7.8,9.4,3.8,W 10 R-L
Darin Ruf,OF,SF,@COL,5,3000,14.4,4.8,2.4,0.8,5.3,1.8,W 3 R-L
Brad Miller,C1,STL,@CIN,4,2800,14.4,5.1,19.5,7.0,13.6,4.9,W 7 Out
Ian Happ,OF,CHC,@PIT,1,3100,14.3,4.6,20.7,6.7,12.3,4.0,W 8 Out
Xander Bogaerts,SS,BOS,ATL,4,3700,14.2,3.8,17.5,4.7,11.6,3.1,W 10 R-L
George Springer,OF,HOU,TEX,1,3500,14.0,4.0,9.3,2.7,10.1,2.9,In Dome
Fernando Tatis,SS,SD,@LAA,2,4700,13.8,2.9,17.4,3.7,17.0,3.6,W 7 Out
Manny Machado,3B,SD,@LAA,3,3800,13.8,3.6,11.4,3.0,14.4,3.8,W 7 Out
Evan Longoria,3B,SF,@COL,3,3500,13.8,3.9,13.9,4.0,10.0,2.9,W 3 R-L
Jose Ramirez,3B,CLE,@KC,2,3900,13.7,3.5,16.7,4.3,13.5,3.5,W 4 R-L
Trevor Story,SS,COL,SF,2,4400,13.7,3.1,3.7,0.9,13.9,3.2,W 3 R-L
Kyle Schwarber,OF,CHC,@PIT,6,3100,13.7,4.4,20.8,6.7,11.0,3.5,W 8 Out
Freddie Freeman,C1,ATL,@BOS,3,3900,13.6,3.5,13.7,3.5,12.8,3.3,W 10 R-L
Christian Yelich,OF,MIL,DET,2,4100,13.5,3.3,12.4,3.0,11.7,2.9,In Dome
Wilson Ramos,C1,NYM,@BAL,7,2200,13.5,6.1,7.5,3.4,5.8,2.6,W 9 Out
Amed Rosario,SS,NYM,@BAL,9,2400,13.3,5.6,6.9,2.9,6.3,2.6,W 9 Out
Nelson Cruz,OF,MIN,CWS,3,4000,13.1,3.3,13.5,3.4,13.9,3.5,W 8 R-L
Michael Conforto,OF,NYM,@BAL,3,3000,12.8,4.3,5.1,1.7,11.1,3.7,W 9 Out
Paul Goldschmidt,C1,STL,@CIN,3,3400,12.8,3.8,15.3,4.5,11.9,3.5,W 7 Out
Dansby Swanson,SS,ATL,@BOS,2,3500,12.8,3.7,13.7,3.9,12.4,3.5,W 10 R-L
Franmil Reyes,OF,CLE,@KC,5,3000,12.8,4.3,22.5,7.5,11.2,3.8,W 4 R-L
J.D. Martinez,OF,BOS,ATL,3,3200,12.7,4.0,4.9,1.5,8.8,2.7,W 10 R-L
Anthony Rizzo,C1,CHC,@PIT,3,3800,12.6,3.3,17.3,4.5,10.4,2.7,W 8 Out
Juan Soto,OF,WAS,@PHI,4,4700,12.6,2.7,17.7,3.8,16.9,3.6,W 8 Out
Nick Markakis,OF,ATL,@BOS,6,2800,12.6,4.5,12.5,4.5,9.5,3.4,W 10 R-L
Donovan Solano,2B,SF,@COL,1,3300,12.6,3.8,10.3,3.1,10.2,3.1,W 3 R-L
J.D. Davis,OF,NYM,@BAL,2,2700,12.6,4.7,1.8,0.7,8.6,3.2,W 9 Out
Nolan Arenado,3B,COL,SF,3,4100,12.5,3.1,4.2,1.0,9.8,2.4,W 3 R-L
Jeff McNeil,3B,NYM,@BAL,1,2500,12.5,5.0,9.8,3.9,6.5,2.6,W 9 Out
Garrett Hampson,OF,COL,SF,6,3000,12.5,4.2,10.0,3.3,8.7,2.9,W 3 R-L
Mike Yastrzemski,OF,SF,@COL,2,4300,12.4,2.9,9.9,2.3,13.6,3.2,W 3 R-L
Hunter Renfroe,OF,TB,@NYY,4,2700,12.4,4.6,4.4,1.6,8.0,3.0,W 9 R-L
Trea Turner,SS,WAS,@PHI,1,4000,12.4,3.1,20.4,5.1,14.1,3.5,W 8 Out
Renato Nunez,C1,BAL,NYM,4,3100,12.4,4.0,12.5,4.0,11.5,3.7,W 9 Out
Rafael Devers,3B,BOS,ATL,2,3400,12.3,3.6,16.3,4.8,10.3,3.0,W 10 R-L
Wilmer Flores,2B,SF,@COL,4,3500,12.3,3.5,11.2,3.2,10.5,3.0,W 3 R-L
Hunter Dozier,OF,KC,CLE,2,3000,12.3,4.1,14.2,4.8,12.1,4.0,W 4 R-L
Max Muncy,2B,LAD,ARI,2,3600,12.2,3.4,13.8,3.8,10.7,3.0,W 6 Out
Wil Myers,OF,SD,@LAA,6,3400,12.2,3.6,13.2,3.9,12.5,3.7,W 7 Out
Corey Seager,SS,LAD,ARI,3,3800,12.2,3.2,15.5,4.1,13.9,3.7,W 6 Out
Eric Hosmer,C1,SD,@LAA,4,3700,12.2,3.3,15.7,4.2,12.5,3.4,W 7 Out
Trent Grisham,OF,SD,@LAA,1,3200,12.1,3.8,10.6,3.3,11.6,3.6,W 7 Out
Jose Altuve,2B,HOU,TEX,2,3200,12.1,3.8,7.4,2.3,9.0,2.8,In Dome
Jorge Soler,OF,KC,CLE,3,3000,12.0,4.0,11.8,3.9,10.4,3.5,W 4 R-L
Mookie Betts,OF,LAD,ARI,1,4400,12.0,2.7,11.1,2.5,14.8,3.4,W 6 Out
Francisco Lindor,SS,CLE,@KC,3,3300,12.0,3.7,13.6,4.1,9.8,3.0,W 4 R-L
Jon Berti,2B,MIA,TOR,1,2700,12.0,4.5,8.6,3.2,10.2,3.8,In Dome
