PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Zack Greinke,P,HOU,TEX,Yes,9900,32.7,3.3,30.2,3.1,27.3,2.8,In Dome
J.A. Happ,P,NYY,@NYM,Yes,7900,26.8,3.4,19.0,2.4,19.0,2.4,W 8 Out
Lance Lynn,P,TEX,@HOU,Yes,9200,26.2,2.8,33.2,3.6,37.9,4.1,In Dome
Zach Eflin,P,PHI,WAS,Yes,9000,24.8,2.8,34.0,3.8,34.0,3.8,W 8 Out
Anibal Sanchez,P,WAS,@PHI,Yes,6300,24.3,3.9,15.2,2.4,16.7,2.7,W 8 Out
Alec Mills,P,CHC,@PIT,Yes,8300,24.2,2.9,13.8,1.7,20.4,2.5,W 2 L-R
Robert Gsellman,P,NYM,NYY,Yes,5800,22.6,3.9,8.8,1.5,8.8,1.5,W 8 Out
JT Brubaker,P,PIT,CHC,Yes,6200,22.0,3.6,12.0,1.9,13.7,2.2,W 2 L-R
Ian Happ,OF,CHC,@PIT,1,3100,14.8,4.8,22.5,7.3,12.0,3.9,W 2 L-R
Juan Soto,OF,WAS,@PHI,4,4700,14.2,3.0,13.8,2.9,16.3,3.5,W 8 Out
Kyle Schwarber,OF,CHC,@PIT,5,3100,14.1,4.5,15.9,5.1,10.7,3.4,W 2 L-R
Trea Turner,SS,WAS,@PHI,1,4000,13.6,3.4,14.7,3.7,13.7,3.4,W 8 Out
Rhys Hoskins,C1,PHI,WAS,2,3700,13.6,3.7,23.2,6.3,13.6,3.7,W 8 Out
Andrew McCutchen,OF,PHI,WAS,1,3200,13.1,4.1,15.7,4.9,11.1,3.5,W 8 Out
Anthony Rizzo,C1,CHC,@PIT,3,3800,13.1,3.4,9.9,2.6,10.3,2.7,W 2 L-R
Luke Voit,C1,NYY,@NYM,2,4000,12.8,3.2,10.1,2.5,13.5,3.4,W 8 Out
Clint Frazier,OF,NYY,@NYM,7,2900,12.6,4.3,11.1,3.8,12.5,4.3,W 8 Out
Jason Heyward,OF,CHC,@PIT,7,2700,12.5,4.6,13.7,5.1,9.9,3.7,W 2 L-R
DJ LeMahieu,2B,NYY,@NYM,1,3400,12.2,3.6,13.1,3.8,11.7,3.4,W 8 Out
Bryce Harper,OF,PHI,WAS,3,4200,12.1,2.9,8.5,2.0,14.0,3.3,W 8 Out
Kyle Tucker,OF,HOU,TEX,5,3600,11.8,3.3,10.2,2.8,12.7,3.5,In Dome
George Springer,OF,HOU,TEX,1,3500,11.5,3.3,8.7,2.5,9.6,2.7,In Dome
J.T. Realmuto,C1,PHI,WAS,4,3600,11.5,3.2,12.2,3.4,13.2,3.7,W 8 Out
Kris Bryant,3B,CHC,@PIT,2,3000,11.4,3.8,2.4,0.8,6.8,2.3,W 2 L-R
Gio Urshela,3B,NYY,@NYM,3,3200,11.3,3.5,11.9,3.7,11.0,3.4,W 8 Out
Jay Bruce,OF,PHI,WAS,5,2700,11.0,4.1,15.8,5.9,10.9,4.0,W 8 Out
Michael Conforto,OF,NYM,NYY,3,3000,10.9,3.6,14.6,4.9,12.1,4.0,W 8 Out
Pete Alonso,C1,NYM,NYY,6,3500,10.8,3.1,8.3,2.4,9.7,2.8,W 8 Out
Didi Gregorius,SS,PHI,WAS,6,3000,10.7,3.6,10.1,3.4,10.6,3.6,W 8 Out
Michael Brantley,OF,HOU,TEX,3,2900,10.7,3.7,15.8,5.4,11.6,4.0,In Dome
Gary Sanchez,C1,NYY,@NYM,4,2900,10.4,3.6,7.0,2.4,7.1,2.4,W 8 Out
Aaron Hicks,OF,NYY,@NYM,5,2800,10.4,3.7,8.0,2.9,8.2,2.9,W 8 Out
Brett Gardner,OF,NYY,@NYM,6,2500,10.4,4.1,2.5,1.0,6.4,2.6,W 8 Out
