first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Chase,Anderson,P,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,5600,9.0,21.2,43.0,10.9,1.94
Jason,Castro,C,,2020-08-31,Early Only,LAA,COL,,,+1.5,12,5.9,2200,0.0,4.3,9.7,8.4,3.80
Vladimir,Guerrero Jr.,1B,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,3500,9.5,18.5,34.9,8.3,2.38
Anthony,Santander,OF,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,3400,0.0,3.7,9.5,8.1,2.39
José,Iglesias,SS,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2500,3.0,11.1,21.7,7.6,3.02
Randal,Grichuk,OF,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,3500,3.0,13.9,21.9,7.4,2.12
Cavan,Biggio,2B,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,4000,3.0,9.4,16.0,7.1,1.76
Ryan,Mountcastle,1B,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2600,0.0,10.2,25.9,7.0,2.68
Chance,Sisco,C,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2600,0.0,4.9,15.4,6.8,2.62
Keegan,Akin,P,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,5700,0.3,0.3,0.3,6.8,1.19
Danny,Jansen,C,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2300,0.0,5.6,13.0,6.8,2.97
Hanser,Alberto,2B,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2900,3.0,8.7,18.7,6.8,2.34
Rio,Ruiz,3B,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2700,0.0,2.5,9.2,6.6,2.44
Cedric,Mullins,OF,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2000,0.0,4.8,18.2,6.3,3.16
Lourdes,Gurriel Jr.,OF,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2800,0.0,10.0,22.2,6.2,2.20
Pedro,Severino,C,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2800,0.0,6.9,12.7,6.0,2.15
Joe,Panik,2B,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2000,0.0,7.9,12.2,5.1,2.57
Travis,Shaw,3B,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2500,0.0,4.8,15.0,4.8,1.93
Pat,Valaika,SS,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2300,0.0,6.1,15.7,4.7,2.03
Derek,Fisher,OF,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2100,0.0,6.7,15.0,4.3,2.03
Rowdy,Tellez,1B,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2900,0.0,9.0,29.4,4.2,1.46
Santiago,Espinal,SS,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2000,0.0,8.6,18.2,4.0,2.01
Andrew,Velazquez,3B,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2000,0.0,3.7,9.5,3.6,1.82
Brandon,Drury,3B,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2000,0.0,5.6,15.5,3.6,1.78
Mason,Williams,OF,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2000,0.0,3.0,12.0,3.4,1.70
Daniel,Vogelbach,1B,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2000,0.0,1.2,6.0,3.3,1.63
Bryan,Holaday,C,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2000,0.0,1.2,3.2,2.6,1.31
Chris,Davis,1B,,2020-08-31,Early Only,BAL,TOR,,,+1.5,10.5,4.6,2000,0.0,0.6,3.0,2.6,1.28
Reese,McGuire,C,,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2100,0.0,0.6,3.2,2.4,1.13
Breyvic,Valera,SS,O,2020-08-31,Early Only,TOR,BAL,,,-1.5,10.5,5.9,2000,0.0,7.0,28.4,0.0,0.00
