first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Ian,Anderson,P,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,9000,43.0,43.0,43.0,22.4,2.49
Michael,Conforto,OF,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,3100,0.0,13.1,31.1,15.2,4.90
Asher,Wojciechowski,P,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,6100,12.0,22.5,46.0,15.0,2.45
Pete,Alonso,1B,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,3600,3.0,7.7,16.7,13.9,3.87
Christian,Yelich,OF,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,4100,3.0,8.1,21.9,13.8,3.36
Brandon,Nimmo,OF,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,2900,0.0,5.0,9.7,13.5,4.64
Freddie,Freeman,1B,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,4000,3.0,13.0,22.2,13.3,3.32
Michael,Fulmer,P,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,5500,0.6,6.2,15.0,12.9,2.35
Dominic,Smith,OF,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,3600,0.0,7.5,15.9,12.6,3.50
Robinson,Canó,2B,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,3500,0.0,8.8,22.4,12.6,3.61
Marcell,Ozuna,OF,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,3300,0.0,12.5,22.2,12.4,3.75
Nick,Markakis,OF,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,2700,0.0,16.2,28.2,11.9,4.41
Jeff,McNeil,3B,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,2500,0.0,2.4,6.0,11.8,4.72
Dansby,Swanson,SS,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,3400,6.0,11.4,19.4,11.6,3.40
Keston,Hiura,2B,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,3200,3.0,7.5,12.7,11.5,3.58
Austin,Riley,3B,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,2500,0.0,14.6,31.9,11.4,4.57
Travis,d'Arnaud,C,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,3000,0.0,4.3,12.7,11.2,3.74
Victor,Reyes,OF,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2300,3.0,10.4,15.2,10.8,4.68
Anthony,Santander,OF,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,3300,0.0,9.3,27.9,10.6,3.22
Ryan,Braun,1B,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,2700,0.0,5.7,16.7,10.6,3.94
Adam,Duvall,OF,,2020-09-01,Express,ATL,BOS,,,-1.5,10,5.6,2300,0.0,4.4,12.7,10.4,4.50
Ryan,Weber,P,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,5500,0.0,0.0,0.0,10.4,1.90
Justin,Smoak,1B,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,2800,0.0,2.4,6.2,10.3,3.69
José,Iglesias,SS,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,2500,9.2,14.9,22.2,10.2,4.07
Josh,Lindblom,P,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,6800,0.0,0.0,0.0,10.1,1.48
Niko,Goodrum,SS,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2800,0.0,9.9,25.0,10.1,3.60
J.D.,Martinez,OF,DTD,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,3200,0.0,6.1,12.2,10.1,3.16
Jonathan,Schoop,2B,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,3200,6.0,12.8,23.2,9.9,3.09
Xander,Bogaerts,SS,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,3600,0.0,12.7,34.7,9.8,2.73
Luis,Urías,3B,,2020-09-01,Express,MIL,DET,,,-1.5,9.5,5.5,2400,0.0,5.6,15.2,9.7,4.04
Chance,Sisco,C,,2020-09-01,Express,BAL,NYM,,,+1.5,10,4.6,2600,0.0,6.1,15.4,9.6,3.69
Wilson,Ramos,C,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,2200,0.0,8.8,15.7,9.5,4.30
Miguel,Cabrera,1B,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2700,6.0,13.2,18.7,9.4,3.50
Rafael,Devers,3B,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,3500,0.0,11.4,35.1,9.3,2.65
Jeimer,Candelario,1B,,2020-09-01,Express,DET,MIL,,,+1.5,9.5,4,2600,3.5,10.7,15.4,9.1,3.51
Alex,Verdugo,OF,,2020-09-01,Express,BOS,ATL,,,+1.5,10,4.4,3000,0.0,13.4,33.4,9.0,3.01
Amed,Rosario,SS,,2020-09-01,Express,NYM,BAL,,,-1.5,10,5.4,2400,0.0,1.2,3.0,9.0,3.76
