PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Clayton Kershaw,P,LAD,ARI,Yes,10900,33.0,3.0,41.4,3.8,41.4,3.8,W 5 Out
Zack Greinke,P,HOU,TEX,Yes,9900,32.7,3.3,30.2,3.1,27.3,2.8,In Dome
Mike Clevinger,P,SD,@LAA,Yes,9400,32.6,3.5,30.3,3.2,30.3,3.2,W 9 Out
Andrew Heaney,P,LAA,SD,Yes,8500,30.0,3.5,27.4,3.2,27.6,3.2,W 9 Out
Dylan Cease,P,CWS,@KC,Yes,8900,29.8,3.3,32.2,3.6,24.1,2.7,W 8 L-R
J.A. Happ,P,NYY,@NYM,Yes,7900,26.8,3.4,19.0,2.4,19.0,2.4,W 8 Out
Danny Duffy,P,KC,CWS,Yes,8000,26.2,3.3,30.6,3.8,27.6,3.5,W 8 L-R
Lance Lynn,P,TEX,@HOU,Yes,9200,26.2,2.8,33.2,3.6,37.9,4.1,In Dome
Taijuan Walker,P,TOR,@BOS,Yes,9200,25.4,2.8,37.2,4.0,30.7,3.3,W 4 R-L
Zach Eflin,P,PHI,WAS,Yes,9000,24.8,2.8,34.0,3.8,34.0,3.8,W 8 Out
Anibal Sanchez,P,WAS,@PHI,Yes,6300,24.3,3.9,15.2,2.4,16.7,2.7,W 8 Out
Alec Mills,P,CHC,@PIT,Yes,8300,24.2,2.9,13.8,1.7,20.4,2.5,W 2 L-R
Luke Weaver,P,ARI,@LAD,Yes,7100,24.0,3.4,19.2,2.7,16.4,2.3,W 5 Out
Robert Gsellman,P,NYM,NYY,Yes,5800,22.6,3.9,8.8,1.5,8.8,1.5,W 8 Out
Martin Perez,P,BOS,TOR,Yes,6700,22.5,3.4,19.8,3.0,20.0,3.0,W 4 R-L
JT Brubaker,P,PIT,CHC,Yes,6200,22.0,3.6,12.0,1.9,13.7,2.2,W 2 L-R
Ian Happ,OF,CHC,@PIT,1,3100,14.8,4.8,22.5,7.3,12.0,3.9,W 2 L-R
Fernando Tatis,SS,SD,@LAA,2,4700,14.7,3.1,19.3,4.1,16.9,3.6,W 9 Out
Rafael Devers,3B,BOS,TOR,2,3500,14.5,4.2,17.6,5.0,10.5,3.0,W 4 R-L
Cody Bellinger,OF,LAD,ARI,3,4300,14.4,3.4,15.0,3.5,12.0,2.8,W 5 Out
Juan Soto,OF,WAS,@PHI,4,4700,14.2,3.0,13.8,2.9,16.3,3.5,W 8 Out
Kyle Schwarber,OF,CHC,@PIT,5,3100,14.1,4.5,15.9,5.1,10.7,3.4,W 2 L-R
Lourdes Gurriel,OF,TOR,@BOS,6,2900,13.8,4.8,13.0,4.5,9.4,3.3,W 4 R-L
Rhys Hoskins,C1,PHI,WAS,2,3700,13.6,3.7,23.2,6.3,13.6,3.7,W 8 Out
Trea Turner,SS,WAS,@PHI,1,4000,13.6,3.4,14.7,3.7,13.7,3.4,W 8 Out
Manny Machado,3B,SD,@LAA,3,3900,13.6,3.5,11.5,3.0,14.5,3.7,W 9 Out
Mike Trout,OF,LAA,SD,2,4600,13.5,2.9,23.3,5.1,15.3,3.3,W 9 Out
Xander Bogaerts,SS,BOS,TOR,3,3800,13.4,3.5,18.2,4.8,11.4,3.0,W 4 R-L
Mookie Betts,OF,LAD,ARI,1,4500,13.2,2.9,15.4,3.4,15.0,3.3,W 5 Out
Andrew McCutchen,OF,PHI,WAS,1,3200,13.1,4.1,15.7,4.9,11.1,3.5,W 8 Out
Anthony Rizzo,C1,CHC,@PIT,3,3800,13.1,3.4,9.9,2.6,10.3,2.7,W 2 L-R
Max Muncy,2B,LAD,ARI,2,3600,12.9,3.6,13.8,3.8,10.5,2.9,W 5 Out
Teoscar Hernandez,OF,TOR,@BOS,4,3900,12.8,3.3,8.7,2.2,13.0,3.3,W 4 R-L
Corey Seager,SS,LAD,ARI,5,3900,12.8,3.3,16.1,4.1,13.6,3.5,W 5 Out
Luke Voit,C1,NYY,@NYM,2,4000,12.8,3.2,10.1,2.5,13.5,3.4,W 8 Out
Clint Frazier,OF,NYY,@NYM,7,2900,12.6,4.3,11.1,3.8,12.5,4.3,W 8 Out
Jason Heyward,OF,CHC,@PIT,7,2700,12.5,4.6,13.7,5.1,9.9,3.7,W 2 L-R
DJ LeMahieu,2B,NYY,@NYM,1,3400,12.2,3.6,13.1,3.8,11.7,3.4,W 8 Out
Bryce Harper,OF,PHI,WAS,3,4200,12.1,2.9,8.5,2.0,14.0,3.3,W 8 Out
Edwin Encarnacion,C1,CWS,@KC,5,2900,12.0,4.1,8.1,2.8,8.0,2.8,W 8 L-R
Vladimir Guerrero,C1,TOR,@BOS,5,3300,12.0,3.6,6.3,1.9,9.6,2.9,W 4 R-L
Jose Abreu,C1,CWS,@KC,3,3800,12.0,3.2,8.8,2.3,13.4,3.5,W 8 L-R
Randal Grichuk,OF,TOR,@BOS,2,3400,11.9,3.5,5.6,1.7,12.2,3.6,W 4 R-L
Kyle Tucker,OF,HOU,TEX,5,3600,11.8,3.3,10.2,2.8,12.7,3.5,In Dome
Luis Robert,OF,CWS,@KC,7,3600,11.8,3.3,15.1,4.2,12.0,3.3,W 8 L-R
Austin Nola,C1,SD,@LAA,5,2800,11.7,4.2,8.1,2.9,10.1,3.6,W 9 Out
Tim Anderson,SS,CWS,@KC,1,3700,11.6,3.1,8.6,2.3,13.0,3.5,W 8 L-R
Eloy Jimenez,OF,CWS,@KC,6,3800,11.6,3.1,4.4,1.2,11.7,3.1,W 8 L-R
Hunter Dozier,OF,KC,CWS,2,3100,11.6,3.7,13.0,4.2,11.8,3.8,W 8 L-R
George Springer,OF,HOU,TEX,1,3500,11.5,3.3,8.7,2.5,9.6,2.7,In Dome
J.T. Realmuto,C1,PHI,WAS,4,3600,11.5,3.2,12.2,3.4,13.2,3.7,W 8 Out
Alex Verdugo,OF,BOS,TOR,1,2900,11.5,4.0,16.0,5.5,11.1,3.8,W 4 R-L
J.D. Martinez,OF,BOS,TOR,4,3300,11.5,3.5,7.4,2.3,9.0,2.7,W 4 R-L
Kris Bryant,3B,CHC,@PIT,2,3000,11.4,3.8,2.4,0.8,6.8,2.3,W 2 L-R
Jake Cronenworth,2B,SD,@LAA,7,3200,11.4,3.6,16.9,5.3,11.3,3.5,W 9 Out
Cavan Biggio,2B,TOR,@BOS,1,3800,11.3,3.0,6.3,1.7,12.2,3.2,W 4 R-L
Gio Urshela,3B,NYY,@NYM,3,3200,11.3,3.5,11.9,3.7,11.0,3.4,W 8 Out
Christian Walker,C1,ARI,@LAD,4,3000,11.1,3.7,12.1,4.0,10.6,3.5,W 5 Out
Yoan Moncada,3B,CWS,@KC,2,3400,11.1,3.3,9.3,2.7,9.8,2.9,W 8 L-R
Derek Fisher,OF,TOR,@BOS,9,2100,11.1,5.3,2.0,1.0,4.1,2.0,W 4 R-L
Eric Hosmer,C1,SD,@LAA,4,3700,11.0,3.0,23.3,6.3,13.5,3.6,W 9 Out
Jurickson Profar,2B,SD,@LAA,8,2700,11.0,4.1,16.3,6.0,9.1,3.4,W 9 Out
Jay Bruce,OF,PHI,WAS,5,2700,11.0,4.1,15.8,5.9,10.9,4.0,W 8 Out
Michael Conforto,OF,NYM,NYY,3,3000,10.9,3.6,14.6,4.9,12.1,4.0,W 8 Out
Will Smith,C1,LAD,ARI,9,2800,10.9,3.9,13.1,4.7,9.7,3.5,W 5 Out
Pete Alonso,C1,NYM,NYY,6,3500,10.8,3.1,8.3,2.4,9.7,2.8,W 8 Out
Didi Gregorius,SS,PHI,WAS,6,3000,10.7,3.6,10.1,3.4,10.6,3.6,W 8 Out
