PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Dinelson Lamet,P,SD,COL,Yes,9000,34.7,3.9,39.0,4.3,36.3,4.0,W 7 Out
Cristian Javier,P,HOU,@OAK,Yes,7700,31.6,4.1,26.8,3.5,26.1,3.4,W 9 Out
Zac Gallen,P,ARI,@SF,Yes,10600,29.6,2.8,42.4,4.0,39.5,3.7,W 10 Out
Frankie Montas,P,OAK,HOU,Yes,6300,25.8,4.1,21.8,3.5,21.6,3.4,W 9 Out
Kevin Gausman,P,SF,ARI,Yes,7700,24.7,3.2,33.8,4.4,29.6,3.9,W 10 Out
Kyle Freeland,P,COL,@SD,Yes,7400,22.3,3.0,18.8,2.5,24.0,3.2,W 7 Out
Fernando Tatis,SS,SD,COL,2,4600,16.3,3.5,18.2,4.0,17.2,3.7,W 7 Out
Manny Machado,3B,SD,COL,3,4000,12.8,3.2,11.4,2.9,14.0,3.5,W 7 Out
Trevor Story,SS,COL,@SD,2,3900,12.6,3.2,10.4,2.7,14.1,3.6,W 7 Out
Alex Dickerson,OF,SF,ARI,2,3000,12.2,4.1,25.0,8.3,9.8,3.3,W 10 Out
Jake Cronenworth,2B,SD,COL,7,3300,12.1,3.7,8.6,2.6,10.9,3.3,W 7 Out
Trent Grisham,OF,SD,COL,1,3300,12.0,3.6,11.1,3.4,11.5,3.5,W 7 Out
Wil Myers,OF,SD,COL,6,3200,11.7,3.7,8.7,2.7,11.8,3.7,W 7 Out
Christian Walker,C1,ARI,@SF,4,3000,11.6,3.9,10.0,3.3,10.4,3.5,W 10 Out
Nolan Arenado,3B,COL,@SD,4,3500,11.6,3.3,6.3,1.8,9.8,2.8,W 7 Out
Ketel Marte,2B,ARI,@SF,2,2800,11.4,4.1,10.5,3.7,8.6,3.1,W 10 Out
Alex Bregman,3B,HOU,@OAK,3,3500,11.2,3.2,6.7,1.9,11.3,3.2,W 9 Out
George Springer,OF,HOU,@OAK,1,3700,11.1,3.0,18.0,4.9,11.1,3.0,W 9 Out
Charlie Blackmon,OF,COL,@SD,3,3900,11.1,2.9,12.4,3.2,11.6,3.0,W 7 Out
Mike Yastrzemski,OF,SF,ARI,1,3700,11.1,3.0,13.0,3.5,13.7,3.7,W 10 Out
Michael Brantley,OF,HOU,@OAK,2,3300,10.9,3.3,10.7,3.3,11.8,3.6,W 9 Out
Kyle Tucker,OF,HOU,@OAK,5,4000,10.8,2.7,18.9,4.7,13.9,3.5,W 9 Out
David Peralta,OF,ARI,@SF,3,2700,10.7,4.0,4.2,1.6,8.3,3.1,W 10 Out
Kole Calhoun,OF,ARI,@SF,1,2900,10.7,3.7,6.2,2.1,10.2,3.5,W 10 Out
Ramon Laureano,OF,OAK,HOU,2,3100,10.6,3.4,12.4,4.0,10.0,3.2,W 9 Out
Eduardo Escobar,3B,ARI,@SF,5,2600,10.6,4.1,4.9,1.9,8.0,3.1,W 10 Out
Matt Olson,C1,OAK,HOU,4,3400,10.6,3.1,8.8,2.6,11.1,3.3,W 9 Out
Jurickson Profar,2B,SD,COL,8,2700,10.5,3.9,7.6,2.8,8.4,3.1,W 7 Out
Mitch Moreland,C1,SD,COL,5,3000,10.5,3.5,1.8,0.6,11.6,3.9,W 7 Out
Austin Nola,C1,SD,COL,9,2900,10.2,3.5,9.2,3.2,10.2,3.5,W 7 Out
Garrett Hampson,OF,COL,@SD,8,2800,10.2,3.6,18.6,6.6,9.5,3.4,W 7 Out
Mark Canha,OF,OAK,HOU,3,3000,10.1,3.4,5.5,1.8,11.2,3.7,W 9 Out
Brandon Belt,C1,SF,ARI,4,2900,10.0,3.5,17.3,6.0,10.9,3.8,W 10 Out
Donovan Solano,2B,SF,ARI,3,2400,9.9,4.1,17.8,7.4,10.6,4.4,W 10 Out
Carlos Correa,SS,HOU,@OAK,7,3000,9.8,3.3,9.9,3.3,9.1,3.0,W 9 Out
Raimel Tapia,OF,COL,@SD,1,2900,9.7,3.3,15.0,5.2,9.0,3.1,W 7 Out
Eric Hosmer,C1,SD,COL,4,3700,9.7,2.6,13.3,3.6,12.6,3.4,W 7 Out
Ryan McMahon,2B,COL,@SD,7,2600,9.6,3.7,3.7,1.4,9.0,3.5,W 7 Out
Daniel Murphy,C1,COL,@SD,5,2400,9.6,4.0,3.7,1.5,6.8,2.8,W 7 Out
Tommy La Stella,2B,OAK,HOU,1,3000,9.5,3.2,12.5,4.2,10.0,3.3,W 9 Out
Aledmys Diaz,3B,HOU,@OAK,6,2300,9.3,4.1,11.3,4.9,9.0,3.9,W 9 Out
Nick Ahmed,SS,ARI,@SF,6,2500,9.3,3.7,6.8,2.7,8.3,3.3,W 10 Out
Yuli Gurriel,C1,HOU,@OAK,4,2900,9.2,3.2,6.9,2.4,9.7,3.4,W 9 Out
Kevin Pillar,OF,COL,@SD,6,3400,9.1,2.7,15.8,4.7,10.7,3.2,W 7 Out
Wilmer Flores,2B,SF,ARI,6,2900,9.1,3.1,11.0,3.8,10.8,3.7,W 10 Out
Evan Longoria,3B,SF,ARI,5,2800,9.1,3.2,8.1,2.9,9.9,3.6,W 10 Out
Stephen Vogt,C1,ARI,@SF,7,2000,8.8,4.4,3.6,1.8,4.7,2.3,W 10 Out
Sean Murphy,C1,OAK,HOU,8,2100,8.7,4.1,4.3,2.1,5.9,2.8,W 9 Out
Robbie Grossman,OF,OAK,HOU,6,2900,8.5,2.9,6.7,2.3,11.3,3.9,W 9 Out
Stephen Piscotty,OF,OAK,HOU,7,3000,8.3,2.8,5.6,1.9,10.5,3.5,W 9 Out
Josh Reddick,OF,HOU,@OAK,8,2400,8.3,3.5,8.9,3.7,8.2,3.4,W 9 Out
Brandon Crawford,SS,SF,ARI,8,2500,8.2,3.3,16.5,6.6,8.5,3.4,W 10 Out
Daulton Varsho,C1,ARI,@SF,8,2000,8.1,4.1,7.6,3.8,3.8,1.9,W 10 Out
Austin Slater,C1,SF,ARI,7,2500,8.1,3.2,13.6,5.4,10.3,4.1,W 10 Out
Jon Jay,OF,ARI,@SF,9,2300,7.9,3.4,6.3,2.7,4.3,1.9,W 10 Out
Joey Bart,C1,SF,ARI,9,2600,7.7,3.0,12.5,4.8,7.4,2.9,W 10 Out
Martin Maldonado,C1,HOU,@OAK,9,2500,7.0,2.8,10.6,4.3,9.3,3.7,W 9 Out
Vimael Machin,SS,OAK,HOU,9,2100,6.9,3.3,3.6,1.7,2.8,1.4,W 9 Out
Tony Wolters,C1,COL,@SD,9,2000,6.5,3.2,2.4,1.2,3.4,1.7,W 7 Out
Jorge Mateo,2B,SD,COL,,2000,3.4,1.7,2.5,1.3,1.9,1.0,W 7 Out
Darin Ruf,OF,SF,ARI,,2100,3.3,1.6,8.0,3.8,6.3,3.0,W 10 Out
David Dahl,OF,COL,@SD,,2500,3.3,1.3,0.6,0.2,6.3,2.5,W 7 Out
Josh Rojas,OF,ARI,@SF,,2000,3.3,1.7,5.5,2.8,4.6,2.3,W 10 Out
Sam Hilliard,OF,COL,@SD,,2500,3.3,1.3,10.1,4.0,8.6,3.4,W 7 Out
Tony Kemp,2B,OAK,HOU,,2000,3.1,1.6,4.3,2.2,5.0,2.5,W 9 Out
Carson Kelly,C1,ARI,@SF,,2200,3.1,1.4,4.9,2.3,4.8,2.2,W 10 Out
Khris Davis,OF,OAK,HOU,,2400,3.1,1.3,2.4,1.0,5.6,2.3,W 9 Out
Jake Lamb,3B,ARI,@SF,,2000,3.0,1.5,4.3,2.2,2.7,1.4,W 10 Out
Matt Kemp,OF,COL,@SD,,2600,3.0,1.1,7.5,2.9,7.6,2.9,W 7 Out
Mauricio Dubon,SS,SF,ARI,,2000,2.9,1.4,10.6,5.3,6.3,3.2,W 10 Out
Myles Straw,OF,HOU,@OAK,,2000,2.8,1.4,6.9,3.5,6.1,3.1,W 9 Out
Tim Locastro,OF,ARI,@SF,,2200,2.8,1.3,5.5,2.5,4.5,2.1,W 10 Out
Pablo Sandoval,C1,SF,ARI,,2100,2.7,1.3,3.1,1.5,3.8,1.8,W 10 Out
Chadwick Tromp,C1,SF,ARI,,2000,2.7,1.3,4.3,2.2,6.1,3.1,W 10 Out
Josh Fuentes,C1,COL,@SD,,2200,2.7,1.2,12.1,5.5,8.2,3.8,W 7 Out
Jason Castro,C1,SD,COL,,2200,2.6,1.2,6.4,2.9,7.0,3.2,W 7 Out
Daniel Robertson,3B,SF,ARI,,2200,2.6,1.2,5.0,2.3,5.0,2.3,W 10 Out
Chad Pinder,SS,OAK,HOU,,2300,2.6,1.1,6.8,3.0,5.4,2.4,W 9 Out
Drew Butera,C1,COL,@SD,,2000,2.6,1.3,1.6,0.8,2.8,1.4,W 7 Out
