PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Yu Darvish,P,CHC,CIN,Yes,11500,35.2,3.1,55.6,4.8,48.1,4.2,W 12 In
Clayton Kershaw,P,LAD,@ARI,Yes,11000,33.2,3.0,43.6,4.0,43.2,3.9,In Dome
Trevor Bauer,P,CIN,@CHC,Yes,10800,32.9,3.0,42.4,3.9,46.1,4.3,W 12 In
Tyler Anderson,P,SF,SEA,Yes,6300,26.7,4.2,18.0,2.9,15.4,2.5,W 9 Out
Julio Teheran,P,LAA,@TEX,Yes,5700,26.7,4.7,7.8,1.4,7.8,1.4,In Dome
Jesus Luzardo,P,OAK,HOU,Yes,7700,26.2,3.4,26.6,3.5,24.4,3.2,W 9 Out
Rick Porcello,P,NYM,BAL,Yes,6900,24.7,3.6,22.6,3.3,20.3,2.9,W 6 R-L
Zach Davies,P,SD,COL,Yes,9000,24.5,2.7,40.0,4.4,35.4,3.9,W 9 L-R
Pablo Lopez,P,MIA,@ATL,Yes,8000,24.5,3.1,31.4,3.9,31.4,3.9,W 8 In
JT Brubaker,P,PIT,CWS,Yes,6800,23.5,3.5,18.6,2.7,18.4,2.7,W 6 In
Nick Margevicius,P,SEA,@SF,Yes,7200,22.0,3.1,23.6,3.3,18.1,2.5,W 9 Out
Tommy Milone,P,ATL,MIA,Yes,7100,22.0,3.1,16.2,2.3,20.8,2.9,W 8 In
Luis Garcia,P,HOU,@OAK,Yes,6000,21.6,3.6,16.0,2.7,16.0,2.7,W 9 Out
Kyle Cody,P,TEX,LAA,Yes,5600,20.8,3.7,11.5,2.1,11.5,2.1,In Dome
Dane Dunning,P,CWS,@PIT,Yes,7700,20.7,2.7,26.0,3.4,26.0,3.4,W 6 In
Taylor Clarke,P,ARI,LAD,Yes,6400,20.7,3.2,18.6,2.9,15.8,2.5,In Dome
Jorge Lopez,P,BAL,@NYM,Yes,6000,20.3,3.4,14.2,2.4,11.2,1.9,W 6 R-L
Antonio Senzatela,P,COL,@SD,Yes,7400,19.5,2.6,23.0,3.1,27.4,3.7,W 9 L-R
Michael Conforto,OF,NYM,BAL,2,3200,18.3,5.7,16.8,5.3,12.4,3.9,W 6 R-L
Pete Alonso,C1,NYM,BAL,6,3700,17.4,4.7,16.9,4.6,10.6,2.9,W 6 R-L
Brandon Nimmo,OF,NYM,BAL,1,2900,16.5,5.7,11.8,4.1,10.6,3.7,W 6 R-L
Mike Trout,OF,LAA,@TEX,2,4700,16.2,3.4,21.7,4.6,16.2,3.4,In Dome
Mookie Betts,OF,LAD,@ARI,1,4500,16.0,3.6,16.4,3.6,15.0,3.3,In Dome
J.D. Davis,OF,NYM,BAL,3,2600,15.8,6.1,6.7,2.6,8.8,3.4,W 6 R-L
Jeff McNeil,3B,NYM,BAL,7,2800,15.3,5.5,19.3,6.9,8.6,3.1,W 6 R-L
Dominic Smith,OF,NYM,BAL,4,3400,15.3,4.5,14.6,4.3,12.6,3.7,W 6 R-L
Cody Bellinger,OF,LAD,@ARI,4,4100,15.1,3.7,8.5,2.1,11.6,2.8,In Dome
Robinson Cano,2B,NYM,BAL,5,3300,15.0,4.5,2.5,0.8,10.2,3.1,W 6 R-L
Fernando Tatis,SS,SD,COL,2,4600,14.4,3.1,20.5,4.5,17.0,3.7,W 9 L-R
Darin Ruf,OF,SF,SEA,7,2100,14.1,6.7,13.7,6.5,7.1,3.4,W 9 Out
Trent Grisham,OF,SD,COL,1,3200,14.0,4.4,15.4,4.8,11.6,3.6,W 9 L-R
Corey Seager,SS,LAD,@ARI,2,4000,14.0,3.5,16.9,4.2,14.1,3.5,In Dome
Anthony Rendon,3B,LAA,@TEX,3,4000,14.0,3.5,16.9,4.2,12.4,3.1,In Dome
Ronald Acuna,OF,ATL,MIA,1,4400,13.4,3.1,16.6,3.8,13.4,3.1,W 8 In
Joey Gallo,OF,TEX,LAA,5,3300,13.4,4.1,9.5,2.9,9.7,2.9,In Dome
Shohei Ohtani,OF,LAA,@TEX,,2800,13.4,4.8,-3.5,0.0,-3.5,0.0,In Dome
Starling Marte,OF,MIA,@ATL,3,3000,13.2,4.4,9.4,3.1,10.9,3.6,W 8 In
Max Muncy,2B,LAD,@ARI,5,3600,13.0,3.6,9.8,2.7,10.4,2.9,In Dome
Matt Olson,C1,OAK,HOU,3,3200,12.8,4.0,13.4,4.2,11.1,3.5,W 9 Out
