Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Tommy Hunter","PHI",6.1,21,8.5264,0,6,0,0.2857,0,0.2857,0.15,0.4737,0.2,0.6667,1.2360564849501956,2.166414545787504,1157
2020,"Adam Ottavino","NYY",5.1,21,6.75,3.375,2,0,0.1905,0.0952,0.0952,0.176470588,0.9375,0.2143,0.8333,3.3183044699501956,5.159639950927622,1247
2020,"Oliver Perez","CLE",6.2,22,8.1,0,6,0,0.2727,0,0.2727,0.142857142,0.45,0.2,1,1.7808100489501955,3.843082585911915,1514
2020,"Zack Greinke","HOU",17.2,67,6.6226,1.5283,4.3333,0,0.194,0.0448,0.1493,0.193548387,0.8491,0.24,0.6875,2.3383519649501956,4.228311116163943,1943
2020,"Ivan Nova","DET",10,45,4.5,6.3,0.7143,1.8,0.1111,0.1556,-0.0444,0.236842105,1.6,0.2258,0.6061,6.830803298950196,5.9984743118286135,1994
2020,"Clayton Kershaw","LAD",25.2,91,9.4675,1.0519,9,0.7013,0.2967,0.033,0.2637,0.136363636,0.5844,0.1695,1,2.3905445209501957,2.6019181072883097,2036
2020,"Adam Wainwright","STL",5,19,5.4,5.4,1,0,0.1579,0.1579,0,0.125,1,0.1538,0.8,3.7308032989501956,5.302066421508789,2233
2020,"Hector Rondon","ARI",5.1,30,8.4376,6.75,1.25,5.0625,0.1667,0.1333,0.0333,0.36,2.4375,0.3529,0.4082,11.380854860950194,7.382713022533001,2391
2020,"Lance Lynn","TEX",22.1,84,7.6567,1.209,6.3333,1.209,0.2262,0.0357,0.1905,0.1625,0.7164,0.1695,0.9322,3.5785651609501956,4.030892966843254,2520
2020,"Rick Porcello","NYM",22,93,6.9545,2.0455,3.4,0.4091,0.1828,0.0538,0.129,0.272727272,1.3182,0.3286,0.6522,2.8580760269501955,4.499074779857289,2717
2020,"Ross Detwiler","CHW",9,33,10,1,10,1,0.303,0.0303,0.2727,0.15625,0.6667,0.1905,1,2.6863588549501953,2.3330693562825524,2859
2020,"Kenley Jansen","LAD",9.1,38,14.4643,4.8214,3,0.9643,0.3947,0.1316,0.2632,0.15625,1.0714,0.25,0.9375,3.2379465379501955,3.949462190444353,3096
2020,"Tony Watson","SFG",5,20,5.4,3.6,1.5,1.8,0.15,0.1,0.05,0.117647058,0.8,0.0769,0.5556,6.330803298950196,4.909250640869141,3132
2020,"Max Scherzer","WSN",32.1,133,12.2474,2.5052,4.8889,1.1134,0.3308,0.0677,0.2632,0.243902439,1.2062,0.3421,0.8683,2.8524524969501956,3.188036086891536,3137
2020,"Will Harris","WSN",5,21,10.8,3.6,3,0,0.2857,0.0952,0.1905,0.210526315,1.2,0.3077,0.8333,1.9308032989501955,2.7164348602294925,3192
2020,"T.J. McFarland","OAK",5.2,24,3.1765,3.1765,1,1.5882,0.0833,0.0833,0,0.272727272,1.4118,0.2632,1,5.777846550950196,4.870142881563175,3237
2020,"Anibal Sanchez","WSN",12.2,64,4.9737,3.5526,1.4,2.1316,0.1094,0.0781,0.0313,0.362068965,2.0526,0.375,0.614,6.525531206950196,5.772468732565393,3284
2020,"Darren O'Day","ATL",6,23,16.5,0,11,0,0.4783,0,0.4783,0.136363636,0.5,0.2727,1,-0.03586336704980386,1.273522567749024,3321
2020,"Danny Duffy","KCR",26,106,10.3846,2.4231,4.2857,1.3846,0.283,0.066,0.217,0.193548387,0.9615,0.2222,0.6542,3.8615725289501954,4.278900410578801,3542
2020,"Liam Hendriks","OAK",6,20,16.5,1.5,11,0,0.55,0.05,0.5,0.052631578,0.3333,0.125,1,-0.03586336704980386,1.273522567749024,3548
2020,"Matt Magill","SEA",6.1,30,9.9474,4.2632,2.3333,4.2632,0.2333,0.1,0.1333,0.333333333,1.8947,0.3529,0.641,8.499252605950195,3.8919222284168575,3950
2020,"Yusmeiro Petit","OAK",6.2,25,5.4,1.35,4,2.7,0.16,0.04,0.12,0.166666666,0.75,0.1111,1,6.280787548950196,5.032300310782763,4020
2020,"Derek Holland","PIT",10.2,48,10.9687,5.0625,2.1667,2.5312,0.2708,0.125,0.1458,0.243902439,1.5,0.28,0.3906,6.318293337950196,5.4240320902327515,4141
2020,"Jake Arrieta","PHI",14.1,57,5.0233,3.1395,1.6,2.5116,0.1404,0.0877,0.0526,0.294117647,1.3954,0.275,0.8333,6.688951107950196,4.568355567805286,4153
2020,"Rafael Dolis","TOR",10,43,9,5.4,1.6667,0.9,0.2326,0.1395,0.093,0.222222222,1.4,0.28,0.8088,4.530803298950195,4.802066421508789,4185
