Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Tommy Hunter","PHI",6.1,21,8.5264,0,6,0,0.2857,0,0.2857,0.15,0.4737,0.2,0.6667,1.2531863830214847,2.1846432730326137,1157
2020,"Adam Ottavino","NYY",5.1,21,6.75,3.375,2,0,0.1905,0.0952,0.0952,0.176470588,0.9375,0.2143,0.8333,3.3354343680214846,5.178944617218262,1247
2020,"Oliver Perez","CLE",6.2,22,8.1,0,6,0,0.2727,0,0.2727,0.142857142,0.45,0.2,1,1.7979399470214845,3.862648196986934,1514
2020,"Zack Greinke","HOU",17.2,67,6.6226,1.5283,4.3333,0,0.194,0.0448,0.1493,0.193548387,0.8491,0.24,0.6875,2.3554818630214847,4.247673210999229,1943
2020,"Ivan Nova","DET",10,45,4.5,6.3,0.7143,1.8,0.1111,0.1556,-0.0444,0.236842105,1.6,0.2258,0.6061,6.847933197021485,6.0176919743418695,1994
2020,"Clayton Kershaw","LAD",25.2,91,9.4675,1.0519,9,0.7013,0.2967,0.033,0.2637,0.136363636,0.5844,0.1695,1,2.407674419021485,2.6204940740907423,2036
2020,"Adam Wainwright","STL",5,19,5.4,5.4,1,0,0.1579,0.1579,0,0.125,1,0.1538,0.8,3.7479331970214846,5.32105211019516,2233
2020,"Hector Rondon","ARI",5.1,30,8.4376,6.75,1.25,5.0625,0.1667,0.1333,0.0333,0.36,2.4375,0.3529,0.4082,11.397984759021483,7.403757503399121,2391
2020,"Lance Lynn","TEX",22.1,84,7.6567,1.209,6.3333,1.209,0.2262,0.0357,0.1905,0.1625,0.7164,0.1695,0.9322,3.5956950590214842,4.050619590732998,2520
2020,"Rick Porcello","NYM",22,93,6.9545,2.0455,3.4,0.4091,0.1828,0.0538,0.129,0.272727272,1.3182,0.3286,0.6522,2.8752059250214845,4.518840744143183,2717
2020,"Ross Detwiler","CHW",6.2,21,10.7999,0,8,0,0.381,0,0.381,0.095238095,0.3,0.1538,1,0.7479451970214845,1.3378618398183988,2859
2020,"Kenley Jansen","LAD",9.1,38,14.4643,4.8214,3,0.9643,0.3947,0.1316,0.2632,0.15625,1.0714,0.25,0.9375,3.2550764360214846,3.969077531251708,3096
2020,"Tony Watson","SFG",5,20,5.4,3.6,1.5,1.8,0.15,0.1,0.05,0.117647058,0.8,0.0769,0.5556,6.347933197021485,4.927772381901741,3132
2020,"Max Scherzer","WSN",26.1,105,12.9874,2.0506,6.3333,1.0253,0.3619,0.0571,0.3048,0.234693877,1.1013,0.3448,0.8871,2.4264132970214844,2.7375618191543074,3137
2020,"T.J. McFarland","OAK",5.2,24,3.1765,3.1765,1,1.5882,0.0833,0.0833,0,0.272727272,1.4118,0.2632,1,5.794976449021485,4.888910232309814,3237
2020,"Anibal Sanchez","WSN",12.2,64,4.9737,3.5526,1.4,2.1316,0.1094,0.0781,0.0313,0.362068965,2.0526,0.375,0.614,6.542661105021485,5.792345681883873,3284
2020,"Darren O'Day","ATL",5,19,16.2,0,9,0,0.4737,0,0.4737,0.111111111,0.4,0.2222,1,0.14793319702148455,1.7210521101951601,3321
2020,"Danny Duffy","KCR",26,106,10.3846,2.4231,4.2857,1.3846,0.283,0.066,0.217,0.193548387,0.9615,0.2222,0.6542,3.8787024270214845,4.298885371134832,3542
2020,"Liam Hendriks","OAK",6,20,16.5,1.5,11,0,0.55,0.05,0.5,0.052631578,0.3333,0.125,1,-0.0187334689785148,1.2921989579995479,3548
2020,"Matt Magill","SEA",6.1,30,9.9474,4.2632,2.3333,4.2632,0.2333,0.1,0.1333,0.333333333,1.8947,0.3529,0.641,8.516382504021484,3.910883508444514,3950
2020,"Yusmeiro Petit","OAK",6.2,25,5.4,1.35,4,2.7,0.16,0.04,0.12,0.166666666,0.75,0.1111,1,6.297917447021485,5.052561839858848,4020
2020,"Derek Holland","PIT",10.2,48,10.9687,5.0625,2.1667,2.5312,0.2708,0.125,0.1458,0.243902439,1.5,0.28,0.3906,6.3354232360214855,5.444424110050483,4141
2020,"Jake Arrieta","PHI",14.1,57,5.0233,3.1395,1.6,2.5116,0.1404,0.0877,0.0526,0.294117647,1.3954,0.275,0.8333,6.706081006021485,4.5872657342695735,4153
2020,"Rafael Dolis","TOR",9,40,10,6,1.6667,1,0.25,0.15,0.1,0.235294117,1.5556,0.3043,0.7937,4.370155419021485,4.45513214038478,4185
2020,"Mark Melancon","ATL",5.2,21,4.7647,1.5882,3,1.5882,0.1429,0.0476,0.0952,0.166666666,0.7059,0.1333,0.5556,5.442037349021485,4.535971131951581,4264
2020,"Justin Wilson","NYM",6.1,21,7.1053,1.4211,5,0,0.2381,0.0476,0.1905,0.1,0.4737,0.1333,1,2.0426642220214846,3.90557800285771,4301
2020,"Tyler Chatwood","CHC",6,39,9,7.5,1.2,3,0.1538,0.1282,0.0256,0.484848484,3.5,0.5385,0.6044,7.981266530021484,6.9252642661333095,4338
2020,"Charlie Morton","TBR",5,23,12.6,1.8,7,1.8,0.3043,0.0435,0.2609,0.285714285,1.4,0.3846,0.9091,4.1479331970214846,3.514331838488579,4676
2020,"Matt Shoemaker","TOR",21.2,87,7.4769,2.4923,3,2.9077,0.2069,0.069,0.1379,0.2,1.0154,0.1607,0.8197,6.517158782021484,4.313813100849759,4776
2020,"Rich Hill","MIN",5,19,9,3.6,2.5,0,0.2632,0.1053,0.1579,0.235294117,1.2,0.3333,0.8333,2.3479331970214847,3.527772381901741,4806
2020,"Jon Lester","CHC",21.1,94,5.4844,2.9531,1.8571,0,0.1383,0.0745,0.0638,0.223529411,1.2188,0.2639,0.75,3.194808270021485,6.144410841218446,4930
2020,"Jeurys Familia","NYM",7,33,6.4286,6.4286,1,1.2857,0.1515,0.1515,0,0.259259259,1.7143,0.2857,0.6897,6.1479331970214846,5.9762748897075655,5114
2020,"Wade LeBlanc","BAL",12.1,59,5.1081,2.9189,1.75,2.1892,0.1186,0.0678,0.0508,0.326923076,1.7027,0.3182,0.5056,6.391185205021484,5.780025034848628,5221
2020,"Pedro Baez","LAD",6,25,4.5,3,1.5,1.5,0.12,0.08,0.04,0.217391304,1.1667,0.2105,0.7143,5.314599863021485,6.097531159222127,5420
