Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Tommy Hunter","PHI",9.1,35,1.3333,0.3636,0.3636,0.2727,0.1667,0,0.125,0,0.44,0.36,0.2,0.16,0.52,0.32,1157
2020,"Adam Ottavino","NYY",6.1,30,1.8333,0.15,0.55,0.3,0.3333,0.1667,0.0909,0,0.45,0.3,0.25,0.2,0.45,0.35,1247
2020,"Oliver Perez","CLE",8,28,0.75,0.2222,0.3333,0.4444,0,0,0,0,0.1667,0.5556,0.2778,0.2778,0.3889,0.3333,1514
2020,"Zack Greinke","HOU",22.2,89,1.4783,0.1618,0.5,0.3382,0.0435,0.087,0.0294,1,0.4493,0.3043,0.2464,0.1449,0.5942,0.2609,1943
2020,"Ivan Nova","DET",10,45,1.8889,0.2121,0.5152,0.2727,0,0.2222,0.0588,0,0.5152,0.4242,0.0606,0.0909,0.4848,0.4242,1994
2020,"Clayton Kershaw","LAD",37,137,1.7857,0.1522,0.5435,0.3043,0.0714,0.1071,0.06,1,0.4839,0.2903,0.2258,0.1505,0.5806,0.2688,2036
2020,"Adam Wainwright","STL",18.1,72,1.7143,0.2083,0.5,0.2917,0,0.2143,0.0417,0,0.4167,0.3333,0.25,0.1875,0.4375,0.375,2233
2020,"Hector Rondon","ARI",7.1,38,0.6667,0.2,0.32,0.48,0,0.3333,0,0,0.4,0.48,0.12,0.16,0.4,0.44,2391
2020,"Lance Lynn","TEX",28.1,114,1.0625,0.175,0.425,0.4,0.0625,0.1563,0.1176,0,0.3086,0.4444,0.2469,0.1481,0.5679,0.284,2520
2020,"Rick Porcello","NYM",28,119,1.4,0.2,0.4667,0.3333,0.1333,0.0667,0.0714,0,0.3778,0.3778,0.2444,0.2111,0.4667,0.3222,2717
2020,"Ross Detwiler","CHW",10,39,3.8,0.1111,0.7037,0.1852,0,0.2,0.0526,0,0.6296,0.2963,0.0741,0.1852,0.4444,0.3704,2859
2020,"Kenley Jansen","LAD",11.2,50,0.5833,0.2083,0.2917,0.5,0.0833,0.1667,0,1,0.4,0.32,0.28,0.12,0.48,0.4,3096
2020,"Tony Watson","SFG",5,20,2.6667,0.2143,0.5714,0.2143,0.3333,0.3333,0.125,0,0.6429,0.2857,0.0714,0.2143,0.6429,0.1429,3132
2020,"Max Scherzer","WSN",32.1,133,0.8182,0.2308,0.3462,0.4231,0.0909,0.1212,0.037,0.5,0.35,0.325,0.325,0.15,0.5,0.35,3137
2020,"Will Harris","WSN",7.1,32,3.3333,0.3158,0.5263,0.1579,0,0,0.2,0,0.3158,0.4211,0.2632,0.2105,0.3684,0.4211,3192
2020,"T.J. McFarland","OAK",7.1,31,2.8,0.1739,0.6087,0.2174,0.2,0.4,0,0,0.4348,0.4348,0.1304,0.087,0.5217,0.3913,3237
2020,"Zack Britton","NYY",7.2,34,4.75,0.08,0.76,0.16,0.25,0,0.0526,0,0.52,0.24,0.24,0.24,0.44,0.32,3240
2020,"Anibal Sanchez","WSN",20.1,107,1.0645,0.2471,0.3882,0.3647,0.0323,0.1613,0.0606,0,0.3023,0.4767,0.2209,0.093,0.5581,0.3488,3284
2020,"Darren O'Day","ATL",7.1,28,0.5,0.3571,0.2143,0.4286,0.1667,0,0.3333,0,0.3571,0.2857,0.3571,0.5,0.3571,0.1429,3321
2020,"Danny Duffy","KCR",31.2,131,0.6098,0.2048,0.3012,0.494,0.1707,0.0976,0.12,0,0.3214,0.3095,0.369,0.2619,0.4881,0.25,3542
2020,"Liam Hendriks","OAK",8.2,30,0.6667,0.2308,0.3077,0.4615,0,0,0,0,0.2857,0.5,0.2143,0.2143,0.5714,0.2143,3548
2020,"Matt Magill","SEA",6.1,30,2.2,0.2,0.55,0.25,0.2,0.6,0,0,0.45,0.35,0.2,0.1,0.55,0.35,3950
2020,"Yusmeiro Petit","OAK",9.1,36,0.6154,0.16,0.32,0.52,0.0769,0.1538,0.125,0.5,0.4815,0.3704,0.1481,0.1111,0.5185,0.3704,4020
2020,"Derek Holland","PIT",15,64,0.6111,0.2368,0.2895,0.4737,0.1667,0.1667,0,0,0.3947,0.3684,0.2368,0.1842,0.3947,0.4211,4141
2020,"Jake Arrieta","PHI",27,110,2.1364,0.1585,0.5732,0.2683,0.1364,0.2273,0.0638,0,0.3537,0.4024,0.2439,0.2073,0.4512,0.3415,4153
2020,"Rafael Dolis","TOR",12.1,51,1.4,0.1111,0.5185,0.3704,0,0.1,0,1,0.4643,0.2857,0.25,0.1071,0.6071,0.2857,4185
2020,"Mark Melancon","ATL",10.2,41,1.875,0.1786,0.5357,0.2857,0,0.125,0.1333,0,0.4,0.4,0.2,0.2,0.4333,0.3667,4264
2020,"Justin Wilson","NYM",9.1,33,1.125,0.1905,0.4286,0.381,0.125,0,0.2222,0,0.4545,0.3182,0.2273,0.3182,0.4545,0.2273,4301
2020,"Tyler Chatwood","CHC",6,39,1,0.2857,0.3571,0.3571,0,0.2,0,0,0.25,0.6071,0.1429,0.1071,0.5357,0.3571,4338
2020,"Charlie Morton","TBR",12,52,1.4444,0.3333,0.3939,0.2727,0.2222,0.1111,0,0,0.4848,0.2727,0.2424,0.2424,0.4545,0.303,4676
2020,"Nate Jones","CIN",6.2,34,1,0.2308,0.3846,0.3846,0,0.2,0,0,0.4231,0.3077,0.2692,0.0769,0.5769,0.3462,4696
2020,"Matt Shoemaker","TOR",21.2,87,1.4091,0.1452,0.5,0.3548,0.0909,0.3182,0.0645,0,0.5079,0.3175,0.1746,0.2222,0.4127,0.3651,4776
2020,"Rich Hill","MIN",5,19,1.6667,0.3333,0.4167,0.25,0,0,0,0,0.5833,0.1667,0.25,0.0833,0.3333,0.5833,4806
2020,"Jon Lester","CHC",27.1,117,1.1471,0.1412,0.4588,0.4,0.0588,0,0.0769,0,0.4118,0.2824,0.3059,0.2706,0.3647,0.3647,4930
2020,"Jake Diekman","OAK",6.1,27,2.3333,0,0.7,0.3,0,0,0.1429,0,0.3,0.4,0.3,0.1,0.7,0.2,5003
2020,"Jeurys Familia","NYM",8,38,2.6667,0.12,0.64,0.24,0,0.1667,0.0625,0,0.36,0.44,0.2,0.12,0.68,0.2,5114
2020,"Wade LeBlanc","BAL",12.1,59,0.9375,0.3261,0.3261,0.3478,0.1875,0.1875,0.1333,1,0.4468,0.234,0.3191,0.1915,0.4894,0.3191,5221
2020,"Blake Parker","PHI",8.1,35,0.875,0.1667,0.3889,0.4444,0,0.25,0.1429,0,0.2778,0.3889,0.3333,0.1111,0.4444,0.4444,5224
2020,"Wilmer Font","TOR",5.2,31,0.6667,0.25,0.3,0.45,0,0.1111,0.6667,0,0.35,0.35,0.3,0.1,0.45,0.45,5257
2020,"Pedro Baez","LAD",6.2,31,1,0.1538,0.4231,0.4231,0.2727,0.0909,0.1818,0,0.5,0.2692,0.2308,0.1923,0.4615,0.3462,5420
2020,"Jesse Chavez","TEX",5.1,27,0.6364,0.1,0.35,0.55,0.0909,0.3636,0,0,0.45,0.5,0.05,0.2,0.15,0.65,5448
2020,"Madison Bumgarner","ARI",22.1,103,0.697,0.2821,0.2949,0.4231,0.0909,0.2727,0,0,0.5513,0.2949,0.1538,0.1154,0.3974,0.4872,5524
2020,"Nik Turley","PIT",9,42,0.6923,0.12,0.36,0.52,0,0.0769,0,0,0.52,0.24,0.24,0.08,0.64,0.28,5530
2020,"Ryan Brasier","BOS",11.1,47,0.75,0.16,0.36,0.48,0.0833,0.0833,0.1111,0,0.36,0.36,0.28,0.08,0.56,0.36,5615
2020,"Tyler Clippard","MIN",11.1,40,0.5,0.087,0.3043,0.6087,0.2143,0.1429,0,0,0.3043,0.4348,0.2609,0.1739,0.5217,0.3043,5640
2020,"Junior Guerra","ARI",9.1,44,3.8,0.1111,0.7037,0.1852,0,0,0.0526,0,0.4643,0.25,0.2857,0.1429,0.5357,0.3214,5702
2020,"Dellin Betances","NYM",7.1,38,1.375,0.2963,0.4074,0.2963,0.125,0,0,0,0.4444,0.2593,0.2963,0.2222,0.5556,0.2222,6216
2020,"Trevor Cahill","SFG",14,62,0.5714,0.3714,0.2286,0.4,0.2143,0.2143,0.125,0,0.4444,0.25,0.3056,0.2222,0.3889,0.3889,6249
2020,"David Phelps","2 Tms",12.1,48,2,0.1,0.6,0.3,0,0.4444,0,0,0.4,0.4333,0.1667,0.1333,0.4667,0.4,6316
2020,"Jake Odorizzi","MIN",9.2,45,0.7857,0.2424,0.3333,0.4242,0.1429,0.2143,0,0,0.4412,0.3529,0.2059,0.1765,0.4706,0.3529,6397
2020,"Trevor May","MIN",10,44,0.5,0.4,0.2,0.4,0.3,0.2,0,0,0.44,0.28,0.28,0.12,0.48,0.4,6398
2020,"Jose Cisnero","DET",13,54,1.5455,0.1765,0.5,0.3235,0.1818,0.0909,0.1176,0,0.4706,0.2941,0.2353,0.1176,0.5588,0.3235,6399
2020,"Steve Cishek","CHW",8.1,38,1.4286,0.2609,0.4348,0.3043,0,0.1429,0,0,0.3478,0.5217,0.1304,0.1304,0.6522,0.2174,6483
2020,"Alex Cobb","BAL",18.2,85,2,0.2857,0.4762,0.2381,0.0667,0.3333,0.0667,0,0.4688,0.2813,0.25,0.125,0.4375,0.4375,6562
2020,"Carlos Carrasco","CLE",22.1,93,1.2083,0.1452,0.4677,0.3871,0,0.1667,0.0345,0,0.3333,0.3492,0.3175,0.2222,0.4603,0.3175,6632
2020,"Craig Kimbrel","CHC",7,37,1,0.2308,0.3846,0.3846,0,0,0,0,0.2308,0.3846,0.3846,0.3077,0.4615,0.2308,6655
2020,"Alex Colome","CHW",10.1,44,2.2857,0.2333,0.5333,0.2333,0.1429,0,0.0625,0,0.4194,0.3871,0.1935,0.1613,0.4839,0.3548,6661
2020,"Julio Teheran","LAA",17,73,0.9091,0.2632,0.3509,0.386,0.0909,0.0909,0.05,0,0.4035,0.3684,0.2281,0.1579,0.5614,0.2807,6797
2020,"Johnny Cueto","SFG",26.2,114,1.2,0.2048,0.4337,0.3614,0.1,0.1,0.0556,0,0.494,0.241,0.2651,0.2169,0.5301,0.253,6893
2020,"Chase Anderson","TOR",7,32,1.3,0.08,0.52,0.4,0.1,0.3,0,0,0.4,0.28,0.32,0.12,0.44,0.44,6895
2020,"Martin Perez","BOS",30.2,132,1.1515,0.1647,0.4471,0.3882,0.1212,0.1212,0.1053,0.5,0.4023,0.3908,0.2069,0.2184,0.4828,0.2989,6902
2020,"Joakim Soria","OAK",7.2,39,0.7778,0.3333,0.2917,0.375,0.2222,0,0,0,0.4167,0.3333,0.25,0.1667,0.4583,0.375,6941
2020,"Ian Kennedy","KCR",11.2,52,0.5714,0.1316,0.3158,0.5526,0.0952,0.2857,0.0833,0,0.4211,0.3158,0.2632,0.1579,0.3947,0.4474,6986
