Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",8,26,7.875,0,7,0,0.2692,0,0.2692,0.115384615,0.375,0.1579,1,1.404500198364258,2.38239763379097,1943
2020,"Adam Wainwright","STL",14,57,5.1429,1.2857,4,1.2857,0.1404,0.0351,0.1053,0.24074074,1.0714,0.2444,0.5738,4.2973573403642575,4.25630972129958,2233
2020,"Lance Lynn","TEX",6,26,12,3,4,1.5,0.3077,0.0769,0.2308,0.217391304,1.1667,0.2857,0.9091,4.154500198364259,3.617662590742112,2520
2020,"Tony Watson","SFG",5,18,7.2,0,4,0,0.2222,0,0.2222,0.222222222,0.8,0.2857,1,1.554500198364258,3.510295069217682,3132
2020,"Anibal Sanchez","WSN",7,24,6.4286,0,5,1.2857,0.2083,0,0.2083,0.208333333,0.7143,0.2222,1,3.583071626364258,3.9611229079110286,3284
2020,"Danny Duffy","KCR",5,20,10.8,3.6,3,0,0.3,0.1,0.2,0.222222222,1.2,0.3333,0.8333,1.954500198364258,2.7368181467056276,3542
2020,"Derek Holland","PIT",7,28,9,3.8571,2.3333,1.2857,0.25,0.1071,0.1429,0.208333333,1.1429,0.25,1,4.725928769364258,3.7069837144442968,4141
2020,"Jon Lester","CHC",9.2,46,7.4483,0,8,5.5862,0.1739,0,0.1739,0.391304347,1.8621,0.375,0.5208,9.568271184364258,4.534177137009438,4930
2020,"Trevor Cahill","SFG",5.1,20,13.5001,3.375,4,0,0.4,0.1,0.3,0.055555555,0.5625,0.1,0.6667,1.2794884803642579,3.113057630773296,6249
2020,"Alex Cobb","BAL",11.2,50,3.8571,1.5429,2.5,1.5429,0.1,0.04,0.06,0.291666666,1.3714,0.2927,0.6818,5.040209095364258,4.320395767606701,6562
2020,"Johnny Cueto","SFG",16.2,69,10.26,2.16,4.75,1.08,0.2754,0.058,0.2174,0.23076923,1.14,0.2955,0.5556,3.154500198364258,3.472062639258663,6893
2020,"Chase Anderson","TOR",11.2,53,6.9428,1.5429,4.5,1.5429,0.1698,0.0377,0.1321,0.32,1.5429,0.359,0.7407,4.611638891364258,4.730020970471875,6895
2020,"J.A. Happ","NYY",5.2,20,4.7647,3.1765,1.5,1.5882,0.15,0.1,0.05,0.166666666,0.8823,0.1429,1,5.448604350364258,5.570467886079149,7410
2020,"Tommy Milone","BAL",10,47,8.1,0,9,1.8,0.1915,0,0.1915,0.355555555,1.6,0.3889,0.5303,3.954500198364258,3.5058745563030245,7608
2020,"Mike Fiers","OAK",5.1,27,5.0625,5.0625,1,0,0.1111,0.1111,0,0.318181818,1.875,0.3684,0.75,4.8420107443642575,8.14243521752328,7754
2020,"Brett Anderson","MIL",6,21,4.5,1.5,3,3,0.1429,0.0476,0.0952,0.25,1,0.2,1,6.9878335313642586,4.936260881026587,8223
2020,"Patrick Corbin","WSN",12.1,53,8.7568,2.9189,3,1.4595,0.2264,0.0755,0.1509,0.306122448,1.5405,0.3714,0.8642,4.2896384013642574,3.7673085066462457,9323
2020,"Josh Tomlin","ATL",7,33,9,1.2857,7,3.8571,0.2121,0.0303,0.1818,0.375,1.8571,0.4091,0.7955,7.154500198364258,3.8182657650538854,9388
2020,"Dallas Keuchel","CHW",11.2,48,6.1714,3.8571,1.6,0,0.1667,0.1042,0.0625,0.19047619,1.1143,0.2286,0.6923,3.068786158364258,3.7393424831074755,9434
2020,"Kyle Gibson","TEX",6.1,27,8.5264,2.8421,3,2.8421,0.2222,0.0741,0.1481,0.260869565,1.2632,0.2667,0.4167,7.259784962364258,4.389745565457826,10123
2020,"Zack Wheeler","PHI",7,27,5.1429,1.2857,4,0,0.1481,0.037,0.1111,0.25,1,0.2857,0.75,2.868785913364258,3.7069837144442968,10310
2020,"Asher Wojciechowski","BAL",8.2,38,6.2307,2.0769,3,3.1154,0.1579,0.0526,0.1053,0.333333333,1.6154,0.3333,0.8163,6.962177860364259,4.944540649676483,10836
2020,"Josh A. Smith","MIA",5.2,23,4.7647,3.1765,1.5,0,0.1304,0.087,0.0435,0.238095238,1.2353,0.2778,1,3.154500198364258,4.880191403874894,10946
2020,"Jacob deGrom","NYM",7,24,18,2.5714,7,0,0.5833,0.0833,0.5,0.09090909,0.5714,0.25,0.75,0.011643056364257998,0.8498408573014395,10954
2020,"Merrill Kelly","ARI",6.2,26,9.45,2.7,3.5,0,0.2692,0.0769,0.1923,0.125,0.75,0.1765,1,1.954506198364258,3.4213450172802315,11156
2020,"Robbie Ray","ARI",9,41,12,12,1,0,0.2927,0.2927,0,0.071428571,1.5556,0.125,0.8,4.821166864364258,7.211582818296221,11486
2020,"James Paxton","NYY",10,41,9,4.5,2,0.9,0.2439,0.122,0.122,0.2,1.2,0.24,0.566,3.954500198364258,5.392613017559052,11828
2020,"Taijuan Walker","SEA",7,27,10.2857,1.2857,8,3.8571,0.2963,0.037,0.2593,0.153846153,0.7143,0.0667,1,6.868785912364258,3.8119507466043747,11836
2020,"Kyle Hendricks","CHC",11.2,47,6.1714,1.5429,4,2.3143,0.1702,0.0426,0.1277,0.222222222,1.0286,0.2059,0.7692,5.640207381364258,4.476667848264788,12049
2020,"Chris Bassitt","OAK",5.2,27,9.5294,3.1765,3,0,0.2222,0.0741,0.1481,0.25,1.4118,0.3158,0.5,2.095682897364258,3.13109762059594,12304
2020,"Colin Rea","CHC",5.1,23,3.375,0,2,1.6875,0.087,0,0.087,0.260869565,1.125,0.25,0.4348,4.8420107443642575,4.604778492313697,12317
2020,"Sonny Gray","CIN",6.2,26,13.4999,1.35,10,1.35,0.3846,0.0385,0.3462,0.2,0.9,0.2857,1,2.554503198364258,1.777984003457287,12768
2020,"Mike Clevinger","CLE",6,25,9,1.5,6,1.5,0.24,0.04,0.2,0.333333333,1.5,0.4118,0.9211,3.8211668643642582,2.9583634455998746,12808
2020,"Tyler Anderson","SFG",9,32,4,0,4,0,0.125,0,0.125,0.096774193,0.3333,0.1111,0.75,2.5989446433642582,5.4239816784858705,12880
2020,"Yu Darvish","CHC",13,52,11.7692,1.3846,8.5,0.6923,0.3269,0.0385,0.2885,0.28,1.2308,0.4063,0.9589,2.000654045364258,2.3546658781858594,13074
2020,"Gerrit Cole","NYY",13.2,51,11.8536,0.6585,18,1.9756,0.3529,0.0196,0.3333,0.2,0.8049,0.2414,1,3.593523517364258,2.457151054111519,13125
2020,"Zach Davies","SDP",8,30,7.875,2.25,3.5,1.125,0.2333,0.0667,0.1667,0.148148148,0.75,0.15,0.8696,3.779500198364258,3.865820710361004,13183
2020,"Michael Fulmer","DET",5.2,27,4.7647,6.3529,0.75,3.1765,0.1111,0.1481,-0.037,0.363636363,2.1176,0.3333,0.7609,8.801525803364257,6.974423428255975,13218
2020,"Ross Stripling","LAD",7,37,5.1429,2.5714,2,6.4286,0.1081,0.0541,0.0541,0.4,2.2857,0.3462,0.7778,12.154500198364257,5.942177852562496,13273
2020,"Luis Cessa","NYY",5,20,10.8,1.8,6,3.6,0.3,0.05,0.25,0.210526315,1,0.1818,0.4545,6.5545001983642575,4.092613017559052,13345
2020,"Blake Snell","TBR",5.2,22,14.294,1.5882,9,1.5882,0.4091,0.0455,0.3636,0.19047619,0.8823,0.2727,0.8333,2.801561098364258,1.5428716689838906,13543
2020,"Max Fried","ATL",11,43,8.1818,2.4545,3.3333,0,0.2326,0.0698,0.1628,0.23076923,1.0909,0.3,0.8333,2.154500198364258,4.110295069217682,13743
2020,"Alec Mills","CHC",9.2,44,7.4483,2.7931,2.6667,1.8621,0.1818,0.0682,0.1136,0.307692307,1.5517,0.3448,0.493,5.740698176364258,5.074281375863739,13834
2020,"Kevin Gausman","SFG",15.2,70,14.3617,3.4468,4.1667,2.2979,0.3571,0.0857,0.2714,0.265625,1.4681,0.3714,0.8046,4.431093226364258,2.485166106270049,14107
2020,"Lance McCullers Jr.","HOU",5.2,23,11.1176,4.7647,2.3333,0,0.3043,0.1304,0.1739,0.157894736,1.0588,0.25,0.7143,2.801561098364258,2.8015610980060246,14120
2020,"Jose Berrios","MIN",10,40,14.4,4.5,3.2,0.9,0.4,0.125,0.275,0.171428571,1.1,0.2778,0.7292,2.754500198364258,2.43239763379097,14168
2020,"Tyler Glasnow","TBR",7,27,16.7143,1.2857,13,1.2857,0.4815,0.037,0.4444,0.192307692,0.8571,0.3333,0.8696,1.725928770364258,0.4275844471795218,14374
2020,"Jorge Lopez","BAL",8,34,9,2.25,4,1.125,0.2353,0.0588,0.1765,0.266666666,1.25,0.3182,0.4167,3.904500198364258,3.746346351504326,14527
2020,"Jon Gray","COL",7,25,9,2.5714,3.5,2.5714,0.28,0.08,0.2,0.130434782,0.7143,0.0714,0.9091,5.725928769364258,3.9674379263605393,14916
2020,"Chad Kuhl","PIT",5,20,1.8,5.4,0.3333,1.8,0.05,0.15,-0.1,0.117647058,1,0.0667,1,7.154500198364258,6.119136095046997,14975
2020,"Alex Reyes","STL",5.1,27,8.4376,13.5001,0.625,1.6875,0.1852,0.2963,-0.1111,0.210526315,2.25,0.2308,0.566,8.217031838364258,8.713227246688446,15015
2020,"German Marquez","COL",11,53,6.5455,3.2727,2,0.8182,0.1509,0.0755,0.0755,0.387755102,2.0909,0.45,0.463,3.972682016364258,4.568859171867371,15038
2020,"Steven Brault","PIT",5,17,5.4,1.8,3,0,0.1765,0.0588,0.1176,0.125,0.6,0.1538,1,2.554500198364258,3.7279771208763126,15291
2020,"Andrew Heaney","LAA",5.2,25,9.5294,6.3529,1.5,0,0.24,0.16,0.08,0.238095238,1.5882,0.3333,0.5556,3.154500198364258,5.2253296449770215,15423
2020,"Lucas Giolito","CHW",21,77,13.2857,1.7143,7.75,0,0.4026,0.0519,0.3506,0.126760563,0.619,0.225,0.6667,1.059262103364258,2.1768591721852624,15474
