Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",7.2,30,9.3913,1.1739,8,0,0.2667,0.0333,0.2333,0.178571428,0.7826,0.25,0.4286,1.8439353184497076,2.359018165799298,1943
2020,"Ivan Nova","DET",6,26,4.5,6,0.75,3,0.1154,0.1538,-0.0385,0.227272727,1.5,0.1765,0.6452,8.481610806449707,6.122770306468011,1994
2020,"Clayton Kershaw","LAD",6.2,21,9.45,0,7,1.35,0.3333,0,0.3333,0.095238095,0.3,0.0769,1,2.998278223449707,2.529150193849832,2036
2020,"Lance Lynn","TEX",14.2,56,6.75,0.6136,11,0.6136,0.1964,0.0179,0.1786,0.166666666,0.6818,0.1905,0.8333,2.9437324844497073,4.211358147922686,2520
2020,"Rick Porcello","NYM",9.1,40,7.7143,0.9643,8,0,0.2,0.025,0.175,0.282051282,1.2857,0.3548,0.5833,1.7554153564497073,3.447843828773807,2717
2020,"Max Scherzer","WSN",17.1,74,12.9808,2.5962,5,1.5577,0.3378,0.0676,0.2703,0.279411764,1.3846,0.3902,0.8586,3.379047147449707,3.0655683621616747,3137
2020,"Anibal Sanchez","WSN",8.2,43,2.0769,3.1154,0.6667,1.0385,0.0465,0.0698,-0.0233,0.333333333,1.8461,0.3333,0.5769,5.571345076449707,7.260903924377539,3284
2020,"Jake Arrieta","PHI",11,47,5.7273,3.2727,1.75,2.4545,0.1489,0.0851,0.0638,0.309523809,1.5455,0.303,0.7813,6.511913836449708,4.4024540792812,4153
2020,"Rafael Dolis","TOR",5.2,26,14.294,9.5294,1.5,1.5882,0.3462,0.2308,0.1154,0.2,1.7647,0.3,0.814,5.442381625449707,4.1935910596735955,4185
2020,"Matt Shoemaker","TOR",13.2,54,7.2439,1.9756,3.6667,2.6341,0.2037,0.0556,0.1481,0.18,0.878,0.1389,0.7813,6.001929049449707,3.9307570768813793,4776
2020,"Trevor Cahill","SFG",5.1,20,8.4376,3.375,2.5,1.6875,0.25,0.1,0.15,0.125,0.75,0.0909,1,5.398291535449707,5.182094621952476,6249
2020,"David Phelps","MIL",6.1,23,12.7895,1.4211,9,1.4211,0.3913,0.0435,0.3478,0.095238095,0.4737,0.0909,0.3846,3.3061730404497074,2.1888216603751505,6316
2020,"Trevor May","MIN",5,20,14.4,1.8,8,1.8,0.4,0.05,0.35,0.210526315,1,0.3,0.5556,3.148277473449707,2.52277030646801,6398
2020,"Alex Cobb","BAL",7.2,36,8.2174,3.5217,2.3333,2.3478,0.1944,0.0833,0.1111,0.242424242,1.4348,0.25,0.7317,5.8873959984497075,3.5262720907000515,6562
2020,"Carlos Carrasco","CLE",9.1,37,8.6786,4.8214,1.8,0.9643,0.2432,0.1351,0.1081,0.1875,1.1786,0.2273,0.7292,4.219709870449707,4.730829785832758,6632
2020,"Alex Colome","CHW",6.2,26,8.1,4.05,2,0,0.2308,0.1154,0.1154,0.130434782,0.9,0.1765,0.8333,2.698279723449707,3.8829694998005575,6661
2020,"Julio Teheran","LAA",5.1,23,3.375,5.0625,0.6667,3.375,0.087,0.1304,-0.0435,0.277777777,1.5,0.1875,0.1923,8.960813801449707,7.047541093374786,6797
2020,"Johnny Cueto","SFG",10,45,6.3,5.4,1.1667,0.9,0.1556,0.1333,0.0222,0.23076923,1.5,0.2581,0.9559,4.848277473449707,6.510016722977161,6893
