Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Tommy Hunter","PHI",7.2,30,2.25,0.31578947,0.47368421,0.21052632,0,0.25,0,0,0.40909091,0.36363636,0.22727273,0.04545455,0.54545455,0.40909091,1157
2020,"Zack Greinke","HOU",12.2,51,4.6,0.22222222,0.63888889,0.13888889,0,0,0.04347826,0,0.55555556,0.22222222,0.22222222,0.16666667,0.58333333,0.25,1943
2020,"Ivan Nova","DET",6,26,1.5,0.21052632,0.47368421,0.31578947,0,0.33333333,0,0,0.52631579,0.36842105,0.10526316,0.10526316,0.47368421,0.42105263,1994
2020,"Clayton Kershaw","LAD",11,38,1.09090909,0.11538462,0.46153846,0.42307692,0,0.18181818,0,1,0.44444444,0.37037037,0.18518519,0.03703704,0.62962963,0.33333333,2036
2020,"Adam Wainwright","STL",10.2,40,2.42857143,0.11111111,0.62962963,0.25925926,0,0.28571429,0,0,0.55555556,0.22222222,0.22222222,0.25925926,0.40740741,0.33333333,2233
2020,"Lance Lynn","TEX",15.2,62,1.15789474,0.16326531,0.44897959,0.3877551,0.05263158,0.10526316,0.09090909,0,0.30612245,0.44897959,0.24489796,0.20408163,0.57142857,0.2244898,2520
2020,"Rick Porcello","NYM",14.1,64,1.76923077,0.26530612,0.46938776,0.26530612,0.15384615,0.07692308,0.08695652,1,0.46,0.24,0.3,0.26,0.44,0.3,2717
2020,"Ross Detwiler","CHW",5.1,21,13,0.06666667,0.86666667,0.06666667,0,0,0,0,0.6,0.33333333,0.06666667,0.06666667,0.73333333,0.2,2859
2020,"Kenley Jansen","LAD",6.2,27,0.66666667,0.16666667,0.33333333,0.5,0.16666667,0.16666667,0,1,0.23076923,0.46153846,0.30769231,0.23076923,0.38461538,0.38461538,3096
2020,"Max Scherzer","WSN",18,80,1,0.26530612,0.36734694,0.36734694,0.16666667,0.16666667,0.05555556,1,0.42,0.24,0.34,0.16,0.5,0.34,3137
2020,"Anibal Sanchez","WSN",11.1,56,0.83333333,0.26666667,0.33333333,0.4,0.05555556,0.11111111,0.06666667,0,0.2826087,0.52173913,0.19565217,0.15217391,0.56521739,0.2826087,3284
2020,"Jake Arrieta","PHI",12.2,56,2.3,0.175,0.575,0.25,0.1,0.3,0,0,0.3,0.525,0.175,0.225,0.55,0.225,4153
2020,"Rafael Dolis","TOR",5.2,27,1.5,0.09090909,0.54545455,0.36363636,0,0.25,0,1,0.41666667,0.33333333,0.25,0,0.66666667,0.33333333,4185
2020,"Mark Melancon","ATL",5,22,2.5,0.22222222,0.55555556,0.22222222,0,0,0.2,0,0.33333333,0.33333333,0.33333333,0.22222222,0.38888889,0.38888889,4264
2020,"Charlie Morton","TBR",7.2,32,0.75,0.22222222,0.33333333,0.44444444,0.25,0.125,0,0,0.5,0.22222222,0.27777778,0.22222222,0.44444444,0.33333333,4676
2020,"Matt Shoemaker","TOR",13.2,54,1.66666667,0.17948718,0.51282051,0.30769231,0.08333333,0.33333333,0.05,0,0.475,0.325,0.2,0.25,0.45,0.3,4776
2020,"Madison Bumgarner","ARI",6,24,0.8,0.30769231,0.30769231,0.38461538,0.2,0.2,0,0,0.46153846,0.46153846,0.07692308,0.23076923,0.30769231,0.46153846,5524
2020,"Ryan Brasier","BOS",5,23,0.57142857,0.08333333,0.33333333,0.58333333,0,0,0,0,0.08333333,0.41666667,0.5,0,0.58333333,0.41666667,5615
2020,"Trevor Cahill","SFG",7,27,0.625,0.1875,0.3125,0.5,0.125,0.125,0,0,0.35294118,0.35294118,0.29411765,0.23529412,0.52941176,0.23529412,6249
2020,"David Phelps","2 Tms",7.1,29,2.5,0.17647059,0.58823529,0.23529412,0,0.5,0,0,0.47058824,0.29411765,0.23529412,0.17647059,0.35294118,0.47058824,6316
2020,"Jake Odorizzi","MIN",5.1,20,1.75,0.21428571,0.5,0.28571429,0,0,0,0,0.4,0.33333333,0.26666667,0.06666667,0.66666667,0.26666667,6397
2020,"Trevor May","MIN",6.2,27,0.16666667,0.46153846,0.07692308,0.46153846,0.16666667,0.16666667,0,0,0.46153846,0.15384615,0.38461538,0.23076923,0.38461538,0.38461538,6398
2020,"Jose Cisnero","DET",5.1,24,4.5,0.26666667,0.6,0.13333333,0,0,0,0,0.53333333,0.4,0.06666667,0.13333333,0.6,0.26666667,6399
2020,"Alex Cobb","BAL",10.2,51,2.375,0.27027027,0.51351351,0.21621622,0,0.375,0.05263158,0,0.44736842,0.26315789,0.28947368,0.07894737,0.44736842,0.47368421,6562
2020,"Carlos Carrasco","CLE",16.2,67,1.05263158,0.04878049,0.48780488,0.46341463,0,0.05263158,0,0,0.31707317,0.36585366,0.31707317,0.17073171,0.51219512,0.31707317,6632
2020,"Alex Colome","CHW",7,27,2.25,0.27777778,0.5,0.22222222,0.25,0,0,0,0.61111111,0.22222222,0.16666667,0.16666667,0.55555556,0.27777778,6661
2020,"Julio Teheran","LAA",8.2,38,1.09090909,0.14814815,0.44444444,0.40740741,0,0.18181818,0.08333333,0,0.44444444,0.2962963,0.25925926,0.14814815,0.59259259,0.25925926,6797
2020,"Johnny Cueto","SFG",12.2,59,0.88235294,0.25581395,0.34883721,0.39534884,0.05882353,0.05882353,0.13333333,0,0.44186047,0.30232558,0.25581395,0.20930233,0.53488372,0.25581395,6893
2020,"Martin Perez","BOS",6.2,30,1,0.2,0.4,0.4,0.125,0.125,0.25,0,0.55,0.35,0.1,0.35,0.5,0.15,6902
2020,"Ian Kennedy","KCR",6,23,0.36363636,0.11764706,0.23529412,0.64705882,0.18181818,0.27272727,0.25,0,0.58823529,0.23529412,0.17647059,0.17647059,0.47058824,0.35294118,6986
2020,"Daniel Bard","COL",5.2,27,1.2,0.15384615,0.46153846,0.38461538,0,0.2,0,0,0.38461538,0.46153846,0.15384615,0.15384615,0.38461538,0.46153846,7115
2020,"Greg Holland","KCR",8.1,32,1.57142857,0.18181818,0.5,0.31818182,0.14285714,0,0.09090909,0,0.52173913,0.30434783,0.17391304,0.17391304,0.60869565,0.2173913,7196
2020,"Craig Stammen","SDP",6.2,26,3.33333333,0.27777778,0.55555556,0.16666667,0,0,0.1,1,0.52631579,0.31578947,0.15789474,0.10526316,0.52631579,0.36842105,7274
2020,"J.A. Happ","NYY",8,29,6,0.33333333,0.57142857,0.0952381,0,0.5,0,0,0.52380952,0.33333333,0.14285714,0.0952381,0.52380952,0.38095238,7410
2020,"Gio Gonzalez","CHW",5,20,3,0.2,0.6,0.2,0,0,0.16666667,0,0.3,0.6,0.1,0.2,0.7,0.1,7448
2020,"Nick Vincent","MIA",5,20,0.625,0.23529412,0.29411765,0.47058824,0,0.25,0.2,0,0.41176471,0.47058824,0.11764706,0.17647059,0.52941176,0.29411765,7555
2020,"Jordan Lyles","TEX",17,75,1.04761905,0.27118644,0.37288136,0.3559322,0.0952381,0.0952381,0.18181818,0,0.46666667,0.31666667,0.21666667,0.23333333,0.43333333,0.33333333,7593
