Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",7.2,30,4.6956,5,1,0,4,4,0,1,0,1,8,0.178571428,0.233333333,0.214285714,0.2062666396299998,1943
2020,"Ivan Nova","DET",6,26,7.5,5,0,0,5,5,2,4,0,0,3,0.227272727,0.346153846,0.5,0.36110409177266634,1994
2020,"Clayton Kershaw","LAD",6.2,21,1.35,2,0,0,1,1,1,0,0,0,7,0.095238095,0.095238095,0.238095238,0.13605997392109462,2036
2020,"Lance Lynn","TEX",12,43,0.75,6,1,0,1,1,1,0,0,0,7,0.139534883,0.139534883,0.232558139,0.1566946451054063,2520
2020,"Rick Porcello","NYM",9.1,40,4.8214,11,3,0,5,5,0,1,0,0,8,0.282051282,0.3,0.358974358,0.28646363168954847,2717
2020,"Max Scherzer","WSN",17.1,74,3.6346,19,3,1,7,7,3,5,0,0,25,0.279411764,0.324324324,0.485294117,0.3413512875904908,3137
2020,"Anibal Sanchez","WSN",6.2,32,6.75,9,2,0,5,5,1,3,1,1,2,0.321428571,0.40625,0.5,0.38261668912826047,3284
2020,"Jake Arrieta","PHI",6.1,29,7.1053,8,3,0,5,5,2,3,0,0,4,0.32,0.379310344,0.68,0.4275573492050171,4153
2020,"Rafael Dolis","TOR",5,24,3.6,4,1,0,3,2,1,6,0,0,7,0.222222222,0.416666666,0.444444444,0.38183416922887164,4185
2020,"Matt Shoemaker","TOR",13.2,54,3.9512,9,2,0,7,6,4,3,0,0,11,0.18,0.226415094,0.46,0.28517995690399744,4776
2020,"Trevor Cahill","SFG",5.1,20,1.6875,2,1,0,1,1,1,2,0,1,5,0.125,0.263157894,0.375,0.28084785059878703,6249
2020,"David Phelps","MIL",6.1,23,2.8421,2,0,0,3,2,1,1,0,1,9,0.095238095,0.173913043,0.238095238,0.18622532098189645,6316
2020,"Alex Cobb","BAL",7.2,36,5.8695,8,1,0,5,5,2,3,0,0,7,0.242424242,0.305555555,0.454545454,0.3247130645645989,6562
2020,"Carlos Carrasco","CLE",9.1,37,3.8572,6,1,0,4,4,1,5,0,0,9,0.1875,0.297297297,0.3125,0.27645328721484624,6632
2020,"Alex Colome","CHW",6,22,1.5,3,1,0,1,1,0,1,0,0,5,0.142857142,0.181818181,0.19047619,0.16806021332740784,6661
2020,"Julio Teheran","LAA",5.1,23,11.8126,5,0,1,7,7,2,3,0,0,2,0.277777777,0.347826086,0.722222222,0.4071540962094846,6797
2020,"Johnny Cueto","SFG",10,45,0.9,9,2,0,2,1,1,6,0,0,7,0.23076923,0.333333333,0.358974358,0.30946880711449515,6893
2020,"Ian Kennedy","KCR",6,23,9,5,0,0,7,6,3,0,0,0,6,0.217391304,0.217391304,0.608695652,0.3343614080677862,6986
2020,"Greg Holland","KCR",5.1,22,5.0625,6,3,0,3,3,0,0,0,1,6,0.3,0.333333333,0.45,0.33717988502411617,7196
2020,"Jordan Lyles","TEX",9.1,37,2.8929,6,1,0,3,3,0,5,0,0,4,0.193548387,0.297297297,0.225806451,0.246876868041786,7593
2020,"Tommy Milone","2 Tms",5,20,5.4,3,1,1,4,3,1,2,0,0,5,0.166666666,0.25,0.5,0.3081925392150879,7608
2020,"Mike Fiers","OAK",10.2,49,6.75,13,1,0,9,8,3,4,0,0,9,0.288888888,0.346938775,0.511111111,0.3650920013992154,7754
2020,"Josh Lindblom","MIL",9.2,44,7.4483,11,3,0,8,8,2,7,0,0,11,0.297297297,0.409090909,0.54054054,0.4053700579838319,7882
2020,"Tanner Roark","TOR",10.2,48,5.9062,10,1,0,7,7,3,7,0,0,10,0.243902439,0.354166666,0.487804878,0.36124273513754207,8753
2020,"Nathan Eovaldi","BOS",13,56,3.4615,14,2,2,5,5,1,4,0,1,11,0.28,0.345454545,0.46,0.3456880797039379,9132
2020,"Josh Tomlin","ATL",6.1,22,0,0,0,0,1,0,0,4,1,0,6,0,0.19047619,0,0.10472705662250519,9388
2020,"Garrett Richards","SDP",13,53,2.7692,14,0,0,4,4,2,4,0,0,9,0.285714285,0.339622641,0.408163265,0.3268283043267592,9784
2020,"Brandon Kintzler","MIA",5.1,20,0,3,1,0,0,0,0,1,0,0,1,0.157894736,0.2,0.210526315,0.18486623466014862,9939
2020,"Kyle Gibson","TEX",9.1,38,7.7143,7,1,0,8,8,2,2,0,1,7,0.2,0.263157894,0.4,0.2852043823191994,10123
2020,"Ryan Tepera","CHC",5,22,10.8,3,1,0,6,6,1,3,0,1,9,0.166666666,0.318181818,0.388888888,0.31435252319682727,10291
2020,"Zack Wheeler","PHI",6,22,3,3,0,0,2,2,1,2,0,0,4,0.15,0.227272727,0.3,0.23341300812634555,10310
2020,"Aaron Loup","TBR",5.1,19,1.6875,2,0,0,1,1,0,1,0,2,5,0.133333333,0.277777777,0.133333333,0.21758874588542515,10343
2020,"Trevor Rosenthal","2 Tms",6.1,26,0,3,1,0,0,0,0,3,0,1,14,0.136363636,0.269230769,0.181818181,0.22390107695872968,10745
2020,"Shane Greene","ATL",5,18,1.8,4,0,0,1,1,0,1,1,0,4,0.235294117,0.277777777,0.235294117,0.20740375799291275,10756
2020,"Asher Wojciechowski","BAL",7.1,33,2.4546,6,3,0,2,2,1,5,0,1,6,0.222222222,0.363636363,0.444444444,0.3535153631008033,10836
2020,"Jacob deGrom","NYM",7,24,0,2,0,0,0,0,0,1,0,0,9,0.086956521,0.125,0.086956521,0.10254634668429692,10954
2020,"Merrill Kelly","ARI",9,31,3,4,2,0,3,3,1,1,0,0,11,0.133333333,0.161290322,0.3,0.19444724436729185,11156
2020,"A.J. Cole","TOR",6,18,0,0,0,0,0,0,0,1,1,0,3,0,0.055555555,0,0,11467
2020,"Robbie Ray","2 Tms",5,22,3.6,5,0,0,2,2,0,2,0,0,9,0.25,0.318181818,0.25,0.26380411874164233,11486
2020,"Matt Andriese","LAA",6.2,22,1.35,2,0,0,1,1,0,3,0,0,2,0.105263157,0.227272727,0.105263157,0.17533968524499374,12022
2020,"Kyle Hendricks","CHC",16.1,67,2.7551,17,4,0,5,5,3,2,1,0,14,0.265625,0.283582089,0.46875,0.3088646973624374,12049
2020,"Evan Marshall","CHW",5,18,0,1,0,0,0,0,0,2,0,0,7,0.0625,0.166666666,0.0625,0.12654592924647862,12297
2020,"Chris Bassitt","OAK",8.1,38,8.64,10,4,0,8,8,3,2,0,1,8,0.285714285,0.342105263,0.657142857,0.4115981883124301,12304
2020,"Trevor Bauer","CIN",13,52,3.4615,9,2,0,5,5,3,3,1,1,21,0.1875,0.25,0.416666666,0.27548573297612805,12703
2020,"Adrian Houser","MIL",10.2,54,6.75,16,3,0,8,8,3,6,0,1,7,0.340425531,0.425925925,0.59574468,0.4327315202465764,12718
2020,"Sonny Gray","CIN",11,45,1.6364,7,2,1,2,2,0,6,0,0,13,0.179487179,0.288888888,0.282051282,0.26095233493381076,12768
2020,"Tyler Anderson","SFG",5,27,9,10,3,1,5,5,1,3,0,0,2,0.434782608,0.481481481,0.782608695,0.5089550283220079,12880
2020,"Dylan Bundy","LAA",10,38,1.8,7,2,0,2,2,1,0,0,1,9,0.189189189,0.210526315,0.324324324,0.22899538592288368,12917
2020,"Joe Musgrove","PIT",5.1,25,6.75,4,0,1,4,4,1,6,0,0,4,0.222222222,0.4,0.5,0.3793316745758057,12970
2020,"Colten Brewer","BOS",5.1,22,8.4376,4,0,0,5,5,3,3,0,0,4,0.210526315,0.318181818,0.684210526,0.40469943393360486,12997
2020,"Anthony DeSclafani","CIN",7.2,33,2.3478,7,0,1,2,2,0,2,0,1,6,0.233333333,0.303030303,0.3,0.2717691912795558,13050
