Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",12.2,52,10.6579,2.1316,5,0,0.2885,0.0577,0.2308,0.224489795,1.1053,0.3235,0.7143,1.4729129259501954,3.3336143577404806,1943
2020,"Ivan Nova","DET",5,25,0,3.6,0,0,0,0.08,-0.08,0.304347826,1.8,0.3043,0.6667,4.330803298950196,5.902066421508789,1994
2020,"Adam Wainwright","STL",16.2,64,5.4,0.54,10,1.62,0.1563,0.0156,0.1406,0.209677419,0.84,0.2,0.7143,4.450800658950195,4.467695309004066,2233
2020,"Lance Lynn","TEX",18.1,71,12.2727,3.4364,3.5714,0.9818,0.3521,0.0986,0.2535,0.158730158,0.9273,0.2162,0.8451,2.9671666379501955,3.4773541249099713,2520
2020,"Rick Porcello","NYM",5.2,26,11.1176,4.7647,2.3333,0,0.2692,0.1154,0.1538,0.217391304,1.4118,0.3125,0.5,2.2484555489501954,4.328056271436731,2717
2020,"Anibal Sanchez","WSN",7.1,34,8.5909,3.6818,2.3333,2.4546,0.2059,0.0882,0.1176,0.322580645,1.7727,0.3636,1,5.9944526789501955,5.6629439230047005,3284
2020,"Tyler Chatwood","CHC",9,33,14,3,4.6667,0,0.4242,0.0909,0.3333,0.133333333,0.7778,0.25,1,1.0196921879501954,1.892616144816081,4338
2020,"Charlie Morton","TBR",5.1,25,11.8126,3.375,3.5,3.375,0.28,0.08,0.2,0.285714285,1.5,0.3077,0.4839,7.068327907950195,4.771167111671717,4676
2020,"Alex Cobb","BAL",9.1,42,5.7857,3.8572,1.5,0.9643,0.1429,0.0952,0.0476,0.236842105,1.3929,0.2581,0.7759,4.5236654159501954,4.6038677372932995,6562
2020,"Carlos Carrasco","CLE",9.1,44,13.5,7.7143,1.75,1.9286,0.3182,0.1818,0.1364,0.228571428,1.7143,0.3,0.9848,5.487954573950196,3.964857001198002,6632
2020,"Julio Teheran","LAA",6.2,29,5.4,4.05,1.3333,4.05,0.1379,0.1034,0.0345,0.346153846,1.8,0.3158,0.8974,9.130773298950196,5.343075085949415,6797
2020,"Johnny Cueto","SFG",6.2,33,13.4999,6.75,2,2.7,0.303,0.1515,0.1515,0.285714285,1.95,0.375,0.4902,6.280787548950196,4.443079585926915,6893
2020,"Chase Anderson","TOR",6,31,9,1.5,6,3,0.1935,0.0323,0.1613,0.379310344,2,0.4286,0.6863,6.464136631950196,4.749575169881186,6895
2020,"Daniel Bard","COL",5,21,10.8,0,6,0,0.2857,0,0.2857,0.3,1.2,0.4286,0.8571,1.3308032989501954,2.9020664215087892,7115
2020,"Greg Holland","KCR",5.2,19,4.7647,1.5882,3,0,0.1579,0.0526,0.1053,0.166666666,0.7059,0.2,0.5,2.6013946489501953,3.9877951306675916,7196
2020,"J.A. Happ","NYY",5.2,18,4.7647,3.1765,1.5,1.5882,0.1667,0.1111,0.0556,0.125,0.7059,0.0833,0.7692,5.4249074509501956,3.8240035400775687,7410
2020,"Jordan Lyles","TEX",7.2,39,8.2174,5.8695,1.4,1.1739,0.1795,0.1282,0.0513,0.294117647,1.9565,0.3462,0.5147,4.956882315950196,5.82306842370823,7593
2020,"Mike Fiers","OAK",7.1,31,4.9091,4.9091,1,1.2273,0.129,0.129,0,0.153846153,1.0909,0.1429,0.7895,5.858088422950195,7.83497531492873,7754
2020,"Josh Lindblom","MIL",6.2,36,8.1,4.05,2,5.4,0.1667,0.0833,0.0833,0.375,2.25,0.3636,0.6731,10.930764298950194,7.549958735369058,7882
2020,"Tanner Roark","TOR",5.2,24,9.5294,9.5294,1,1.5882,0.25,0.25,0,0.166666666,1.5882,0.1818,0.7895,6.483724751950195,5.576021082279642,8753
2020,"Nathan Eovaldi","BOS",6.1,20,11.3685,0,8,1.4211,0.4,0,0.4,0.1,0.3158,0.0909,1,2.6571165959501957,2.1550709818313494,9132
2020,"Patrick Corbin","WSN",5.2,23,14.294,1.5882,9,1.5882,0.3913,0.0435,0.3478,0.227272727,1.0588,0.3333,0.8696,2.7778641989501955,1.523560407954506,9323
2020,"Dallas Keuchel","CHW",6.1,24,5.6842,2.8421,2,0,0.1667,0.0833,0.0833,0.136363636,0.7895,0.1667,0.4,2.8150121639501955,4.055489578266345,9434
2020,"Garrett Richards","SDP",5.2,28,11.1176,7.9411,1.4,4.7647,0.25,0.1786,0.0714,0.272727272,1.9412,0.2308,0.4412,10.189585305950196,6.080073813638804,9784
2020,"Mike Minor","TEX",6.2,30,8.1,1.35,6,0,0.2,0.0333,0.1667,0.24137931,1.2,0.3043,0.875,1.7808100489501955,4.137692948339839,10021
2020,"Kyle Gibson","TEX",10.1,51,6.0968,5.2258,1.1667,2.6129,0.1373,0.1176,0.0196,0.325581395,1.9355,0.3333,0.7865,7.872754078950196,5.8092032417355774,10123
2020,"Ryan Weber","BOS",10.2,42,4.2187,2.5312,1.6667,3.375,0.119,0.0714,0.0476,0.27027027,1.2187,0.2069,0.9524,8.193287477950197,5.896148217695018,10160
2020,"Zack Wheeler","PHI",15.2,60,6.3191,1.1489,5.5,0,0.1833,0.0333,0.15,0.25,1.0213,0.3043,0.7647,2.3010178309501956,3.6800490198218956,10310
2020,"Asher Wojciechowski","BAL",10.1,44,9.5807,1.7419,5.5,2.6129,0.25,0.0455,0.2045,0.31707317,1.4516,0.3571,0.6481,5.356616929950196,4.053357153147514,10836
2020,"Josh A. Smith","MIA",6,29,7.5,7.5,1,0,0.1724,0.1724,0,0.304347826,2,0.3684,0.8333,3.964136631950196,5.2735225677490245,10946
2020,"Jacob deGrom","NYM",13.1,55,10.8,4.05,2.6667,0,0.2909,0.1091,0.1818,0.163265306,1.05,0.2424,0.7143,2.080800673950195,4.437701250032964,10954
2020,"Merrill Kelly","ARI",5.2,23,1.5882,1.5882,1,1.5882,0.0435,0.0435,0,0.227272727,1.0588,0.2,0.8696,5.601377000950196,5.733473693075117,11156
2020,"Robbie Ray","ARI",5.2,22,9.5294,3.1765,3,3.1765,0.2727,0.0909,0.1818,0.15,0.8823,0.0833,0,6.660194301950195,5.191387082948674,11486
2020,"Taijuan Walker","2 Tms",9.1,41,11.5715,4.8214,2.4,3.8572,0.2927,0.122,0.1707,0.222222222,1.3929,0.2,1,7.737962609950196,4.691767463648524,11836
2020,"Kyle Hendricks","CHC",14.1,49,8.1628,0,13,0.6279,0.2653,0,0.2653,0.122448979,0.4186,0.1429,0.4348,2.2238244459501955,3.235252703119186,12049
2020,"Chris Bassitt","OAK",8.2,31,9.3461,2.0769,4.5,0,0.2903,0.0645,0.2258,0.142857142,0.6923,0.2,0.8333,1.7461932399501956,4.23905302897208,12304
2020,"Trevor Bauer","CIN",5.2,24,11.1176,3.1765,3.5,4.7647,0.2917,0.0833,0.2083,0.227272727,1.2353,0.1667,1,8.601359353950196,4.838447982590441,12703
2020,"Adrian Houser","MIL",7.2,41,3.5217,3.5217,1,2.3478,0.0732,0.0732,0,0.394736842,2.3478,0.3939,0.5921,6.913395547950196,5.059204491013203,12718
2020,"Sonny Gray","CIN",14.2,60,10.4318,3.0682,3.4,1.2273,0.2833,0.0833,0.2,0.222222222,1.1591,0.2857,0.5921,3.8126199309501954,3.2451241842743777,12768
2020,"Mike Clevinger","CLE",10.2,42,7.5937,2.5312,3,0.8437,0.2143,0.0714,0.1429,0.23076923,1.125,0.2759,0.9434,3.5058021269501958,3.7601105097638436,12808
2020,"Dylan Bundy","LAA",13.1,57,6.75,4.725,1.4286,2.025,0.1754,0.1228,0.0526,0.26,1.5,0.2703,0.8228,6.130810798950195,5.268091490528828,12917
2020,"Archie Bradley","2 Tms",5,18,9,1.8,5,0,0.2778,0.0556,0.2222,0.1875,0.8,0.2727,0.8,2.3308032989501957,4.687697982788086,12918
2020,"Joe Musgrove","PIT",5.1,23,13.5001,5.0625,2.6667,1.6875,0.3478,0.1304,0.2174,0.157894736,1.125,0.2,0.8929,4.818313844950195,3.1173328034589396,12970
2020,"Colten Brewer","BOS",7,33,7.7143,6.4286,1.2,0,0.1818,0.1515,0.0303,0.25,1.7143,0.3182,0.6667,3.5593747269501956,3.839957427978516,12997
2020,"Yu Darvish","CHC",19,73,10.4211,1.4211,7.3333,0.4737,0.3014,0.0411,0.2603,0.19117647,0.8421,0.2667,0.8434,2.2886980359501954,2.741585821854441,13074
