Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",16.1,64,12.6735,2.2041,5.75,0,0.3594,0.0625,0.2969,0.183333333,0.9184,0.2973,0.7333,1.0685770081491701,2.7465560868985226,1943
2020,"Ivan Nova","DET",5,25,0,3.6,0,0,0,0.08,-0.08,0.304347826,1.8,0.3043,0.6667,4.35021390914917,5.916324520111084,1994
2020,"Adam Wainwright","STL",16.2,64,5.4,0.54,10,1.62,0.1563,0.0156,0.1406,0.209677419,0.84,0.2,0.7143,4.4702112691491696,4.479377167265525,2233
2020,"Lance Lynn","TEX",18.1,71,12.2727,3.4364,3.5714,0.9818,0.3521,0.0986,0.2535,0.158730158,0.9273,0.2162,0.8451,2.98657724814917,3.4904411866520237,2520
2020,"Rick Porcello","NYM",7.2,33,9.3913,3.5217,2.6667,0,0.2424,0.0909,0.1515,0.2,1.1739,0.2727,0.3333,2.2371744011491703,4.279918489949141,2717
2020,"Max Scherzer","WSN",9.2,47,9.3103,4.6552,2,0.931,0.2128,0.1064,0.1064,0.31707317,1.8621,0.3871,0.7831,3.97779726214917,5.063137571249857,3137
2020,"Anibal Sanchez","WSN",7.1,34,8.5909,3.6818,2.3333,2.4546,0.2059,0.0882,0.1176,0.322580645,1.7727,0.3636,1,6.01386328914917,5.671815257031939,3284
2020,"Tyler Chatwood","CHC",9,33,14,3,4.6667,0,0.4242,0.0909,0.3333,0.133333333,0.7778,0.25,1,1.03910279814917,1.9091642485724556,4338
2020,"Charlie Morton","TBR",5.1,25,11.8126,3.375,3.5,3.375,0.28,0.08,0.2,0.285714285,1.5,0.3077,0.4839,7.0877385181491706,4.782124329698689,4676
2020,"Trevor Cahill","SFG",6,22,9,4.5,2,0,0.2727,0.1364,0.1364,0.052631578,0.6667,0.0769,0.75,2.6502139091491705,4.934125216801962,6249
2020,"Alex Cobb","BAL",9.1,42,5.7857,3.8572,1.5,0.9643,0.1429,0.0952,0.0476,0.236842105,1.3929,0.2581,0.7759,4.54307602614917,4.618447850618613,6562
2020,"Carlos Carrasco","CLE",12,56,13.5,6.75,2,1.5,0.3214,0.1607,0.1607,0.260869565,1.75,0.3704,0.989,4.56688057514917,3.542169562975566,6632
2020,"Julio Teheran","LAA",6.2,29,5.4,4.05,1.3333,4.05,0.1379,0.1034,0.0345,0.346153846,1.8,0.3158,0.8974,9.15018390914917,5.355723058490936,6797
2020,"Johnny Cueto","SFG",11.1,53,13.5,5.5588,2.4286,1.5882,0.3208,0.1321,0.1887,0.288888888,1.7647,0.4074,0.6395,4.2972761061491696,3.5577513760230315,6893
2020,"Chase Anderson","TOR",6,31,9,1.5,6,3,0.1935,0.0323,0.1613,0.379310344,2,0.4286,0.6863,6.483547242149171,4.7603982607523605,6895
2020,"Daniel Bard","COL",5,21,10.8,0,6,0,0.2857,0,0.2857,0.3,1.2,0.4286,0.8571,1.35021390914917,2.9163245201110843,7115
2020,"Greg Holland","KCR",6,21,6,3,2,0,0.1905,0.0952,0.0952,0.157894736,0.8333,0.2,0.6,2.8168805761491704,4.121972751617433,7196
2020,"J.A. Happ","NYY",5.2,18,4.7647,3.1765,1.5,1.5882,0.1667,0.1111,0.0556,0.125,0.7059,0.0833,0.7692,5.44431806114917,3.8411409967671464,7410
2020,"Jordan Lyles","TEX",7.2,39,8.2174,5.8695,1.4,1.1739,0.1795,0.1282,0.0513,0.294117647,1.9565,0.3462,0.5147,4.976292926149171,5.83407823630739,7593
2020,"Tommy Milone","2 Tms",5,20,9,0,5,1.8,0.25,0,0.25,0.263157894,1,0.2857,0.8333,3.75021390914917,3.499379825592041,7608
2020,"Mike Fiers","OAK",11,46,5.7273,3.2727,1.75,0.8182,0.1522,0.087,0.0652,0.195121951,1.0909,0.2121,0.6897,4.42294118114917,6.4445310679349035,7754
2020,"Josh Lindblom","MIL",6.2,36,8.1,4.05,2,5.4,0.1667,0.0833,0.0833,0.375,2.25,0.3636,0.6731,10.950174909149169,7.554877979159204,7882
2020,"Tanner Roark","TOR",5.2,24,9.5294,9.5294,1,1.5882,0.25,0.25,0,0.166666666,1.5882,0.1818,0.7895,6.50313536214917,5.590885385459822,8753
2020,"Nathan Eovaldi","BOS",6.1,20,11.3685,0,8,1.4211,0.4,0,0.4,0.1,0.3158,0.0909,1,2.6765272061491703,2.169396849877063,9132
