Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Zack Greinke","HOU",12.2,52,1,0.294117647,0.352941176,0.352941176,0.083333333,0,0,0,0.2647,0.4706,0.2647,0.1765,0.3824,0.4412,1943
2020,"Ivan Nova","DET",5,25,3.75,0.05,0.75,0.2,0,0,0,0,0.3913,0.3478,0.2609,0.1304,0.5652,0.3043,1994
2020,"Adam Wainwright","STL",16.2,64,1.15,0.156862745,0.450980392,0.392156862,0.15,0.15,0.04347826,0,0.3585,0.4151,0.2264,0.1509,0.4717,0.3774,2233
2020,"Lance Lynn","TEX",18.1,71,0.388888888,0.342105263,0.184210526,0.47368421,0.111111111,0.111111111,0,0,0.4359,0.2051,0.359,0.1026,0.4872,0.4103,2520
2020,"Rick Porcello","NYM",5.2,26,1,0.25,0.375,0.375,0.666666666,0,0,0,0.5625,0.3125,0.125,0.3125,0.25,0.4375,2717
2020,"Anibal Sanchez","WSN",7.1,34,0.666666666,0.166666666,0.333333333,0.5,0,0.166666666,0,0,0.4167,0.375,0.2083,0.1667,0.5,0.3333,3284
2020,"Tyler Chatwood","CHC",9,33,1.5,0.375,0.375,0.25,0,0,0,0,0.3125,0.4375,0.25,0.125,0.4375,0.4375,4338
2020,"Charlie Morton","TBR",5.1,25,0.714285714,0.142857142,0.357142857,0.5,0,0.285714285,0,1,0.5333,0.3333,0.1333,0.0667,0.2,0.7333,4676
2020,"Alex Cobb","BAL",9.1,42,2.714285714,0.1875,0.59375,0.21875,0,0.142857142,0.105263157,0,0.4375,0.4688,0.0938,0.1563,0.4063,0.4375,6562
2020,"Carlos Carrasco","CLE",9.1,44,1.666666666,0.238095238,0.476190476,0.285714285,0,0.333333333,0,0,0.5,0.4545,0.0455,0.0455,0.2727,0.6818,6632
2020,"Julio Teheran","LAA",6.2,29,1.142857142,0.285714285,0.38095238,0.333333333,0.142857142,0.428571428,0,0,0.3636,0.4545,0.1818,0.2273,0.1818,0.5909,6797
2020,"Johnny Cueto","SFG",6.2,33,0.714285714,0.333333333,0.277777777,0.388888888,0,0.285714285,0,0,0.5556,0.3333,0.1111,0.1111,0.3889,0.5,6893
2020,"Chase Anderson","TOR",6,31,0.75,0.391304347,0.260869565,0.347826086,0.125,0.25,0.166666666,0,0.4783,0.3043,0.2174,0.2609,0.4348,0.3043,6895
2020,"Daniel Bard","COL",5,21,1.75,0.214285714,0.5,0.285714285,0.25,0,0.142857142,0,0.4286,0.5,0.0714,0.1429,0.4286,0.4286,7115
2020,"Greg Holland","KCR",5.2,19,2,0.2,0.533333333,0.266666666,0.25,0,0,0,0.4,0.3333,0.2667,0.2667,0.4667,0.2667,7196
2020,"J.A. Happ","NYY",5.2,18,5.5,0,0.846153846,0.153846153,0,0.5,0,0,0.4615,0.5385,0,0.3077,0.5385,0.1538,7410
2020,"Jordan Lyles","TEX",7.2,39,0.9,0.296296296,0.333333333,0.37037037,0,0.1,0.222222222,0,0.4815,0.3704,0.1481,0.0741,0.4815,0.4444,7593
2020,"Mike Fiers","OAK",7.1,31,0.428571428,0.047619047,0.285714285,0.666666666,0.214285714,0.071428571,0.166666666,0,0.4545,0.1364,0.4091,0.2273,0.5455,0.2273,7754
2020,"Josh Lindblom","MIL",6.2,36,0.2,0.28,0.12,0.6,0.133333333,0.266666666,0,1,0.4231,0.2308,0.3462,0.1923,0.3462,0.4615,7882
2020,"Tanner Roark","TOR",5.2,24,1.25,0.25,0.416666666,0.333333333,0,0.25,0,0,0.25,0.4167,0.3333,0.1667,0.3333,0.5,8753
2020,"Nathan Eovaldi","BOS",6.1,20,1,0.166666666,0.416666666,0.416666666,0,0.2,0,0,0.5,0.25,0.25,0.0833,0.4167,0.5,9132
2020,"Patrick Corbin","WSN",5.2,23,1.333333333,0.461538461,0.307692307,0.23076923,0,0.333333333,0,0,0.2308,0.4615,0.3077,0.0769,0.6923,0.2308,9323
2020,"Dallas Keuchel","CHW",6.1,24,2.5,0.222222222,0.555555555,0.222222222,0,0,0,0,0.3333,0.5556,0.1111,0.1111,0.7222,0.1667,9434
2020,"Garrett Richards","SDP",5.2,28,0.75,0.125,0.375,0.5,0,0.375,0,0,0.3125,0.3125,0.375,0.125,0.4375,0.4375,9784
2020,"Mike Minor","TEX",6.2,30,1.625,0.086956521,0.565217391,0.347826086,0.375,0,0.153846153,0,0.2174,0.5652,0.2174,0.2609,0.4348,0.3043,10021
