Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Zack Greinke","HOU",9.2,41,1.571428571,0.333333333,0.407407407,0.259259259,0.142857142,0,0,0,0.2963,0.4444,0.2593,0.1852,0.3704,0.4444,1943
2020,"Ivan Nova","DET",5,25,3.75,0.05,0.75,0.2,0,0,0,0,0.3913,0.3478,0.2609,0.1304,0.5652,0.3043,1994
2020,"Adam Wainwright","STL",11.2,45,2.1,0.184210526,0.552631578,0.263157894,0,0.2,0.047619047,0,0.45,0.425,0.125,0.125,0.575,0.3,2233
2020,"Lance Lynn","TEX",13.2,53,0.307692307,0.392857142,0.142857142,0.464285714,0.153846153,0.076923076,0,0,0.3929,0.2143,0.3929,0.1429,0.5357,0.3214,2520
2020,"Rick Porcello","NYM",5.2,26,1,0.25,0.375,0.375,0.666666666,0,0,0,0.5625,0.3125,0.125,0.3125,0.25,0.4375,2717
2020,"Anibal Sanchez","WSN",7.1,34,0.666666666,0.166666666,0.333333333,0.5,0,0.166666666,0,0,0.4167,0.375,0.2083,0.1667,0.5,0.3333,3284
2020,"Tyler Chatwood","CHC",9,33,1.5,0.375,0.375,0.25,0,0,0,0,0.3125,0.4375,0.25,0.125,0.4375,0.4375,4338
2020,"Charlie Morton","TBR",5.1,25,0.714285714,0.142857142,0.357142857,0.5,0,0.285714285,0,1,0.5333,0.3333,0.1333,0.0667,0.2,0.7333,4676
2020,"Alex Cobb","BAL",9.1,42,2.714285714,0.1875,0.59375,0.21875,0,0.142857142,0.105263157,0,0.4375,0.4688,0.0938,0.1563,0.4063,0.4375,6562
2020,"Carlos Carrasco","CLE",9.1,44,1.666666666,0.238095238,0.476190476,0.285714285,0,0.333333333,0,0,0.5,0.4545,0.0455,0.0455,0.2727,0.6818,6632
2020,"Johnny Cueto","SFG",6.2,33,0.714285714,0.333333333,0.277777777,0.388888888,0,0.285714285,0,0,0.5556,0.3333,0.1111,0.1111,0.3889,0.5,6893
2020,"Jordan Lyles","TEX",7.2,39,0.9,0.296296296,0.333333333,0.37037037,0,0.1,0.222222222,0,0.4815,0.3704,0.1481,0.0741,0.4815,0.4444,7593
2020,"Mike Fiers","OAK",7.1,31,0.428571428,0.047619047,0.285714285,0.666666666,0.214285714,0.071428571,0.166666666,0,0.4545,0.1364,0.4091,0.2273,0.5455,0.2273,7754
2020,"Nathan Eovaldi","BOS",6.1,20,1,0.166666666,0.416666666,0.416666666,0,0.2,0,0,0.5,0.25,0.25,0.0833,0.4167,0.5,9132
2020,"Patrick Corbin","WSN",5.2,23,1.333333333,0.461538461,0.307692307,0.23076923,0,0.333333333,0,0,0.2308,0.4615,0.3077,0.0769,0.6923,0.2308,9323
2020,"Dallas Keuchel","CHW",6.1,24,2.5,0.222222222,0.555555555,0.222222222,0,0,0,0,0.3333,0.5556,0.1111,0.1111,0.7222,0.1667,9434
2020,"Garrett Richards","SDP",5.2,28,0.75,0.125,0.375,0.5,0,0.375,0,0,0.3125,0.3125,0.375,0.125,0.4375,0.4375,9784
2020,"Kyle Gibson","TEX",7.1,37,1.833333333,0.37037037,0.407407407,0.222222222,0,0.166666666,0,0,0.3704,0.3704,0.2593,0.0741,0.5556,0.3704,10123
2020,"Ryan Weber","BOS",8.2,35,0.916666666,0.148148148,0.407407407,0.444444444,0.083333333,0.333333333,0,0,0.5357,0.2857,0.1786,0.0357,0.5357,0.4286,10160
2020,"Zack Wheeler","PHI",10,38,1.5,0.333333333,0.4,0.266666666,0,0,0.083333333,0,0.3548,0.2581,0.3871,0.0968,0.6452,0.2581,10310
2020,"Asher Wojciechowski","BAL",6.1,26,0.857142857,0.235294117,0.352941176,0.411764705,0,0.285714285,0,0,0.4706,0.2941,0.2353,0,0.5294,0.4706,10836
2020,"Jacob deGrom","NYM",11,44,0.833333333,0.185185185,0.37037037,0.444444444,0,0,0.2,0,0.4074,0.2222,0.3704,0.1111,0.5556,0.3333,10954
2020,"Merrill Kelly","ARI",5.2,23,1.571428571,0.142857142,0.523809523,0.333333333,0.142857142,0.142857142,0.181818181,0,0.619,0.2857,0.0952,0.2381,0.381,0.381,11156
2020,"Robbie Ray","ARI",5.2,22,0.555555555,0,0.357142857,0.642857142,0.111111111,0.222222222,0.2,0,0.4286,0.2857,0.2857,0.2143,0.3571,0.4286,11486
2020,"Taijuan Walker","SEA",7.1,31,0.416666666,0.15,0.25,0.6,0,0.333333333,0,0,0.45,0.35,0.2,0.05,0.5,0.45,11836
2020,"Kyle Hendricks","CHC",14.1,49,1.142857142,0.166666666,0.444444444,0.388888888,0,0.071428571,0.1875,0,0.4444,0.3333,0.2222,0.1111,0.5,0.3889,12049
2020,"Chris Bassitt","OAK",8.2,31,0.363636363,0.210526315,0.210526315,0.578947368,0.09090909,0,0.25,0,0.35,0.3,0.35,0.25,0.25,0.5,12304
2020,"Adrian Houser","MIL",6,29,2.8,0.24,0.56,0.2,0.2,0.4,0.071428571,0,0.24,0.36,0.4,0.16,0.44,0.4,12718
2020,"Sonny Gray","CIN",14.2,54,1.555555555,0.28125,0.4375,0.28125,0.333333333,0.222222222,0.071428571,0,0.5625,0.2813,0.1563,0.2188,0.3125,0.4688,12768
2020,"Mike Clevinger","CLE",10.2,42,1.5,0.333333333,0.4,0.266666666,0,0.125,0,0,0.4333,0.3667,0.2,0.2,0.5333,0.2667,12808
2020,"Dylan Bundy","LAA",9.2,43,1.555555555,0.206896551,0.48275862,0.310344827,0.111111111,0.333333333,0,0,0.3793,0.4828,0.1379,0.1379,0.3448,0.5172,12917
2020,"Colten Brewer","BOS",5.2,23,10,0.214285714,0.714285714,0.071428571,0,0,0.1,0,0.5714,0.3571,0.0714,0.1429,0.2857,0.5714,12997
2020,"Yu Darvish","CHC",19,73,1.909090909,0.304347826,0.456521739,0.239130434,0,0.09090909,0,0,0.4348,0.3478,0.2174,0.1304,0.3696,0.5,13074
2020,"Gerrit Cole","NYY",8.2,35,0.615384615,0.192307692,0.307692307,0.5,0.153846153,0.23076923,0,0,0.4231,0.3846,0.1923,0.1538,0.4231,0.4231,13125
2020,"Zach Davies","SDP",6.2,23,0.777777777,0.157894736,0.368421052,0.47368421,0.222222222,0,0,0,0.4211,0.3684,0.2105,0.1053,0.6842,0.2105,13183
2020,"Michael Fulmer","DET",6.1,31,0.888888888,0.227272727,0.363636363,0.409090909,0,0.111111111,0,0,0.4091,0.3636,0.2273,0.0909,0.4545,0.4545,13218
2020,"Ross Stripling","LAD",11.1,45,1.166666666,0.1875,0.4375,0.375,0.083333333,0.25,0,0,0.303,0.4242,0.2727,0.1212,0.5152,0.3636,13273
2020,"Jakob Junis","KCR",5,20,3,0.058823529,0.705882352,0.235294117,0,0.25,0.083333333,0,0.4118,0.4118,0.1765,0.1176,0.4706,0.4118,13619
2020,"Alec Mills","CHC",10.1,44,1.083333333,0.193548387,0.419354838,0.387096774,0,0.166666666,0.076923076,0,0.3438,0.4063,0.25,0.125,0.5313,0.3438,13834
2020,"Kevin Gausman","SFG",9.2,42,0.9,0.173913043,0.391304347,0.434782608,0.1,0.3,0,0,0.4783,0.3478,0.1739,0.1304,0.4783,0.3913,14107
2020,"Lance McCullers Jr.","HOU",11,37,5,0.04,0.8,0.16,0,0,0,0,0.44,0.48,0.08,0.16,0.4,0.44,14120
2020,"Jose Berrios","MIN",12,47,0.916666666,0.148148148,0.407407407,0.444444444,0.083333333,0.083333333,0,0,0.3333,0.4074,0.2593,0.0741,0.6667,0.2593,14168
2020,"Frankie Montas","OAK",9,41,0.5,0.333333333,0.222222222,0.444444444,0,0.083333333,0,0,0.4286,0.3929,0.1786,0.1786,0.5357,0.2857,14309
2020,"Tyler Glasnow","TBR",7.1,27,1.75,0.083333333,0.583333333,0.333333333,0,0.25,0,0,0.25,0.5,0.25,0.25,0.4167,0.3333,14374
2020,"Zack Godley","BOS",8.2,39,0.583333333,0.173913043,0.304347826,0.52173913,0.083333333,0.166666666,0,0,0.6087,0.2174,0.1739,0.1304,0.4348,0.4348,14862
2020,"Taylor Williams","SEA",5.1,18,0.5,0.333333333,0.222222222,0.444444444,0,0,0,0,0.2222,0.4444,0.3333,0.1111,0.5556,0.3333,14899
2020,"Jon Gray","COL",13.1,58,1.222222222,0.14893617,0.468085106,0.382978723,0.111111111,0.222222222,0.045454545,0,0.4043,0.383,0.2128,0.0851,0.4894,0.4255,14916
2020,"Chad Kuhl","PIT",6,22,1.4,0.142857142,0.5,0.357142857,0,0.2,0,0,0.4286,0.3571,0.2143,0,0.5714,0.4286,14975
2020,"German Marquez","COL",11,47,0.916666666,0.323529411,0.323529411,0.352941176,0,0.083333333,0,0,0.2941,0.3529,0.3529,0.0588,0.5294,0.4118,15038
