Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",12.2,52,2.8421,11,2,1,4,4,0,3,0,0,15,0.224489795,0.269230769,0.306122448,0.2533495735663634,1943
2020,"Ivan Nova","DET",5,25,5.4,7,1,0,3,3,0,2,0,0,0,0.304347826,0.36,0.347826086,0.31685475826263426,1994
2020,"Adam Wainwright","STL",16.2,64,3.24,13,2,0,7,6,3,1,0,0,10,0.209677419,0.21875,0.387096774,0.25233927089720964,2233
2020,"Lance Lynn","TEX",18.1,71,2.4545,10,3,0,5,5,2,7,0,0,25,0.158730158,0.239436619,0.301587301,0.2388002335185736,2520
2020,"Rick Porcello","NYM",5.2,26,6.3529,5,1,0,4,4,0,3,0,0,7,0.217391304,0.307692307,0.260869565,0.26371605350421023,2717
2020,"Anibal Sanchez","WSN",7.1,34,2.4546,10,2,1,2,2,2,3,1,0,7,0.322580645,0.382352941,0.64516129,0.41767231803951843,3284
2020,"Tyler Chatwood","CHC",9,33,0,4,2,0,0,0,0,3,0,0,14,0.133333333,0.212121212,0.2,0.19181508548331982,4338
2020,"Charlie Morton","TBR",5.1,25,10.1251,6,1,0,6,6,2,2,0,1,7,0.285714285,0.36,0.619047619,0.39825202226638795,4676
2020,"Alex Cobb","BAL",9.1,42,3.8572,9,3,0,4,4,1,4,0,0,6,0.236842105,0.309523809,0.394736842,0.3067733801546551,6562
2020,"Carlos Carrasco","CLE",9.1,44,2.8929,8,3,0,3,3,2,8,0,0,14,0.228571428,0.372093023,0.485714285,0.369536395682845,6632
2020,"Julio Teheran","LAA",6.2,29,6.75,9,1,0,5,5,3,3,0,0,4,0.346153846,0.413793103,0.73076923,0.4712228898344369,6797
2020,"Johnny Cueto","SFG",6.2,33,10.7999,8,3,1,8,8,2,5,0,0,10,0.285714285,0.393939393,0.678571428,0.4384709723068006,6893
2020,"Chase Anderson","TOR",6,31,7.5,11,3,0,6,5,2,1,0,1,6,0.379310344,0.419354838,0.689655172,0.46370783352082773,6895
2020,"Daniel Bard","COL",5,21,1.8,6,1,0,1,1,0,0,0,1,6,0.3,0.333333333,0.35,0.30339451347078594,7115
2020,"Greg Holland","KCR",5.2,19,3.1765,3,0,0,2,2,0,1,0,0,3,0.166666666,0.210526315,0.166666666,0.1759251732575266,7196
2020,"J.A. Happ","NYY",5.2,18,3.1765,2,0,0,2,2,1,2,0,0,3,0.125,0.222222222,0.3125,0.23631223373942906,7410
2020,"Jordan Lyles","TEX",7.2,39,8.2174,10,3,0,8,7,1,5,0,0,7,0.294117647,0.384615384,0.470588235,0.3708750850115067,7593
2020,"Mike Fiers","OAK",7.1,31,3.6818,4,0,0,3,3,1,4,0,1,4,0.153846153,0.29032258,0.269230769,0.26260178896688646,7754
2020,"Josh Lindblom","MIL",6.2,36,12.1499,12,1,1,9,9,4,3,0,1,6,0.375,0.444444444,0.84375,0.522387499610583,7882
2020,"Tanner Roark","TOR",5.2,24,4.7647,3,0,0,3,3,1,6,0,0,6,0.166666666,0.375,0.333333333,0.33032532036304474,8753
2020,"Nathan Eovaldi","BOS",6.1,20,1.4211,2,1,0,1,1,1,0,0,0,8,0.1,0.1,0.3,0.1606002926826477,9132
2020,"Patrick Corbin","WSN",5.2,23,3.1765,5,0,1,2,2,1,1,0,0,9,0.227272727,0.260869565,0.454545454,0.2988633021064427,9323
2020,"Dallas Keuchel","CHW",6.1,24,4.2632,3,0,0,3,3,0,2,0,0,4,0.136363636,0.208333333,0.136363636,0.16836494455734888,9434
2020,"Garrett Richards","SDP",5.2,28,12.7058,6,1,0,8,8,3,5,0,0,7,0.272727272,0.392857142,0.727272727,0.443479523062706,9784
2020,"Mike Minor","TEX",6.2,30,1.35,7,1,0,1,1,0,1,0,0,6,0.24137931,0.266666666,0.275862068,0.24077295263608298,10021
2020,"Kyle Gibson","TEX",10.1,51,6.0968,14,2,0,8,7,3,6,0,2,7,0.325581395,0.431372549,0.581395348,0.4309326725847581,10123
2020,"Ryan Weber","BOS",10.2,42,5.0625,10,1,0,6,6,4,3,0,1,5,0.27027027,0.341463414,0.621621621,0.3992438985080254,10160
2020,"Zack Wheeler","PHI",15.2,60,2.2979,14,4,0,4,4,0,2,1,1,11,0.25,0.288135593,0.321428571,0.2618177954492898,10310
2020,"Asher Wojciechowski","BAL",10.1,44,6.0968,13,1,0,8,7,3,2,0,0,11,0.31707317,0.34090909,0.560975609,0.37484425712715497,10836
2020,"Josh A. Smith","MIA",6,29,3,7,1,0,2,2,0,5,0,0,5,0.304347826,0.413793103,0.347826086,0.3453762099660676,10946
2020,"Jacob deGrom","NYM",13.1,55,2.025,8,4,0,4,3,0,6,0,0,16,0.163265306,0.254545454,0.244897959,0.2301781025799838,10954
2020,"Merrill Kelly","ARI",5.2,23,3.1765,5,0,0,2,2,1,1,0,0,1,0.227272727,0.260869565,0.363636363,0.26955816279286926,11156
2020,"Robbie Ray","ARI",5.2,22,7.9411,3,0,0,5,5,2,2,0,0,6,0.15,0.227272727,0.45,0.28315516764467413,11486
2020,"Taijuan Walker","2 Tms",9.1,41,4.8214,8,0,0,5,5,4,5,0,0,12,0.222222222,0.31707317,0.555555555,0.3639009682143607,11836
2020,"Kyle Hendricks","CHC",14.1,49,2.5116,6,0,0,4,4,1,0,0,0,13,0.122448979,0.122448979,0.183673469,0.1302678232290307,12049
2020,"Chris Bassitt","OAK",8.2,31,1.0385,4,2,0,1,1,0,2,0,0,9,0.142857142,0.2,0.214285714,0.1877239147822062,12304
2020,"Trevor Bauer","CIN",5.2,24,6.3529,5,0,0,4,4,3,2,0,0,7,0.227272727,0.291666666,0.636363636,0.37861138085524243,12703
2020,"Adrian Houser","MIL",7.2,41,10.5652,15,1,0,9,9,2,3,0,0,3,0.394736842,0.43902439,0.578947368,0.4356081006003589,12718
2020,"Sonny Gray","CIN",14.2,60,4.9091,12,2,0,9,8,2,5,0,1,17,0.222222222,0.3,0.37037037,0.29490639865398405,12768
2020,"Mike Clevinger","CLE",10.2,42,1.6875,9,1,0,2,2,1,3,0,0,9,0.23076923,0.285714285,0.333333333,0.27325735205695745,12808
2020,"Dylan Bundy","LAA",13.1,57,4.725,13,4,0,7,7,3,7,1,0,10,0.26,0.350877192,0.52,0.3633947862046106,12917
2020,"Archie Bradley","2 Tms",5,18,1.8,3,0,0,1,1,0,1,0,1,5,0.1875,0.277777777,0.1875,0.2261289358139038,12918
2020,"Joe Musgrove","PIT",5.1,23,3.375,3,2,0,2,2,1,3,0,1,8,0.157894736,0.304347826,0.421052631,0.3161087787669638,12970
2020,"Colten Brewer","BOS",7,33,3.8571,7,3,0,4,3,0,5,0,0,6,0.25,0.363636363,0.357142857,0.32501220883745136,12997
2020,"Yu Darvish","CHC",19,73,1.8947,13,1,1,4,4,1,3,0,2,22,0.19117647,0.246575342,0.279411764,0.23468734221915677,13074
2020,"Gerrit Cole","NYY",11.1,50,4.7647,11,2,0,6,6,5,5,0,1,11,0.25,0.34,0.636363636,0.401918009519577,13125
2020,"Zach Davies","SDP",6.2,23,0,2,0,0,0,0,0,1,0,0,3,0.09090909,0.130434782,0.09090909,0.10700488349665767,13183
2020,"Michael Fulmer","DET",6.1,31,4.2632,7,1,0,3,3,1,5,0,0,4,0.269230769,0.387096774,0.423076923,0.3583947612393287,13218
2020,"Ross Stripling","LAD",11.1,45,2.3824,9,1,0,4,3,3,2,0,0,10,0.214285714,0.25,0.452380952,0.2947109869935296,13273
2020,"Felix Pena","LAA",5,19,0,2,0,0,0,0,0,2,0,1,3,0.125,0.263157894,0.125,0.20458080266651354,13403
2020,"Richard Rodriguez","PIT",5,17,1.8,1,0,0,1,1,1,0,0,1,6,0.0625,0.117647058,0.25,0.15903153139002182,13549
2020,"Jakob Junis","KCR",8,32,5.625,8,0,0,5,5,2,1,0,0,2,0.258064516,0.28125,0.451612903,0.31058009900152683,13619
2020,"Chris Stratton","PIT",5.1,22,0,4,1,0,2,0,0,1,0,0,7,0.2,0.227272727,0.25,0.20812684839422052,13761
2020,"Zach Eflin","PHI",6,31,7.5,12,3,0,7,5,3,2,0,0,7,0.413793103,0.451612903,0.827586206,0.5264894885401572,13774
2020,"Alec Mills","CHC",10.1,44,7.8387,12,2,0,9,9,2,3,0,1,8,0.3,0.363636363,0.5,0.3704096173698252,13834
2020,"Kevin Gausman","SFG",9.2,42,4.6552,9,2,1,5,5,3,4,0,0,15,0.236842105,0.309523809,0.578947368,0.36648592352867126,14107
2020,"Lance McCullers Jr.","HOU",12.2,45,0.7105,5,2,1,1,1,0,2,0,0,13,0.116279069,0.155555555,0.209302325,0.15971559153662787,14120
2020,"Jose Berrios","MIN",14,55,1.9286,5,0,1,3,3,1,9,0,0,17,0.111111111,0.254545454,0.222222222,0.22653270851482044,14168
2020,"Frankie Montas","OAK",9,41,6,11,0,0,6,6,1,5,0,0,8,0.305555555,0.390243902,0.388888888,0.34832573373143266,14309
2020,"Tyler Glasnow","TBR",7.1,27,2.4546,3,0,0,2,2,1,2,0,0,13,0.12,0.185185185,0.24,0.1901883769918371,14374
2020,"Ty Buttrey","LAA",5,25,7.2,8,3,0,4,4,0,3,1,0,3,0.38095238,0.44,0.523809523,0.3963469887773196,14719
2020,"Michael Lorenzen","CIN",7.1,27,0,4,1,0,1,0,0,1,1,0,7,0.153846153,0.185185185,0.192307692,0.14925424181498015,14843
2020,"Zack Godley","BOS",12.1,53,8.027,13,3,1,11,11,3,4,0,0,13,0.270833333,0.320754716,0.5625,0.3636418693470505,14862
2020,"Taylor Williams","SEA",5.1,18,0,2,0,0,0,0,0,0,0,0,9,0.111111111,0.111111111,0.111111111,0.09794066349665324,14899
2020,"Jon Gray","COL",14.1,66,9.4186,19,3,1,16,15,6,2,0,1,9,0.301587301,0.333333333,0.666666666,0.41176029136686615,14916
2020,"Chad Kuhl","PIT",8,33,3.375,6,0,0,4,3,2,4,0,0,8,0.206896551,0.303030303,0.413793103,0.31121734416846075,14975
2020,"Scott Barlow","KCR",5.1,20,6.75,4,1,0,4,4,1,0,0,0,6,0.2,0.2,0.4,0.2487468898296356,14993
2020,"German Marquez","COL",14.1,62,6.2791,18,2,2,11,10,1,4,0,0,14,0.310344827,0.354838709,0.465517241,0.3517897696264328,15038
2020,"Austin Voth","WSN",6.2,28,4.05,6,0,0,3,3,0,1,0,0,5,0.222222222,0.25,0.222222222,0.21382057879652297,15047
