Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Tommy Hunter","PHI",8.2,40,4.15384615,11,4,0,4,4,0,3,0,1,7,0.31428571,0.38461538,0.42857143,0.3579355569986197,1157
2020,"Oliver Perez","CLE",6.1,27,1.42105263,4,0,0,1,1,0,1,0,2,4,0.17391304,0.25925926,0.17391304,0.2106653341540584,1514
2020,"Zack Greinke","HOU",33,127,3.27272727,23,4,1,12,12,1,6,0,1,43,0.19166667,0.23622047,0.26666667,0.2238015851636571,1943
2020,"Ivan Nova","DET",11,51,6.54545455,12,1,0,8,8,2,6,0,0,3,0.26666667,0.35294118,0.42222222,0.3399434709081463,1994
2020,"Clayton Kershaw","LAD",14.1,51,3.76744186,8,3,0,6,6,3,2,0,0,13,0.16666667,0.19607843,0.41666667,0.25130992075976205,2036
2020,"Adam Wainwright","STL",27,109,3.66666667,23,2,0,12,11,6,6,0,0,17,0.2254902,0.26605505,0.42156863,0.29164649751208244,2233
2020,"Hector Rondon","ARI",7.2,35,4.69565217,7,2,0,5,4,2,4,1,1,12,0.23333333,0.34285714,0.5,0.3502909365822287,2391
2020,"Lance Lynn","TEX",40.2,156,2.21311475,25,5,0,10,10,5,9,0,1,45,0.17241379,0.22435897,0.31034483,0.23302251864702272,2520
2020,"Rick Porcello","NYM",23.2,104,6.46478873,28,5,0,17,17,1,6,0,0,20,0.28571429,0.32692308,0.36734694,0.305655748798297,2717
2020,"Ross Detwiler","CHW",8.2,33,2.07692308,6,0,0,2,2,0,1,0,1,6,0.19354839,0.24242424,0.19354839,0.20378385709993768,2859
2020,"Luis Avilan","NYY",5,18,0,3,0,0,0,0,0,1,0,0,7,0.17647059,0.22222222,0.17647059,0.18597882986068726,2882
2020,"Kenley Jansen","LAD",11,44,3.27272727,7,2,0,4,4,1,3,0,2,19,0.17948718,0.27272727,0.30769231,0.26232347840612585,3096
2020,"Max Scherzer","WSN",28.2,136,4.70930233,40,7,1,16,15,5,11,0,0,36,0.32520325,0.375,0.5203252,0.37978031530099754,3137
2020,"Will Harris","WSN",6,31,3,10,2,0,5,2,1,2,0,0,8,0.34482759,0.38709677,0.51724138,0.3881961703300476,3192
2020,"T.J. McFarland","OAK",8,35,4.5,9,4,0,4,4,2,2,0,0,7,0.27272727,0.31428571,0.57575758,0.3702506593295506,3237
2020,"Jeff Samardzija","SFG",6.2,29,4.05,5,0,0,3,3,2,4,0,0,3,0.2,0.31034483,0.44,0.3242584775234091,3254
2020,"Anibal Sanchez","WSN",22.2,105,5.95588235,31,5,1,16,15,4,7,2,1,18,0.31958763,0.37142857,0.51546392,0.37311764480998216,3284
2020,"Danny Duffy","KCR",7.2,30,2.34782609,5,0,0,3,2,1,2,0,0,8,0.17857143,0.23333333,0.28571429,0.23029412428538004,3542
2020,"Liam Hendriks","OAK",8.2,33,1.03846154,6,1,0,1,1,1,2,0,0,17,0.19354839,0.24242424,0.32258065,0.24688506126403809,3548
2020,"Yusmeiro Petit","OAK",7.1,26,0,2,0,0,0,0,0,2,0,0,4,0.08333333,0.15384615,0.08333333,0.1216890995319073,4020
2020,"Derek Holland","PIT",9,32,5,5,1,0,7,5,0,1,0,0,7,0.16129032,0.1875,0.19354839,0.17090101726353168,4141
