Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",5,19,3.6,3.6,1,0,0.1053,0.1053,0,0.176470588,1,0.2,1,3.5308032989501954,5.887697982788087,1943
2020,"Clayton Kershaw","LAD",14.2,54,9.8182,1.8409,5.3333,0.6136,0.2963,0.0556,0.2407,0.137254901,0.6818,0.1765,1,2.4489866669501956,3.0356808743543877,2036
2020,"Adam Wainwright","STL",9.2,39,8.3793,3.7241,2.25,0,0.2308,0.1026,0.1282,0.2,1.1379,0.2692,0.7273,2.5101157849501954,4.135554788660845,2233
2020,"Lance Lynn","TEX",9.2,42,10.2413,0.931,11,1.8621,0.2619,0.0238,0.2381,0.256410256,1.1379,0.2963,0.7609,4.1652824899501955,3.913795099500425,2520
2020,"Tony Watson","SFG",5,17,7.2,0,4,0,0.2353,0,0.2353,0.176470588,0.6,0.2308,1,1.5308032989501954,3.4948822021484376,3132
2020,"Max Scherzer","WSN",5.2,23,9.5294,0,6,1.5882,0.2609,0,0.2609,0.227272727,0.8823,0.2667,0.6522,3.8366814989501954,3.9687781912839517,3137
2020,"Anibal Sanchez","WSN",7,26,5.1429,1.2857,4,0,0.1538,0.0385,0.1154,0.2,0.8571,0.2381,0.6667,2.4165175849501956,3.81943108694894,3284
2020,"Danny Duffy","KCR",6.2,28,12.1499,4.05,3,1.35,0.3214,0.1071,0.2143,0.208333333,1.2,0.2667,0.7576,3.7308002989501956,4.137692948339839,3542
2020,"Derek Holland","PIT",5.2,25,9.5294,4.7647,2,1.5882,0.24,0.12,0.12,0.238095238,1.4118,0.2857,1,5.4249074509501956,4.170603660641255,4141
2020,"Rich Hill","MIN",7.2,31,7.0434,4.6956,1.5,1.1739,0.1935,0.129,0.0645,0.259259259,1.4348,0.3,0.625,4.826448099950196,4.66790184450297,4806
2020,"Jon Lester","CHC",13.1,65,8.1,0.675,12,4.05,0.1846,0.0154,0.1692,0.375,1.875,0.3913,0.6627,7.405813985950195,4.207312509540849,4930
2020,"Alex Cobb","BAL",6.2,27,1.35,1.35,1,1.35,0.037,0.037,0,0.269230769,1.2,0.25,0.6061,5.230792798950196,4.4592439986656425,6562
2020,"Julio Teheran","LAA",6,28,6,3,2,0,0.1429,0.0714,0.0714,0.269230769,1.5,0.3182,0.6667,2.797469965950196,4.4342023849487315,6797
2020,"Johnny Cueto","SFG",11,42,9,0.8182,11,0,0.2619,0.0238,0.2381,0.195121951,0.8182,0.2667,0.6667,1.4035305719501956,3.189056847312234,6893
2020,"Chase Anderson","TOR",7.2,30,7.0434,1.1739,6,0,0.2,0.0333,0.1667,0.24137931,1.0435,0.3043,0.875,1.956895359950196,3.7501769958977347,6895
2020,"Martin Perez","BOS",10,39,6.3,3.6,1.75,1.8,0.1795,0.1026,0.0769,0.2,1.1,0.1923,0.8537,5.530803298950195,5.680513763427735,6902
2020,"Gio Gonzalez","CHW",6.1,28,17.0527,4.2632,4,0,0.4286,0.1071,0.3214,0.28,1.579,0.5385,0.8,0.7623697809501957,1.07248913464379,7448
2020,"Tommy Milone","BAL",10.2,53,9.2812,0,11,3.375,0.2075,0,0.2075,0.333333333,1.5937,0.3514,0.5645,6.224543630950196,4.111536191782434,7608
2020,"Mike Fiers","OAK",9.1,38,3.8572,0.9643,4,0,0.1053,0.0263,0.0789,0.277777777,1.1786,0.3125,0.75,2.9165168199501954,5.8626456960418345,7754
2020,"Josh Lindblom","MIL",6,23,9,1.5,6,0,0.2609,0.0435,0.2174,0.142857142,0.6667,0.2,0.4,2.130803298950196,4.749575169881186,7882
