Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Zack Greinke","HOU",10,37,0.733333333,0.133333333,0.366666666,0.5,0.066666666,0,0,0,0.2667,0.4333,0.3,0.1333,0.5333,0.3333,1943
2020,"Clayton Kershaw","LAD",19,70,2.636363636,0.14893617,0.617021276,0.234042553,0.09090909,0.09090909,0.034482758,0,0.5319,0.3404,0.1277,0.1702,0.4468,0.383,2036
2020,"Lance Lynn","TEX",10.1,41,0.909090909,0.16,0.4,0.44,0.09090909,0.181818181,0.2,0,0.3077,0.5769,0.1154,0.2308,0.3846,0.3846,2520
2020,"Rick Porcello","NYM",12.2,53,0.94117647,0.175,0.4,0.425,0.176470588,0.058823529,0.0625,0,0.225,0.525,0.25,0.2,0.45,0.35,2717
2020,"Ross Detwiler","CHW",5.1,21,1.75,0.153846153,0.538461538,0.307692307,0,0.25,0.142857142,0,0.5385,0.3846,0.0769,0.2308,0.3846,0.3846,2859
2020,"Max Scherzer","WSN",15,59,0.866666666,0.2,0.371428571,0.428571428,0.066666666,0.066666666,0,0,0.3333,0.3889,0.2778,0.1944,0.3611,0.4444,3137
2020,"Anibal Sanchez","WSN",6,32,1.833333333,0.32,0.44,0.24,0,0.333333333,0,0,0.28,0.52,0.2,0.04,0.4,0.56,3284
2020,"Darren O'Day","ATL",5.1,20,1,0.555555555,0.222222222,0.222222222,0.5,0,0.5,0,0.2222,0.4444,0.3333,0.4444,0.2222,0.3333,3321
2020,"Danny Duffy","KCR",21.2,91,0.633333333,0.169491525,0.322033898,0.508474576,0.166666666,0.133333333,0.157894736,0,0.3729,0.2373,0.3898,0.2542,0.4237,0.322,3542
2020,"Derek Holland","PIT",8.1,38,0.2,0.142857142,0.142857142,0.714285714,0.2,0.2,0,0,0.4762,0.1905,0.3333,0.1905,0.381,0.4286,4141
2020,"Jake Arrieta","PHI",8,28,1.714285714,0.136363636,0.545454545,0.318181818,0.142857142,0.285714285,0.25,0,0.4545,0.2273,0.3182,0.2727,0.1364,0.5909,4153
2020,"Rafael Dolis","TOR",5,19,1.6,0.133333333,0.533333333,0.333333333,0,0,0,0,0.5333,0.2667,0.2,0.1333,0.4,0.4667,4185
2020,"Matt Shoemaker","TOR",8,33,1.1,0.086956521,0.478260869,0.434782608,0.1,0.3,0.09090909,0,0.5652,0.3043,0.1304,0.2174,0.2609,0.5217,4776
2020,"Rich Hill","MIN",5,19,1.666666666,0.333333333,0.416666666,0.25,0,0,0,0,0.5833,0.1667,0.25,0.0833,0.3333,0.5833,4806
2020,"Jon Lester","CHC",20,86,1,0.107692307,0.446153846,0.446153846,0.068965517,0,0.103448275,0,0.4154,0.2615,0.3231,0.2308,0.3846,0.3846,4930
2020,"Wade LeBlanc","BAL",10,46,0.923076923,0.342105263,0.315789473,0.342105263,0.23076923,0.23076923,0.083333333,0,0.3947,0.2632,0.3421,0.1842,0.3421,0.4737,5221
2020,"Madison Bumgarner","ARI",10,45,0.47368421,0.2,0.257142857,0.542857142,0.105263157,0.263157894,0,0,0.5143,0.3143,0.1714,0.1143,0.3429,0.5429,5524
2020,"Nik Turley","PIT",5.2,22,0.857142857,0.071428571,0.428571428,0.5,0,0,0,0,0.5,0.2857,0.2143,0.1429,0.5714,0.2857,5530
2020,"Dellin Betances","NYM",5,24,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.3889,0.3333,0.2778,0.1111,0.5,0.3889,6216
2020,"Jose Cisnero","DET",5.2,19,1,0.166666666,0.416666666,0.416666666,0.2,0,0,0,0.4167,0.0833,0.5,0.0833,0.5833,0.3333,6399
2020,"Alex Cobb","BAL",7,30,2,0.28,0.48,0.24,0.166666666,0,0.083333333,0,0.48,0.32,0.2,0.16,0.44,0.4,6562
2020,"Carlos Carrasco","CLE",7,29,2,0.210526315,0.526315789,0.263157894,0,0.4,0.1,0,0.4,0.35,0.25,0.35,0.3,0.35,6632
2020,"Julio Teheran","LAA",7,29,0.625,0.434782608,0.217391304,0.347826086,0.25,0,0,0,0.4348,0.3913,0.1739,0.2174,0.3478,0.4348,6797
2020,"Johnny Cueto","SFG",11.1,43,1.7,0.1,0.566666666,0.333333333,0.2,0.2,0,0,0.5667,0.1667,0.2667,0.2,0.5667,0.2333,6893
2020,"Martin Perez","BOS",17.2,67,0.947368421,0.139534883,0.418604651,0.441860465,0.157894736,0.105263157,0.055555555,0,0.3256,0.3953,0.2791,0.1628,0.3953,0.4419,6902
2020,"Ian Kennedy","KCR",5.2,29,0.8,0.142857142,0.38095238,0.476190476,0,0.3,0,0,0.2857,0.381,0.3333,0.0952,0.3333,0.5714,6986
2020,"Greg Holland","KCR",5.2,25,1.166666666,0.133333333,0.466666666,0.4,0,0,0.142857142,0,0.7333,0.0667,0.2,0,0.6667,0.3333,7196
2020,"Gio Gonzalez","CHW",9,41,1.75,0.214285714,0.5,0.285714285,0.125,0.125,0.071428571,0,0.4643,0.3214,0.2143,0.2143,0.3929,0.3929,7448
2020,"Jake McGee","LAD",5,18,0.8,0,0.444444444,0.555555555,0,0,0,0,0.1,0.6,0.3,0.1,0.6,0.3,7550
2020,"Tommy Milone","2 Tms",11.2,56,0.777777777,0.219512195,0.341463414,0.43902439,0.166666666,0.166666666,0.214285714,0,0.5366,0.3415,0.122,0.2195,0.2439,0.5366,7608
2020,"Mike Fiers","OAK",11,41,0.75,0.34375,0.28125,0.375,0.333333333,0.083333333,0,0,0.5625,0.2813,0.1563,0.1563,0.3125,0.5313,7754
2020,"Josh Lindblom","MIL",8,32,0.571428571,0.3125,0.25,0.4375,0.142857142,0,0,0,0.5,0.0625,0.4375,0.125,0.4375,0.4375,7882
2020,"Anthony Bass","TOR",7,22,2.2,0,0.6875,0.3125,0.2,0,0,0,0.5625,0.1875,0.25,0.125,0.5625,0.3125,7982
2020,"Brett Anderson","MIL",9,35,5.666666666,0.2,0.68,0.12,0,0,0,0,0.4,0.56,0.04,0.12,0.52,0.36,8223
2020,"Tanner Roark","TOR",7.1,32,1.25,0.333333333,0.37037037,0.296296296,0,0.125,0.1,0,0.2963,0.4815,0.2222,0.0741,0.4444,0.4815,8753
2020,"Wade Miley","CIN",6.2,29,1.8,0.333333333,0.428571428,0.238095238,0,0.2,0.111111111,0,0.2857,0.5238,0.1905,0.2381,0.4286,0.3333,8779
