Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Adam Ottavino","NYY",5.2,23,1.33333333,0.22222222,0.44444444,0.33333333,0.33333333,0.16666667,0.125,0,0.38888889,0.27777778,0.33333333,0.22222222,0.5,0.27777778,1247
2020,"Zack Greinke","HOU",12.1,49,0.71428571,0.12195122,0.36585366,0.51219512,0.04761905,0.0952381,0,1,0.33333333,0.38095238,0.28571429,0.16666667,0.5952381,0.23809524,1943
2020,"Clayton Kershaw","LAD",28,105,2.05,0.15277778,0.56944444,0.27777778,0.1,0.05,0.07317073,0,0.48611111,0.27777778,0.23611111,0.18055556,0.55555556,0.26388889,2036
2020,"Adam Wainwright","STL",10,39,1.42857143,0.29166667,0.41666667,0.29166667,0,0.14285714,0.1,0,0.375,0.41666667,0.20833333,0.16666667,0.5,0.33333333,2233
2020,"Lance Lynn","TEX",13.2,58,0.875,0.18918919,0.37837838,0.43243243,0.0625,0.25,0.14285714,0,0.34210526,0.44736842,0.21052632,0.07894737,0.57894737,0.34210526,2520
2020,"Rick Porcello","NYM",16,66,1.10526316,0.14893617,0.44680851,0.40425532,0.15789474,0.05263158,0.0952381,0,0.27659574,0.4893617,0.23404255,0.19148936,0.4893617,0.31914894,2717
2020,"Ross Detwiler","CHW",5.2,24,2.25,0.13333333,0.6,0.26666667,0,0.25,0.11111111,0,0.53333333,0.4,0.06666667,0.26666667,0.33333333,0.4,2859
2020,"Kenley Jansen","LAD",5.2,25,0.5,0.30769231,0.23076923,0.46153846,0,0.16666667,0,0,0.53846154,0.15384615,0.30769231,0.07692308,0.61538462,0.30769231,3096
2020,"Max Scherzer","WSN",15,59,0.8125,0.17142857,0.37142857,0.45714286,0.0625,0.0625,0,0,0.33333333,0.38888889,0.27777778,0.19444444,0.52777778,0.27777778,3137
2020,"Zack Britton","NYY",6.2,29,4.25,0.04545455,0.77272727,0.18181818,0.25,0,0.05882353,0,0.54545455,0.18181818,0.27272727,0.27272727,0.40909091,0.31818182,3240
2020,"Anibal Sanchez","WSN",9,51,1.38461538,0.225,0.45,0.325,0,0.23076923,0.05555556,0,0.325,0.425,0.25,0.025,0.575,0.4,3284
2020,"Darren O'Day","ATL",6.1,23,1,0.45454545,0.27272727,0.27272727,0.33333333,0,0.33333333,0,0.27272727,0.36363636,0.36363636,0.54545455,0.27272727,0.18181818,3321
2020,"Danny Duffy","KCR",31,133,0.57142857,0.22352941,0.28235294,0.49411765,0.16666667,0.11904762,0.125,0,0.36046512,0.29069767,0.34883721,0.25581395,0.46511628,0.27906977,3542
2020,"Liam Hendriks","OAK",5.1,18,0.75,0.22222222,0.33333333,0.44444444,0,0,0,0,0.2,0.7,0.1,0.3,0.6,0.1,3548
2020,"Yusmeiro Petit","OAK",5.1,24,0.625,0.13333333,0.33333333,0.53333333,0,0.25,0.2,0.5,0.41176471,0.41176471,0.17647059,0.11764706,0.52941176,0.35294118,4020
2020,"Derek Holland","PIT",10.2,47,0.23529412,0.16,0.16,0.68,0.17647059,0.17647059,0,0,0.4,0.32,0.28,0.2,0.36,0.44,4141
2020,"Jake Arrieta","PHI",14.1,54,2,0.14285714,0.57142857,0.28571429,0.16666667,0.16666667,0.125,0,0.4047619,0.28571429,0.30952381,0.19047619,0.35714286,0.45238095,4153
2020,"Rafael Dolis","TOR",7,27,1.28571429,0.11111111,0.5,0.38888889,0,0,0,0,0.44444444,0.27777778,0.27777778,0.16666667,0.61111111,0.22222222,4185
2020,"Mark Melancon","ATL",6.1,21,1.75,0.08333333,0.58333333,0.33333333,0,0.25,0,0,0.5,0.42857143,0.07142857,0.07142857,0.57142857,0.35714286,4264
2020,"Justin Wilson","NYM",5.1,22,2.33333333,0.16666667,0.58333333,0.25,0,0,0.28571429,0,0.61538462,0.23076923,0.15384615,0.30769231,0.46153846,0.23076923,4301
2020,"Charlie Morton","TBR",6.2,30,2.25,0.35,0.45,0.2,0.25,0,0,0,0.5,0.25,0.25,0.25,0.5,0.25,4676
2020,"Matt Shoemaker","TOR",8,33,1.1,0.08695652,0.47826087,0.43478261,0.1,0.3,0.09090909,0,0.56521739,0.30434783,0.13043478,0.17391304,0.39130435,0.43478261,4776
2020,"Rich Hill","MIN",8.2,33,1,0.23809524,0.38095238,0.38095238,0.125,0,0,1,0.45454545,0.31818182,0.22727273,0.09090909,0.59090909,0.31818182,4806
2020,"Jon Lester","CHC",25,106,1.19354839,0.12820513,0.47435897,0.3974359,0.06451613,0,0.08108108,0,0.41025641,0.26923077,0.32051282,0.26923077,0.37179487,0.35897436,4930
2020,"Jeurys Familia","NYM",5.1,25,4,0.16666667,0.66666667,0.16666667,0,0,0.125,0,0.5,0.33333333,0.16666667,0.25,0.58333333,0.16666667,5114
2020,"Wade LeBlanc","BAL",10,46,0.92307692,0.34210526,0.31578947,0.34210526,0.23076923,0.23076923,0.08333333,0,0.39473684,0.26315789,0.34210526,0.18421053,0.5,0.31578947,5221
2020,"Madison Bumgarner","ARI",17.2,83,0.67857143,0.28787879,0.28787879,0.42424242,0.07142857,0.28571429,0,0,0.56060606,0.27272727,0.16666667,0.10606061,0.40909091,0.48484848,5524
2020,"Nik Turley","PIT",6.1,25,0.75,0.06666667,0.4,0.53333333,0,0,0,0,0.46666667,0.33333333,0.2,0.13333333,0.6,0.26666667,5530
2020,"Ryan Brasier","BOS",7.2,30,1.33333333,0.22222222,0.44444444,0.33333333,0.16666667,0.16666667,0.125,0,0.5,0.33333333,0.16666667,0.16666667,0.5,0.33333333,5615
2020,"Tyler Clippard","MIN",8,29,0.625,0.1875,0.3125,0.5,0,0.25,0,0,0.25,0.5,0.25,0.125,0.5625,0.3125,5640
2020,"Junior Guerra","ARI",7,27,5,0.1,0.75,0.15,0,0,0,0,0.38095238,0.33333333,0.28571429,0.04761905,0.61904762,0.33333333,5702
2020,"Dellin Betances","NYM",5,24,1,0.33333333,0.33333333,0.33333333,0,0,0,0,0.38888889,0.33333333,0.27777778,0.11111111,0.61111111,0.27777778,6216
2020,"Trevor Cahill","SFG",7,35,0.5,0.52631579,0.15789474,0.31578947,0.33333333,0.33333333,0.33333333,0,0.52631579,0.15789474,0.31578947,0.15789474,0.36842105,0.47368421,6249
2020,"David Phelps","2 Tms",5,20,1.6,0.07142857,0.57142857,0.35714286,0,0.4,0,0,0.28571429,0.57142857,0.14285714,0.14285714,0.5,0.35714286,6316
2020,"Jose Cisnero","DET",8.1,33,0.9,0.0952381,0.42857143,0.47619048,0.2,0.1,0.22222222,0,0.42857143,0.23809524,0.33333333,0.14285714,0.52380952,0.33333333,6399
2020,"Steve Cishek","CHW",6,27,1.14285714,0.21052632,0.42105263,0.36842105,0,0.14285714,0,0,0.31578947,0.57894737,0.10526316,0.15789474,0.63157895,0.21052632,6483
2020,"Alex Cobb","BAL",10.1,43,1.5,0.24242424,0.45454545,0.3030303,0.1,0.2,0.06666667,0,0.45454545,0.3030303,0.24242424,0.15151515,0.48484848,0.36363636,6562
2020,"Carlos Carrasco","CLE",9,38,1.375,0.26923077,0.42307692,0.30769231,0,0.375,0.09090909,0,0.37037037,0.33333333,0.2962963,0.25925926,0.40740741,0.33333333,6632
2020,"Julio Teheran","LAA",8.2,39,0.81818182,0.35483871,0.29032258,0.35483871,0.18181818,0,0.11111111,0,0.38709677,0.41935484,0.19354839,0.16129032,0.5483871,0.29032258,6797
2020,"Johnny Cueto","SFG",14,55,1.61538462,0.15,0.525,0.325,0.15384615,0.15384615,0,0,0.55,0.175,0.275,0.225,0.575,0.2,6893
2020,"Chase Anderson","TOR",5,30,0.9,0.17391304,0.39130435,0.43478261,0.1,0.6,0,0,0.39130435,0.26086957,0.34782609,0.17391304,0.26086957,0.56521739,6895
2020,"Martin Perez","BOS",24,102,1.2,0.15384615,0.46153846,0.38461538,0.12,0.12,0.06666667,0.5,0.35820896,0.40298507,0.23880597,0.19402985,0.47761194,0.32835821,6902
2020,"Ian Kennedy","KCR",5.2,29,0.8,0.14285714,0.38095238,0.47619048,0,0.3,0,0,0.28571429,0.38095238,0.33333333,0.14285714,0.33333333,0.52380952,6986
2020,"Daniel Hudson","WSN",6,24,0.5,0.14285714,0.28571429,0.57142857,0.125,0.375,0,0,0.42857143,0.42857143,0.14285714,0.14285714,0.5,0.35714286,7146
2020,"Greg Holland","KCR",6.2,29,1.16666667,0.1875,0.4375,0.375,0,0,0.14285714,0,0.6875,0.125,0.1875,0,0.625,0.375,7196
2020,"J.A. Happ","NYY",9.2,43,0.35714286,0.2962963,0.18518519,0.51851852,0.14285714,0.21428571,0,0,0.40740741,0.37037037,0.22222222,0.11111111,0.59259259,0.2962963,7410
2020,"Gio Gonzalez","CHW",11.1,51,1.6,0.21212121,0.48484848,0.3030303,0.1,0.1,0.0625,0,0.42424242,0.3030303,0.27272727,0.15151515,0.51515152,0.33333333,7448
2020,"Jake McGee","LAD",5.2,21,0.8,0.1,0.4,0.5,0,0,0,0,0.09090909,0.63636364,0.27272727,0.09090909,0.63636364,0.27272727,7550
2020,"Nick Vincent","MIA",6.2,23,2,0.25,0.5,0.25,0,0,0,0,0.3125,0.3125,0.375,0.0625,0.4375,0.5,7555
2020,"Jordan Lyles","TEX",12.1,57,1.66666667,0.16666667,0.52083333,0.3125,0.2,0.13333333,0.12,0,0.35416667,0.39583333,0.25,0.20833333,0.5,0.29166667,7593
2020,"Tommy Milone","2 Tms",11.2,56,0.77777778,0.2195122,0.34146341,0.43902439,0.16666667,0.16666667,0.21428571,0,0.53658537,0.34146341,0.12195122,0.2195122,0.26829268,0.51219512,7608
2020,"Mike Fiers","OAK",16.2,64,1.16666667,0.27777778,0.38888889,0.33333333,0.27777778,0.11111111,0,0,0.46296296,0.33333333,0.2037037,0.14814815,0.51851852,0.33333333,7754
2020,"Josh Lindblom","MIL",9.1,36,0.625,0.31578947,0.26315789,0.42105263,0.125,0,0,0,0.42105263,0.05263158,0.52631579,0.10526316,0.52631579,0.36842105,7882
2020,"Anthony Bass","TOR",8.2,30,2.14285714,0,0.68181818,0.31818182,0.14285714,0.14285714,0,0,0.5,0.27272727,0.22727273,0.27272727,0.45454545,0.27272727,7982
