Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Zack Greinke","HOU",5,19,1,0.142857142,0.428571428,0.428571428,0,0,0,0,0.1333,0.4667,0.4,0.2,0.4,0.4,1943
2020,"Clayton Kershaw","LAD",14.2,54,1.727272727,0.142857142,0.542857142,0.314285714,0.09090909,0.09090909,0,0,0.5429,0.3143,0.1429,0.1429,0.4,0.4571,2036
2020,"Adam Wainwright","STL",9.2,39,1.25,0.307692307,0.384615384,0.307692307,0.125,0,0.4,0,0.5,0.3462,0.1538,0.1154,0.3462,0.5385,2233
2020,"Lance Lynn","TEX",9.2,42,1,0.142857142,0.428571428,0.428571428,0.166666666,0.166666666,0.166666666,0,0.2414,0.5862,0.1724,0.2069,0.3793,0.4138,2520
2020,"Tony Watson","SFG",5,17,1.2,0.153846153,0.461538461,0.384615384,0.2,0,0,0,0.4615,0.3077,0.2308,0.3077,0.3077,0.3846,3132
2020,"Max Scherzer","WSN",5.2,23,0.428571428,0.333333333,0.2,0.466666666,0.142857142,0.142857142,0,0,0.1875,0.4375,0.375,0.375,0.3125,0.3125,3137
2020,"Anibal Sanchez","WSN",7,26,2,0.285714285,0.476190476,0.238095238,0,0,0,0,0.381,0.3333,0.2857,0.0476,0.5238,0.4286,3284
2020,"Danny Duffy","KCR",6.2,28,0.875,0.0625,0.4375,0.5,0,0.125,0,0,0.3125,0.375,0.3125,0.0625,0.4375,0.5,3542
2020,"Derek Holland","PIT",5.2,25,2.333333333,0.285714285,0.5,0.214285714,0,0.333333333,0.142857142,0,0.4667,0.4,0.1333,0.2,0.4667,0.3333,4141
2020,"Rich Hill","MIN",7.2,31,1.666666666,0.238095238,0.476190476,0.285714285,0,0.166666666,0,0,0.5714,0.1905,0.2381,0.1429,0.2857,0.5714,4806
2020,"Jon Lester","CHC",13.1,65,1.5,0.134615384,0.519230769,0.346153846,0,0.333333333,0.037037037,0,0.4423,0.3654,0.1923,0.0962,0.3462,0.5577,4930
2020,"Alex Cobb","BAL",6.2,27,3.25,0.32,0.52,0.16,0,0.25,0,0,0.48,0.4,0.12,0.08,0.28,0.64,6562
2020,"Julio Teheran","LAA",6,28,1.4,0.454545454,0.318181818,0.227272727,0.2,0,0.142857142,0,0.4545,0.3182,0.2273,0.1818,0.3636,0.4545,6797
2020,"Johnny Cueto","SFG",11,42,1.4,0.2,0.466666666,0.333333333,0.1,0,0,0,0.4,0.5,0.1,0.1,0.4667,0.4333,6893
2020,"Chase Anderson","TOR",7.2,30,1.142857142,0.347826086,0.347826086,0.304347826,0.285714285,0,0.125,0,0.3043,0.3913,0.3043,0.2609,0.5217,0.2174,6895
2020,"Martin Perez","BOS",10,39,0.714285714,0.142857142,0.357142857,0.5,0.142857142,0.142857142,0,0,0.25,0.4643,0.2857,0.1786,0.3214,0.5,6902
2020,"Gio Gonzalez","CHW",6.1,28,7,0.384615384,0.538461538,0.076923076,0,0,0,0,0.6923,0.2308,0.0769,0.1538,0.3846,0.4615,7448
2020,"Tommy Milone","BAL",10.2,53,0.933333333,0.292682926,0.341463414,0.365853658,0.066666666,0.266666666,0.214285714,0,0.3659,0.4146,0.2195,0.122,0.3902,0.4878,7608
2020,"Mike Fiers","OAK",9.1,38,0.642857142,0.28125,0.28125,0.4375,0.214285714,0,0,0,0.4688,0.2813,0.25,0.125,0.4688,0.4063,7754
2020,"Josh Lindblom","MIL",6,23,0.5,0.2,0.266666666,0.533333333,0.125,0,0,0,0.4,0.2,0.4,0.1333,0.6,0.2667,7882
2020,"Brett Anderson","MIL",9.1,34,1.555555555,0.115384615,0.538461538,0.346153846,0,0.222222222,0.071428571,0,0.4615,0.5,0.0385,0.1154,0.4615,0.4231,8223
2020,"Wade Miley","CIN",6.2,29,1.8,0.333333333,0.428571428,0.238095238,0,0.2,0.111111111,0,0.2857,0.5238,0.1905,0.2381,0.381,0.381,8779
2020,"Nathan Eovaldi","BOS",6.1,30,1.875,0.08,0.6,0.32,0.125,0.5,0.066666666,0,0.32,0.28,0.4,0.24,0.44,0.32,9132
2020,"Patrick Corbin","WSN",14,63,2.083333333,0.244897959,0.510204081,0.244897959,0.083333333,0.166666666,0,0,0.449,0.3265,0.2245,0.0612,0.3878,0.551,9323
2020,"Dallas Keuchel","CHW",13.2,57,3.285714285,0.347826086,0.5,0.152173913,0.285714285,0,0.086956521,0,0.4043,0.4043,0.1915,0.1915,0.3617,0.4468,9434
2020,"Mike Minor","TEX",6,30,0.363636363,0.285714285,0.19047619,0.523809523,0,0.454545454,0,0,0.5238,0.2381,0.2381,0.0952,0.2857,0.619,10021
2020,"Kyle Gibson","TEX",9,39,2.6,0.333333333,0.481481481,0.185185185,0,0.2,0.076923076,0,0.4815,0.2593,0.2593,0.2593,0.2222,0.5185,10123
2020,"Zack Wheeler","PHI",5,21,1.75,0.266666666,0.466666666,0.266666666,0.25,0.25,0.285714285,0,0.4667,0.4,0.1333,0.1333,0.4667,0.4,10310
2020,"Robbie Erlin","ATL",6.2,24,0.09090909,0.2,0.066666666,0.733333333,0.181818181,0,0,0,0.4667,0.2667,0.2667,0.2667,0.6,0.1333,10354
2020,"Mychal Givens","BAL",5,17,0.333333333,0.111111111,0.222222222,0.666666666,0.333333333,0,0.5,0,0.3333,0.2222,0.4444,0.2222,0.6667,0.1111,10430
2020,"Asher Wojciechowski","BAL",5.1,23,0.714285714,0.333333333,0.277777777,0.388888888,0.142857142,0.285714285,0,0,0.3889,0.3889,0.2222,0.1667,0.5,0.3333,10836
2020,"Jacob deGrom","NYM",7.1,25,9,0.23076923,0.692307692,0.076923076,1,0,0.111111111,0,0.4615,0.2308,0.3077,0.2308,0.2308,0.5385,10954
2020,"Merrill Kelly","ARI",6,28,0.833333333,0.153846153,0.384615384,0.461538461,0.333333333,0.166666666,0.4,0,0.3077,0.3846,0.3077,0.1538,0.3846,0.4615,11156
2020,"Robbie Ray","ARI",9.1,50,0.6,0.238095238,0.285714285,0.476190476,0,0.2,0,0,0.619,0.1905,0.1905,0.1429,0.1905,0.6667,11486
2020,"James Paxton","NYY",7.1,29,0.166666666,0.125,0.125,0.75,0,0.083333333,0,0,0.3125,0.5,0.1875,0.0625,0.625,0.3125,11828
2020,"Trevor Bauer","CIN",7,28,0.714285714,0.25,0.3125,0.4375,0.285714285,0,0,0,0.25,0.4375,0.3125,0.1875,0.3125,0.5,12703
2020,"Adrian Houser","MIL",8,29,7.5,0.19047619,0.714285714,0.095238095,0,0.5,0.133333333,0,0.5714,0.2857,0.1429,0.2857,0.3333,0.381,12718
2020,"Sonny Gray","CIN",5,24,0.833333333,0.3125,0.3125,0.375,0.166666666,0,0,0,0.375,0.3125,0.3125,0.1875,0.3125,0.5,12768
2020,"Tyler Anderson","SFG",11,43,0.333333333,0.272727272,0.181818181,0.545454545,0.277777777,0.055555555,0.166666666,0,0.5152,0.1818,0.303,0.1818,0.3939,0.4242,12880
2020,"Colten Brewer","BOS",6,33,1.375,0.208333333,0.458333333,0.333333333,0,0.25,0,0,0.2917,0.4583,0.25,0.2083,0.2917,0.5,12997
2020,"Yu Darvish","CHC",5,23,0.4,0.461538461,0.153846153,0.384615384,0,0.2,0,0,0.3077,0.4615,0.2308,0.1538,0.3077,0.5385,13074
2020,"Gerrit Cole","NYY",10.1,41,1.285714285,0.111111111,0.5,0.388888888,0.142857142,0.571428571,0.111111111,1,0.4737,0.3158,0.2105,0.1579,0.3158,0.5263,13125
2020,"Zach Davies","SDP",7.1,29,1.333333333,0.176470588,0.470588235,0.352941176,0.333333333,0.166666666,0.125,0,0.4118,0.2353,0.3529,0.4118,0.2353,0.3529,13183
2020,"Daniel Norris","DET",9,35,1.5,0.23076923,0.461538461,0.307692307,0.25,0,0,0,0.4231,0.3846,0.1923,0.1538,0.4231,0.4231,13475
2020,"Blake Snell","TBR",8,33,0.7,0.260869565,0.304347826,0.434782608,0.1,0.3,0,0,0.4348,0.3913,0.1739,0.2609,0.3913,0.3478,13543
2020,"John Gant","STL",5,20,4,0.09090909,0.727272727,0.181818181,0,0,0.125,0,0.4545,0.3636,0.1818,0.1818,0.3636,0.4545,13684
