Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Tommy Hunter","PHI",6.1,26,8.5264,1.4211,6,1.4211,0.2308,0.0385,0.1923,0.3333,1.4211,0.4118,0.814,4.3008482482910155,3.4805812679028945,1157
2020,"Oliver Perez","CLE",5.1,20,6.75,5.0625,1.3333,0,0.2,0.15,0.05,0.2353,1.3125,0.3077,0.7143,3.383048248291016,5.2124045153086005,1514
2020,"Zack Greinke","HOU",16,68,7.3125,0,13,1.6875,0.1912,0,0.1912,0.3088,1.3125,0.3462,0.7143,4.008048248291016,4.131629374623299,1943
2020,"Clayton Kershaw","LAD",7,30,14.1429,2.5714,5.5,2.5714,0.3667,0.0667,0.3,0.2222,1.1429,0.2857,1,5.052648248291016,1.895919649941581,2036
2020,"Adam Wainwright","STL",16.1,62,8.2653,2.2041,3.75,0,0.2419,0.0645,0.1774,0.1754,0.8571,0.2381,0.6667,2.2771482482910157,4.188660386832011,2233
2020,"Hector Rondon","ARI",5.1,24,11.8126,5.0625,2.3333,1.6875,0.2917,0.125,0.1667,0.25,1.5,0.3077,0.9091,4.695548248291016,4.087397484014655,2391
2020,"Lance Lynn","TEX",15,66,8.4,5.4,1.5556,0.6,0.2121,0.1364,0.0757,0.1698,1.2,0.2105,0.9223,4.795548248291016,6.270441468556722,2520
2020,"Rick Porcello","NYM",12,55,8.25,1.5,5.5,0.75,0.2,0.0364,0.1636,0.4038,1.9167,0.5,0.531,3.1955482482910162,4.06351482073466,2717
2020,"Tony Watson","SFG",6.1,23,7.1053,0,5,0,0.2174,0,0.2174,0.1739,0.6316,0.2222,1,1.6165482482910158,3.773303816547508,3132
2020,"Max Scherzer","WSN",8.1,36,16.2001,3.24,5,1.08,0.4167,0.0833,0.3334,0.2188,1.2,0.375,0.7292,2.5955482482910157,2.2063242348611487,3137
2020,"T.J. McFarland","OAK",6,22,1.5,0,1,1.5,0.0455,0,0.0455,0.1905,0.6667,0.1579,0.8333,5.528848248291016,4.663081518809001,3237
2020,"Zack Britton","NYY",5.2,23,9.5294,0,6,0,0.2609,0,0.2609,0.1739,0.7059,0.2353,0.25,1.0779482482910159,1.7666036794156483,3240
2020,"Jeff Samardzija","SFG",5.1,24,1.6875,0,1,3.375,0.0417,0,0.0417,0.3333,1.5,0.2857,0,7.695548248291016,7.942740170905098,3254
2020,"Anibal Sanchez","WSN",11,48,7.3636,2.4545,3,2.4545,0.1875,0.0625,0.125,0.2727,1.3636,0.2813,0.5932,6.195548248291016,5.310957210714167,3284
