Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Tommy Hunter","PHI",8.1,32,1.5,0.28571429,0.42857143,0.28571429,0.16666667,0.16666667,0,0,0.28571429,0.42857143,0.28571429,0.28571429,0.42857143,0.28571429,1157
2020,"Adam Ottavino","NYY",6,29,1.33333333,0.125,0.5,0.375,0,0.16666667,0.125,0,0.4375,0.25,0.3125,0.375,0.375,0.25,1247
2020,"Oliver Perez","CLE",6.1,25,1.33333333,0.17647059,0.47058824,0.35294118,0,0,0,0,0.17647059,0.58823529,0.23529412,0.05882353,0.58823529,0.35294118,1514
2020,"Zack Greinke","HOU",17,74,0.80952381,0.3559322,0.28813559,0.3559322,0.0952381,0.14285714,0.11764706,0,0.36666667,0.28333333,0.35,0.21666667,0.36666667,0.41666667,1943
2020,"Clayton Kershaw","LAD",10.2,47,1.875,0.23333333,0.5,0.26666667,0,0.5,0.13333333,0,0.53333333,0.4,0.06666667,0.16666667,0.36666667,0.46666667,2036
2020,"Adam Wainwright","STL",20,78,0.7826087,0.26785714,0.32142857,0.41071429,0.08695652,0.04347826,0.16666667,0,0.39285714,0.44642857,0.16071429,0.19642857,0.57142857,0.23214286,2233
2020,"Hector Rondon","ARI",7.1,31,1.33333333,0.26315789,0.42105263,0.31578947,0.16666667,0.16666667,0,0,0.31578947,0.31578947,0.36842105,0.21052632,0.36842105,0.42105263,2391
2020,"Lance Lynn","TEX",22,99,0.88461538,0.18333333,0.38333333,0.43333333,0.15384615,0.15384615,0,0,0.36666667,0.36666667,0.26666667,0.13333333,0.48333333,0.38333333,2520
2020,"Rick Porcello","NYM",16.1,72,0.83333333,0.32653061,0.30612245,0.36734694,0.11111111,0.11111111,0,0,0.28571429,0.46938776,0.24489796,0.28,0.38,0.34,2717
2020,"Ross Detwiler","CHW",5,19,0.5,0.29411765,0.23529412,0.47058824,0.25,0,0,0,0.58823529,0.29411765,0.11764706,0.17647059,0.41176471,0.41176471,2859
2020,"Kenley Jansen","LAD",5.1,26,0.3,0.35,0.15,0.5,0.2,0,0.33333333,0,0.35,0.35,0.3,0.4,0.5,0.1,3096
2020,"Tony Watson","SFG",7.2,31,1,0.2,0.4,0.4,0.1,0.1,0.1,0,0.36,0.36,0.28,0.28,0.56,0.16,3132
2020,"Max Scherzer","WSN",15.1,65,0.66666667,0.375,0.25,0.375,0.08333333,0.33333333,0,0,0.28125,0.34375,0.375,0.28125,0.28125,0.4375,3137
2020,"Will Harris","WSN",6,27,1,0.17647059,0.41176471,0.41176471,0,0.28571429,0,0,0.29411765,0.35294118,0.35294118,0.05882353,0.41176471,0.52941176,3192
2020,"T.J. McFarland","OAK",6.2,28,2.66666667,0.15384615,0.61538462,0.23076923,0,0.16666667,0.125,0,0.5,0.26923077,0.23076923,0.07692308,0.61538462,0.30769231,3237
2020,"Zack Britton","NYY",7.2,29,5,0.18181818,0.68181818,0.13636364,0,0,0.13333333,0,0.27272727,0.45454545,0.27272727,0.40909091,0.40909091,0.18181818,3240
2020,"Jeff Samardzija","SFG",5.1,24,0.28571429,0.18181818,0.18181818,0.63636364,0.28571429,0.14285714,0,0,0.52173913,0.26086957,0.2173913,0.26086957,0.47826087,0.26086957,3254
2020,"Anibal Sanchez","WSN",14.1,64,0.71428571,0.18181818,0.34090909,0.47727273,0.04761905,0.19047619,0.06666667,1,0.46666667,0.35555556,0.17777778,0.11111111,0.48888889,0.4,3284
2020,"Darren O'Day","ATL",6,26,0.75,0.17647059,0.35294118,0.47058824,0,0,0,0,0.41176471,0.35294118,0.23529412,0.29411765,0.41176471,0.29411765,3321
2020,"Danny Duffy","KCR",17,75,0.7826087,0.21153846,0.34615385,0.44230769,0,0.17391304,0.05555556,0,0.25,0.40384615,0.34615385,0.17307692,0.55769231,0.26923077,3542
2020,"Liam Hendriks","OAK",9.2,35,0.88888889,0.26086957,0.34782609,0.39130435,0,0,0,0,0.29166667,0.45833333,0.25,0.04166667,0.79166667,0.16666667,3548
2020,"Yusmeiro Petit","OAK",7.2,34,0.9,0.24,0.36,0.4,0.1,0.1,0.11111111,0,0.32,0.44,0.24,0.16,0.56,0.28,4020
2020,"Derek Holland","PIT",21,100,0.92307692,0.24242424,0.36363636,0.39393939,0.07692308,0.34615385,0.04166667,0,0.50746269,0.28358209,0.20895522,0.10447761,0.32835821,0.56716418,4141
2020,"Jake Arrieta","PHI",9.2,46,2,0.36363636,0.42424242,0.21212121,0,0,0.07142857,0,0.42424242,0.3030303,0.27272727,0.09090909,0.60606061,0.3030303,4153
2020,"Rafael Dolis","TOR",5.1,24,0.83333333,0.15384615,0.38461538,0.46153846,0,0,0.4,1,0.57142857,0.21428571,0.21428571,0.28571429,0.42857143,0.28571429,4185
2020,"Mark Melancon","ATL",6,26,1.66666667,0.2,0.5,0.3,0.16666667,0,0.1,0,0.45,0.35,0.2,0.15,0.6,0.25,4264
2020,"Justin Wilson","NYM",5.1,31,1.33333333,0.26315789,0.42105263,0.31578947,0.16666667,0,0,0,0.26315789,0.31578947,0.42105263,0.26315789,0.63157895,0.10526316,4301
2020,"Charlie Morton","TBR",12.1,55,1.2,0.25,0.40909091,0.34090909,0.06666667,0.06666667,0.05555556,0,0.25,0.43181818,0.31818182,0.11363636,0.56818182,0.31818182,4676
2020,"Nate Jones","CIN",6,28,0.875,0.16666667,0.38888889,0.44444444,0,0.25,0.14285714,0,0.27777778,0.33333333,0.38888889,0.11111111,0.55555556,0.33333333,4696
2020,"Rich Hill","MIN",20.1,86,1.19047619,0.22033898,0.42372881,0.3559322,0.14285714,0.14285714,0.04,0,0.40677966,0.33898305,0.25423729,0.20338983,0.47457627,0.3220339,4806
2020,"Jon Lester","CHC",20,93,1.19230769,0.22972973,0.41891892,0.35135135,0,0.38461538,0,0,0.46666667,0.36,0.17333333,0.13333333,0.42666667,0.44,4930
