Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","TEX",43,0.9,0.269230769,0.346153846,0.384615384,0.1,0,0.111111111,0,0.5,0.3462,0.1538,0.1538,0.4615,0.3846,785
2020,"Albert Pujols","LAA",28,1.8,0.3,0.45,0.25,0.4,0,0,0,0.55,0.15,0.3,0.2,0.2,0.6,1177
2020,"Wilson Ramos","NYM",25,1.571428571,0.142857142,0.523809523,0.333333333,0.428571428,0,0.09090909,0,0.2857,0.5238,0.1905,0.2381,0.381,0.381,1433
2020,"Miguel Cabrera","DET",56,2.111111111,0.3,0.475,0.225,0.333333333,0,0.052631578,0,0.375,0.3,0.325,0.175,0.525,0.3,1744
2020,"David Peralta","ARI",54,1.285714285,0.272727272,0.409090909,0.318181818,0.071428571,0.071428571,0,0,0.4545,0.2955,0.25,0.0909,0.5,0.4091,2136
2020,"Edwin Encarnacion","CHW",44,1,0.130434782,0.434782608,0.434782608,0.2,0.2,0.1,0,0.6087,0.1739,0.2174,0.1739,0.3913,0.4348,2151
2020,"Carlos Santana","CLE",55,1.133333333,0.219512195,0.414634146,0.365853658,0.133333333,0.133333333,0,0,0.5122,0.2683,0.2195,0.122,0.4634,0.4146,2396
2020,"Nelson Cruz","MIN",49,0.846153846,0.142857142,0.392857142,0.464285714,0,0.538461538,0.09090909,0,0.4286,0.3214,0.25,0.0714,0.4286,0.5,2434
2020,"Manny Pina","MIL",21,0.4,0.416666666,0.166666666,0.416666666,0,0,0,0,0.4167,0.5,0.0833,0.25,0.25,0.5,2829
2020,"Roberto Perez","CLE",23,2.333333333,0.166666666,0.583333333,0.25,0.333333333,0,0.285714285,0,0.5833,0.3333,0.0833,0.1667,0.4167,0.4167,2900
2020,"Tommy Pham","SDP",18,1,0.142857142,0.428571428,0.428571428,0,0.333333333,0.333333333,0,0.5714,0,0.4286,0.2857,0.4286,0.2857,2967
2020,"Mitch Moreland","BOS",32,0.714285714,0.25,0.3125,0.4375,0.142857142,0.142857142,0,0,0.3125,0.5,0.1875,0.125,0.375,0.5,3086
2020,"Robinson Chirinos","TEX",8,1,0.2,0.4,0.4,0,0,0,0,0,1,0,0,0.6,0.4,3142
2020,"Shin-Soo Choo","TEX",30,1.8,0.3,0.45,0.25,0,0,0,0,0.45,0.4,0.15,0.05,0.7,0.25,3174
2020,"Robinson Cano","NYM",31,1.857142857,0.23076923,0.5,0.269230769,0.142857142,0.428571428,0.076923076,0,0.4615,0.3462,0.1923,0.1538,0.4615,0.3846,3269
2020,"Charlie Culberson","ATL",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3298
2020,"Matt Joyce","MIA",45,1.666666666,0.428571428,0.357142857,0.214285714,0,0.166666666,0.1,0,0.3214,0.6071,0.0714,0.1786,0.3929,0.4286,3353
2020,"Ryan Braun","MIL",39,1.111111111,0.344827586,0.344827586,0.310344827,0.222222222,0.111111111,0,0,0.4138,0.3448,0.2414,0.1724,0.3103,0.5172,3410
2020,"Drew Butera","COL",12,1,0.25,0.375,0.375,0.333333333,0,0,0,0.375,0.25,0.375,0.125,0.375,0.5,3411
2020,"Jeff Mathis","TEX",14,1.25,0,0.555555555,0.444444444,0.25,0.25,0,0,0.6667,0.2222,0.1111,0.3333,0.2222,0.4444,3448
2020,"Anthony Rizzo","CHC",61,1.363636363,0.297297297,0.405405405,0.297297297,0.09090909,0.181818181,0.133333333,0,0.4737,0.3158,0.2105,0.1053,0.3684,0.5263,3473
2020,"Eric Hosmer","SDP",54,1.307692307,0.268292682,0.414634146,0.31707317,0.076923076,0.384615384,0,0,0.5122,0.3659,0.122,0.0488,0.439,0.5122,3516
2020,"Eric Thames","WSN",39,1.375,0.24,0.44,0.32,0.125,0.125,0,0,0.48,0.36,0.16,0.2,0.44,0.36,3711
2020,"Josh Reddick","HOU",49,1.272727272,0.242424242,0.424242424,0.333333333,0.181818181,0,0,0,0.4545,0.3939,0.1515,0.1212,0.5152,0.3636,3892
2020,"Dexter Fowler","STL",38,1.333333333,0.192307692,0.461538461,0.346153846,0.111111111,0.111111111,0.083333333,0,0.3077,0.4615,0.2308,0.1923,0.3462,0.4615,4062
2020,"Michael Brantley","HOU",11,0.6,0.2,0.3,0.5,0,0,0,0,0.4,0.3,0.3,0,0.4,0.6,4106
