Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","TEX",50,1.333333333,0.243243243,0.432432432,0.324324324,0.333333333,0.083333333,0.0625,0,0.5135,0.2973,0.1892,0.2432,0.3243,0.4324,785
2020,"Albert Pujols","LAA",45,1.4,0.294117647,0.411764705,0.294117647,0.5,0.1,0,0,0.5588,0.2647,0.1765,0.2353,0.2059,0.5588,1177
2020,"Wilson Ramos","NYM",48,1,0.222222222,0.388888888,0.388888888,0.214285714,0.071428571,0.071428571,0,0.3056,0.4444,0.25,0.2222,0.3889,0.3889,1433
2020,"Miguel Cabrera","DET",57,1.666666666,0.294117647,0.44117647,0.264705882,0.222222222,0.222222222,0,0,0.3824,0.3235,0.2941,0.1176,0.4412,0.4412,1744
2020,"David Peralta","ARI",66,1.466666666,0.229166666,0.458333333,0.3125,0,0,0.09090909,0,0.4167,0.3125,0.2708,0.1875,0.4583,0.3542,2136
2020,"Edwin Encarnacion","CHW",40,1.428571428,0.19047619,0.476190476,0.333333333,0.285714285,0.142857142,0.3,0,0.5714,0.3333,0.0952,0.1905,0.4762,0.3333,2151
2020,"Carlos Santana","CLE",67,1.333333333,0.243243243,0.432432432,0.324324324,0,0.166666666,0.0625,0,0.5405,0.3514,0.1081,0.0811,0.4324,0.4865,2396
2020,"Nelson Cruz","MIN",64,1.727272727,0.166666666,0.527777777,0.305555555,0.09090909,0.545454545,0.105263157,0,0.4444,0.2778,0.2778,0.1667,0.3611,0.4722,2434
2020,"Manny Pina","MIL",32,0.444444444,0.35,0.2,0.45,0,0,0,0,0.35,0.45,0.2,0.15,0.35,0.5,2829
2020,"Tommy Pham","SDP",53,3,0.151515151,0.636363636,0.212121212,0,0.285714285,0.095238095,0,0.4242,0.3636,0.2121,0.1212,0.303,0.5758,2967
2020,"Mitch Moreland","BOS",31,0.888888888,0.105263157,0.421052631,0.47368421,0.111111111,0.222222222,0.125,0,0.3684,0.4211,0.2105,0.2105,0.4211,0.3684,3086
2020,"Shin-Soo Choo","TEX",35,1.714285714,0.208333333,0.5,0.291666666,0,0.428571428,0,0,0.44,0.28,0.28,0.08,0.6,0.32,3174
2020,"Robinson Cano","NYM",51,1.6,0.315789473,0.421052631,0.263157894,0.1,0.4,0.125,0,0.4474,0.3158,0.2368,0.1579,0.2632,0.5789,3269
2020,"Matt Joyce","MIA",36,2.25,0.277777777,0.5,0.222222222,0,0.25,0.444444444,0,0.3889,0.4444,0.1667,0.3333,0.3889,0.2778,3353
2020,"Ryan Braun","MIL",45,1.222222222,0.354838709,0.354838709,0.29032258,0.111111111,0.111111111,0,1,0.4063,0.375,0.2188,0.1563,0.3438,0.5,3410
2020,"Anthony Rizzo","CHC",45,1.666666666,0.172413793,0.517241379,0.310344827,0.333333333,0.222222222,0,0,0.6207,0.2069,0.1724,0.2759,0.3103,0.4138,3473
2020,"Eric Hosmer","SDP",40,1.083333333,0.193548387,0.419354838,0.387096774,0,0.25,0,0,0.4516,0.3548,0.1935,0.0645,0.6129,0.3226,3516
2020,"Eric Thames","WSN",31,2,0.25,0.5,0.25,0.166666666,0.166666666,0,0,0.375,0.3333,0.2917,0.2083,0.2917,0.5,3711
2020,"Josh Reddick","HOU",54,0.785714285,0.285714285,0.314285714,0.4,0.071428571,0.071428571,0.09090909,0,0.4571,0.3429,0.2,0.0857,0.5143,0.4,3892
2020,"Dexter Fowler","STL",24,0.714285714,0.25,0.3125,0.4375,0,0.142857142,0.2,0,0.1875,0.5,0.3125,0.25,0.3125,0.4375,4062
2020,"Michael Brantley","HOU",32,1.125,0.260869565,0.391304347,0.347826086,0,0,0.111111111,0,0.3913,0.2609,0.3478,0.087,0.4348,0.4783,4106
2020,"Howie Kendrick","WSN",23,1.4,0.368421052,0.368421052,0.263157894,0,0,0.142857142,0,0.3158,0.3684,0.3158,0.1579,0.3684,0.4737,4229
2020,"Joey Votto","CIN",52,0.882352941,0.135135135,0.405405405,0.459459459,0,0,0.133333333,0,0.4324,0.3243,0.2432,0.027,0.6757,0.2973,4314
2020,"Daniel Murphy","COL",50,0.933333333,0.171428571,0.4,0.428571428,0.133333333,0.066666666,0.071428571,0,0.3429,0.4286,0.2286,0.0571,0.5714,0.3714,4316
2020,"Starlin Castro","WSN",28,2.5,0.3,0.5,0.2,0,0.25,0,0,0.4,0.5,0.1,0.2,0.5,0.3,4579
