Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Tommy Hunter","PHI",5.1,18,8.4376,0,5,0,0.2778,0,0.2778,0.176470588,0.5625,0.2308,0.6667,1.2803992393364259,2.3797153161789026,1157
2020,"Oliver Perez","CLE",5.1,18,8.4376,0,5,0,0.2778,0,0.2778,0.176470588,0.5625,0.25,1,1.842902754336426,3.3086575243811147,1514
2020,"Zack Greinke","HOU",17.2,67,6.6226,1.5283,4.3333,0,0.194,0.0448,0.1493,0.193548387,0.8491,0.24,0.6875,2.362959623336426,4.243535346332822,1943
2020,"Ivan Nova","DET",10,45,4.5,6.3,0.7143,1.8,0.1111,0.1556,-0.0444,0.236842105,1.6,0.2258,0.6061,6.855410957336426,6.0143056884408,1994
2020,"Clayton Kershaw","LAD",19.2,69,10.5254,1.3729,7.6667,0.9153,0.3333,0.0435,0.2899,0.121212121,0.5593,0.1463,1,2.596089872336426,2.1684099511200166,2036
2020,"Adam Wainwright","STL",5,19,5.4,5.4,1,0,0.1579,0.1579,0,0.125,1,0.1538,0.8,3.755410957336426,5.318872940540314,2233
2020,"Hector Rondon","ARI",5.1,30,8.4376,6.75,1.25,5.0625,0.1667,0.1333,0.0333,0.36,2.4375,0.3529,0.4082,11.405462519336425,7.390865049745204,2391
2020,"Lance Lynn","TEX",22.1,84,7.6567,1.209,6.3333,1.209,0.2262,0.0357,0.1905,0.1625,0.7164,0.1695,0.9322,3.603172819336426,4.044584835586461,2520
2020,"Rick Porcello","NYM",17,73,7.9412,1.5882,5,0.5294,0.2055,0.0411,0.1644,0.285714285,1.3529,0.3519,0.6481,2.684822722336426,4.104365198577152,2717
2020,"Ross Detwiler","CHW",6.1,20,9.9474,0,7,0,0.35,0,0.35,0.1,0.3158,0.1538,1,0.944873007336426,1.5620323013450346,2859
2020,"Kenley Jansen","LAD",7.1,29,12.2728,3.6818,3.3333,1.2273,0.3448,0.1034,0.2414,0.16,0.9545,0.2143,0.9091,3.8372322383364263,4.729501038207058,3096
2020,"Max Scherzer","WSN",20.1,82,11.9508,2.6557,4.5,1.3279,0.3293,0.0732,0.2561,0.226666666,1.1311,0.3043,0.9043,3.3029521823364254,3.3072087265178767,3137
2020,"T.J. McFarland","OAK",5,20,3.6,1.8,2,1.8,0.1,0.05,0.05,0.263157894,1.2,0.25,1,5.555410957336425,4.128007444739342,3237
2020,"Anibal Sanchez","WSN",7.2,42,3.5217,5.8695,0.6,1.1739,0.0714,0.119,-0.0476,0.361111111,2.3478,0.375,0.625,6.416266344336426,6.759910915863417,3284
2020,"Danny Duffy","KCR",20.1,82,10.623,2.6557,4,0.8852,0.2927,0.0732,0.2195,0.157142857,0.8361,0.1875,0.6173,3.2537717733364255,4.281832123409647,3542
