Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",7.2,30,4.6956,5,1,0,4,4,0,1,0,1,8,0.178571428,0.233333333,0.214285714,0.20635799964269003,1943
2020,"Ivan Nova","DET",6,26,7.5,5,0,0,5,5,2,4,0,0,3,0.227272727,0.346153846,0.5,0.36145283625676083,1994
2020,"Clayton Kershaw","LAD",5.1,16,1.6875,1,0,0,1,1,1,0,0,0,6,0.0625,0.0625,0.25,0.12376553565263748,2036
2020,"Lance Lynn","TEX",12,43,0.75,6,1,0,1,1,1,0,0,0,7,0.139534883,0.139534883,0.232558139,0.15687115247859512,2520
2020,"Rick Porcello","NYM",7,30,3.8571,9,2,0,3,3,0,0,0,0,7,0.3,0.3,0.366666666,0.288285772005717,2717
2020,"Max Scherzer","WSN",11.1,48,2.3824,11,1,1,3,3,2,5,0,0,14,0.261904761,0.333333333,0.476190476,0.34206465259194374,3137
2020,"Jake Arrieta","PHI",6.1,29,7.1053,8,3,0,5,5,2,3,0,0,4,0.32,0.379310344,0.68,0.4280444280854587,4153
2020,"Matt Shoemaker","TOR",13.2,54,3.9512,9,2,0,7,6,4,3,0,0,11,0.18,0.226415094,0.46,0.2855843361818565,4776
2020,"David Phelps","MIL",6.1,23,2.8421,2,0,0,3,2,1,1,0,1,9,0.095238095,0.173913043,0.238095238,0.18641853850820791,6316
2020,"Alex Cobb","BAL",5.1,24,3.375,5,0,0,2,2,2,1,0,0,6,0.217391304,0.25,0.478260869,0.30433233827352524,6562
2020,"Carlos Carrasco","CLE",7,28,5.1429,6,1,0,4,4,1,3,0,0,6,0.24,0.321428571,0.4,0.3156877564532416,6632
2020,"Alex Colome","CHW",5,19,1.8,3,1,0,1,1,0,1,0,0,4,0.166666666,0.210526315,0.222222222,0.19470767912111783,6661
2020,"Julio Teheran","LAA",5.1,23,11.8126,5,0,1,7,7,2,3,0,0,2,0.277777777,0.347826086,0.722222222,0.4076599323231241,6797
2020,"Johnny Cueto","SFG",6.1,28,0,6,2,0,1,0,0,3,0,0,2,0.24,0.321428571,0.32,0.2891722981418882,6893
2020,"Ian Kennedy","KCR",5,18,7.2,4,0,0,4,4,2,0,0,0,4,0.222222222,0.222222222,0.555555555,0.3180108202828301,6986
2020,"Jordan Lyles","TEX",6.2,27,1.35,4,1,0,1,1,0,5,0,0,2,0.19047619,0.333333333,0.238095238,0.2730749955883733,7593
2020,"Mike Fiers","OAK",7.1,36,9.8182,12,1,0,8,8,3,2,0,0,4,0.352941176,0.388888888,0.647058823,0.4341449174616072,7754
2020,"Josh Lindblom","MIL",9.2,44,7.4483,11,3,0,8,8,2,7,0,0,11,0.297297297,0.409090909,0.54054054,0.4056946594606746,7882
2020,"Tanner Roark","TOR",10.2,48,5.9062,10,1,0,7,7,3,7,0,0,10,0.243902439,0.354166666,0.487804878,0.36156629398465157,8753
2020,"Nathan Eovaldi","BOS",13,56,3.4615,14,2,2,5,5,1,4,0,1,11,0.28,0.345454545,0.46,0.34596760164607654,9132
2020,"Garrett Richards","SDP",11,46,3.2727,13,0,0,4,4,2,4,0,0,7,0.309523809,0.369565217,0.452380952,0.3576644399891729,9784
2020,"Kyle Gibson","TEX",9.1,38,7.7143,7,1,0,8,8,2,2,0,1,7,0.2,0.263157894,0.4,0.28550446504040766,10123
2020,"Zack Wheeler","PHI",6,22,3,3,0,0,2,2,1,2,0,0,4,0.15,0.227272727,0.3,0.23362778533588757,10310
2020,"Jacob deGrom","NYM",7,24,0,2,0,0,0,0,0,1,0,0,9,0.086956521,0.125,0.086956521,0.10256792356570561,10954
2020,"Merrill Kelly","ARI",9,31,3,4,2,0,3,3,1,1,0,0,11,0.133333333,0.161290322,0.3,0.19469875481820875,11156
2020,"A.J. Cole","TOR",5.2,17,0,0,0,0,0,0,0,1,1,0,3,0,0.058823529,0,0,11467
2020,"Matt Andriese","LAA",6.2,22,1.35,2,0,0,1,1,0,3,0,0,2,0.105263157,0.227272727,0.105263157,0.17534069310535083,12022
2020,"Kyle Hendricks","CHC",9,36,3,9,2,0,3,3,1,1,1,0,7,0.264705882,0.277777777,0.411764705,0.27848494052886963,12049
2020,"Chris Bassitt","OAK",7.2,32,4.6956,7,3,0,4,4,1,1,0,1,7,0.233333333,0.28125,0.433333333,0.3051491007208824,12304
2020,"Trevor Bauer","CIN",13,52,3.4615,9,2,0,5,5,3,3,1,1,21,0.1875,0.25,0.416666666,0.27582811724905876,12703
2020,"Adrian Houser","MIL",10.2,54,6.75,16,3,0,8,8,3,6,0,1,7,0.340425531,0.425925925,0.59574468,0.4331087547319907,12718
2020,"Sonny Gray","CIN",7.2,32,2.3478,5,2,1,2,2,0,5,0,0,10,0.185185185,0.3125,0.333333333,0.29022430814802647,12768
2020,"Dylan Bundy","LAA",10,38,1.8,7,2,0,2,2,1,0,0,1,9,0.189189189,0.210526315,0.324324324,0.2292334672651793,12917
2020,"Joe Musgrove","PIT",5.1,25,6.75,4,0,1,4,4,1,6,0,0,4,0.222222222,0.4,0.5,0.3795890998840332,12970
2020,"Anthony DeSclafani","CIN",7.2,33,2.3478,7,0,1,2,2,0,2,0,1,6,0.233333333,0.303030303,0.3,0.27190122640494147,13050
2020,"Gerrit Cole","NYY",6.2,28,5.4,4,2,0,4,4,2,3,0,1,10,0.166666666,0.285714285,0.5,0.3306258107934679,13125
2020,"Zach Davies","SDP",13.1,48,3.375,9,2,0,5,5,1,1,0,0,9,0.191489361,0.208333333,0.29787234,0.2176021970808506,13183
2020,"Ross Stripling","LAD",6,24,4.5,4,2,0,3,3,1,2,0,0,5,0.181818181,0.25,0.409090909,0.28056641419728595,13273
2020,"Alec Mills","CHC",8,29,3.375,3,0,0,3,3,1,2,0,0,5,0.111111111,0.172413793,0.222222222,0.1772348716341216,13834
2020,"Kevin Gausman","SFG",7,31,2.5714,10,3,1,3,2,1,0,0,0,6,0.344827586,0.333333333,0.620689655,0.3887041966120402,14107
2020,"Lance McCullers Jr.","HOU",6.1,38,17.0527,12,7,1,12,12,2,5,0,2,4,0.413793103,0.513513513,0.931034482,0.5646472057780704,14120
